financial_quarter,sending_location,age_group,stay_type,measure,value
2017/18 Q4,East Renfrewshire,65-74 years,All Stays,Number of People,60
2017/18 Q4,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2017/18 Q4,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,10
2017/18 Q4,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",5.1
2017/18 Q4,East Renfrewshire,65-74 years,Long Stay,Number of People,50
2017/18 Q4,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",34.4
2017/18 Q4,East Renfrewshire,75-84 years,All Stays,Number of People,215
2017/18 Q4,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.8
2017/18 Q4,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,30
2017/18 Q4,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",31.2
2017/18 Q4,East Renfrewshire,75-84 years,Long Stay,Number of People,195
2017/18 Q4,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",148.9
2017/18 Q4,East Renfrewshire,85+ years,All Stays,Number of People,400
2017/18 Q4,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",13
2017/18 Q4,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,35
2017/18 Q4,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",137.7
2017/18 Q4,East Renfrewshire,85+ years,Long Stay,Number of People,370
2017/18 Q4,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2017/18 Q4,East Renfrewshire,Unknown,All Stays,Number of People,0
2017/18 Q4,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2017/18 Q4,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2017/18 Q4,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2017/18 Q4,East Renfrewshire,Unknown,Long Stay,Number of People,0
2018/19 Q1,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",6.4
2018/19 Q1,East Renfrewshire,All Ages,All Stays,Number of People,610
2018/19 Q1,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.2
2018/19 Q1,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,15
2018/19 Q1,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",6.3
2018/19 Q1,East Renfrewshire,All Ages,Long Stay,Number of People,600
2018/19 Q1,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,0-17 years,All Stays,Number of People,0
2018/19 Q1,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q1,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,0-17 years,Long Stay,Number of People,0
2018/19 Q1,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.5
2018/19 Q1,East Renfrewshire,18-64 years,All Stays,Number of People,30
2018/19 Q1,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,0
2018/19 Q1,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.5
2018/19 Q1,East Renfrewshire,18-64 years,Long Stay,Number of People,30
2018/19 Q1,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",4.5
2018/19 Q1,East Renfrewshire,65-74 years,All Stays,Number of People,45
2018/19 Q1,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,0
2018/19 Q1,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",4.5
2018/19 Q1,East Renfrewshire,65-74 years,Long Stay,Number of People,45
2018/19 Q1,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",26.3
2018/19 Q1,East Renfrewshire,75-84 years,All Stays,Number of People,165
2018/19 Q1,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2018/19 Q1,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,5
2018/19 Q1,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",25.5
2018/19 Q1,East Renfrewshire,75-84 years,Long Stay,Number of People,160
2018/19 Q1,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",134.7
2018/19 Q1,East Renfrewshire,85+ years,All Stays,Number of People,365
2018/19 Q1,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",3.7
2018/19 Q1,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,10
2018/19 Q1,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",132.9
2018/19 Q1,East Renfrewshire,85+ years,Long Stay,Number of People,360
2018/19 Q1,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,Unknown,All Stays,Number of People,0
2018/19 Q1,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q1,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q1,East Renfrewshire,Unknown,Long Stay,Number of People,0
2018/19 Q2,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",6.3
2018/19 Q2,East Renfrewshire,All Ages,All Stays,Number of People,595
2018/19 Q2,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.2
2018/19 Q2,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,15
2018/19 Q2,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",6.2
2018/19 Q2,East Renfrewshire,All Ages,Long Stay,Number of People,590
2018/19 Q2,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q2,East Renfrewshire,0-17 years,All Stays,Number of People,0
2018/19 Q2,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q2,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q2,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q2,East Renfrewshire,0-17 years,Long Stay,Number of People,0
2018/19 Q2,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.5
2018/19 Q2,East Renfrewshire,18-64 years,All Stays,Number of People,30
2018/19 Q2,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q2,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,0
2018/19 Q2,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.5
2018/19 Q2,East Renfrewshire,18-64 years,Long Stay,Number of People,30
2018/19 Q2,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",4.5
2018/19 Q2,East Renfrewshire,65-74 years,All Stays,Number of People,45
2018/19 Q2,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5
2018/19 Q2,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,5
2018/19 Q2,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",4.5
2018/19 Q2,East Renfrewshire,65-74 years,Long Stay,Number of People,45
2018/19 Q2,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",26.3
2018/19 Q2,East Renfrewshire,75-84 years,All Stays,Number of People,165
2018/19 Q2,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2018/19 Q2,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,5
2018/19 Q2,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",26.3
2018/19 Q2,East Renfrewshire,75-84 years,Long Stay,Number of People,165
2018/19 Q2,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",131
2018/19 Q2,East Renfrewshire,85+ years,All Stays,Number of People,355
2018/19 Q2,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",1.8
2018/19 Q2,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,5
2018/19 Q2,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",131
2018/19 Q2,East Renfrewshire,85+ years,Long Stay,Number of People,355
2018/19 Q2,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q2,East Renfrewshire,Unknown,All Stays,Number of People,0
2018/19 Q2,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q2,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q2,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q2,East Renfrewshire,Unknown,Long Stay,Number of People,0
2018/19 Q3,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",7.7
2018/19 Q3,East Renfrewshire,All Ages,All Stays,Number of People,730
2018/19 Q3,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.2
2018/19 Q3,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,15
2018/19 Q3,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",7.6
2018/19 Q3,East Renfrewshire,All Ages,Long Stay,Number of People,720
2018/19 Q3,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,0-17 years,All Stays,Number of People,0
2018/19 Q3,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q3,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,0-17 years,Long Stay,Number of People,0
2018/19 Q3,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.6
2018/19 Q3,East Renfrewshire,18-64 years,All Stays,Number of People,35
2018/19 Q3,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,0
2018/19 Q3,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.6
2018/19 Q3,East Renfrewshire,18-64 years,Long Stay,Number of People,35
2018/19 Q3,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",6.1
2018/19 Q3,East Renfrewshire,65-74 years,All Stays,Number of People,60
2018/19 Q3,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,0
2018/19 Q3,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",6.1
2018/19 Q3,East Renfrewshire,65-74 years,Long Stay,Number of People,60
2018/19 Q3,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",34.2
2018/19 Q3,East Renfrewshire,75-84 years,All Stays,Number of People,215
2018/19 Q3,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",1.6
2018/19 Q3,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,10
2018/19 Q3,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",33.5
2018/19 Q3,East Renfrewshire,75-84 years,Long Stay,Number of People,210
2018/19 Q3,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",155
2018/19 Q3,East Renfrewshire,85+ years,All Stays,Number of People,420
2018/19 Q3,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",1.8
2018/19 Q3,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,5
2018/19 Q3,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",155
2018/19 Q3,East Renfrewshire,85+ years,Long Stay,Number of People,420
2018/19 Q3,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,Unknown,All Stays,Number of People,0
2018/19 Q3,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q3,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q3,East Renfrewshire,Unknown,Long Stay,Number of People,0
2018/19 Q4,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",7.8
2018/19 Q4,East Renfrewshire,All Ages,All Stays,Number of People,745
2018/19 Q4,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.2
2018/19 Q4,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,20
2018/19 Q4,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",7.7
2018/19 Q4,East Renfrewshire,All Ages,Long Stay,Number of People,735
2018/19 Q4,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q4,East Renfrewshire,0-17 years,All Stays,Number of People,0
2018/19 Q4,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q4,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q4,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q4,East Renfrewshire,0-17 years,Long Stay,Number of People,0
2018/19 Q4,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.6
2018/19 Q4,East Renfrewshire,18-64 years,All Stays,Number of People,35
2018/19 Q4,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q4,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,0
2018/19 Q4,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.5
2018/19 Q4,East Renfrewshire,18-64 years,Long Stay,Number of People,30
2018/19 Q4,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",6.6
2018/19 Q4,East Renfrewshire,65-74 years,All Stays,Number of People,65
2018/19 Q4,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.5
2018/19 Q4,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,5
2018/19 Q4,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",6.6
2018/19 Q4,East Renfrewshire,65-74 years,Long Stay,Number of People,65
2018/19 Q4,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",35
2018/19 Q4,East Renfrewshire,75-84 years,All Stays,Number of People,220
2018/19 Q4,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2018/19 Q4,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,5
2018/19 Q4,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",35
2018/19 Q4,East Renfrewshire,75-84 years,Long Stay,Number of People,220
2018/19 Q4,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",156.9
2018/19 Q4,East Renfrewshire,85+ years,All Stays,Number of People,425
2018/19 Q4,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",3.7
2018/19 Q4,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,10
2018/19 Q4,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",155
2018/19 Q4,East Renfrewshire,85+ years,Long Stay,Number of People,420
2018/19 Q4,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q4,East Renfrewshire,Unknown,All Stays,Number of People,0
2018/19 Q4,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q4,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q4,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q4,East Renfrewshire,Unknown,Long Stay,Number of People,0
2019/20 Q1,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",8.8
2019/20 Q1,East Renfrewshire,All Ages,All Stays,Number of People,840
2019/20 Q1,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q1,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,95
2019/20 Q1,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",8.1
2019/20 Q1,East Renfrewshire,All Ages,Long Stay,Number of People,775
2019/20 Q1,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0.2
2019/20 Q1,East Renfrewshire,0-17 years,All Stays,Number of People,5
2019/20 Q1,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q1,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q1,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q1,East Renfrewshire,0-17 years,Long Stay,Number of People,0
2019/20 Q1,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",1.1
2019/20 Q1,East Renfrewshire,18-64 years,All Stays,Number of People,60
2019/20 Q1,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.4
2019/20 Q1,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,20
2019/20 Q1,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.8
2019/20 Q1,East Renfrewshire,18-64 years,Long Stay,Number of People,45
2019/20 Q1,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",7.5
2019/20 Q1,East Renfrewshire,65-74 years,All Stays,Number of People,75
2019/20 Q1,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.5
2019/20 Q1,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,15
2019/20 Q1,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",6.5
2019/20 Q1,East Renfrewshire,65-74 years,Long Stay,Number of People,65
2019/20 Q1,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",32.7
2019/20 Q1,East Renfrewshire,75-84 years,All Stays,Number of People,210
2019/20 Q1,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.1
2019/20 Q1,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,20
2019/20 Q1,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",30.4
2019/20 Q1,East Renfrewshire,75-84 years,Long Stay,Number of People,195
2019/20 Q1,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",175.4
2019/20 Q1,East Renfrewshire,85+ years,All Stays,Number of People,490
2019/20 Q1,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",12.5
2019/20 Q1,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,35
2019/20 Q1,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",166.4
2019/20 Q1,East Renfrewshire,85+ years,Long Stay,Number of People,465
2019/20 Q1,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q1,East Renfrewshire,Unknown,All Stays,Number of People,0
2019/20 Q1,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q1,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q1,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q1,East Renfrewshire,Unknown,Long Stay,Number of People,0
2019/20 Q2,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",8.5
2019/20 Q2,East Renfrewshire,All Ages,All Stays,Number of People,815
2019/20 Q2,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.9
2019/20 Q2,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,85
2019/20 Q2,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",8
2019/20 Q2,East Renfrewshire,All Ages,Long Stay,Number of People,760
2019/20 Q2,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0
2019/20 Q2,East Renfrewshire,0-17 years,All Stays,Number of People,0
2019/20 Q2,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q2,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q2,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q2,East Renfrewshire,0-17 years,Long Stay,Number of People,0
2019/20 Q2,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.8
2019/20 Q2,East Renfrewshire,18-64 years,All Stays,Number of People,45
2019/20 Q2,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2019/20 Q2,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,5
2019/20 Q2,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.7
2019/20 Q2,East Renfrewshire,18-64 years,Long Stay,Number of People,40
2019/20 Q2,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",7
2019/20 Q2,East Renfrewshire,65-74 years,All Stays,Number of People,70
2019/20 Q2,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q2,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,10
2019/20 Q2,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",6.5
2019/20 Q2,East Renfrewshire,65-74 years,Long Stay,Number of People,65
2019/20 Q2,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",32.7
2019/20 Q2,East Renfrewshire,75-84 years,All Stays,Number of People,210
2019/20 Q2,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.9
2019/20 Q2,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,25
2019/20 Q2,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",30.4
2019/20 Q2,East Renfrewshire,75-84 years,Long Stay,Number of People,195
2019/20 Q2,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",173.6
2019/20 Q2,East Renfrewshire,85+ years,All Stays,Number of People,485
2019/20 Q2,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",16.1
2019/20 Q2,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,45
2019/20 Q2,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",164.6
2019/20 Q2,East Renfrewshire,85+ years,Long Stay,Number of People,460
2019/20 Q2,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q2,East Renfrewshire,Unknown,All Stays,Number of People,0
2019/20 Q2,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q2,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q2,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q2,East Renfrewshire,Unknown,Long Stay,Number of People,0
2019/20 Q3,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",8.5
2019/20 Q3,East Renfrewshire,All Ages,All Stays,Number of People,810
2019/20 Q3,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.8
2019/20 Q3,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,75
2019/20 Q3,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",7.9
2019/20 Q3,East Renfrewshire,All Ages,Long Stay,Number of People,755
2019/20 Q3,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0
2019/20 Q3,East Renfrewshire,0-17 years,All Stays,Number of People,0
2019/20 Q3,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q3,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q3,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q3,East Renfrewshire,0-17 years,Long Stay,Number of People,0
2019/20 Q3,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.8
2019/20 Q3,East Renfrewshire,18-64 years,All Stays,Number of People,45
2019/20 Q3,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2019/20 Q3,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,5
2019/20 Q3,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.7
2019/20 Q3,East Renfrewshire,18-64 years,Long Stay,Number of People,40
2019/20 Q3,East Renfrewshire,65-74 years,All Stays,"Rate per 1,000 People",7.5
2019/20 Q3,East Renfrewshire,65-74 years,All Stays,Number of People,75
2019/20 Q3,East Renfrewshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2019/20 Q3,East Renfrewshire,65-74 years,Short Stay / Respite,Number of People,10
2019/20 Q3,East Renfrewshire,65-74 years,Long Stay,"Rate per 1,000 People",7
2019/20 Q3,East Renfrewshire,65-74 years,Long Stay,Number of People,70
2019/20 Q3,East Renfrewshire,75-84 years,All Stays,"Rate per 1,000 People",32.7
2019/20 Q3,East Renfrewshire,75-84 years,All Stays,Number of People,210
2019/20 Q3,East Renfrewshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.9
2019/20 Q3,East Renfrewshire,75-84 years,Short Stay / Respite,Number of People,25
2019/20 Q3,East Renfrewshire,75-84 years,Long Stay,"Rate per 1,000 People",30.4
2019/20 Q3,East Renfrewshire,75-84 years,Long Stay,Number of People,195
2019/20 Q3,East Renfrewshire,85+ years,All Stays,"Rate per 1,000 People",170
2019/20 Q3,East Renfrewshire,85+ years,All Stays,Number of People,475
2019/20 Q3,East Renfrewshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",12.5
2019/20 Q3,East Renfrewshire,85+ years,Short Stay / Respite,Number of People,35
2019/20 Q3,East Renfrewshire,85+ years,Long Stay,"Rate per 1,000 People",161.1
2019/20 Q3,East Renfrewshire,85+ years,Long Stay,Number of People,450
2019/20 Q3,East Renfrewshire,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q3,East Renfrewshire,Unknown,All Stays,Number of People,0
2019/20 Q3,East Renfrewshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q3,East Renfrewshire,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q3,East Renfrewshire,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q3,East Renfrewshire,Unknown,Long Stay,Number of People,0
2019/20 Q4,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",8.3
2019/20 Q4,East Renfrewshire,All Ages,All Stays,Number of People,790
2019/20 Q4,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7
2019/20 Q4,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,65
2019/20 Q4,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",7.9
2019/20 Q4,East Renfrewshire,All Ages,Long Stay,Number of People,755
2019/20 Q4,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0.2
2019/20 Q4,East Renfrewshire,0-17 years,All Stays,Number of People,5
2019/20 Q4,East Renfrewshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q4,East Renfrewshire,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q4,East Renfrewshire,0-17 years,Long Stay,"Rate per 1,000 People",0.2
2019/20 Q4,East Renfrewshire,0-17 years,Long Stay,Number of People,5
2019/20 Q4,East Renfrewshire,18-64 years,All Stays,"Rate per 1,000 People",0.8
2019/20 Q4,East Renfrewshire,18-64 years,All Stays,Number of People,45
2019/20 Q4,East Renfrewshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2019/20 Q4,East Renfrewshire,18-64 years,Short Stay / Respite,Number of People,5
2019/20 Q4,East Renfrewshire,18-64 years,Long Stay,"Rate per 1,000 People",0.7
2019/20 Q4,East Renfrewshire,18-64 years,Long Stay,Number of People,40
