financial_year,financial_quarter,sending_location,age_group,value,value_scotland,measure
2017/18,2017/18 Q4,North Lanarkshire,65+ years,26.5,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Orkney Islands,18+ years,5.8,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,Orkney Islands,18-64 years,0,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Orkney Islands,65+ years,19.7,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Perth and Kinross,18+ years,10.6,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,Perth and Kinross,18-64 years,1.5,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Perth and Kinross,65+ years,34.2,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Renfrewshire,18+ years,8.6,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,Renfrewshire,18-64 years,1.1,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Renfrewshire,65+ years,33.8,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Scottish Borders,18+ years,8.3,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,Scottish Borders,18-64 years,0.5,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Scottish Borders,65+ years,26.9,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Shetland Islands,18+ years,6.3,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,Shetland Islands,18-64 years,0.4,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Shetland Islands,65+ years,24.5,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,South Ayrshire,18+ years,11.6,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,South Ayrshire,18-64 years,0.8,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,South Ayrshire,65+ years,36.7,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,South Lanarkshire,18+ years,8,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,South Lanarkshire,18-64 years,1.1,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,South Lanarkshire,65+ years,30.4,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Stirling,18+ years,7.3,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,Stirling,18-64 years,1.4,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,Stirling,65+ years,27.1,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,West Dunbartonshire,18+ years,9.7,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,West Dunbartonshire,18-64 years,1.1,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,West Dunbartonshire,65+ years,38.9,29.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,West Lothian,18+ years,6.6,7.6,"Rate per 1,000 People"
2017/18,2017/18 Q4,West Lothian,18-64 years,1.1,0.9,"Rate per 1,000 People"
2017/18,2017/18 Q4,West Lothian,65+ years,27.9,29.9,"Rate per 1,000 People"
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18+ years,8.3,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Scotland (All Areas Submitted),65+ years,32.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Aberdeen City,18+ years,8.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Aberdeen City,18-64 years,1.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Aberdeen City,65+ years,39.4,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Aberdeenshire,18+ years,8.8,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Aberdeenshire,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Aberdeenshire,65+ years,32.4,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Angus,18+ years,11,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Angus,18-64 years,1.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Angus,65+ years,34.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Argyll and Bute,18+ years,9.1,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Argyll and Bute,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Argyll and Bute,65+ years,27.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,City of Edinburgh,18+ years,6.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,City of Edinburgh,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,City of Edinburgh,65+ years,34.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Clackmannanshire,18+ years,7.3,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Clackmannanshire,18-64 years,2.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Clackmannanshire,65+ years,23.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Dumfries and Galloway,18+ years,9.4,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Dumfries and Galloway,18-64 years,0.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Dumfries and Galloway,65+ years,28.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Dundee City,18+ years,10,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Dundee City,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Dundee City,65+ years,42.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Ayrshire,18+ years,8.1,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Ayrshire,18-64 years,0.9,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Ayrshire,65+ years,29.7,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Dunbartonshire,18+ years,10.1,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Dunbartonshire,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Dunbartonshire,65+ years,34.7,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Lothian,18+ years,8.4,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Lothian,18-64 years,0.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Lothian,65+ years,30.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Renfrewshire,18+ years,8.2,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Renfrewshire,18-64 years,0.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,East Renfrewshire,65+ years,30.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Falkirk,18+ years,8.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Falkirk,18-64 years,1.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Falkirk,65+ years,32.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Fife,18+ years,9.1,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Fife,18-64 years,0.9,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Fife,65+ years,33.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Glasgow City,18+ years,7.7,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Glasgow City,18-64 years,1.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Glasgow City,65+ years,39.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Highland,18+ years,10,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Highland,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Highland,65+ years,33.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Inverclyde,18+ years,10.5,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Inverclyde,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Inverclyde,65+ years,36.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Midlothian,18+ years,6.5,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Midlothian,18-64 years,0.6,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Midlothian,65+ years,25.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Moray,18+ years,7.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Moray,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Moray,65+ years,25.7,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,North Ayrshire,18+ years,8.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,North Ayrshire,18-64 years,1.2,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,North Ayrshire,65+ years,29.1,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,North Lanarkshire,18+ years,5.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,North Lanarkshire,18-64 years,0.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,North Lanarkshire,65+ years,25.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Perth and Kinross,18+ years,10.3,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Perth and Kinross,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Perth and Kinross,65+ years,32.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Renfrewshire,18+ years,8.5,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Renfrewshire,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Renfrewshire,65+ years,33.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Scottish Borders,18+ years,8,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Scottish Borders,18-64 years,0.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Scottish Borders,65+ years,25.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Shetland Islands,18+ years,8.2,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Shetland Islands,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Shetland Islands,65+ years,30.7,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,South Ayrshire,18+ years,11.8,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,South Ayrshire,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,South Ayrshire,65+ years,36.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,South Lanarkshire,18+ years,8.2,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,South Lanarkshire,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,South Lanarkshire,65+ years,30.8,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,Stirling,18+ years,8,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,Stirling,18-64 years,1.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,Stirling,65+ years,29.4,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,West Dunbartonshire,18+ years,9.6,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,West Dunbartonshire,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,West Dunbartonshire,65+ years,38.4,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q1,West Lothian,18+ years,6.4,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q1,West Lothian,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q1,West Lothian,65+ years,26.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18+ years,8.3,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Scotland (All Areas Submitted),65+ years,32.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Aberdeen City,18+ years,8.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Aberdeen City,18-64 years,1.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Aberdeen City,65+ years,39.8,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Aberdeenshire,18+ years,8.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Aberdeenshire,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Aberdeenshire,65+ years,32.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Angus,18+ years,11,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Angus,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Angus,65+ years,34.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Argyll and Bute,18+ years,9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Argyll and Bute,18-64 years,1.2,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Argyll and Bute,65+ years,26.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,City of Edinburgh,18+ years,6.8,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,City of Edinburgh,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,City of Edinburgh,65+ years,34.8,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Clackmannanshire,18+ years,7.5,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Clackmannanshire,18-64 years,2.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Clackmannanshire,65+ years,24,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Dumfries and Galloway,18+ years,9.5,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Dumfries and Galloway,18-64 years,0.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Dumfries and Galloway,65+ years,28.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Dundee City,18+ years,9.7,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Dundee City,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Dundee City,65+ years,41.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Ayrshire,18+ years,8.1,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Ayrshire,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Ayrshire,65+ years,29.7,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Dunbartonshire,18+ years,10,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Dunbartonshire,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Dunbartonshire,65+ years,34.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Lothian,18+ years,8.4,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Lothian,18-64 years,0.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Lothian,65+ years,31.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Renfrewshire,18+ years,8.1,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Renfrewshire,18-64 years,0.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,East Renfrewshire,65+ years,29.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Falkirk,18+ years,8.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Falkirk,18-64 years,1.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Falkirk,65+ years,32.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Fife,18+ years,9.4,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Fife,18-64 years,0.9,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Fife,65+ years,34.6,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Glasgow City,18+ years,7.8,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Glasgow City,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Glasgow City,65+ years,40.2,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Highland,18+ years,9.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Highland,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Highland,65+ years,33,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Inverclyde,18+ years,10.2,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Inverclyde,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Inverclyde,65+ years,36,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Midlothian,18+ years,7.2,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Midlothian,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Midlothian,65+ years,27.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Moray,18+ years,7.9,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Moray,18-64 years,1.6,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Moray,65+ years,25.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,North Ayrshire,18+ years,8.5,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,North Ayrshire,18-64 years,1.2,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,North Ayrshire,65+ years,27.9,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,North Lanarkshire,18+ years,5.7,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,North Lanarkshire,18-64 years,0.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,North Lanarkshire,65+ years,25.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Perth and Kinross,18+ years,10.4,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Perth and Kinross,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Perth and Kinross,65+ years,32.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Renfrewshire,18+ years,8.5,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Renfrewshire,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Renfrewshire,65+ years,33.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Scottish Borders,18+ years,8.3,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Scottish Borders,18-64 years,0.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Scottish Borders,65+ years,26.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Shetland Islands,18+ years,7.6,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Shetland Islands,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Shetland Islands,65+ years,28.5,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,South Ayrshire,18+ years,11.8,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,South Ayrshire,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,South Ayrshire,65+ years,36.4,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,South Lanarkshire,18+ years,8.4,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,South Lanarkshire,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,South Lanarkshire,65+ years,31.4,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,Stirling,18+ years,8.1,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,Stirling,18-64 years,1.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,Stirling,65+ years,30.3,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,West Dunbartonshire,18+ years,9.7,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,West Dunbartonshire,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,West Dunbartonshire,65+ years,39,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q2,West Lothian,18+ years,6,8.3,"Rate per 1,000 People"
2018/19,2018/19 Q2,West Lothian,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q2,West Lothian,65+ years,24.8,32.2,"Rate per 1,000 People"
2018/19,2018/19 Q3,Scotland (All Areas Submitted),18+ years,8.4,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Scotland (All Areas Submitted),65+ years,32.6,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Aberdeen City,18+ years,9,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Aberdeen City,18-64 years,1.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Aberdeen City,65+ years,40.4,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Aberdeenshire,18+ years,9,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Aberdeenshire,18-64 years,1.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Aberdeenshire,65+ years,33.1,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Angus,18+ years,11.1,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Angus,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Angus,65+ years,35,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Argyll and Bute,18+ years,9.2,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Argyll and Bute,18-64 years,1.2,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Argyll and Bute,65+ years,27.1,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,City of Edinburgh,18+ years,6.6,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,City of Edinburgh,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,City of Edinburgh,65+ years,33.6,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Clackmannanshire,18+ years,7.5,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Clackmannanshire,18-64 years,2.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Clackmannanshire,65+ years,24,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Dumfries and Galloway,18+ years,9.5,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Dumfries and Galloway,18-64 years,0.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Dumfries and Galloway,65+ years,29,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Dundee City,18+ years,9.8,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Dundee City,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Dundee City,65+ years,42.1,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Ayrshire,18+ years,8.1,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Ayrshire,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Ayrshire,65+ years,29.5,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Dunbartonshire,18+ years,10.1,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Dunbartonshire,18-64 years,0.6,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Dunbartonshire,65+ years,34.9,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Lothian,18+ years,8.6,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Lothian,18-64 years,0.9,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Lothian,65+ years,31.4,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Renfrewshire,18+ years,9.9,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Renfrewshire,18-64 years,0.6,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,East Renfrewshire,65+ years,36.5,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Falkirk,18+ years,9.1,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Falkirk,18-64 years,1.8,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Falkirk,65+ years,33.2,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Fife,18+ years,9.9,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Fife,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Fife,65+ years,36.4,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Glasgow City,18+ years,7.9,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Glasgow City,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Glasgow City,65+ years,40.6,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Highland,18+ years,10,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Highland,18-64 years,1.3,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Highland,65+ years,33.1,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Inverclyde,18+ years,9.2,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Inverclyde,18-64 years,1.2,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Inverclyde,65+ years,32.7,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Midlothian,18+ years,7.3,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Midlothian,18-64 years,0.7,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Midlothian,65+ years,28.5,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Moray,18+ years,8,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Moray,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Moray,65+ years,26.2,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,North Ayrshire,18+ years,8.2,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,North Ayrshire,18-64 years,1.1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,North Ayrshire,65+ years,26.8,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,North Lanarkshire,18+ years,5.9,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,North Lanarkshire,18-64 years,0.4,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,North Lanarkshire,65+ years,26,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Perth and Kinross,18+ years,10.3,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Perth and Kinross,18-64 years,1.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Perth and Kinross,65+ years,32.7,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Renfrewshire,18+ years,8.7,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Renfrewshire,18-64 years,1,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Renfrewshire,65+ years,33.9,32.6,"Rate per 1,000 People"
2018/19,2018/19 Q3,Scottish Borders,18+ years,8.4,8.4,"Rate per 1,000 People"
2018/19,2018/19 Q3,Scottish Borders,18-64 years,0.5,1.1,"Rate per 1,000 People"
2018/19,2018/19 Q3,Scottish Borders,65+ years,26.7,32.6,"Rate per 1,000 People"
