financial_year,sending_location,age_group,nursing_care_provision,number_nc_provision,propn_nc_provision
2018/19,Renfrewshire,85+ years,Stays with Nursing Provision,490,68.1
2018/19,Renfrewshire,85+ years,Stays with no Nursing Provision,230,31.9
2018/19,Renfrewshire,Unknown,Stays with Nursing Provision,10,100
2018/19,Renfrewshire,Unknown,Stays with no Nursing Provision,0,0
2018/19,Scottish Borders,All Ages,Stays with Nursing Provision,395,40.3
2018/19,Scottish Borders,All Ages,Stays with no Nursing Provision,585,59.7
2018/19,Scottish Borders,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Scottish Borders,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Scottish Borders,18-64 years,Stays with Nursing Provision,10,25
2018/19,Scottish Borders,18-64 years,Stays with no Nursing Provision,30,75
2018/19,Scottish Borders,65-74 years,Stays with Nursing Provision,35,46.7
2018/19,Scottish Borders,65-74 years,Stays with no Nursing Provision,40,53.3
2018/19,Scottish Borders,75-84 years,Stays with Nursing Provision,115,42.6
2018/19,Scottish Borders,75-84 years,Stays with no Nursing Provision,155,57.4
2018/19,Scottish Borders,85+ years,Stays with Nursing Provision,235,39.2
2018/19,Scottish Borders,85+ years,Stays with no Nursing Provision,365,60.8
2018/19,Scottish Borders,Unknown,Stays with Nursing Provision,0,NA
2018/19,Scottish Borders,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Shetland Islands,All Ages,Stays with Nursing Provision,0,0
2018/19,Shetland Islands,All Ages,Stays with no Nursing Provision,210,100
2018/19,Shetland Islands,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Shetland Islands,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Shetland Islands,18-64 years,Stays with Nursing Provision,0,0
2018/19,Shetland Islands,18-64 years,Stays with no Nursing Provision,10,100
2018/19,Shetland Islands,65-74 years,Stays with Nursing Provision,0,0
2018/19,Shetland Islands,65-74 years,Stays with no Nursing Provision,25,100
2018/19,Shetland Islands,75-84 years,Stays with Nursing Provision,0,0
2018/19,Shetland Islands,75-84 years,Stays with no Nursing Provision,60,100
2018/19,Shetland Islands,85+ years,Stays with Nursing Provision,0,0
2018/19,Shetland Islands,85+ years,Stays with no Nursing Provision,110,100
2018/19,Shetland Islands,Unknown,Stays with Nursing Provision,0,NA
2018/19,Shetland Islands,Unknown,Stays with no Nursing Provision,0,NA
2018/19,South Ayrshire,All Ages,Stays with Nursing Provision,1290,98.9
2018/19,South Ayrshire,All Ages,Stays with no Nursing Provision,15,1.1
2018/19,South Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,South Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,South Ayrshire,18-64 years,Stays with Nursing Provision,75,93.8
2018/19,South Ayrshire,18-64 years,Stays with no Nursing Provision,5,6.2
2018/19,South Ayrshire,65-74 years,Stays with Nursing Provision,125,100
2018/19,South Ayrshire,65-74 years,Stays with no Nursing Provision,0,0
2018/19,South Ayrshire,75-84 years,Stays with Nursing Provision,395,98.8
2018/19,South Ayrshire,75-84 years,Stays with no Nursing Provision,5,1.2
2018/19,South Ayrshire,85+ years,Stays with Nursing Provision,700,99.3
2018/19,South Ayrshire,85+ years,Stays with no Nursing Provision,5,0.7
2018/19,South Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,South Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,South Lanarkshire,All Ages,Stays with Nursing Provision,2110,79.8
2018/19,South Lanarkshire,All Ages,Stays with no Nursing Provision,535,20.2
2018/19,South Lanarkshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,South Lanarkshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,South Lanarkshire,18-64 years,Stays with Nursing Provision,160,64
2018/19,South Lanarkshire,18-64 years,Stays with no Nursing Provision,90,36
2018/19,South Lanarkshire,65-74 years,Stays with Nursing Provision,235,82.5
2018/19,South Lanarkshire,65-74 years,Stays with no Nursing Provision,50,17.5
2018/19,South Lanarkshire,75-84 years,Stays with Nursing Provision,640,79.5
2018/19,South Lanarkshire,75-84 years,Stays with no Nursing Provision,165,20.5
2018/19,South Lanarkshire,85+ years,Stays with Nursing Provision,1075,82.1
2018/19,South Lanarkshire,85+ years,Stays with no Nursing Provision,235,17.9
2018/19,South Lanarkshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,South Lanarkshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Stirling,All Ages,Stays with Nursing Provision,270,34.8
2018/19,Stirling,All Ages,Stays with no Nursing Provision,505,65.2
2018/19,Stirling,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Stirling,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Stirling,18-64 years,Stays with Nursing Provision,20,21.1
2018/19,Stirling,18-64 years,Stays with no Nursing Provision,75,78.9
2018/19,Stirling,65-74 years,Stays with Nursing Provision,25,38.5
2018/19,Stirling,65-74 years,Stays with no Nursing Provision,40,61.5
2018/19,Stirling,75-84 years,Stays with Nursing Provision,100,42.6
2018/19,Stirling,75-84 years,Stays with no Nursing Provision,135,57.4
2018/19,Stirling,85+ years,Stays with Nursing Provision,130,34.2
2018/19,Stirling,85+ years,Stays with no Nursing Provision,250,65.8
2018/19,Stirling,Unknown,Stays with Nursing Provision,0,NA
2018/19,Stirling,Unknown,Stays with no Nursing Provision,0,NA
2018/19,West Dunbartonshire,All Ages,Stays with Nursing Provision,495,57.9
2018/19,West Dunbartonshire,All Ages,Stays with no Nursing Provision,360,42.1
2018/19,West Dunbartonshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,West Dunbartonshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,West Dunbartonshire,18-64 years,Stays with Nursing Provision,45,69.2
2018/19,West Dunbartonshire,18-64 years,Stays with no Nursing Provision,20,30.8
2018/19,West Dunbartonshire,65-74 years,Stays with Nursing Provision,60,63.2
2018/19,West Dunbartonshire,65-74 years,Stays with no Nursing Provision,35,36.8
2018/19,West Dunbartonshire,75-84 years,Stays with Nursing Provision,185,66.1
2018/19,West Dunbartonshire,75-84 years,Stays with no Nursing Provision,95,33.9
2018/19,West Dunbartonshire,85+ years,Stays with Nursing Provision,205,49.4
2018/19,West Dunbartonshire,85+ years,Stays with no Nursing Provision,210,50.6
2018/19,West Dunbartonshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,West Dunbartonshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,West Lothian,All Ages,Stays with Nursing Provision,855,74
2018/19,West Lothian,All Ages,Stays with no Nursing Provision,300,26
2018/19,West Lothian,0-17 years,Stays with Nursing Provision,0,NA
2018/19,West Lothian,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,West Lothian,18-64 years,Stays with Nursing Provision,55,40.7
2018/19,West Lothian,18-64 years,Stays with no Nursing Provision,80,59.3
2018/19,West Lothian,65-74 years,Stays with Nursing Provision,80,66.7
2018/19,West Lothian,65-74 years,Stays with no Nursing Provision,40,33.3
2018/19,West Lothian,75-84 years,Stays with Nursing Provision,315,80.8
2018/19,West Lothian,75-84 years,Stays with no Nursing Provision,75,19.2
2018/19,West Lothian,85+ years,Stays with Nursing Provision,405,78.6
2018/19,West Lothian,85+ years,Stays with no Nursing Provision,110,21.4
2018/19,West Lothian,Unknown,Stays with Nursing Provision,0,NA
2018/19,West Lothian,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Scotland (All Areas Submitted),All Ages,Stays with Nursing Provision,27360,61.3
2019/20,Scotland (All Areas Submitted),All Ages,Stays with no Nursing Provision,17275,38.7
2019/20,Scotland (All Areas Submitted),0-17 years,Stays with Nursing Provision,0,0
2019/20,Scotland (All Areas Submitted),0-17 years,Stays with no Nursing Provision,20,100
2019/20,Scotland (All Areas Submitted),18-64 years,Stays with Nursing Provision,1920,49.3
2019/20,Scotland (All Areas Submitted),18-64 years,Stays with no Nursing Provision,1975,50.7
2019/20,Scotland (All Areas Submitted),65-74 years,Stays with Nursing Provision,3175,67.4
2019/20,Scotland (All Areas Submitted),65-74 years,Stays with no Nursing Provision,1535,32.6
2019/20,Scotland (All Areas Submitted),75-84 years,Stays with Nursing Provision,8735,65
2019/20,Scotland (All Areas Submitted),75-84 years,Stays with no Nursing Provision,4700,35
2019/20,Scotland (All Areas Submitted),85+ years,Stays with Nursing Provision,13520,59.9
2019/20,Scotland (All Areas Submitted),85+ years,Stays with no Nursing Provision,9040,40.1
2019/20,Scotland (All Areas Submitted),Unknown,Stays with Nursing Provision,10,66.7
2019/20,Scotland (All Areas Submitted),Unknown,Stays with no Nursing Provision,5,33.3
2019/20,Aberdeenshire,All Ages,Stays with Nursing Provision,1490,62.7
2019/20,Aberdeenshire,All Ages,Stays with no Nursing Provision,885,37.3
2019/20,Aberdeenshire,0-17 years,Stays with Nursing Provision,0,0
2019/20,Aberdeenshire,0-17 years,Stays with no Nursing Provision,5,100
2019/20,Aberdeenshire,18-64 years,Stays with Nursing Provision,50,20
2019/20,Aberdeenshire,18-64 years,Stays with no Nursing Provision,200,80
2019/20,Aberdeenshire,65-74 years,Stays with Nursing Provision,155,66
2019/20,Aberdeenshire,65-74 years,Stays with no Nursing Provision,80,34
2019/20,Aberdeenshire,75-84 years,Stays with Nursing Provision,490,71.5
2019/20,Aberdeenshire,75-84 years,Stays with no Nursing Provision,195,28.5
2019/20,Aberdeenshire,85+ years,Stays with Nursing Provision,795,66
2019/20,Aberdeenshire,85+ years,Stays with no Nursing Provision,410,34
2019/20,Aberdeenshire,Unknown,Stays with Nursing Provision,0,NA
2019/20,Aberdeenshire,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Angus,All Ages,Stays with Nursing Provision,460,36.5
2019/20,Angus,All Ages,Stays with no Nursing Provision,800,63.5
2019/20,Angus,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Angus,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Angus,18-64 years,Stays with Nursing Provision,15,15.8
2019/20,Angus,18-64 years,Stays with no Nursing Provision,80,84.2
2019/20,Angus,65-74 years,Stays with Nursing Provision,60,54.5
2019/20,Angus,65-74 years,Stays with no Nursing Provision,50,45.5
2019/20,Angus,75-84 years,Stays with Nursing Provision,160,43.2
2019/20,Angus,75-84 years,Stays with no Nursing Provision,210,56.8
2019/20,Angus,85+ years,Stays with Nursing Provision,225,32.6
2019/20,Angus,85+ years,Stays with no Nursing Provision,465,67.4
2019/20,Angus,Unknown,Stays with Nursing Provision,0,NA
2019/20,Angus,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Argyll and Bute,All Ages,Stays with Nursing Provision,360,44.4
2019/20,Argyll and Bute,All Ages,Stays with no Nursing Provision,450,55.6
2019/20,Argyll and Bute,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Argyll and Bute,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Argyll and Bute,18-64 years,Stays with Nursing Provision,15,21.4
2019/20,Argyll and Bute,18-64 years,Stays with no Nursing Provision,55,78.6
2019/20,Argyll and Bute,65-74 years,Stays with Nursing Provision,45,52.9
2019/20,Argyll and Bute,65-74 years,Stays with no Nursing Provision,40,47.1
2019/20,Argyll and Bute,75-84 years,Stays with Nursing Provision,115,47.9
2019/20,Argyll and Bute,75-84 years,Stays with no Nursing Provision,125,52.1
2019/20,Argyll and Bute,85+ years,Stays with Nursing Provision,185,44.6
2019/20,Argyll and Bute,85+ years,Stays with no Nursing Provision,230,55.4
2019/20,Argyll and Bute,Unknown,Stays with Nursing Provision,0,NA
2019/20,Argyll and Bute,Unknown,Stays with no Nursing Provision,0,NA
2019/20,City of Edinburgh,All Ages,Stays with Nursing Provision,2010,53.7
2019/20,City of Edinburgh,All Ages,Stays with no Nursing Provision,1735,46.3
2019/20,City of Edinburgh,0-17 years,Stays with Nursing Provision,0,NA
2019/20,City of Edinburgh,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,City of Edinburgh,18-64 years,Stays with Nursing Provision,230,90.2
2019/20,City of Edinburgh,18-64 years,Stays with no Nursing Provision,25,9.8
2019/20,City of Edinburgh,65-74 years,Stays with Nursing Provision,210,60
2019/20,City of Edinburgh,65-74 years,Stays with no Nursing Provision,140,40
2019/20,City of Edinburgh,75-84 years,Stays with Nursing Provision,505,49.5
2019/20,City of Edinburgh,75-84 years,Stays with no Nursing Provision,515,50.5
2019/20,City of Edinburgh,85+ years,Stays with Nursing Provision,1065,50.4
2019/20,City of Edinburgh,85+ years,Stays with no Nursing Provision,1050,49.6
2019/20,City of Edinburgh,Unknown,Stays with Nursing Provision,0,NA
2019/20,City of Edinburgh,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Clackmannanshire,All Ages,Stays with Nursing Provision,245,61.3
2019/20,Clackmannanshire,All Ages,Stays with no Nursing Provision,155,38.8
2019/20,Clackmannanshire,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Clackmannanshire,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Clackmannanshire,18-64 years,Stays with Nursing Provision,20,30.8
2019/20,Clackmannanshire,18-64 years,Stays with no Nursing Provision,45,69.2
2019/20,Clackmannanshire,65-74 years,Stays with Nursing Provision,30,66.7
2019/20,Clackmannanshire,65-74 years,Stays with no Nursing Provision,15,33.3
2019/20,Clackmannanshire,75-84 years,Stays with Nursing Provision,90,66.7
2019/20,Clackmannanshire,75-84 years,Stays with no Nursing Provision,45,33.3
2019/20,Clackmannanshire,85+ years,Stays with Nursing Provision,105,67.7
2019/20,Clackmannanshire,85+ years,Stays with no Nursing Provision,50,32.3
2019/20,Clackmannanshire,Unknown,Stays with Nursing Provision,0,NA
2019/20,Clackmannanshire,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Dumfries and Galloway,All Ages,Stays with Nursing Provision,190,12.5
2019/20,Dumfries and Galloway,All Ages,Stays with no Nursing Provision,1325,87.5
2019/20,Dumfries and Galloway,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Dumfries and Galloway,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Dumfries and Galloway,18-64 years,Stays with Nursing Provision,25,35.7
2019/20,Dumfries and Galloway,18-64 years,Stays with no Nursing Provision,45,64.3
2019/20,Dumfries and Galloway,65-74 years,Stays with Nursing Provision,20,12.5
2019/20,Dumfries and Galloway,65-74 years,Stays with no Nursing Provision,140,87.5
2019/20,Dumfries and Galloway,75-84 years,Stays with Nursing Provision,55,11.8
2019/20,Dumfries and Galloway,75-84 years,Stays with no Nursing Provision,410,88.2
2019/20,Dumfries and Galloway,85+ years,Stays with Nursing Provision,90,11
2019/20,Dumfries and Galloway,85+ years,Stays with no Nursing Provision,730,89
2019/20,Dumfries and Galloway,Unknown,Stays with Nursing Provision,0,NA
2019/20,Dumfries and Galloway,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Dundee City,All Ages,Stays with Nursing Provision,1050,70
2019/20,Dundee City,All Ages,Stays with no Nursing Provision,450,30
2019/20,Dundee City,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Dundee City,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Dundee City,18-64 years,Stays with Nursing Provision,65,59.1
2019/20,Dundee City,18-64 years,Stays with no Nursing Provision,45,40.9
2019/20,Dundee City,65-74 years,Stays with Nursing Provision,125,78.1
2019/20,Dundee City,65-74 years,Stays with no Nursing Provision,35,21.9
2019/20,Dundee City,75-84 years,Stays with Nursing Provision,320,75.3
2019/20,Dundee City,75-84 years,Stays with no Nursing Provision,105,24.7
2019/20,Dundee City,85+ years,Stays with Nursing Provision,535,66.9
2019/20,Dundee City,85+ years,Stays with no Nursing Provision,265,33.1
2019/20,Dundee City,Unknown,Stays with Nursing Provision,0,NA
2019/20,Dundee City,Unknown,Stays with no Nursing Provision,0,NA
2019/20,East Ayrshire,All Ages,Stays with Nursing Provision,715,72.6
2019/20,East Ayrshire,All Ages,Stays with no Nursing Provision,270,27.4
2019/20,East Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2019/20,East Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,East Ayrshire,18-64 years,Stays with Nursing Provision,45,56.2
2019/20,East Ayrshire,18-64 years,Stays with no Nursing Provision,35,43.8
2019/20,East Ayrshire,65-74 years,Stays with Nursing Provision,85,81
2019/20,East Ayrshire,65-74 years,Stays with no Nursing Provision,20,19
2019/20,East Ayrshire,75-84 years,Stays with Nursing Provision,245,73.1
2019/20,East Ayrshire,75-84 years,Stays with no Nursing Provision,90,26.9
2019/20,East Ayrshire,85+ years,Stays with Nursing Provision,340,73.9
2019/20,East Ayrshire,85+ years,Stays with no Nursing Provision,120,26.1
2019/20,East Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2019/20,East Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2019/20,East Dunbartonshire,All Ages,Stays with Nursing Provision,1030,88.8
2019/20,East Dunbartonshire,All Ages,Stays with no Nursing Provision,130,11.2
2019/20,East Dunbartonshire,0-17 years,Stays with Nursing Provision,0,NA
2019/20,East Dunbartonshire,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,East Dunbartonshire,18-64 years,Stays with Nursing Provision,20,44.4
2019/20,East Dunbartonshire,18-64 years,Stays with no Nursing Provision,25,55.6
2019/20,East Dunbartonshire,65-74 years,Stays with Nursing Provision,85,94.4
2019/20,East Dunbartonshire,65-74 years,Stays with no Nursing Provision,5,5.6
2019/20,East Dunbartonshire,75-84 years,Stays with Nursing Provision,325,94.2
2019/20,East Dunbartonshire,75-84 years,Stays with no Nursing Provision,20,5.8
2019/20,East Dunbartonshire,85+ years,Stays with Nursing Provision,595,88.8
2019/20,East Dunbartonshire,85+ years,Stays with no Nursing Provision,75,11.2
2019/20,East Dunbartonshire,Unknown,Stays with Nursing Provision,0,NA
2019/20,East Dunbartonshire,Unknown,Stays with no Nursing Provision,0,NA
2019/20,East Lothian,All Ages,Stays with Nursing Provision,635,67.9
2019/20,East Lothian,All Ages,Stays with no Nursing Provision,300,32.1
2019/20,East Lothian,0-17 years,Stays with Nursing Provision,0,NA
2019/20,East Lothian,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,East Lothian,18-64 years,Stays with Nursing Provision,25,41.7
2019/20,East Lothian,18-64 years,Stays with no Nursing Provision,35,58.3
2019/20,East Lothian,65-74 years,Stays with Nursing Provision,65,72.2
2019/20,East Lothian,65-74 years,Stays with no Nursing Provision,25,27.8
2019/20,East Lothian,75-84 years,Stays with Nursing Provision,205,74.5
2019/20,East Lothian,75-84 years,Stays with no Nursing Provision,70,25.5
2019/20,East Lothian,85+ years,Stays with Nursing Provision,335,66.3
2019/20,East Lothian,85+ years,Stays with no Nursing Provision,170,33.7
2019/20,East Lothian,Unknown,Stays with Nursing Provision,0,NA
2019/20,East Lothian,Unknown,Stays with no Nursing Provision,0,NA
2019/20,East Renfrewshire,All Ages,Stays with Nursing Provision,575,58.7
2019/20,East Renfrewshire,All Ages,Stays with no Nursing Provision,405,41.3
2019/20,East Renfrewshire,0-17 years,Stays with Nursing Provision,0,0
2019/20,East Renfrewshire,0-17 years,Stays with no Nursing Provision,5,100
2019/20,East Renfrewshire,18-64 years,Stays with Nursing Provision,35,70
2019/20,East Renfrewshire,18-64 years,Stays with no Nursing Provision,15,30
2019/20,East Renfrewshire,65-74 years,Stays with Nursing Provision,65,72.2
2019/20,East Renfrewshire,65-74 years,Stays with no Nursing Provision,25,27.8
2019/20,East Renfrewshire,75-84 years,Stays with Nursing Provision,155,62
2019/20,East Renfrewshire,75-84 years,Stays with no Nursing Provision,95,38
2019/20,East Renfrewshire,85+ years,Stays with Nursing Provision,325,54.6
2019/20,East Renfrewshire,85+ years,Stays with no Nursing Provision,270,45.4
2019/20,East Renfrewshire,Unknown,Stays with Nursing Provision,0,NA
2019/20,East Renfrewshire,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Falkirk,All Ages,Stays with Nursing Provision,1005,69.8
2019/20,Falkirk,All Ages,Stays with no Nursing Provision,435,30.2
2019/20,Falkirk,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Falkirk,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Falkirk,18-64 years,Stays with Nursing Provision,70,33.3
2019/20,Falkirk,18-64 years,Stays with no Nursing Provision,140,66.7
2019/20,Falkirk,65-74 years,Stays with Nursing Provision,115,65.7
2019/20,Falkirk,65-74 years,Stays with no Nursing Provision,60,34.3
2019/20,Falkirk,75-84 years,Stays with Nursing Provision,340,76.4
2019/20,Falkirk,75-84 years,Stays with no Nursing Provision,105,23.6
2019/20,Falkirk,85+ years,Stays with Nursing Provision,480,78.7
2019/20,Falkirk,85+ years,Stays with no Nursing Provision,130,21.3
2019/20,Falkirk,Unknown,Stays with Nursing Provision,0,NA
2019/20,Falkirk,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Fife,All Ages,Stays with Nursing Provision,1945,57
2019/20,Fife,All Ages,Stays with no Nursing Provision,1465,43
2019/20,Fife,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Fife,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Fife,18-64 years,Stays with Nursing Provision,205,91.1
2019/20,Fife,18-64 years,Stays with no Nursing Provision,20,8.9
2019/20,Fife,65-74 years,Stays with Nursing Provision,260,70.3
2019/20,Fife,65-74 years,Stays with no Nursing Provision,110,29.7
2019/20,Fife,75-84 years,Stays with Nursing Provision,635,60.2
2019/20,Fife,75-84 years,Stays with no Nursing Provision,420,39.8
2019/20,Fife,85+ years,Stays with Nursing Provision,845,48
2019/20,Fife,85+ years,Stays with no Nursing Provision,915,52
2019/20,Fife,Unknown,Stays with Nursing Provision,0,NA
2019/20,Fife,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Glasgow City,All Ages,Stays with Nursing Provision,2600,49.1
2019/20,Glasgow City,All Ages,Stays with no Nursing Provision,2700,50.9
2019/20,Glasgow City,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Glasgow City,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Glasgow City,18-64 years,Stays with Nursing Provision,305,39.1
2019/20,Glasgow City,18-64 years,Stays with no Nursing Provision,475,60.9
2019/20,Glasgow City,65-74 years,Stays with Nursing Provision,380,54.3
2019/20,Glasgow City,65-74 years,Stays with no Nursing Provision,320,45.7
2019/20,Glasgow City,75-84 years,Stays with Nursing Provision,800,50
2019/20,Glasgow City,75-84 years,Stays with no Nursing Provision,800,50
2019/20,Glasgow City,85+ years,Stays with Nursing Provision,1115,50.2
2019/20,Glasgow City,85+ years,Stays with no Nursing Provision,1105,49.8
2019/20,Glasgow City,Unknown,Stays with Nursing Provision,0,NA
2019/20,Glasgow City,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Highland,All Ages,Stays with Nursing Provision,1070,45.6
2019/20,Highland,All Ages,Stays with no Nursing Provision,1275,54.4
2019/20,Highland,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Highland,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Highland,18-64 years,Stays with Nursing Provision,115,56.1
2019/20,Highland,18-64 years,Stays with no Nursing Provision,90,43.9
2019/20,Highland,65-74 years,Stays with Nursing Provision,145,63
2019/20,Highland,65-74 years,Stays with no Nursing Provision,85,37
2019/20,Highland,75-84 years,Stays with Nursing Provision,355,52.6
2019/20,Highland,75-84 years,Stays with no Nursing Provision,320,47.4
2019/20,Highland,85+ years,Stays with Nursing Provision,450,36.7
2019/20,Highland,85+ years,Stays with no Nursing Provision,775,63.3
2019/20,Highland,Unknown,Stays with Nursing Provision,0,NA
2019/20,Highland,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Inverclyde,All Ages,Stays with Nursing Provision,755,88.3
2019/20,Inverclyde,All Ages,Stays with no Nursing Provision,100,11.7
2019/20,Inverclyde,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Inverclyde,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Inverclyde,18-64 years,Stays with Nursing Provision,25,38.5
2019/20,Inverclyde,18-64 years,Stays with no Nursing Provision,40,61.5
2019/20,Inverclyde,65-74 years,Stays with Nursing Provision,80,84.2
2019/20,Inverclyde,65-74 years,Stays with no Nursing Provision,15,15.8
2019/20,Inverclyde,75-84 years,Stays with Nursing Provision,255,92.7
2019/20,Inverclyde,75-84 years,Stays with no Nursing Provision,20,7.3
2019/20,Inverclyde,85+ years,Stays with Nursing Provision,395,95.2
2019/20,Inverclyde,85+ years,Stays with no Nursing Provision,20,4.8
2019/20,Inverclyde,Unknown,Stays with Nursing Provision,0,NA
2019/20,Inverclyde,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Midlothian,All Ages,Stays with Nursing Provision,490,74.8
2019/20,Midlothian,All Ages,Stays with no Nursing Provision,165,25.2
2019/20,Midlothian,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Midlothian,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Midlothian,18-64 years,Stays with Nursing Provision,25,45.5
2019/20,Midlothian,18-64 years,Stays with no Nursing Provision,30,54.5
2019/20,Midlothian,65-74 years,Stays with Nursing Provision,55,78.6
2019/20,Midlothian,65-74 years,Stays with no Nursing Provision,15,21.4
2019/20,Midlothian,75-84 years,Stays with Nursing Provision,165,80.5
2019/20,Midlothian,75-84 years,Stays with no Nursing Provision,40,19.5
2019/20,Midlothian,85+ years,Stays with Nursing Provision,245,75.4
2019/20,Midlothian,85+ years,Stays with no Nursing Provision,80,24.6
2019/20,Midlothian,Unknown,Stays with Nursing Provision,0,NA
2019/20,Midlothian,Unknown,Stays with no Nursing Provision,0,NA
2019/20,Moray,All Ages,Stays with Nursing Provision,275,35.3
2019/20,Moray,All Ages,Stays with no Nursing Provision,505,64.7
2019/20,Moray,0-17 years,Stays with Nursing Provision,0,NA
2019/20,Moray,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,Moray,18-64 years,Stays with Nursing Provision,30,31.6
2019/20,Moray,18-64 years,Stays with no Nursing Provision,65,68.4
2019/20,Moray,65-74 years,Stays with Nursing Provision,40,53.3
2019/20,Moray,65-74 years,Stays with no Nursing Provision,35,46.7
2019/20,Moray,75-84 years,Stays with Nursing Provision,90,38.3
2019/20,Moray,75-84 years,Stays with no Nursing Provision,145,61.7
2019/20,Moray,85+ years,Stays with Nursing Provision,120,31.6
2019/20,Moray,85+ years,Stays with no Nursing Provision,260,68.4
2019/20,Moray,Unknown,Stays with Nursing Provision,0,NA
2019/20,Moray,Unknown,Stays with no Nursing Provision,0,NA
2019/20,North Ayrshire,All Ages,Stays with Nursing Provision,720,58.3
2019/20,North Ayrshire,All Ages,Stays with no Nursing Provision,515,41.7
2019/20,North Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2019/20,North Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2019/20,North Ayrshire,18-64 years,Stays with Nursing Provision,35,36.8
2019/20,North Ayrshire,18-64 years,Stays with no Nursing Provision,60,63.2
2019/20,North Ayrshire,65-74 years,Stays with Nursing Provision,95,70.4
2019/20,North Ayrshire,65-74 years,Stays with no Nursing Provision,40,29.6
2019/20,North Ayrshire,75-84 years,Stays with Nursing Provision,270,69.2
2019/20,North Ayrshire,75-84 years,Stays with no Nursing Provision,120,30.8
2019/20,North Ayrshire,85+ years,Stays with Nursing Provision,320,52
2019/20,North Ayrshire,85+ years,Stays with no Nursing Provision,295,48
2019/20,North Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2019/20,North Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2019/20,North Lanarkshire,All Ages,Stays with Nursing Provision,1930,95.8
2019/20,North Lanarkshire,All Ages,Stays with no Nursing Provision,85,4.2
2019/20,North Lanarkshire,0-17 years,Stays with Nursing Provision,0,NA
2019/20,North Lanarkshire,0-17 years,Stays with no Nursing Provision,0,NA
