financial_year,sending_location,age_group,stay_type,measure,value,value_scotland
2019/20,Aberdeenshire,65-74 years,Long Stay,"Rate per 1,000 People",8,8.1
2019/20,Aberdeenshire,65-74 years,Long Stay,Number of People,235,4665
2019/20,Aberdeenshire,75-84 years,All Stays,"Rate per 1,000 People",51.3,44.8
2019/20,Aberdeenshire,75-84 years,All Stays,Number of People,815,15185
2019/20,Aberdeenshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",12.6,9.2
2019/20,Aberdeenshire,75-84 years,Short Stay / Respite,Number of People,200,3110
2019/20,Aberdeenshire,75-84 years,Long Stay,"Rate per 1,000 People",42.8,39.3
2019/20,Aberdeenshire,75-84 years,Long Stay,Number of People,680,13320
2019/20,Aberdeenshire,85+ years,All Stays,"Rate per 1,000 People",236.9,194.4
2019/20,Aberdeenshire,85+ years,All Stays,Number of People,1360,24705
2019/20,Aberdeenshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",48.8,31
2019/20,Aberdeenshire,85+ years,Short Stay / Respite,Number of People,280,3935
2019/20,Aberdeenshire,85+ years,Long Stay,"Rate per 1,000 People",209,176.6
2019/20,Aberdeenshire,85+ years,Long Stay,Number of People,1200,22445
2019/20,Angus,All Ages,All Stays,"Rate per 1,000 People",13.8,9.3
2019/20,Angus,All Ages,All Stays,Number of People,1600,50600
2019/20,Angus,All Ages,Short Stay / Respite,"Rate per 1,000 People",4.7,1.8
2019/20,Angus,All Ages,Short Stay / Respite,Number of People,550,9850
2019/20,Angus,All Ages,Long Stay,"Rate per 1,000 People",10.8,8.1
2019/20,Angus,All Ages,Long Stay,Number of People,1255,44320
2019/20,Angus,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,Angus,0-17 years,All Stays,Number of People,0,80
2019/20,Angus,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,Angus,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,Angus,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,Angus,0-17 years,Long Stay,Number of People,0,20
2019/20,Angus,18-64 years,All Stays,"Rate per 1,000 People",2.1,1.5
2019/20,Angus,18-64 years,All Stays,Number of People,140,5245
2019/20,Angus,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.7,0.5
2019/20,Angus,18-64 years,Short Stay / Respite,Number of People,50,1660
2019/20,Angus,18-64 years,Long Stay,"Rate per 1,000 People",1.4,1.1
2019/20,Angus,18-64 years,Long Stay,Number of People,95,3860
2019/20,Angus,65-74 years,All Stays,"Rate per 1,000 People",10.5,9.3
2019/20,Angus,65-74 years,All Stays,Number of People,160,5365
2019/20,Angus,65-74 years,Short Stay / Respite,"Rate per 1,000 People",4.3,1.9
2019/20,Angus,65-74 years,Short Stay / Respite,Number of People,65,1075
2019/20,Angus,65-74 years,Long Stay,"Rate per 1,000 People",7.2,8.1
2019/20,Angus,65-74 years,Long Stay,Number of People,110,4665
2019/20,Angus,75-84 years,All Stays,"Rate per 1,000 People",50.9,44.8
2019/20,Angus,75-84 years,All Stays,Number of People,460,15185
2019/20,Angus,75-84 years,Short Stay / Respite,"Rate per 1,000 People",17.7,9.2
2019/20,Angus,75-84 years,Short Stay / Respite,Number of People,160,3110
2019/20,Angus,75-84 years,Long Stay,"Rate per 1,000 People",40.4,39.3
2019/20,Angus,75-84 years,Long Stay,Number of People,365,13320
2019/20,Angus,85+ years,All Stays,"Rate per 1,000 People",238.6,194.4
2019/20,Angus,85+ years,All Stays,Number of People,840,24705
2019/20,Angus,85+ years,Short Stay / Respite,"Rate per 1,000 People",76.7,31
2019/20,Angus,85+ years,Short Stay / Respite,Number of People,270,3935
2019/20,Angus,85+ years,Long Stay,"Rate per 1,000 People",194.5,176.6
2019/20,Angus,85+ years,Long Stay,Number of People,685,22445
2019/20,Argyll and Bute,All Ages,All Stays,"Rate per 1,000 People",10,9.3
2019/20,Argyll and Bute,All Ages,All Stays,Number of People,860,50600
2019/20,Argyll and Bute,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.2,1.8
2019/20,Argyll and Bute,All Ages,Short Stay / Respite,Number of People,100,9850
2019/20,Argyll and Bute,All Ages,Long Stay,"Rate per 1,000 People",9.4,8.1
2019/20,Argyll and Bute,All Ages,Long Stay,Number of People,805,44320
2019/20,Argyll and Bute,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,Argyll and Bute,0-17 years,All Stays,Number of People,0,80
2019/20,Argyll and Bute,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,Argyll and Bute,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,Argyll and Bute,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,Argyll and Bute,0-17 years,Long Stay,Number of People,0,20
2019/20,Argyll and Bute,18-64 years,All Stays,"Rate per 1,000 People",1.5,1.5
2019/20,Argyll and Bute,18-64 years,All Stays,Number of People,75,5245
2019/20,Argyll and Bute,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.5
2019/20,Argyll and Bute,18-64 years,Short Stay / Respite,Number of People,10,1660
2019/20,Argyll and Bute,18-64 years,Long Stay,"Rate per 1,000 People",1.4,1.1
2019/20,Argyll and Bute,18-64 years,Long Stay,Number of People,70,3860
2019/20,Argyll and Bute,65-74 years,All Stays,"Rate per 1,000 People",6.9,9.3
2019/20,Argyll and Bute,65-74 years,All Stays,Number of People,85,5365
2019/20,Argyll and Bute,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,1.9
2019/20,Argyll and Bute,65-74 years,Short Stay / Respite,Number of People,10,1075
2019/20,Argyll and Bute,65-74 years,Long Stay,"Rate per 1,000 People",6.5,8.1
2019/20,Argyll and Bute,65-74 years,Long Stay,Number of People,80,4665
2019/20,Argyll and Bute,75-84 years,All Stays,"Rate per 1,000 People",35.3,44.8
2019/20,Argyll and Bute,75-84 years,All Stays,Number of People,260,15185
2019/20,Argyll and Bute,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.7,9.2
2019/20,Argyll and Bute,75-84 years,Short Stay / Respite,Number of People,35,3110
2019/20,Argyll and Bute,75-84 years,Long Stay,"Rate per 1,000 People",32.6,39.3
2019/20,Argyll and Bute,75-84 years,Long Stay,Number of People,240,13320
2019/20,Argyll and Bute,85+ years,All Stays,"Rate per 1,000 People",173.1,194.4
2019/20,Argyll and Bute,85+ years,All Stays,Number of People,440,24705
2019/20,Argyll and Bute,85+ years,Short Stay / Respite,"Rate per 1,000 People",17.7,31
2019/20,Argyll and Bute,85+ years,Short Stay / Respite,Number of People,45,3935
2019/20,Argyll and Bute,85+ years,Long Stay,"Rate per 1,000 People",163.3,176.6
2019/20,Argyll and Bute,85+ years,Long Stay,Number of People,415,22445
2019/20,City of Edinburgh,All Ages,All Stays,"Rate per 1,000 People",7.4,9.3
2019/20,City of Edinburgh,All Ages,All Stays,Number of People,3900,50600
2019/20,City of Edinburgh,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.6,1.8
2019/20,City of Edinburgh,All Ages,Short Stay / Respite,Number of People,305,9850
2019/20,City of Edinburgh,All Ages,Long Stay,"Rate per 1,000 People",7.1,8.1
2019/20,City of Edinburgh,All Ages,Long Stay,Number of People,3735,44320
2019/20,City of Edinburgh,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,City of Edinburgh,0-17 years,All Stays,Number of People,0,80
2019/20,City of Edinburgh,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,City of Edinburgh,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,City of Edinburgh,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,City of Edinburgh,0-17 years,Long Stay,Number of People,0,20
2019/20,City of Edinburgh,18-64 years,All Stays,"Rate per 1,000 People",0.7,1.5
2019/20,City of Edinburgh,18-64 years,All Stays,Number of People,265,5245
2019/20,City of Edinburgh,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0,0.5
2019/20,City of Edinburgh,18-64 years,Short Stay / Respite,Number of People,10,1660
2019/20,City of Edinburgh,18-64 years,Long Stay,"Rate per 1,000 People",0.7,1.1
2019/20,City of Edinburgh,18-64 years,Long Stay,Number of People,260,3860
2019/20,City of Edinburgh,65-74 years,All Stays,"Rate per 1,000 People",8.9,9.3
2019/20,City of Edinburgh,65-74 years,All Stays,Number of People,380,5365
2019/20,City of Edinburgh,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1,1.9
2019/20,City of Edinburgh,65-74 years,Short Stay / Respite,Number of People,45,1075
2019/20,City of Edinburgh,65-74 years,Long Stay,"Rate per 1,000 People",8.2,8.1
2019/20,City of Edinburgh,65-74 years,Long Stay,Number of People,350,4665
2019/20,City of Edinburgh,75-84 years,All Stays,"Rate per 1,000 People",42.9,44.8
2019/20,City of Edinburgh,75-84 years,All Stays,Number of People,1075,15185
2019/20,City of Edinburgh,75-84 years,Short Stay / Respite,"Rate per 1,000 People",5.2,9.2
2019/20,City of Edinburgh,75-84 years,Short Stay / Respite,Number of People,130,3110
2019/20,City of Edinburgh,75-84 years,Long Stay,"Rate per 1,000 People",40.3,39.3
2019/20,City of Edinburgh,75-84 years,Long Stay,Number of People,1010,13320
2019/20,City of Edinburgh,85+ years,All Stays,"Rate per 1,000 People",191.1,194.4
2019/20,City of Edinburgh,85+ years,All Stays,Number of People,2185,24705
2019/20,City of Edinburgh,85+ years,Short Stay / Respite,"Rate per 1,000 People",10.9,31
2019/20,City of Edinburgh,85+ years,Short Stay / Respite,Number of People,125,3935
2019/20,City of Edinburgh,85+ years,Long Stay,"Rate per 1,000 People",185,176.6
2019/20,City of Edinburgh,85+ years,Long Stay,Number of People,2115,22445
2019/20,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",8.8,9.3
2019/20,Clackmannanshire,All Ages,All Stays,Number of People,455,50600
2019/20,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.6,1.8
2019/20,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,85,9850
2019/20,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",7.6,8.1
2019/20,Clackmannanshire,All Ages,Long Stay,Number of People,390,44320
2019/20,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,Clackmannanshire,0-17 years,All Stays,Number of People,0,80
2019/20,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,Clackmannanshire,0-17 years,Long Stay,Number of People,0,20
2019/20,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2.4,1.5
2019/20,Clackmannanshire,18-64 years,All Stays,Number of People,75,5245
2019/20,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3,0.5
2019/20,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,10,1660
2019/20,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2.1,1.1
2019/20,Clackmannanshire,18-64 years,Long Stay,Number of People,65,3860
2019/20,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",8.1,9.3
2019/20,Clackmannanshire,65-74 years,All Stays,Number of People,50,5365
2019/20,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.6,1.9
2019/20,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,10,1075
2019/20,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",7.3,8.1
2019/20,Clackmannanshire,65-74 years,Long Stay,Number of People,45,4665
2019/20,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",47,44.8
2019/20,Clackmannanshire,75-84 years,All Stays,Number of People,155,15185
2019/20,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",10.6,9.2
2019/20,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,35,3110
2019/20,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",39.4,39.3
2019/20,Clackmannanshire,75-84 years,Long Stay,Number of People,130,13320
2019/20,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",170.6,194.4
2019/20,Clackmannanshire,85+ years,All Stays,Number of People,175,24705
2019/20,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",29.2,31
2019/20,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,30,3935
2019/20,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",146.2,176.6
2019/20,Clackmannanshire,85+ years,Long Stay,Number of People,150,22445
2019/20,Dumfries and Galloway,All Ages,All Stays,"Rate per 1,000 People",11.2,9.3
2019/20,Dumfries and Galloway,All Ages,All Stays,Number of People,1665,50600
2019/20,Dumfries and Galloway,All Ages,Short Stay / Respite,"Rate per 1,000 People",2,1.8
2019/20,Dumfries and Galloway,All Ages,Short Stay / Respite,Number of People,295,9850
2019/20,Dumfries and Galloway,All Ages,Long Stay,"Rate per 1,000 People",10.1,8.1
2019/20,Dumfries and Galloway,All Ages,Long Stay,Number of People,1505,44320
2019/20,Dumfries and Galloway,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,Dumfries and Galloway,0-17 years,All Stays,Number of People,0,80
2019/20,Dumfries and Galloway,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,Dumfries and Galloway,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,Dumfries and Galloway,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,Dumfries and Galloway,0-17 years,Long Stay,Number of People,0,20
2019/20,Dumfries and Galloway,18-64 years,All Stays,"Rate per 1,000 People",0.9,1.5
2019/20,Dumfries and Galloway,18-64 years,All Stays,Number of People,75,5245
2019/20,Dumfries and Galloway,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.5
2019/20,Dumfries and Galloway,18-64 years,Short Stay / Respite,Number of People,10,1660
2019/20,Dumfries and Galloway,18-64 years,Long Stay,"Rate per 1,000 People",0.8,1.1
2019/20,Dumfries and Galloway,18-64 years,Long Stay,Number of People,70,3860
2019/20,Dumfries and Galloway,65-74 years,All Stays,"Rate per 1,000 People",8.3,9.3
2019/20,Dumfries and Galloway,65-74 years,All Stays,Number of People,175,5365
2019/20,Dumfries and Galloway,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.4,1.9
2019/20,Dumfries and Galloway,65-74 years,Short Stay / Respite,Number of People,30,1075
2019/20,Dumfries and Galloway,65-74 years,Long Stay,"Rate per 1,000 People",7.6,8.1
2019/20,Dumfries and Galloway,65-74 years,Long Stay,Number of People,160,4665
2019/20,Dumfries and Galloway,75-84 years,All Stays,"Rate per 1,000 People",39.9,44.8
2019/20,Dumfries and Galloway,75-84 years,All Stays,Number of People,515,15185
2019/20,Dumfries and Galloway,75-84 years,Short Stay / Respite,"Rate per 1,000 People",8.9,9.2
2019/20,Dumfries and Galloway,75-84 years,Short Stay / Respite,Number of People,115,3110
2019/20,Dumfries and Galloway,75-84 years,Long Stay,"Rate per 1,000 People",35.7,39.3
2019/20,Dumfries and Galloway,75-84 years,Long Stay,Number of People,460,13320
2019/20,Dumfries and Galloway,85+ years,All Stays,"Rate per 1,000 People",193.2,194.4
2019/20,Dumfries and Galloway,85+ years,All Stays,Number of People,895,24705
2019/20,Dumfries and Galloway,85+ years,Short Stay / Respite,"Rate per 1,000 People",30.2,31
2019/20,Dumfries and Galloway,85+ years,Short Stay / Respite,Number of People,140,3935
2019/20,Dumfries and Galloway,85+ years,Long Stay,"Rate per 1,000 People",175.9,176.6
2019/20,Dumfries and Galloway,85+ years,Long Stay,Number of People,815,22445
2019/20,Dundee City,All Ages,All Stays,"Rate per 1,000 People",11.5,9.3
2019/20,Dundee City,All Ages,All Stays,Number of People,1720,50600
2019/20,Dundee City,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.6,1.8
2019/20,Dundee City,All Ages,Short Stay / Respite,Number of People,395,9850
2019/20,Dundee City,All Ages,Long Stay,"Rate per 1,000 People",9.9,8.1
2019/20,Dundee City,All Ages,Long Stay,Number of People,1485,44320
2019/20,Dundee City,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,Dundee City,0-17 years,All Stays,Number of People,0,80
2019/20,Dundee City,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,Dundee City,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,Dundee City,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,Dundee City,0-17 years,Long Stay,Number of People,0,20
2019/20,Dundee City,18-64 years,All Stays,"Rate per 1,000 People",2,1.5
2019/20,Dundee City,18-64 years,All Stays,Number of People,195,5245
2019/20,Dundee City,18-64 years,Short Stay / Respite,"Rate per 1,000 People",1,0.5
2019/20,Dundee City,18-64 years,Short Stay / Respite,Number of People,100,1660
2019/20,Dundee City,18-64 years,Long Stay,"Rate per 1,000 People",1.1,1.1
2019/20,Dundee City,18-64 years,Long Stay,Number of People,110,3860
2019/20,Dundee City,65-74 years,All Stays,"Rate per 1,000 People",13.4,9.3
2019/20,Dundee City,65-74 years,All Stays,Number of People,185,5365
2019/20,Dundee City,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.9,1.9
2019/20,Dundee City,65-74 years,Short Stay / Respite,Number of People,40,1075
2019/20,Dundee City,65-74 years,Long Stay,"Rate per 1,000 People",11.6,8.1
2019/20,Dundee City,65-74 years,Long Stay,Number of People,160,4665
2019/20,Dundee City,75-84 years,All Stays,"Rate per 1,000 People",53.6,44.8
2019/20,Dundee City,75-84 years,All Stays,Number of People,460,15185
2019/20,Dundee City,75-84 years,Short Stay / Respite,"Rate per 1,000 People",11.7,9.2
2019/20,Dundee City,75-84 years,Short Stay / Respite,Number of People,100,3110
2019/20,Dundee City,75-84 years,Long Stay,"Rate per 1,000 People",48.4,39.3
2019/20,Dundee City,75-84 years,Long Stay,Number of People,415,13320
2019/20,Dundee City,85+ years,All Stays,"Rate per 1,000 People",237.3,194.4
2019/20,Dundee City,85+ years,All Stays,Number of People,875,24705
2019/20,Dundee City,85+ years,Short Stay / Respite,"Rate per 1,000 People",43.4,31
2019/20,Dundee City,85+ years,Short Stay / Respite,Number of People,160,3935
2019/20,Dundee City,85+ years,Long Stay,"Rate per 1,000 People",216.9,176.6
2019/20,Dundee City,85+ years,Long Stay,Number of People,800,22445
2019/20,East Ayrshire,All Ages,All Stays,"Rate per 1,000 People",8.3,9.3
2019/20,East Ayrshire,All Ages,All Stays,Number of People,1015,50600
2019/20,East Ayrshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.5,1.8
2019/20,East Ayrshire,All Ages,Short Stay / Respite,Number of People,55,9850
2019/20,East Ayrshire,All Ages,Long Stay,"Rate per 1,000 People",8,8.1
2019/20,East Ayrshire,All Ages,Long Stay,Number of People,980,44320
2019/20,East Ayrshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,East Ayrshire,0-17 years,All Stays,Number of People,0,80
2019/20,East Ayrshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,East Ayrshire,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,East Ayrshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,East Ayrshire,0-17 years,Long Stay,Number of People,0,20
2019/20,East Ayrshire,18-64 years,All Stays,"Rate per 1,000 People",1.2,1.5
2019/20,East Ayrshire,18-64 years,All Stays,Number of People,85,5245
2019/20,East Ayrshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.5
2019/20,East Ayrshire,18-64 years,Short Stay / Respite,Number of People,5,1660
2019/20,East Ayrshire,18-64 years,Long Stay,"Rate per 1,000 People",1.1,1.1
2019/20,East Ayrshire,18-64 years,Long Stay,Number of People,80,3860
2019/20,East Ayrshire,65-74 years,All Stays,"Rate per 1,000 People",7.7,9.3
2019/20,East Ayrshire,65-74 years,All Stays,Number of People,110,5365
2019/20,East Ayrshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.4,1.9
2019/20,East Ayrshire,65-74 years,Short Stay / Respite,Number of People,5,1075
2019/20,East Ayrshire,65-74 years,Long Stay,"Rate per 1,000 People",7.4,8.1
2019/20,East Ayrshire,65-74 years,Long Stay,Number of People,105,4665
2019/20,East Ayrshire,75-84 years,All Stays,"Rate per 1,000 People",43.2,44.8
2019/20,East Ayrshire,75-84 years,All Stays,Number of People,345,15185
2019/20,East Ayrshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.1,9.2
2019/20,East Ayrshire,75-84 years,Short Stay / Respite,Number of People,25,3110
2019/20,East Ayrshire,75-84 years,Long Stay,"Rate per 1,000 People",41.3,39.3
2019/20,East Ayrshire,75-84 years,Long Stay,Number of People,330,13320
2019/20,East Ayrshire,85+ years,All Stays,"Rate per 1,000 People",177.6,194.4
2019/20,East Ayrshire,85+ years,All Stays,Number of People,480,24705
2019/20,East Ayrshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",9.3,31
2019/20,East Ayrshire,85+ years,Short Stay / Respite,Number of People,25,3935
2019/20,East Ayrshire,85+ years,Long Stay,"Rate per 1,000 People",170.2,176.6
2019/20,East Ayrshire,85+ years,Long Stay,Number of People,460,22445
2019/20,East Dunbartonshire,All Ages,All Stays,"Rate per 1,000 People",12.3,9.3
2019/20,East Dunbartonshire,All Ages,All Stays,Number of People,1335,50600
2019/20,East Dunbartonshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.7,1.8
2019/20,East Dunbartonshire,All Ages,Short Stay / Respite,Number of People,295,9850
2019/20,East Dunbartonshire,All Ages,Long Stay,"Rate per 1,000 People",10.6,8.1
2019/20,East Dunbartonshire,All Ages,Long Stay,Number of People,1155,44320
2019/20,East Dunbartonshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,East Dunbartonshire,0-17 years,All Stays,Number of People,0,80
2019/20,East Dunbartonshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,East Dunbartonshire,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,East Dunbartonshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,East Dunbartonshire,0-17 years,Long Stay,Number of People,0,20
2019/20,East Dunbartonshire,18-64 years,All Stays,"Rate per 1,000 People",2.2,1.5
2019/20,East Dunbartonshire,18-64 years,All Stays,Number of People,135,5245
2019/20,East Dunbartonshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",1.4,0.5
2019/20,East Dunbartonshire,18-64 years,Short Stay / Respite,Number of People,90,1660
2019/20,East Dunbartonshire,18-64 years,Long Stay,"Rate per 1,000 People",0.8,1.1
2019/20,East Dunbartonshire,18-64 years,Long Stay,Number of People,50,3860
2019/20,East Dunbartonshire,65-74 years,All Stays,"Rate per 1,000 People",8.2,9.3
2019/20,East Dunbartonshire,65-74 years,All Stays,Number of People,105,5365
2019/20,East Dunbartonshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.4,1.9
2019/20,East Dunbartonshire,65-74 years,Short Stay / Respite,Number of People,30,1075
2019/20,East Dunbartonshire,65-74 years,Long Stay,"Rate per 1,000 People",7.1,8.1
2019/20,East Dunbartonshire,65-74 years,Long Stay,Number of People,90,4665
2019/20,East Dunbartonshire,75-84 years,All Stays,"Rate per 1,000 People",44.8,44.8
2019/20,East Dunbartonshire,75-84 years,All Stays,Number of People,375,15185
2019/20,East Dunbartonshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",7.8,9.2
2019/20,East Dunbartonshire,75-84 years,Short Stay / Respite,Number of People,65,3110
2019/20,East Dunbartonshire,75-84 years,Long Stay,"Rate per 1,000 People",41.8,39.3
2019/20,East Dunbartonshire,75-84 years,Long Stay,Number of People,350,13320
2019/20,East Dunbartonshire,85+ years,All Stays,"Rate per 1,000 People",216.2,194.4
2019/20,East Dunbartonshire,85+ years,All Stays,Number of People,725,24705
2019/20,East Dunbartonshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",32.8,31
2019/20,East Dunbartonshire,85+ years,Short Stay / Respite,Number of People,110,3935
2019/20,East Dunbartonshire,85+ years,Long Stay,"Rate per 1,000 People",199.8,176.6
2019/20,East Dunbartonshire,85+ years,Long Stay,Number of People,670,22445
2019/20,East Lothian,All Ages,All Stays,"Rate per 1,000 People",9.7,9.3
2019/20,East Lothian,All Ages,All Stays,Number of People,1040,50600
2019/20,East Lothian,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.4,1.8
2019/20,East Lothian,All Ages,Short Stay / Respite,Number of People,155,9850
2019/20,East Lothian,All Ages,Long Stay,"Rate per 1,000 People",8.7,8.1
2019/20,East Lothian,All Ages,Long Stay,Number of People,935,44320
2019/20,East Lothian,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2019/20,East Lothian,0-17 years,All Stays,Number of People,0,80
2019/20,East Lothian,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0.1
2019/20,East Lothian,0-17 years,Short Stay / Respite,Number of People,0,65
2019/20,East Lothian,0-17 years,Long Stay,"Rate per 1,000 People",0,0
2019/20,East Lothian,0-17 years,Long Stay,Number of People,0,20
2019/20,East Lothian,18-64 years,All Stays,"Rate per 1,000 People",1.2,1.5
2019/20,East Lothian,18-64 years,All Stays,Number of People,75,5245
2019/20,East Lothian,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.5
2019/20,East Lothian,18-64 years,Short Stay / Respite,Number of People,15,1660
2019/20,East Lothian,18-64 years,Long Stay,"Rate per 1,000 People",0.9,1.1
2019/20,East Lothian,18-64 years,Long Stay,Number of People,60,3860
2019/20,East Lothian,65-74 years,All Stays,"Rate per 1,000 People",9.3,9.3
2019/20,East Lothian,65-74 years,All Stays,Number of People,110,5365
2019/20,East Lothian,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.1,1.9
2019/20,East Lothian,65-74 years,Short Stay / Respite,Number of People,25,1075
2019/20,East Lothian,65-74 years,Long Stay,"Rate per 1,000 People",8,8.1
2019/20,East Lothian,65-74 years,Long Stay,Number of People,95,4665
2019/20,East Lothian,75-84 years,All Stays,"Rate per 1,000 People",43.9,44.8
2019/20,East Lothian,75-84 years,All Stays,Number of People,315,15185
2019/20,East Lothian,75-84 years,Short Stay / Respite,"Rate per 1,000 People",8.4,9.2
2019/20,East Lothian,75-84 years,Short Stay / Respite,Number of People,60,3110
2019/20,East Lothian,75-84 years,Long Stay,"Rate per 1,000 People",38.3,39.3
2019/20,East Lothian,75-84 years,Long Stay,Number of People,275,13320
2019/20,East Lothian,85+ years,All Stays,"Rate per 1,000 People",200.7,194.4
2019/20,East Lothian,85+ years,All Stays,Number of People,540,24705
2019/20,East Lothian,85+ years,Short Stay / Respite,"Rate per 1,000 People",20.4,31
2019/20,East Lothian,85+ years,Short Stay / Respite,Number of People,55,3935
2019/20,East Lothian,85+ years,Long Stay,"Rate per 1,000 People",187.7,176.6
2019/20,East Lothian,85+ years,Long Stay,Number of People,505,22445
2019/20,East Renfrewshire,All Ages,All Stays,"Rate per 1,000 People",11.5,9.3
2019/20,East Renfrewshire,All Ages,All Stays,Number of People,1100,50600
2019/20,East Renfrewshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.4,1.8
2019/20,East Renfrewshire,All Ages,Short Stay / Respite,Number of People,225,9850
2019/20,East Renfrewshire,All Ages,Long Stay,"Rate per 1,000 People",10.2,8.1
2019/20,East Renfrewshire,All Ages,Long Stay,Number of People,975,44320
2019/20,East Renfrewshire,0-17 years,All Stays,"Rate per 1,000 People",0.2,0.1
2019/20,East Renfrewshire,0-17 years,All Stays,Number of People,5,80
