financial_year,sending_location,age_group,cah_status,percentage,nclient
2020/21,Highland,85+ years,No Care at Home Service Received,59.4,870
2021/22,Highland,All Ages,Care at Home Service Received,35.1,1215
2021/22,Highland,All Ages,No Care at Home Service Received,64.9,2250
2021/22,Highland,0-17 years,Care at Home Service Received,0,0
2021/22,Highland,0-17 years,No Care at Home Service Received,100,45
2021/22,Highland,18-64 years,Care at Home Service Received,19,75
2021/22,Highland,18-64 years,No Care at Home Service Received,81,320
2021/22,Highland,65-74 years,Care at Home Service Received,32.9,120
2021/22,Highland,65-74 years,No Care at Home Service Received,67.1,245
2021/22,Highland,75-84 years,Care at Home Service Received,34.5,380
2021/22,Highland,75-84 years,No Care at Home Service Received,65.5,720
2021/22,Highland,85+ years,Care at Home Service Received,41,640
2021/22,Highland,85+ years,No Care at Home Service Received,59,920
2018/19,Inverclyde,All Ages,Care at Home Service Received,41.9,1305
2018/19,Inverclyde,All Ages,No Care at Home Service Received,58.1,1810
2018/19,Inverclyde,0-17 years,Care at Home Service Received,NA,0
2018/19,Inverclyde,0-17 years,No Care at Home Service Received,NA,0
2018/19,Inverclyde,18-64 years,Care at Home Service Received,23.5,115
2018/19,Inverclyde,18-64 years,No Care at Home Service Received,76.5,375
2018/19,Inverclyde,65-74 years,Care at Home Service Received,39.6,210
2018/19,Inverclyde,65-74 years,No Care at Home Service Received,60.4,320
2018/19,Inverclyde,75-84 years,Care at Home Service Received,43.2,475
2018/19,Inverclyde,75-84 years,No Care at Home Service Received,56.8,625
2018/19,Inverclyde,85+ years,Care at Home Service Received,51,505
2018/19,Inverclyde,85+ years,No Care at Home Service Received,49,485
2019/20,Inverclyde,All Ages,Care at Home Service Received,48.2,1275
2019/20,Inverclyde,All Ages,No Care at Home Service Received,51.8,1370
2019/20,Inverclyde,0-17 years,Care at Home Service Received,NA,0
2019/20,Inverclyde,0-17 years,No Care at Home Service Received,NA,0
2019/20,Inverclyde,18-64 years,Care at Home Service Received,26.3,100
2019/20,Inverclyde,18-64 years,No Care at Home Service Received,73.7,280
2019/20,Inverclyde,65-74 years,Care at Home Service Received,47.6,200
2019/20,Inverclyde,65-74 years,No Care at Home Service Received,52.4,220
2019/20,Inverclyde,75-84 years,Care at Home Service Received,47.6,455
2019/20,Inverclyde,75-84 years,No Care at Home Service Received,52.4,500
2019/20,Inverclyde,85+ years,Care at Home Service Received,58.4,520
2019/20,Inverclyde,85+ years,No Care at Home Service Received,41.6,370
2020/21,Inverclyde,All Ages,Care at Home Service Received,49.1,1260
2020/21,Inverclyde,All Ages,No Care at Home Service Received,50.9,1305
2020/21,Inverclyde,18-64 years,Care at Home Service Received,28.6,100
2020/21,Inverclyde,18-64 years,No Care at Home Service Received,71.4,250
2020/21,Inverclyde,65-74 years,Care at Home Service Received,47.6,195
2020/21,Inverclyde,65-74 years,No Care at Home Service Received,52.4,215
2020/21,Inverclyde,75-84 years,Care at Home Service Received,50.8,470
2020/21,Inverclyde,75-84 years,No Care at Home Service Received,49.2,455
2020/21,Inverclyde,85+ years,Care at Home Service Received,56.5,500
2020/21,Inverclyde,85+ years,No Care at Home Service Received,43.5,385
2021/22,Inverclyde,All Ages,Care at Home Service Received,50.9,1260
2021/22,Inverclyde,All Ages,No Care at Home Service Received,49.1,1215
2021/22,Inverclyde,18-64 years,Care at Home Service Received,33.3,110
2021/22,Inverclyde,18-64 years,No Care at Home Service Received,66.7,220
2021/22,Inverclyde,65-74 years,Care at Home Service Received,49.3,185
2021/22,Inverclyde,65-74 years,No Care at Home Service Received,50.7,190
2021/22,Inverclyde,75-84 years,Care at Home Service Received,51.7,455
2021/22,Inverclyde,75-84 years,No Care at Home Service Received,48.3,425
2021/22,Inverclyde,85+ years,Care at Home Service Received,57.3,510
2021/22,Inverclyde,85+ years,No Care at Home Service Received,42.7,380
2018/19,Midlothian,All Ages,Care at Home Service Received,37.9,865
2018/19,Midlothian,All Ages,No Care at Home Service Received,62.1,1415
2018/19,Midlothian,0-17 years,Care at Home Service Received,0,0
2018/19,Midlothian,0-17 years,No Care at Home Service Received,100,25
2018/19,Midlothian,18-64 years,Care at Home Service Received,38.5,125
2018/19,Midlothian,18-64 years,No Care at Home Service Received,61.5,200
2018/19,Midlothian,65-74 years,Care at Home Service Received,34.2,125
2018/19,Midlothian,65-74 years,No Care at Home Service Received,65.8,240
2018/19,Midlothian,75-84 years,Care at Home Service Received,35.3,295
2018/19,Midlothian,75-84 years,No Care at Home Service Received,64.7,540
2018/19,Midlothian,85+ years,Care at Home Service Received,43.4,315
2018/19,Midlothian,85+ years,No Care at Home Service Received,56.6,410
2019/20,Midlothian,All Ages,Care at Home Service Received,34.8,740
2019/20,Midlothian,All Ages,No Care at Home Service Received,65.2,1385
2019/20,Midlothian,0-17 years,Care at Home Service Received,0,0
2019/20,Midlothian,0-17 years,No Care at Home Service Received,100,15
2019/20,Midlothian,18-64 years,Care at Home Service Received,35.7,100
2019/20,Midlothian,18-64 years,No Care at Home Service Received,64.3,180
2019/20,Midlothian,65-74 years,Care at Home Service Received,32.8,100
2019/20,Midlothian,65-74 years,No Care at Home Service Received,67.2,205
2019/20,Midlothian,75-84 years,Care at Home Service Received,31.7,260
2019/20,Midlothian,75-84 years,No Care at Home Service Received,68.3,560
2019/20,Midlothian,85+ years,Care at Home Service Received,39,275
2019/20,Midlothian,85+ years,No Care at Home Service Received,61,430
2020/21,Midlothian,All Ages,Care at Home Service Received,37.4,770
2020/21,Midlothian,All Ages,No Care at Home Service Received,62.6,1290
2020/21,Midlothian,0-17 years,Care at Home Service Received,0,0
2020/21,Midlothian,0-17 years,No Care at Home Service Received,100,5
2020/21,Midlothian,18-64 years,Care at Home Service Received,39.2,100
2020/21,Midlothian,18-64 years,No Care at Home Service Received,60.8,155
2020/21,Midlothian,65-74 years,Care at Home Service Received,33.3,105
2020/21,Midlothian,65-74 years,No Care at Home Service Received,66.7,210
2020/21,Midlothian,75-84 years,Care at Home Service Received,33.5,260
2020/21,Midlothian,75-84 years,No Care at Home Service Received,66.5,515
2020/21,Midlothian,85+ years,Care at Home Service Received,42.7,305
2020/21,Midlothian,85+ years,No Care at Home Service Received,57.3,410
2021/22,Midlothian,All Ages,Care at Home Service Received,31.5,735
2021/22,Midlothian,All Ages,No Care at Home Service Received,68.5,1595
2021/22,Midlothian,0-17 years,Care at Home Service Received,0,0
2021/22,Midlothian,0-17 years,No Care at Home Service Received,100,5
2021/22,Midlothian,18-64 years,Care at Home Service Received,37.9,110
2021/22,Midlothian,18-64 years,No Care at Home Service Received,62.1,180
2021/22,Midlothian,65-74 years,Care at Home Service Received,29,100
2021/22,Midlothian,65-74 years,No Care at Home Service Received,71,245
2021/22,Midlothian,75-84 years,Care at Home Service Received,29.1,240
2021/22,Midlothian,75-84 years,No Care at Home Service Received,70.9,585
2021/22,Midlothian,85+ years,Care at Home Service Received,32.9,285
2021/22,Midlothian,85+ years,No Care at Home Service Received,67.1,580
2018/19,Moray,All Ages,Care at Home Service Received,39.2,780
2018/19,Moray,All Ages,No Care at Home Service Received,60.8,1210
2018/19,Moray,0-17 years,Care at Home Service Received,NA,0
2018/19,Moray,0-17 years,No Care at Home Service Received,NA,0
2018/19,Moray,18-64 years,Care at Home Service Received,30.4,70
2018/19,Moray,18-64 years,No Care at Home Service Received,69.6,160
2018/19,Moray,65-74 years,Care at Home Service Received,34.6,90
2018/19,Moray,65-74 years,No Care at Home Service Received,65.4,170
2018/19,Moray,75-84 years,Care at Home Service Received,38.6,245
2018/19,Moray,75-84 years,No Care at Home Service Received,61.4,390
2018/19,Moray,85+ years,Care at Home Service Received,43.4,375
2018/19,Moray,85+ years,No Care at Home Service Received,56.6,490
2019/20,Moray,All Ages,Care at Home Service Received,36.4,665
2019/20,Moray,All Ages,No Care at Home Service Received,63.6,1160
2019/20,Moray,0-17 years,Care at Home Service Received,0,0
2019/20,Moray,0-17 years,No Care at Home Service Received,100,5
2019/20,Moray,18-64 years,Care at Home Service Received,22,45
2019/20,Moray,18-64 years,No Care at Home Service Received,78,160
2019/20,Moray,65-74 years,Care at Home Service Received,37.5,90
2019/20,Moray,65-74 years,No Care at Home Service Received,62.5,150
2019/20,Moray,75-84 years,Care at Home Service Received,35,210
2019/20,Moray,75-84 years,No Care at Home Service Received,65,390
2019/20,Moray,85+ years,Care at Home Service Received,41.3,320
2019/20,Moray,85+ years,No Care at Home Service Received,58.7,455
2020/21,Moray,All Ages,Care at Home Service Received,35.2,680
2020/21,Moray,All Ages,No Care at Home Service Received,64.8,1250
2020/21,Moray,0-17 years,Care at Home Service Received,0,0
2020/21,Moray,0-17 years,No Care at Home Service Received,100,5
2020/21,Moray,18-64 years,Care at Home Service Received,29.5,65
2020/21,Moray,18-64 years,No Care at Home Service Received,70.5,155
2020/21,Moray,65-74 years,Care at Home Service Received,35.3,90
2020/21,Moray,65-74 years,No Care at Home Service Received,64.7,165
2020/21,Moray,75-84 years,Care at Home Service Received,33.6,205
2020/21,Moray,75-84 years,No Care at Home Service Received,66.4,405
2020/21,Moray,85+ years,Care at Home Service Received,38.1,320
2020/21,Moray,85+ years,No Care at Home Service Received,61.9,520
2021/22,Moray,All Ages,Care at Home Service Received,29.7,580
2021/22,Moray,All Ages,No Care at Home Service Received,70.3,1370
2021/22,Moray,0-17 years,Care at Home Service Received,0,0
2021/22,Moray,0-17 years,No Care at Home Service Received,100,5
2021/22,Moray,18-64 years,Care at Home Service Received,28.6,60
2021/22,Moray,18-64 years,No Care at Home Service Received,71.4,150
2021/22,Moray,65-74 years,Care at Home Service Received,35.4,85
2021/22,Moray,65-74 years,No Care at Home Service Received,64.6,155
2021/22,Moray,75-84 years,Care at Home Service Received,26.7,175
2021/22,Moray,75-84 years,No Care at Home Service Received,73.3,480
2021/22,Moray,85+ years,Care at Home Service Received,31,260
2021/22,Moray,85+ years,No Care at Home Service Received,69,580
2018/19,North Ayrshire,All Ages,Care at Home Service Received,48.9,2390
2018/19,North Ayrshire,All Ages,No Care at Home Service Received,51.1,2500
2018/19,North Ayrshire,0-17 years,Care at Home Service Received,0,0
2018/19,North Ayrshire,0-17 years,No Care at Home Service Received,100,10
2018/19,North Ayrshire,18-64 years,Care at Home Service Received,47.4,275
2018/19,North Ayrshire,18-64 years,No Care at Home Service Received,52.6,305
2018/19,North Ayrshire,65-74 years,Care at Home Service Received,51,400
2018/19,North Ayrshire,65-74 years,No Care at Home Service Received,49,385
2018/19,North Ayrshire,75-84 years,Care at Home Service Received,45.3,835
2018/19,North Ayrshire,75-84 years,No Care at Home Service Received,54.7,1010
2018/19,North Ayrshire,85+ years,Care at Home Service Received,52.9,880
2018/19,North Ayrshire,85+ years,No Care at Home Service Received,47.1,785
2019/20,North Ayrshire,All Ages,Care at Home Service Received,50.3,2575
2019/20,North Ayrshire,All Ages,No Care at Home Service Received,49.7,2545
2019/20,North Ayrshire,0-17 years,Care at Home Service Received,0,0
2019/20,North Ayrshire,0-17 years,No Care at Home Service Received,100,10
2019/20,North Ayrshire,18-64 years,Care at Home Service Received,50.4,300
2019/20,North Ayrshire,18-64 years,No Care at Home Service Received,49.6,295
2019/20,North Ayrshire,65-74 years,Care at Home Service Received,49.4,405
2019/20,North Ayrshire,65-74 years,No Care at Home Service Received,50.6,415
2019/20,North Ayrshire,75-84 years,Care at Home Service Received,47.4,915
2019/20,North Ayrshire,75-84 years,No Care at Home Service Received,52.6,1015
2019/20,North Ayrshire,85+ years,Care at Home Service Received,54.3,955
2019/20,North Ayrshire,85+ years,No Care at Home Service Received,45.7,805
2020/21,North Ayrshire,All Ages,Care at Home Service Received,63.3,3325
2020/21,North Ayrshire,All Ages,No Care at Home Service Received,36.7,1925
2020/21,North Ayrshire,0-17 years,Care at Home Service Received,0,0
2020/21,North Ayrshire,0-17 years,No Care at Home Service Received,100,10
2020/21,North Ayrshire,18-64 years,Care at Home Service Received,64.5,400
2020/21,North Ayrshire,18-64 years,No Care at Home Service Received,35.5,220
2020/21,North Ayrshire,65-74 years,Care at Home Service Received,62.5,550
2020/21,North Ayrshire,65-74 years,No Care at Home Service Received,37.5,330
2020/21,North Ayrshire,75-84 years,Care at Home Service Received,62.2,1225
2020/21,North Ayrshire,75-84 years,No Care at Home Service Received,37.8,745
2020/21,North Ayrshire,85+ years,Care at Home Service Received,65.2,1150
2020/21,North Ayrshire,85+ years,No Care at Home Service Received,34.8,615
2021/22,North Ayrshire,All Ages,Care at Home Service Received,64.8,3445
2021/22,North Ayrshire,All Ages,No Care at Home Service Received,35.2,1870
2021/22,North Ayrshire,0-17 years,Care at Home Service Received,0,0
2021/22,North Ayrshire,0-17 years,No Care at Home Service Received,100,10
2021/22,North Ayrshire,18-64 years,Care at Home Service Received,65.1,420
2021/22,North Ayrshire,18-64 years,No Care at Home Service Received,34.9,225
2021/22,North Ayrshire,65-74 years,Care at Home Service Received,63.4,555
2021/22,North Ayrshire,65-74 years,No Care at Home Service Received,36.6,320
2021/22,North Ayrshire,75-84 years,Care at Home Service Received,64.3,1280
2021/22,North Ayrshire,75-84 years,No Care at Home Service Received,35.7,710
2021/22,North Ayrshire,85+ years,Care at Home Service Received,66.3,1190
2021/22,North Ayrshire,85+ years,No Care at Home Service Received,33.7,605
2018/19,North Lanarkshire,All Ages,Care at Home Service Received,37.2,4075
2018/19,North Lanarkshire,All Ages,No Care at Home Service Received,62.8,6865
2018/19,North Lanarkshire,0-17 years,Care at Home Service Received,0,0
2018/19,North Lanarkshire,0-17 years,No Care at Home Service Received,100,55
2018/19,North Lanarkshire,18-64 years,Care at Home Service Received,17.1,325
2018/19,North Lanarkshire,18-64 years,No Care at Home Service Received,82.9,1575
2018/19,North Lanarkshire,65-74 years,Care at Home Service Received,35.2,700
2018/19,North Lanarkshire,65-74 years,No Care at Home Service Received,64.8,1290
2018/19,North Lanarkshire,75-84 years,Care at Home Service Received,39.7,1610
2018/19,North Lanarkshire,75-84 years,No Care at Home Service Received,60.3,2445
2018/19,North Lanarkshire,85+ years,Care at Home Service Received,49,1440
2018/19,North Lanarkshire,85+ years,No Care at Home Service Received,51,1500
2019/20,North Lanarkshire,All Ages,Care at Home Service Received,37,4115
2019/20,North Lanarkshire,All Ages,No Care at Home Service Received,63,7010
2019/20,North Lanarkshire,0-17 years,Care at Home Service Received,0,0
2019/20,North Lanarkshire,0-17 years,No Care at Home Service Received,100,50
2019/20,North Lanarkshire,18-64 years,Care at Home Service Received,19,370
2019/20,North Lanarkshire,18-64 years,No Care at Home Service Received,81,1575
2019/20,North Lanarkshire,65-74 years,Care at Home Service Received,33.1,675
2019/20,North Lanarkshire,65-74 years,No Care at Home Service Received,66.9,1365
2019/20,North Lanarkshire,75-84 years,Care at Home Service Received,38.8,1585
2019/20,North Lanarkshire,75-84 years,No Care at Home Service Received,61.2,2505
2019/20,North Lanarkshire,85+ years,Care at Home Service Received,49.3,1480
2019/20,North Lanarkshire,85+ years,No Care at Home Service Received,50.7,1520
2020/21,North Lanarkshire,All Ages,Care at Home Service Received,33.4,3675
2020/21,North Lanarkshire,All Ages,No Care at Home Service Received,66.6,7315
2020/21,North Lanarkshire,0-17 years,Care at Home Service Received,0,0
2020/21,North Lanarkshire,0-17 years,No Care at Home Service Received,100,45
2020/21,North Lanarkshire,18-64 years,Care at Home Service Received,17.7,335
2020/21,North Lanarkshire,18-64 years,No Care at Home Service Received,82.3,1560
2020/21,North Lanarkshire,65-74 years,Care at Home Service Received,29.8,600
2020/21,North Lanarkshire,65-74 years,No Care at Home Service Received,70.2,1415
2020/21,North Lanarkshire,75-84 years,Care at Home Service Received,35.5,1405
2020/21,North Lanarkshire,75-84 years,No Care at Home Service Received,64.5,2550
2020/21,North Lanarkshire,85+ years,Care at Home Service Received,43.4,1335
2020/21,North Lanarkshire,85+ years,No Care at Home Service Received,56.6,1740
2021/22,North Lanarkshire,All Ages,Care at Home Service Received,37,3440
2021/22,North Lanarkshire,All Ages,No Care at Home Service Received,63,5845
2021/22,North Lanarkshire,0-17 years,Care at Home Service Received,0,0
2021/22,North Lanarkshire,0-17 years,No Care at Home Service Received,100,40
2021/22,North Lanarkshire,18-64 years,Care at Home Service Received,19,300
2021/22,North Lanarkshire,18-64 years,No Care at Home Service Received,81,1280
2021/22,North Lanarkshire,65-74 years,Care at Home Service Received,33.8,555
2021/22,North Lanarkshire,65-74 years,No Care at Home Service Received,66.2,1085
2021/22,North Lanarkshire,75-84 years,Care at Home Service Received,39.2,1285
2021/22,North Lanarkshire,75-84 years,No Care at Home Service Received,60.8,1995
2021/22,North Lanarkshire,85+ years,Care at Home Service Received,47.5,1305
2021/22,North Lanarkshire,85+ years,No Care at Home Service Received,52.5,1440
2019/20,Orkney Islands,All Ages,Care at Home Service Received,27.2,245
2019/20,Orkney Islands,All Ages,No Care at Home Service Received,72.8,655
2019/20,Orkney Islands,0-17 years,Care at Home Service Received,NA,0
2019/20,Orkney Islands,0-17 years,No Care at Home Service Received,NA,0
2019/20,Orkney Islands,18-64 years,Care at Home Service Received,16,20
2019/20,Orkney Islands,18-64 years,No Care at Home Service Received,84,105
2019/20,Orkney Islands,65-74 years,Care at Home Service Received,22.2,30
2019/20,Orkney Islands,65-74 years,No Care at Home Service Received,77.8,105
2019/20,Orkney Islands,75-84 years,Care at Home Service Received,23.2,80
2019/20,Orkney Islands,75-84 years,No Care at Home Service Received,76.8,265
2019/20,Orkney Islands,85+ years,Care at Home Service Received,40,120
2019/20,Orkney Islands,85+ years,No Care at Home Service Received,60,180
2021/22,Orkney Islands,All Ages,Care at Home Service Received,21.5,200
2021/22,Orkney Islands,All Ages,No Care at Home Service Received,78.5,730
2021/22,Orkney Islands,18-64 years,Care at Home Service Received,13.6,15
2021/22,Orkney Islands,18-64 years,No Care at Home Service Received,86.4,95
2021/22,Orkney Islands,65-74 years,Care at Home Service Received,19.2,25
2021/22,Orkney Islands,65-74 years,No Care at Home Service Received,80.8,105
2021/22,Orkney Islands,75-84 years,Care at Home Service Received,20,75
2021/22,Orkney Islands,75-84 years,No Care at Home Service Received,80,300
2021/22,Orkney Islands,85+ years,Care at Home Service Received,27,85
2021/22,Orkney Islands,85+ years,No Care at Home Service Received,73,230
2018/19,Perth and Kinross,All Ages,Care at Home Service Received,46.2,1670
2018/19,Perth and Kinross,All Ages,No Care at Home Service Received,53.8,1945
2018/19,Perth and Kinross,0-17 years,Care at Home Service Received,NA,0
2018/19,Perth and Kinross,0-17 years,No Care at Home Service Received,NA,0
2018/19,Perth and Kinross,18-64 years,Care at Home Service Received,32.5,135
2018/19,Perth and Kinross,18-64 years,No Care at Home Service Received,67.5,280
2018/19,Perth and Kinross,65-74 years,Care at Home Service Received,43.5,200
2018/19,Perth and Kinross,65-74 years,No Care at Home Service Received,56.5,260
2018/19,Perth and Kinross,75-84 years,Care at Home Service Received,46.1,560
2018/19,Perth and Kinross,75-84 years,No Care at Home Service Received,53.9,655
2018/19,Perth and Kinross,85+ years,Care at Home Service Received,50.7,775
2018/19,Perth and Kinross,85+ years,No Care at Home Service Received,49.3,755
2019/20,Perth and Kinross,All Ages,Care at Home Service Received,46.3,1770
2019/20,Perth and Kinross,All Ages,No Care at Home Service Received,53.7,2055
2019/20,Perth and Kinross,0-17 years,Care at Home Service Received,NA,0
2019/20,Perth and Kinross,0-17 years,No Care at Home Service Received,NA,0
2019/20,Perth and Kinross,18-64 years,Care at Home Service Received,33,160
2019/20,Perth and Kinross,18-64 years,No Care at Home Service Received,67,325
2019/20,Perth and Kinross,65-74 years,Care at Home Service Received,41.7,200
2019/20,Perth and Kinross,65-74 years,No Care at Home Service Received,58.3,280
2019/20,Perth and Kinross,75-84 years,Care at Home Service Received,45,545
2019/20,Perth and Kinross,75-84 years,No Care at Home Service Received,55,665
2019/20,Perth and Kinross,85+ years,Care at Home Service Received,52.6,865
2019/20,Perth and Kinross,85+ years,No Care at Home Service Received,47.4,780
2020/21,Perth and Kinross,All Ages,Care at Home Service Received,45.3,1770
2020/21,Perth and Kinross,All Ages,No Care at Home Service Received,54.7,2140
2020/21,Perth and Kinross,0-17 years,Care at Home Service Received,NA,0
2020/21,Perth and Kinross,0-17 years,No Care at Home Service Received,NA,0
2020/21,Perth and Kinross,18-64 years,Care at Home Service Received,28.6,160
2020/21,Perth and Kinross,18-64 years,No Care at Home Service Received,71.4,400
2020/21,Perth and Kinross,65-74 years,Care at Home Service Received,46.5,230
2020/21,Perth and Kinross,65-74 years,No Care at Home Service Received,53.5,265
2020/21,Perth and Kinross,75-84 years,Care at Home Service Received,44.4,530
2020/21,Perth and Kinross,75-84 years,No Care at Home Service Received,55.6,665
2020/21,Perth and Kinross,85+ years,Care at Home Service Received,51.2,845
2020/21,Perth and Kinross,85+ years,No Care at Home Service Received,48.8,805
2021/22,Perth and Kinross,All Ages,Care at Home Service Received,44.2,1795
2021/22,Perth and Kinross,All Ages,No Care at Home Service Received,55.8,2270
2021/22,Perth and Kinross,0-17 years,Care at Home Service Received,0,0
2021/22,Perth and Kinross,0-17 years,No Care at Home Service Received,100,5
2021/22,Perth and Kinross,18-64 years,Care at Home Service Received,33.8,220
2021/22,Perth and Kinross,18-64 years,No Care at Home Service Received,66.2,430
2021/22,Perth and Kinross,65-74 years,Care at Home Service Received,43.9,215
2021/22,Perth and Kinross,65-74 years,No Care at Home Service Received,56.1,275
2021/22,Perth and Kinross,75-84 years,Care at Home Service Received,41.7,515
2021/22,Perth and Kinross,75-84 years,No Care at Home Service Received,58.3,720
2021/22,Perth and Kinross,85+ years,Care at Home Service Received,50,840
2021/22,Perth and Kinross,85+ years,No Care at Home Service Received,50,840
2018/19,Renfrewshire,All Ages,Care at Home Service Received,47.8,2310
2018/19,Renfrewshire,All Ages,No Care at Home Service Received,52.2,2520
2018/19,Renfrewshire,0-17 years,Care at Home Service Received,NA,0
2018/19,Renfrewshire,0-17 years,No Care at Home Service Received,NA,0
2018/19,Renfrewshire,18-64 years,Care at Home Service Received,44.4,220
2018/19,Renfrewshire,18-64 years,No Care at Home Service Received,55.6,275
2018/19,Renfrewshire,65-74 years,Care at Home Service Received,45.9,365
2018/19,Renfrewshire,65-74 years,No Care at Home Service Received,54.1,430
2018/19,Renfrewshire,75-84 years,Care at Home Service Received,44.4,825
2018/19,Renfrewshire,75-84 years,No Care at Home Service Received,55.6,1035
2018/19,Renfrewshire,85+ years,Care at Home Service Received,53.8,895
2018/19,Renfrewshire,85+ years,No Care at Home Service Received,46.2,770
2019/20,Renfrewshire,All Ages,Care at Home Service Received,47.6,2260
2019/20,Renfrewshire,All Ages,No Care at Home Service Received,52.4,2485
2019/20,Renfrewshire,0-17 years,Care at Home Service Received,NA,0
2019/20,Renfrewshire,0-17 years,No Care at Home Service Received,NA,0
2019/20,Renfrewshire,18-64 years,Care at Home Service Received,46.5,230
2019/20,Renfrewshire,18-64 years,No Care at Home Service Received,53.5,265
2019/20,Renfrewshire,65-74 years,Care at Home Service Received,45.1,345
2019/20,Renfrewshire,65-74 years,No Care at Home Service Received,54.9,420
2019/20,Renfrewshire,75-84 years,Care at Home Service Received,45.1,800
2019/20,Renfrewshire,75-84 years,No Care at Home Service Received,54.9,975
2019/20,Renfrewshire,85+ years,Care at Home Service Received,51.9,885
2019/20,Renfrewshire,85+ years,No Care at Home Service Received,48.1,820
2020/21,Renfrewshire,All Ages,Care at Home Service Received,48.2,2135
2020/21,Renfrewshire,All Ages,No Care at Home Service Received,51.8,2295
2020/21,Renfrewshire,0-17 years,Care at Home Service Received,NA,0
2020/21,Renfrewshire,0-17 years,No Care at Home Service Received,NA,0
2020/21,Renfrewshire,18-64 years,Care at Home Service Received,50.6,220
2020/21,Renfrewshire,18-64 years,No Care at Home Service Received,49.4,215
2020/21,Renfrewshire,65-74 years,Care at Home Service Received,43.7,295
2020/21,Renfrewshire,65-74 years,No Care at Home Service Received,56.3,380
2020/21,Renfrewshire,75-84 years,Care at Home Service Received,46.7,785
2020/21,Renfrewshire,75-84 years,No Care at Home Service Received,53.3,895
2020/21,Renfrewshire,85+ years,Care at Home Service Received,51.2,840
2020/21,Renfrewshire,85+ years,No Care at Home Service Received,48.8,800
2019/20,Scottish Borders,All Ages,Care at Home Service Received,67.2,205
2019/20,Scottish Borders,All Ages,No Care at Home Service Received,32.8,100
2019/20,Scottish Borders,0-17 years,Care at Home Service Received,NA,0
2019/20,Scottish Borders,0-17 years,No Care at Home Service Received,NA,0
2019/20,Scottish Borders,18-64 years,Care at Home Service Received,50,20
2019/20,Scottish Borders,18-64 years,No Care at Home Service Received,50,20
2019/20,Scottish Borders,65-74 years,Care at Home Service Received,66.7,30
2019/20,Scottish Borders,65-74 years,No Care at Home Service Received,33.3,15
2019/20,Scottish Borders,75-84 years,Care at Home Service Received,70,70
2019/20,Scottish Borders,75-84 years,No Care at Home Service Received,30,30
2019/20,Scottish Borders,85+ years,Care at Home Service Received,72,90
2019/20,Scottish Borders,85+ years,No Care at Home Service Received,28,35
2020/21,Scottish Borders,All Ages,Care at Home Service Received,57.9,385
2020/21,Scottish Borders,All Ages,No Care at Home Service Received,42.1,280
2020/21,Scottish Borders,0-17 years,Care at Home Service Received,NA,0
2020/21,Scottish Borders,0-17 years,No Care at Home Service Received,NA,0
2020/21,Scottish Borders,18-64 years,Care at Home Service Received,38.5,25
2020/21,Scottish Borders,18-64 years,No Care at Home Service Received,61.5,40
2020/21,Scottish Borders,65-74 years,Care at Home Service Received,64.7,55
2020/21,Scottish Borders,65-74 years,No Care at Home Service Received,35.3,30
2020/21,Scottish Borders,75-84 years,Care at Home Service Received,56.8,125
2020/21,Scottish Borders,75-84 years,No Care at Home Service Received,43.2,95
2020/21,Scottish Borders,85+ years,Care at Home Service Received,60.3,175
2020/21,Scottish Borders,85+ years,No Care at Home Service Received,39.7,115
2021/22,Scottish Borders,All Ages,Care at Home Service Received,46.3,565
2021/22,Scottish Borders,All Ages,No Care at Home Service Received,53.7,655
2021/22,Scottish Borders,0-17 years,Care at Home Service Received,0,0
2021/22,Scottish Borders,0-17 years,No Care at Home Service Received,100,5
2021/22,Scottish Borders,18-64 years,Care at Home Service Received,27.3,30
2021/22,Scottish Borders,18-64 years,No Care at Home Service Received,72.7,80
2021/22,Scottish Borders,65-74 years,Care at Home Service Received,42.9,45
2021/22,Scottish Borders,65-74 years,No Care at Home Service Received,57.1,60
2021/22,Scottish Borders,75-84 years,Care at Home Service Received,43.1,140
2021/22,Scottish Borders,75-84 years,No Care at Home Service Received,56.9,185
2021/22,Scottish Borders,85+ years,Care at Home Service Received,51.5,350
2021/22,Scottish Borders,85+ years,No Care at Home Service Received,48.5,330
2018/19,Shetland Islands,All Ages,Care at Home Service Received,39.1,250
2018/19,Shetland Islands,All Ages,No Care at Home Service Received,60.9,390
2018/19,Shetland Islands,0-17 years,Care at Home Service Received,NA,0
2018/19,Shetland Islands,0-17 years,No Care at Home Service Received,NA,0
2018/19,Shetland Islands,18-64 years,Care at Home Service Received,28.6,20
2018/19,Shetland Islands,18-64 years,No Care at Home Service Received,71.4,50
2018/19,Shetland Islands,65-74 years,Care at Home Service Received,46.7,35
2018/19,Shetland Islands,65-74 years,No Care at Home Service Received,53.3,40
2018/19,Shetland Islands,75-84 years,Care at Home Service Received,30.6,75
2018/19,Shetland Islands,75-84 years,No Care at Home Service Received,69.4,170
2018/19,Shetland Islands,85+ years,Care at Home Service Received,48,120
2018/19,Shetland Islands,85+ years,No Care at Home Service Received,52,130
2019/20,Shetland Islands,All Ages,Care at Home Service Received,43,290
2019/20,Shetland Islands,All Ages,No Care at Home Service Received,57,385
2019/20,Shetland Islands,0-17 years,Care at Home Service Received,NA,0
2019/20,Shetland Islands,0-17 years,No Care at Home Service Received,NA,0
2019/20,Shetland Islands,18-64 years,Care at Home Service Received,33.3,25
2019/20,Shetland Islands,18-64 years,No Care at Home Service Received,66.7,50
