financial_year,sending_location,service,age_group,measure,value
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",4.6
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,295
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",22.7
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,350
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",109.5
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,1010
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",333
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,1175
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0
2018/19,South Ayrshire,Receiving both Community Alarm and Telecare,Unknown,Number of People,0
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",29.5
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3320
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.3
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",5.5
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,355
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",27.2
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,420
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",126.9
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1170
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",386.8
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1365
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0
2018/19,South Ayrshire,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0
2018/19,South Lanarkshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",25
2018/19,South Lanarkshire,Community Alarm Only,All Ages,Number of People,7970
2018/19,South Lanarkshire,Community Alarm Only,Unknown,"Rate per 1,000 Population",NA
2018/19,South Lanarkshire,Community Alarm Only,Unknown,Number of People,7970
2018/19,South Lanarkshire,Telecare Only,All Ages,"Rate per 1,000 Population",0
2018/19,South Lanarkshire,Telecare Only,All Ages,Number of People,0
2018/19,South Lanarkshire,Telecare Only,Unknown,"Rate per 1,000 Population",0
2018/19,South Lanarkshire,Telecare Only,Unknown,Number of People,0
2018/19,South Lanarkshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1.3
2018/19,South Lanarkshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,420
2018/19,South Lanarkshire,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",NA
2018/19,South Lanarkshire,Receiving both Community Alarm and Telecare,Unknown,Number of People,420
2018/19,South Lanarkshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",26.3
2018/19,South Lanarkshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,8390
2018/19,South Lanarkshire,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",NA
2018/19,South Lanarkshire,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,8390
2018/19,Stirling,Community Alarm Only,All Ages,"Rate per 1,000 Population",21.3
2018/19,Stirling,Community Alarm Only,All Ages,Number of People,2005
2018/19,Stirling,Community Alarm Only,18-64 years,"Rate per 1,000 Population",3.3
2018/19,Stirling,Community Alarm Only,18-64 years,Number of People,195
2018/19,Stirling,Community Alarm Only,65-74 years,"Rate per 1,000 Population",25.9
2018/19,Stirling,Community Alarm Only,65-74 years,Number of People,255
2018/19,Stirling,Community Alarm Only,75-84 years,"Rate per 1,000 Population",125.2
2018/19,Stirling,Community Alarm Only,75-84 years,Number of People,755
2018/19,Stirling,Community Alarm Only,85+ years,"Rate per 1,000 Population",378.8
2018/19,Stirling,Community Alarm Only,85+ years,Number of People,800
2018/19,Stirling,Telecare Only,All Ages,"Rate per 1,000 Population",0.5
2018/19,Stirling,Telecare Only,All Ages,Number of People,50
2018/19,Stirling,Telecare Only,18-64 years,"Rate per 1,000 Population",0.3
2018/19,Stirling,Telecare Only,18-64 years,Number of People,15
2018/19,Stirling,Telecare Only,65-74 years,"Rate per 1,000 Population",0.5
2018/19,Stirling,Telecare Only,65-74 years,Number of People,5
2018/19,Stirling,Telecare Only,75-84 years,"Rate per 1,000 Population",2.5
2018/19,Stirling,Telecare Only,75-84 years,Number of People,15
2018/19,Stirling,Telecare Only,85+ years,"Rate per 1,000 Population",7.1
2018/19,Stirling,Telecare Only,85+ years,Number of People,15
2018/19,Stirling,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",6.5
2018/19,Stirling,Receiving both Community Alarm and Telecare,All Ages,Number of People,615
2018/19,Stirling,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",1.2
2018/19,Stirling,Receiving both Community Alarm and Telecare,18-64 years,Number of People,70
2018/19,Stirling,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",6.6
2018/19,Stirling,Receiving both Community Alarm and Telecare,65-74 years,Number of People,65
2018/19,Stirling,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",33.2
2018/19,Stirling,Receiving both Community Alarm and Telecare,75-84 years,Number of People,200
2018/19,Stirling,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",130.2
2018/19,Stirling,Receiving both Community Alarm and Telecare,85+ years,Number of People,275
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",28.3
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2665
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",4.8
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,280
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",33
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,325
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",160.8
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,970
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",516.1
2018/19,Stirling,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1090
2018/19,West Dunbartonshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",21.4
2018/19,West Dunbartonshire,Community Alarm Only,All Ages,Number of People,1910
2018/19,West Dunbartonshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0
2018/19,West Dunbartonshire,Community Alarm Only,0-17 years,Number of People,0
2018/19,West Dunbartonshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",4.8
2018/19,West Dunbartonshire,Community Alarm Only,18-64 years,Number of People,265
2018/19,West Dunbartonshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",36.8
2018/19,West Dunbartonshire,Community Alarm Only,65-74 years,Number of People,345
2018/19,West Dunbartonshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",134.6
2018/19,West Dunbartonshire,Community Alarm Only,75-84 years,Number of People,700
2018/19,West Dunbartonshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",323.8
2018/19,West Dunbartonshire,Community Alarm Only,85+ years,Number of People,600
2018/19,West Dunbartonshire,Telecare Only,All Ages,"Rate per 1,000 Population",0
2018/19,West Dunbartonshire,Telecare Only,All Ages,Number of People,0
2018/19,West Dunbartonshire,Telecare Only,0-17 years,"Rate per 1,000 Population",0
2018/19,West Dunbartonshire,Telecare Only,0-17 years,Number of People,0
2018/19,West Dunbartonshire,Telecare Only,18-64 years,"Rate per 1,000 Population",0
2018/19,West Dunbartonshire,Telecare Only,18-64 years,Number of People,0
2018/19,West Dunbartonshire,Telecare Only,65-74 years,"Rate per 1,000 Population",0
2018/19,West Dunbartonshire,Telecare Only,65-74 years,Number of People,0
2018/19,West Dunbartonshire,Telecare Only,75-84 years,"Rate per 1,000 Population",0
2018/19,West Dunbartonshire,Telecare Only,75-84 years,Number of People,0
2018/19,West Dunbartonshire,Telecare Only,85+ years,"Rate per 1,000 Population",0
2018/19,West Dunbartonshire,Telecare Only,85+ years,Number of People,0
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",10
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,895
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.3
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,5
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",2.5
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,140
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",19.2
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,180
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",57.7
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,300
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",145.7
2018/19,West Dunbartonshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,270
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",31.5
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2805
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.3
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",7.3
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,405
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",56
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,525
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",192.2
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1000
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",472.2
2018/19,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,875
2018/19,West Lothian,Community Alarm Only,All Ages,"Rate per 1,000 Population",0
2018/19,West Lothian,Community Alarm Only,All Ages,Number of People,0
2018/19,West Lothian,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Community Alarm Only,0-17 years,Number of People,0
2018/19,West Lothian,Community Alarm Only,18-64 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Community Alarm Only,18-64 years,Number of People,0
2018/19,West Lothian,Community Alarm Only,65-74 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Community Alarm Only,65-74 years,Number of People,0
2018/19,West Lothian,Community Alarm Only,75-84 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Community Alarm Only,75-84 years,Number of People,0
2018/19,West Lothian,Community Alarm Only,85+ years,"Rate per 1,000 Population",0
2018/19,West Lothian,Community Alarm Only,85+ years,Number of People,0
2018/19,West Lothian,Community Alarm Only,Unknown,"Rate per 1,000 Population",0
2018/19,West Lothian,Community Alarm Only,Unknown,Number of People,0
2018/19,West Lothian,Telecare Only,All Ages,"Rate per 1,000 Population",28.2
2018/19,West Lothian,Telecare Only,All Ages,Number of People,5140
2018/19,West Lothian,Telecare Only,0-17 years,"Rate per 1,000 Population",0.6
2018/19,West Lothian,Telecare Only,0-17 years,Number of People,25
2018/19,West Lothian,Telecare Only,18-64 years,"Rate per 1,000 Population",9.5
2018/19,West Lothian,Telecare Only,18-64 years,Number of People,1065
2018/19,West Lothian,Telecare Only,65-74 years,"Rate per 1,000 Population",57.5
2018/19,West Lothian,Telecare Only,65-74 years,Number of People,1000
2018/19,West Lothian,Telecare Only,75-84 years,"Rate per 1,000 Population",198.5
2018/19,West Lothian,Telecare Only,75-84 years,Number of People,1885
2018/19,West Lothian,Telecare Only,85+ years,"Rate per 1,000 Population",402.3
2018/19,West Lothian,Telecare Only,85+ years,Number of People,1170
2018/19,West Lothian,Telecare Only,Unknown,"Rate per 1,000 Population",0
2018/19,West Lothian,Telecare Only,Unknown,Number of People,0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,All Ages,Number of People,0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,18-64 years,Number of People,0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,65-74 years,Number of People,0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,75-84 years,Number of People,0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,85+ years,Number of People,0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0
2018/19,West Lothian,Receiving both Community Alarm and Telecare,Unknown,Number of People,0
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",28.2
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5140
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.6
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,25
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",9.5
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,1065
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",57.5
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,1000
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",198.5
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1885
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",402.3
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1170
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0
2018/19,West Lothian,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0
2019/20,Scotland (Estimated),Community Alarm Only,All Ages,"Rate per 1,000 Population",15
2019/20,Scotland (Estimated),Community Alarm Only,All Ages,Number of People,82035
2019/20,Scotland (Estimated),Community Alarm Only,0-17 years,"Rate per 1,000 Population",0.1
2019/20,Scotland (Estimated),Community Alarm Only,0-17 years,Number of People,125
2019/20,Scotland (Estimated),Community Alarm Only,18-64 years,"Rate per 1,000 Population",2.5
2019/20,Scotland (Estimated),Community Alarm Only,18-64 years,Number of People,8485
2019/20,Scotland (Estimated),Community Alarm Only,65-74 years,"Rate per 1,000 Population",20.1
2019/20,Scotland (Estimated),Community Alarm Only,65-74 years,Number of People,11605
2019/20,Scotland (Estimated),Community Alarm Only,75-84 years,"Rate per 1,000 Population",79.1
2019/20,Scotland (Estimated),Community Alarm Only,75-84 years,Number of People,26795
2019/20,Scotland (Estimated),Community Alarm Only,85+ years,"Rate per 1,000 Population",212.8
2019/20,Scotland (Estimated),Community Alarm Only,85+ years,Number of People,27040
2019/20,Scotland (Estimated),Community Alarm Only,Unknown,"Rate per 1,000 Population",NA
2019/20,Scotland (Estimated),Community Alarm Only,Unknown,Number of People,7985
2019/20,Scotland (Estimated),Telecare Only,All Ages,"Rate per 1,000 Population",2.7
2019/20,Scotland (Estimated),Telecare Only,All Ages,Number of People,14650
2019/20,Scotland (Estimated),Telecare Only,0-17 years,"Rate per 1,000 Population",0.3
2019/20,Scotland (Estimated),Telecare Only,0-17 years,Number of People,265
2019/20,Scotland (Estimated),Telecare Only,18-64 years,"Rate per 1,000 Population",0.8
2019/20,Scotland (Estimated),Telecare Only,18-64 years,Number of People,2865
2019/20,Scotland (Estimated),Telecare Only,65-74 years,"Rate per 1,000 Population",3.7
2019/20,Scotland (Estimated),Telecare Only,65-74 years,Number of People,2155
2019/20,Scotland (Estimated),Telecare Only,75-84 years,"Rate per 1,000 Population",13.9
2019/20,Scotland (Estimated),Telecare Only,75-84 years,Number of People,4700
2019/20,Scotland (Estimated),Telecare Only,85+ years,"Rate per 1,000 Population",36.6
2019/20,Scotland (Estimated),Telecare Only,85+ years,Number of People,4655
2019/20,Scotland (Estimated),Telecare Only,Unknown,"Rate per 1,000 Population",NA
2019/20,Scotland (Estimated),Telecare Only,Unknown,Number of People,10
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",6.6
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,All Ages,Number of People,35845
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.1
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,0-17 years,Number of People,140
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",1.5
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,18-64 years,Number of People,5130
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",9.8
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,65-74 years,Number of People,5670
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",35.1
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,75-84 years,Number of People,11875
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",99.2
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,85+ years,Number of People,12610
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",NA
2019/20,Scotland (Estimated),Receiving both Community Alarm and Telecare,Unknown,Number of People,420
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",24.3
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,132535
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.5
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,530
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",4.9
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,16480
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",33.6
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,19430
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",128
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,43370
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",348.6
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,44305
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",NA
2019/20,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,8415
2019/20,Aberdeen City,Community Alarm Only,All Ages,"Rate per 1,000 Population",10.8
2019/20,Aberdeen City,Community Alarm Only,All Ages,Number of People,2460
2019/20,Aberdeen City,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0
2019/20,Aberdeen City,Community Alarm Only,0-17 years,Number of People,0
2019/20,Aberdeen City,Community Alarm Only,18-64 years,"Rate per 1,000 Population",1.7
2019/20,Aberdeen City,Community Alarm Only,18-64 years,Number of People,265
2019/20,Aberdeen City,Community Alarm Only,65-74 years,"Rate per 1,000 Population",24.3
2019/20,Aberdeen City,Community Alarm Only,65-74 years,Number of People,480
2019/20,Aberdeen City,Community Alarm Only,75-84 years,"Rate per 1,000 Population",71.8
2019/20,Aberdeen City,Community Alarm Only,75-84 years,Number of People,830
2019/20,Aberdeen City,Community Alarm Only,85+ years,"Rate per 1,000 Population",182.9
2019/20,Aberdeen City,Community Alarm Only,85+ years,Number of People,880
2019/20,Aberdeen City,Community Alarm Only,Unknown,"Rate per 1,000 Population",NA
2019/20,Aberdeen City,Community Alarm Only,Unknown,Number of People,5
2019/20,Aberdeen City,Telecare Only,All Ages,"Rate per 1,000 Population",4
2019/20,Aberdeen City,Telecare Only,All Ages,Number of People,925
2019/20,Aberdeen City,Telecare Only,0-17 years,"Rate per 1,000 Population",0.5
2019/20,Aberdeen City,Telecare Only,0-17 years,Number of People,20
2019/20,Aberdeen City,Telecare Only,18-64 years,"Rate per 1,000 Population",1.2
2019/20,Aberdeen City,Telecare Only,18-64 years,Number of People,185
2019/20,Aberdeen City,Telecare Only,65-74 years,"Rate per 1,000 Population",6.1
2019/20,Aberdeen City,Telecare Only,65-74 years,Number of People,120
2019/20,Aberdeen City,Telecare Only,75-84 years,"Rate per 1,000 Population",19.9
2019/20,Aberdeen City,Telecare Only,75-84 years,Number of People,230
2019/20,Aberdeen City,Telecare Only,85+ years,"Rate per 1,000 Population",75.9
2019/20,Aberdeen City,Telecare Only,85+ years,Number of People,365
2019/20,Aberdeen City,Telecare Only,Unknown,"Rate per 1,000 Population",0
2019/20,Aberdeen City,Telecare Only,Unknown,Number of People,0
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0.4
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,Number of People,95
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0.1
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,18-64 years,Number of People,10
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0.8
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,65-74 years,Number of People,15
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",2.6
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,75-84 years,Number of People,30
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",8.3
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,85+ years,Number of People,40
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0
2019/20,Aberdeen City,Receiving both Community Alarm and Telecare,Unknown,Number of People,0
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",15.2
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3480
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.5
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,20
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",3
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,460
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",31.1
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,615
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",94.2
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1090
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",267
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1285
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",NA
2019/20,Aberdeen City,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,5
2019/20,Aberdeenshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",17.6
2019/20,Aberdeenshire,Community Alarm Only,All Ages,Number of People,4595
2019/20,Aberdeenshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",2.6
2019/20,Aberdeenshire,Community Alarm Only,18-64 years,Number of People,405
2019/20,Aberdeenshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",25.5
2019/20,Aberdeenshire,Community Alarm Only,65-74 years,Number of People,750
2019/20,Aberdeenshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",103.9
2019/20,Aberdeenshire,Community Alarm Only,75-84 years,Number of People,1650
2019/20,Aberdeenshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",311.8
2019/20,Aberdeenshire,Community Alarm Only,85+ years,Number of People,1790
2019/20,Aberdeenshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.6
2019/20,Aberdeenshire,Telecare Only,All Ages,Number of People,150
2019/20,Aberdeenshire,Telecare Only,18-64 years,"Rate per 1,000 Population",0.5
2019/20,Aberdeenshire,Telecare Only,18-64 years,Number of People,80
2019/20,Aberdeenshire,Telecare Only,65-74 years,"Rate per 1,000 Population",0.5
2019/20,Aberdeenshire,Telecare Only,65-74 years,Number of People,15
2019/20,Aberdeenshire,Telecare Only,75-84 years,"Rate per 1,000 Population",1.6
2019/20,Aberdeenshire,Telecare Only,75-84 years,Number of People,25
2019/20,Aberdeenshire,Telecare Only,85+ years,"Rate per 1,000 Population",5.2
2019/20,Aberdeenshire,Telecare Only,85+ years,Number of People,30
2019/20,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",2.2
