financial_quarter,sending_location,age_group,deprivation,simd_percentage,nclient
2019/20 Q1,Dundee City,75-84 years,4,19.8,125
2019/20 Q1,Dundee City,75-84 years,5 (Least Deprived),15.1,95
2019/20 Q1,Dundee City,75-84 years,Unknown,0,0
2019/20 Q1,Dundee City,85+ years,1 (Most Deprived),11.4,85
2019/20 Q1,Dundee City,85+ years,2,15.4,115
2019/20 Q1,Dundee City,85+ years,3,21.5,160
2019/20 Q1,Dundee City,85+ years,4,25.5,190
2019/20 Q1,Dundee City,85+ years,5 (Least Deprived),26.2,195
2019/20 Q1,Dundee City,85+ years,Unknown,0,0
2019/20 Q1,Dundee City,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,Dundee City,Unknown,2,NA,0
2019/20 Q1,Dundee City,Unknown,3,NA,0
2019/20 Q1,Dundee City,Unknown,4,NA,0
2019/20 Q1,Dundee City,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,Dundee City,Unknown,Unknown,NA,0
2019/20 Q1,East Ayrshire,All Ages,1 (Most Deprived),23.9,475
2019/20 Q1,East Ayrshire,All Ages,2,25.4,505
2019/20 Q1,East Ayrshire,All Ages,3,20.6,410
2019/20 Q1,East Ayrshire,All Ages,4,16.1,320
2019/20 Q1,East Ayrshire,All Ages,5 (Least Deprived),13.6,270
2019/20 Q1,East Ayrshire,All Ages,Unknown,0.5,10
2019/20 Q1,East Ayrshire,0-17 years,1 (Most Deprived),NA,0
2019/20 Q1,East Ayrshire,0-17 years,2,NA,0
2019/20 Q1,East Ayrshire,0-17 years,3,NA,0
2019/20 Q1,East Ayrshire,0-17 years,4,NA,0
2019/20 Q1,East Ayrshire,0-17 years,5 (Least Deprived),NA,0
2019/20 Q1,East Ayrshire,0-17 years,Unknown,NA,0
2019/20 Q1,East Ayrshire,18-64 years,1 (Most Deprived),33.3,90
2019/20 Q1,East Ayrshire,18-64 years,2,20.4,55
2019/20 Q1,East Ayrshire,18-64 years,3,18.5,50
2019/20 Q1,East Ayrshire,18-64 years,4,16.7,45
2019/20 Q1,East Ayrshire,18-64 years,5 (Least Deprived),11.1,30
2019/20 Q1,East Ayrshire,18-64 years,Unknown,0,0
2019/20 Q1,East Ayrshire,65-74 years,1 (Most Deprived),27.6,80
2019/20 Q1,East Ayrshire,65-74 years,2,25.9,75
2019/20 Q1,East Ayrshire,65-74 years,3,20.7,60
2019/20 Q1,East Ayrshire,65-74 years,4,15.5,45
2019/20 Q1,East Ayrshire,65-74 years,5 (Least Deprived),10.3,30
2019/20 Q1,East Ayrshire,65-74 years,Unknown,0,0
2019/20 Q1,East Ayrshire,75-84 years,1 (Most Deprived),23.6,175
2019/20 Q1,East Ayrshire,75-84 years,2,27,200
2019/20 Q1,East Ayrshire,75-84 years,3,20.9,155
2019/20 Q1,East Ayrshire,75-84 years,4,14.9,110
2019/20 Q1,East Ayrshire,75-84 years,5 (Least Deprived),12.8,95
2019/20 Q1,East Ayrshire,75-84 years,Unknown,0.7,5
2019/20 Q1,East Ayrshire,85+ years,1 (Most Deprived),18.6,130
2019/20 Q1,East Ayrshire,85+ years,2,25.7,180
2019/20 Q1,East Ayrshire,85+ years,3,21.4,150
2019/20 Q1,East Ayrshire,85+ years,4,17.1,120
2019/20 Q1,East Ayrshire,85+ years,5 (Least Deprived),16.4,115
2019/20 Q1,East Ayrshire,85+ years,Unknown,0.7,5
2019/20 Q1,East Ayrshire,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,East Ayrshire,Unknown,2,NA,0
2019/20 Q1,East Ayrshire,Unknown,3,NA,0
2019/20 Q1,East Ayrshire,Unknown,4,NA,0
2019/20 Q1,East Ayrshire,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,East Ayrshire,Unknown,Unknown,NA,0
2019/20 Q1,East Dunbartonshire,All Ages,1 (Most Deprived),25.5,390
2019/20 Q1,East Dunbartonshire,All Ages,2,19,290
2019/20 Q1,East Dunbartonshire,All Ages,3,22.9,350
2019/20 Q1,East Dunbartonshire,All Ages,4,16.3,250
2019/20 Q1,East Dunbartonshire,All Ages,5 (Least Deprived),16.3,250
2019/20 Q1,East Dunbartonshire,All Ages,Unknown,0,0
2019/20 Q1,East Dunbartonshire,0-17 years,1 (Most Deprived),25,5
2019/20 Q1,East Dunbartonshire,0-17 years,2,25,5
2019/20 Q1,East Dunbartonshire,0-17 years,3,25,5
2019/20 Q1,East Dunbartonshire,0-17 years,4,0,0
2019/20 Q1,East Dunbartonshire,0-17 years,5 (Least Deprived),25,5
2019/20 Q1,East Dunbartonshire,0-17 years,Unknown,0,0
2019/20 Q1,East Dunbartonshire,18-64 years,1 (Most Deprived),44,55
2019/20 Q1,East Dunbartonshire,18-64 years,2,12,15
2019/20 Q1,East Dunbartonshire,18-64 years,3,20,25
2019/20 Q1,East Dunbartonshire,18-64 years,4,16,20
2019/20 Q1,East Dunbartonshire,18-64 years,5 (Least Deprived),8,10
2019/20 Q1,East Dunbartonshire,18-64 years,Unknown,0,0
2019/20 Q1,East Dunbartonshire,65-74 years,1 (Most Deprived),30.3,50
2019/20 Q1,East Dunbartonshire,65-74 years,2,21.2,35
2019/20 Q1,East Dunbartonshire,65-74 years,3,18.2,30
2019/20 Q1,East Dunbartonshire,65-74 years,4,18.2,30
2019/20 Q1,East Dunbartonshire,65-74 years,5 (Least Deprived),12.1,20
2019/20 Q1,East Dunbartonshire,65-74 years,Unknown,0,0
2019/20 Q1,East Dunbartonshire,75-84 years,1 (Most Deprived),26.2,135
2019/20 Q1,East Dunbartonshire,75-84 years,2,21.4,110
2019/20 Q1,East Dunbartonshire,75-84 years,3,20.4,105
2019/20 Q1,East Dunbartonshire,75-84 years,4,13.6,70
2019/20 Q1,East Dunbartonshire,75-84 years,5 (Least Deprived),18.4,95
2019/20 Q1,East Dunbartonshire,75-84 years,Unknown,0,0
2019/20 Q1,East Dunbartonshire,85+ years,1 (Most Deprived),20.3,140
2019/20 Q1,East Dunbartonshire,85+ years,2,18.1,125
2019/20 Q1,East Dunbartonshire,85+ years,3,26.1,180
2019/20 Q1,East Dunbartonshire,85+ years,4,18.1,125
2019/20 Q1,East Dunbartonshire,85+ years,5 (Least Deprived),17.4,120
2019/20 Q1,East Dunbartonshire,85+ years,Unknown,0,0
2019/20 Q1,East Dunbartonshire,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,East Dunbartonshire,Unknown,2,NA,0
2019/20 Q1,East Dunbartonshire,Unknown,3,NA,0
2019/20 Q1,East Dunbartonshire,Unknown,4,NA,0
2019/20 Q1,East Dunbartonshire,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,East Dunbartonshire,Unknown,Unknown,NA,0
2019/20 Q1,East Lothian,All Ages,1 (Most Deprived),24.5,365
2019/20 Q1,East Lothian,All Ages,2,25.8,385
2019/20 Q1,East Lothian,All Ages,3,20.5,305
2019/20 Q1,East Lothian,All Ages,4,13.1,195
2019/20 Q1,East Lothian,All Ages,5 (Least Deprived),16.1,240
2019/20 Q1,East Lothian,All Ages,Unknown,0,0
2019/20 Q1,East Lothian,0-17 years,1 (Most Deprived),NA,0
2019/20 Q1,East Lothian,0-17 years,2,NA,0
2019/20 Q1,East Lothian,0-17 years,3,NA,0
2019/20 Q1,East Lothian,0-17 years,4,NA,0
2019/20 Q1,East Lothian,0-17 years,5 (Least Deprived),NA,0
2019/20 Q1,East Lothian,0-17 years,Unknown,NA,0
2019/20 Q1,East Lothian,18-64 years,1 (Most Deprived),33.3,130
2019/20 Q1,East Lothian,18-64 years,2,29.5,115
2019/20 Q1,East Lothian,18-64 years,3,17.9,70
2019/20 Q1,East Lothian,18-64 years,4,9,35
2019/20 Q1,East Lothian,18-64 years,5 (Least Deprived),10.3,40
2019/20 Q1,East Lothian,18-64 years,Unknown,0,0
2019/20 Q1,East Lothian,65-74 years,1 (Most Deprived),27,50
2019/20 Q1,East Lothian,65-74 years,2,27,50
2019/20 Q1,East Lothian,65-74 years,3,24.3,45
2019/20 Q1,East Lothian,65-74 years,4,8.1,15
2019/20 Q1,East Lothian,65-74 years,5 (Least Deprived),13.5,25
2019/20 Q1,East Lothian,65-74 years,Unknown,0,0
2019/20 Q1,East Lothian,75-84 years,1 (Most Deprived),22,90
2019/20 Q1,East Lothian,75-84 years,2,24.4,100
2019/20 Q1,East Lothian,75-84 years,3,23.2,95
2019/20 Q1,East Lothian,75-84 years,4,15.9,65
2019/20 Q1,East Lothian,75-84 years,5 (Least Deprived),14.6,60
2019/20 Q1,East Lothian,75-84 years,Unknown,0,0
2019/20 Q1,East Lothian,85+ years,1 (Most Deprived),18.8,95
2019/20 Q1,East Lothian,85+ years,2,24.8,125
2019/20 Q1,East Lothian,85+ years,3,17.8,90
2019/20 Q1,East Lothian,85+ years,4,15.8,80
2019/20 Q1,East Lothian,85+ years,5 (Least Deprived),22.8,115
2019/20 Q1,East Lothian,85+ years,Unknown,0,0
2019/20 Q1,East Lothian,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,East Lothian,Unknown,2,NA,0
2019/20 Q1,East Lothian,Unknown,3,NA,0
2019/20 Q1,East Lothian,Unknown,4,NA,0
2019/20 Q1,East Lothian,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,East Lothian,Unknown,Unknown,NA,0
2019/20 Q1,East Renfrewshire,All Ages,1 (Most Deprived),19.5,230
2019/20 Q1,East Renfrewshire,All Ages,2,25.8,305
2019/20 Q1,East Renfrewshire,All Ages,3,19.5,230
2019/20 Q1,East Renfrewshire,All Ages,4,20.8,245
2019/20 Q1,East Renfrewshire,All Ages,5 (Least Deprived),14.4,170
2019/20 Q1,East Renfrewshire,All Ages,Unknown,0,0
2019/20 Q1,East Renfrewshire,0-17 years,1 (Most Deprived),NA,0
2019/20 Q1,East Renfrewshire,0-17 years,2,NA,0
2019/20 Q1,East Renfrewshire,0-17 years,3,NA,0
2019/20 Q1,East Renfrewshire,0-17 years,4,NA,0
2019/20 Q1,East Renfrewshire,0-17 years,5 (Least Deprived),NA,0
2019/20 Q1,East Renfrewshire,0-17 years,Unknown,NA,0
2019/20 Q1,East Renfrewshire,18-64 years,1 (Most Deprived),35.7,50
2019/20 Q1,East Renfrewshire,18-64 years,2,28.6,40
2019/20 Q1,East Renfrewshire,18-64 years,3,14.3,20
2019/20 Q1,East Renfrewshire,18-64 years,4,10.7,15
2019/20 Q1,East Renfrewshire,18-64 years,5 (Least Deprived),10.7,15
2019/20 Q1,East Renfrewshire,18-64 years,Unknown,0,0
2019/20 Q1,East Renfrewshire,65-74 years,1 (Most Deprived),25,35
2019/20 Q1,East Renfrewshire,65-74 years,2,32.1,45
2019/20 Q1,East Renfrewshire,65-74 years,3,14.3,20
2019/20 Q1,East Renfrewshire,65-74 years,4,17.9,25
2019/20 Q1,East Renfrewshire,65-74 years,5 (Least Deprived),10.7,15
2019/20 Q1,East Renfrewshire,65-74 years,Unknown,0,0
2019/20 Q1,East Renfrewshire,75-84 years,1 (Most Deprived),24.2,80
2019/20 Q1,East Renfrewshire,75-84 years,2,24.2,80
2019/20 Q1,East Renfrewshire,75-84 years,3,19.7,65
2019/20 Q1,East Renfrewshire,75-84 years,4,18.2,60
2019/20 Q1,East Renfrewshire,75-84 years,5 (Least Deprived),13.6,45
2019/20 Q1,East Renfrewshire,75-84 years,Unknown,0,0
2019/20 Q1,East Renfrewshire,85+ years,1 (Most Deprived),12.5,70
2019/20 Q1,East Renfrewshire,85+ years,2,25,140
2019/20 Q1,East Renfrewshire,85+ years,3,21.4,120
2019/20 Q1,East Renfrewshire,85+ years,4,25,140
2019/20 Q1,East Renfrewshire,85+ years,5 (Least Deprived),16.1,90
2019/20 Q1,East Renfrewshire,85+ years,Unknown,0,0
2019/20 Q1,East Renfrewshire,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,East Renfrewshire,Unknown,2,NA,0
2019/20 Q1,East Renfrewshire,Unknown,3,NA,0
2019/20 Q1,East Renfrewshire,Unknown,4,NA,0
2019/20 Q1,East Renfrewshire,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,East Renfrewshire,Unknown,Unknown,NA,0
2019/20 Q1,Falkirk,All Ages,1 (Most Deprived),26.8,570
2019/20 Q1,Falkirk,All Ages,2,23.9,510
2019/20 Q1,Falkirk,All Ages,3,21.4,455
2019/20 Q1,Falkirk,All Ages,4,17.4,370
2019/20 Q1,Falkirk,All Ages,5 (Least Deprived),10.3,220
2019/20 Q1,Falkirk,All Ages,Unknown,0.2,5
2019/20 Q1,Falkirk,0-17 years,1 (Most Deprived),25,5
2019/20 Q1,Falkirk,0-17 years,2,25,5
2019/20 Q1,Falkirk,0-17 years,3,25,5
2019/20 Q1,Falkirk,0-17 years,4,25,5
2019/20 Q1,Falkirk,0-17 years,5 (Least Deprived),0,0
2019/20 Q1,Falkirk,0-17 years,Unknown,0,0
2019/20 Q1,Falkirk,18-64 years,1 (Most Deprived),36.6,75
2019/20 Q1,Falkirk,18-64 years,2,24.4,50
2019/20 Q1,Falkirk,18-64 years,3,17.1,35
2019/20 Q1,Falkirk,18-64 years,4,14.6,30
2019/20 Q1,Falkirk,18-64 years,5 (Least Deprived),7.3,15
2019/20 Q1,Falkirk,18-64 years,Unknown,0,0
2019/20 Q1,Falkirk,65-74 years,1 (Most Deprived),33.9,105
2019/20 Q1,Falkirk,65-74 years,2,25.8,80
2019/20 Q1,Falkirk,65-74 years,3,19.4,60
2019/20 Q1,Falkirk,65-74 years,4,11.3,35
2019/20 Q1,Falkirk,65-74 years,5 (Least Deprived),9.7,30
2019/20 Q1,Falkirk,65-74 years,Unknown,0,0
2019/20 Q1,Falkirk,75-84 years,1 (Most Deprived),26.2,195
2019/20 Q1,Falkirk,75-84 years,2,24.2,180
2019/20 Q1,Falkirk,75-84 years,3,22.1,165
2019/20 Q1,Falkirk,75-84 years,4,18.1,135
2019/20 Q1,Falkirk,75-84 years,5 (Least Deprived),9.4,70
2019/20 Q1,Falkirk,75-84 years,Unknown,0,0
2019/20 Q1,Falkirk,85+ years,1 (Most Deprived),22.5,190
2019/20 Q1,Falkirk,85+ years,2,23.1,195
2019/20 Q1,Falkirk,85+ years,3,22.5,190
2019/20 Q1,Falkirk,85+ years,4,19.5,165
2019/20 Q1,Falkirk,85+ years,5 (Least Deprived),12.4,105
2019/20 Q1,Falkirk,85+ years,Unknown,0,0
2019/20 Q1,Falkirk,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,Falkirk,Unknown,2,NA,0
2019/20 Q1,Falkirk,Unknown,3,NA,0
2019/20 Q1,Falkirk,Unknown,4,NA,0
2019/20 Q1,Falkirk,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,Falkirk,Unknown,Unknown,NA,0
2019/20 Q1,Fife,All Ages,1 (Most Deprived),27.3,1005
2019/20 Q1,Fife,All Ages,2,25.8,950
2019/20 Q1,Fife,All Ages,3,18.8,690
2019/20 Q1,Fife,All Ages,4,18.8,690
2019/20 Q1,Fife,All Ages,5 (Least Deprived),9.2,340
2019/20 Q1,Fife,All Ages,Unknown,0.1,5
2019/20 Q1,Fife,0-17 years,1 (Most Deprived),50,5
2019/20 Q1,Fife,0-17 years,2,0,0
2019/20 Q1,Fife,0-17 years,3,50,5
2019/20 Q1,Fife,0-17 years,4,0,0
2019/20 Q1,Fife,0-17 years,5 (Least Deprived),0,0
2019/20 Q1,Fife,0-17 years,Unknown,0,0
2019/20 Q1,Fife,18-64 years,1 (Most Deprived),38.1,400
2019/20 Q1,Fife,18-64 years,2,27.6,290
2019/20 Q1,Fife,18-64 years,3,18.1,190
2019/20 Q1,Fife,18-64 years,4,10,105
2019/20 Q1,Fife,18-64 years,5 (Least Deprived),6.2,65
2019/20 Q1,Fife,18-64 years,Unknown,0,0
2019/20 Q1,Fife,65-74 years,1 (Most Deprived),29.2,155
2019/20 Q1,Fife,65-74 years,2,27.4,145
2019/20 Q1,Fife,65-74 years,3,18.9,100
2019/20 Q1,Fife,65-74 years,4,18.9,100
2019/20 Q1,Fife,65-74 years,5 (Least Deprived),5.7,30
2019/20 Q1,Fife,65-74 years,Unknown,0,0
2019/20 Q1,Fife,75-84 years,1 (Most Deprived),23.8,220
2019/20 Q1,Fife,75-84 years,2,25.4,235
2019/20 Q1,Fife,75-84 years,3,19.5,180
2019/20 Q1,Fife,75-84 years,4,22.2,205
2019/20 Q1,Fife,75-84 years,5 (Least Deprived),9.2,85
2019/20 Q1,Fife,75-84 years,Unknown,0,0
2019/20 Q1,Fife,85+ years,1 (Most Deprived),19,220
2019/20 Q1,Fife,85+ years,2,24.2,280
2019/20 Q1,Fife,85+ years,3,19,220
2019/20 Q1,Fife,85+ years,4,24.2,280
2019/20 Q1,Fife,85+ years,5 (Least Deprived),13.4,155
2019/20 Q1,Fife,85+ years,Unknown,0,0
2019/20 Q1,Fife,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,Fife,Unknown,2,NA,0
2019/20 Q1,Fife,Unknown,3,NA,0
2019/20 Q1,Fife,Unknown,4,NA,0
2019/20 Q1,Fife,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,Fife,Unknown,Unknown,NA,0
2019/20 Q1,Glasgow City,All Ages,1 (Most Deprived),25.3,1675
2019/20 Q1,Glasgow City,All Ages,2,22.8,1510
2019/20 Q1,Glasgow City,All Ages,3,23.2,1535
2019/20 Q1,Glasgow City,All Ages,4,16.7,1105
2019/20 Q1,Glasgow City,All Ages,5 (Least Deprived),11.8,780
2019/20 Q1,Glasgow City,All Ages,Unknown,0.1,5
2019/20 Q1,Glasgow City,0-17 years,1 (Most Deprived),33.3,5
2019/20 Q1,Glasgow City,0-17 years,2,33.3,5
2019/20 Q1,Glasgow City,0-17 years,3,33.3,5
2019/20 Q1,Glasgow City,0-17 years,4,0,0
2019/20 Q1,Glasgow City,0-17 years,5 (Least Deprived),0,0
2019/20 Q1,Glasgow City,0-17 years,Unknown,0,0
2019/20 Q1,Glasgow City,18-64 years,1 (Most Deprived),32.6,155
2019/20 Q1,Glasgow City,18-64 years,2,26.3,125
2019/20 Q1,Glasgow City,18-64 years,3,24.2,115
2019/20 Q1,Glasgow City,18-64 years,4,11.6,55
2019/20 Q1,Glasgow City,18-64 years,5 (Least Deprived),5.3,25
2019/20 Q1,Glasgow City,18-64 years,Unknown,0,0
2019/20 Q1,Glasgow City,65-74 years,1 (Most Deprived),31.5,335
2019/20 Q1,Glasgow City,65-74 years,2,22.5,240
2019/20 Q1,Glasgow City,65-74 years,3,21.1,225
2019/20 Q1,Glasgow City,65-74 years,4,15.5,165
2019/20 Q1,Glasgow City,65-74 years,5 (Least Deprived),9.4,100
2019/20 Q1,Glasgow City,65-74 years,Unknown,0,0
2019/20 Q1,Glasgow City,75-84 years,1 (Most Deprived),27.4,675
2019/20 Q1,Glasgow City,75-84 years,2,22.9,565
2019/20 Q1,Glasgow City,75-84 years,3,22.7,560
2019/20 Q1,Glasgow City,75-84 years,4,15.6,385
2019/20 Q1,Glasgow City,75-84 years,5 (Least Deprived),11.4,280
2019/20 Q1,Glasgow City,75-84 years,Unknown,0,0
2019/20 Q1,Glasgow City,85+ years,1 (Most Deprived),19.6,505
2019/20 Q1,Glasgow City,85+ years,2,22.5,580
2019/20 Q1,Glasgow City,85+ years,3,24.4,630
2019/20 Q1,Glasgow City,85+ years,4,19.2,495
2019/20 Q1,Glasgow City,85+ years,5 (Least Deprived),14.3,370
2019/20 Q1,Glasgow City,85+ years,Unknown,0,0
2019/20 Q1,Glasgow City,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,Glasgow City,Unknown,2,NA,0
2019/20 Q1,Glasgow City,Unknown,3,NA,0
2019/20 Q1,Glasgow City,Unknown,4,NA,0
2019/20 Q1,Glasgow City,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,Glasgow City,Unknown,Unknown,NA,0
2019/20 Q1,Highland,All Ages,1 (Most Deprived),24.3,510
2019/20 Q1,Highland,All Ages,2,20.2,425
2019/20 Q1,Highland,All Ages,3,16.9,355
2019/20 Q1,Highland,All Ages,4,21.4,450
2019/20 Q1,Highland,All Ages,5 (Least Deprived),16.9,355
2019/20 Q1,Highland,All Ages,Unknown,0.2,5
2019/20 Q1,Highland,0-17 years,1 (Most Deprived),NA,0
2019/20 Q1,Highland,0-17 years,2,NA,0
2019/20 Q1,Highland,0-17 years,3,NA,0
2019/20 Q1,Highland,0-17 years,4,NA,0
2019/20 Q1,Highland,0-17 years,5 (Least Deprived),NA,0
2019/20 Q1,Highland,0-17 years,Unknown,NA,0
2019/20 Q1,Highland,18-64 years,1 (Most Deprived),37.1,65
2019/20 Q1,Highland,18-64 years,2,28.6,50
2019/20 Q1,Highland,18-64 years,3,14.3,25
2019/20 Q1,Highland,18-64 years,4,11.4,20
2019/20 Q1,Highland,18-64 years,5 (Least Deprived),8.6,15
2019/20 Q1,Highland,18-64 years,Unknown,0,0
2019/20 Q1,Highland,65-74 years,1 (Most Deprived),27.6,80
2019/20 Q1,Highland,65-74 years,2,20.7,60
2019/20 Q1,Highland,65-74 years,3,13.8,40
2019/20 Q1,Highland,65-74 years,4,19,55
2019/20 Q1,Highland,65-74 years,5 (Least Deprived),19,55
2019/20 Q1,Highland,65-74 years,Unknown,0,0
2019/20 Q1,Highland,75-84 years,1 (Most Deprived),24.8,165
2019/20 Q1,Highland,75-84 years,2,18.8,125
2019/20 Q1,Highland,75-84 years,3,16.5,110
2019/20 Q1,Highland,75-84 years,4,22.6,150
2019/20 Q1,Highland,75-84 years,5 (Least Deprived),17.3,115
2019/20 Q1,Highland,75-84 years,Unknown,0,0
2019/20 Q1,Highland,85+ years,1 (Most Deprived),20.2,195
2019/20 Q1,Highland,85+ years,2,19.7,190
2019/20 Q1,Highland,85+ years,3,18.1,175
2019/20 Q1,Highland,85+ years,4,23.8,230
2019/20 Q1,Highland,85+ years,5 (Least Deprived),17.6,170
2019/20 Q1,Highland,85+ years,Unknown,0.5,5
2019/20 Q1,Highland,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,Highland,Unknown,2,NA,0
2019/20 Q1,Highland,Unknown,3,NA,0
2019/20 Q1,Highland,Unknown,4,NA,0
2019/20 Q1,Highland,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,Highland,Unknown,Unknown,NA,0
2019/20 Q1,Inverclyde,All Ages,1 (Most Deprived),25.6,360
2019/20 Q1,Inverclyde,All Ages,2,19.9,280
2019/20 Q1,Inverclyde,All Ages,3,17.8,250
2019/20 Q1,Inverclyde,All Ages,4,22.4,315
2019/20 Q1,Inverclyde,All Ages,5 (Least Deprived),14.2,200
2019/20 Q1,Inverclyde,All Ages,Unknown,0,0
2019/20 Q1,Inverclyde,0-17 years,1 (Most Deprived),NA,0
2019/20 Q1,Inverclyde,0-17 years,2,NA,0
2019/20 Q1,Inverclyde,0-17 years,3,NA,0
2019/20 Q1,Inverclyde,0-17 years,4,NA,0
2019/20 Q1,Inverclyde,0-17 years,5 (Least Deprived),NA,0
2019/20 Q1,Inverclyde,0-17 years,Unknown,NA,0
2019/20 Q1,Inverclyde,18-64 years,1 (Most Deprived),38.5,50
2019/20 Q1,Inverclyde,18-64 years,2,23.1,30
2019/20 Q1,Inverclyde,18-64 years,3,15.4,20
2019/20 Q1,Inverclyde,18-64 years,4,15.4,20
2019/20 Q1,Inverclyde,18-64 years,5 (Least Deprived),7.7,10
2019/20 Q1,Inverclyde,18-64 years,Unknown,0,0
2019/20 Q1,Inverclyde,65-74 years,1 (Most Deprived),33.3,80
2019/20 Q1,Inverclyde,65-74 years,2,18.8,45
2019/20 Q1,Inverclyde,65-74 years,3,27.1,65
2019/20 Q1,Inverclyde,65-74 years,4,12.5,30
2019/20 Q1,Inverclyde,65-74 years,5 (Least Deprived),8.3,20
2019/20 Q1,Inverclyde,65-74 years,Unknown,0,0
2019/20 Q1,Inverclyde,75-84 years,1 (Most Deprived),24.8,125
2019/20 Q1,Inverclyde,75-84 years,2,22.8,115
2019/20 Q1,Inverclyde,75-84 years,3,16.8,85
2019/20 Q1,Inverclyde,75-84 years,4,19.8,100
2019/20 Q1,Inverclyde,75-84 years,5 (Least Deprived),15.8,80
2019/20 Q1,Inverclyde,75-84 years,Unknown,0,0
2019/20 Q1,Inverclyde,85+ years,1 (Most Deprived),19,100
2019/20 Q1,Inverclyde,85+ years,2,17.1,90
2019/20 Q1,Inverclyde,85+ years,3,15.2,80
2019/20 Q1,Inverclyde,85+ years,4,31.4,165
2019/20 Q1,Inverclyde,85+ years,5 (Least Deprived),17.1,90
2019/20 Q1,Inverclyde,85+ years,Unknown,0,0
2019/20 Q1,Inverclyde,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,Inverclyde,Unknown,2,NA,0
2019/20 Q1,Inverclyde,Unknown,3,NA,0
2019/20 Q1,Inverclyde,Unknown,4,NA,0
2019/20 Q1,Inverclyde,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,Inverclyde,Unknown,Unknown,NA,0
2019/20 Q1,Midlothian,All Ages,1 (Most Deprived),22.8,250
2019/20 Q1,Midlothian,All Ages,2,24.7,270
2019/20 Q1,Midlothian,All Ages,3,24.2,265
2019/20 Q1,Midlothian,All Ages,4,15.1,165
2019/20 Q1,Midlothian,All Ages,5 (Least Deprived),13.2,145
2019/20 Q1,Midlothian,All Ages,Unknown,0,0
2019/20 Q1,Midlothian,0-17 years,1 (Most Deprived),NA,0
2019/20 Q1,Midlothian,0-17 years,2,NA,0
2019/20 Q1,Midlothian,0-17 years,3,NA,0
2019/20 Q1,Midlothian,0-17 years,4,NA,0
2019/20 Q1,Midlothian,0-17 years,5 (Least Deprived),NA,0
2019/20 Q1,Midlothian,0-17 years,Unknown,NA,0
2019/20 Q1,Midlothian,18-64 years,1 (Most Deprived),27.1,80
2019/20 Q1,Midlothian,18-64 years,2,28.8,85
2019/20 Q1,Midlothian,18-64 years,3,18.6,55
2019/20 Q1,Midlothian,18-64 years,4,15.3,45
2019/20 Q1,Midlothian,18-64 years,5 (Least Deprived),10.2,30
2019/20 Q1,Midlothian,18-64 years,Unknown,0,0
2019/20 Q1,Midlothian,65-74 years,1 (Most Deprived),17.6,30
2019/20 Q1,Midlothian,65-74 years,2,29.4,50
2019/20 Q1,Midlothian,65-74 years,3,26.5,45
2019/20 Q1,Midlothian,65-74 years,4,17.6,30
2019/20 Q1,Midlothian,65-74 years,5 (Least Deprived),8.8,15
2019/20 Q1,Midlothian,65-74 years,Unknown,0,0
2019/20 Q1,Midlothian,75-84 years,1 (Most Deprived),22.6,70
2019/20 Q1,Midlothian,75-84 years,2,22.6,70
2019/20 Q1,Midlothian,75-84 years,3,27.4,85
2019/20 Q1,Midlothian,75-84 years,4,12.9,40
2019/20 Q1,Midlothian,75-84 years,5 (Least Deprived),14.5,45
2019/20 Q1,Midlothian,75-84 years,Unknown,0,0
2019/20 Q1,Midlothian,85+ years,1 (Most Deprived),20.6,65
2019/20 Q1,Midlothian,85+ years,2,20.6,65
2019/20 Q1,Midlothian,85+ years,3,27,85
2019/20 Q1,Midlothian,85+ years,4,15.9,50
2019/20 Q1,Midlothian,85+ years,5 (Least Deprived),15.9,50
2019/20 Q1,Midlothian,85+ years,Unknown,0,0
2019/20 Q1,Midlothian,Unknown,1 (Most Deprived),NA,0
2019/20 Q1,Midlothian,Unknown,2,NA,0
2019/20 Q1,Midlothian,Unknown,3,NA,0
2019/20 Q1,Midlothian,Unknown,4,NA,0
2019/20 Q1,Midlothian,Unknown,5 (Least Deprived),NA,0
2019/20 Q1,Midlothian,Unknown,Unknown,NA,0
2019/20 Q1,Moray,All Ages,1 (Most Deprived),22,250
2019/20 Q1,Moray,All Ages,2,23.3,265
2019/20 Q1,Moray,All Ages,3,15.9,180
2019/20 Q1,Moray,All Ages,4,19.8,225
