financial_quarter,sending_location,age_group,referral_source,percentage,numerator,scotland_percentage
2019/20 Q1,South Ayrshire,All Ages,GP,2.2,10,3.1
2019/20 Q1,South Ayrshire,All Ages,Care Home,0,0,0
2019/20 Q1,South Ayrshire,All Ages,Self Referral,18.3,85,15.6
2019/20 Q1,South Ayrshire,All Ages,Other/Unknown,4.3,20,4.8
2019/20 Q1,South Ayrshire,0-17 years,999 Emergency Services,0,0,20
2019/20 Q1,South Ayrshire,0-17 years,GP,0,0,0
2019/20 Q1,South Ayrshire,0-17 years,Care Home,0,0,0
2019/20 Q1,South Ayrshire,0-17 years,Self Referral,0,0,80
2019/20 Q1,South Ayrshire,0-17 years,Other/Unknown,0,0,0
2019/20 Q1,South Ayrshire,18-64 years,999 Emergency Services,58.8,100,61.6
2019/20 Q1,South Ayrshire,18-64 years,GP,0,0,2.8
2019/20 Q1,South Ayrshire,18-64 years,Care Home,0,0,0
2019/20 Q1,South Ayrshire,18-64 years,Self Referral,32.4,55,25.5
2019/20 Q1,South Ayrshire,18-64 years,Other/Unknown,8.8,15,10.1
2019/20 Q1,South Ayrshire,65-74 years,999 Emergency Services,90,45,78.4
2019/20 Q1,South Ayrshire,65-74 years,GP,0,0,2.4
2019/20 Q1,South Ayrshire,65-74 years,Care Home,0,0,0
2019/20 Q1,South Ayrshire,65-74 years,Self Referral,10,5,15.3
2019/20 Q1,South Ayrshire,65-74 years,Other/Unknown,0,0,3.9
2019/20 Q1,South Ayrshire,75-84 years,999 Emergency Services,85,85,80.2
2019/20 Q1,South Ayrshire,75-84 years,GP,5,5,3.6
2019/20 Q1,South Ayrshire,75-84 years,Care Home,0,0,0
2019/20 Q1,South Ayrshire,75-84 years,Self Referral,10,10,12.6
2019/20 Q1,South Ayrshire,75-84 years,Other/Unknown,0,0,3.6
2019/20 Q1,South Ayrshire,85+ years,999 Emergency Services,88.9,120,80.7
2019/20 Q1,South Ayrshire,85+ years,GP,0,0,3
2019/20 Q1,South Ayrshire,85+ years,Care Home,0,0,0
2019/20 Q1,South Ayrshire,85+ years,Self Referral,11.1,15,12.8
2019/20 Q1,South Ayrshire,85+ years,Other/Unknown,0,0,3.5
2019/20 Q1,South Ayrshire,Unknown,999 Emergency Services,0,0,0
2019/20 Q1,South Ayrshire,Unknown,GP,0,0,0
2019/20 Q1,South Ayrshire,Unknown,Care Home,0,0,0
2019/20 Q1,South Ayrshire,Unknown,Self Referral,0,0,0
2019/20 Q1,South Ayrshire,Unknown,Other/Unknown,0,0,0
2019/20 Q1,South Lanarkshire,All Ages,999 Emergency Services,75.4,980,76.5
2019/20 Q1,South Lanarkshire,All Ages,GP,6.9,90,3.1
2019/20 Q1,South Lanarkshire,All Ages,Care Home,0,0,0
2019/20 Q1,South Lanarkshire,All Ages,Self Referral,15,195,15.6
2019/20 Q1,South Lanarkshire,All Ages,Other/Unknown,2.7,35,4.8
2019/20 Q1,South Lanarkshire,0-17 years,999 Emergency Services,0,0,20
2019/20 Q1,South Lanarkshire,0-17 years,GP,0,0,0
2019/20 Q1,South Lanarkshire,0-17 years,Care Home,0,0,0
2019/20 Q1,South Lanarkshire,0-17 years,Self Referral,100,5,80
2019/20 Q1,South Lanarkshire,0-17 years,Other/Unknown,0,0,0
2019/20 Q1,South Lanarkshire,18-64 years,999 Emergency Services,66.7,130,61.6
2019/20 Q1,South Lanarkshire,18-64 years,GP,5.1,10,2.8
2019/20 Q1,South Lanarkshire,18-64 years,Care Home,0,0,0
2019/20 Q1,South Lanarkshire,18-64 years,Self Referral,25.6,50,25.5
2019/20 Q1,South Lanarkshire,18-64 years,Other/Unknown,2.6,5,10.1
2019/20 Q1,South Lanarkshire,65-74 years,999 Emergency Services,82.9,145,78.4
2019/20 Q1,South Lanarkshire,65-74 years,GP,5.7,10,2.4
2019/20 Q1,South Lanarkshire,65-74 years,Care Home,0,0,0
2019/20 Q1,South Lanarkshire,65-74 years,Self Referral,11.4,20,15.3
2019/20 Q1,South Lanarkshire,65-74 years,Other/Unknown,0,0,3.9
2019/20 Q1,South Lanarkshire,75-84 years,999 Emergency Services,72.7,320,80.2
2019/20 Q1,South Lanarkshire,75-84 years,GP,10.2,45,3.6
2019/20 Q1,South Lanarkshire,75-84 years,Care Home,0,0,0
2019/20 Q1,South Lanarkshire,75-84 years,Self Referral,13.6,60,12.6
2019/20 Q1,South Lanarkshire,75-84 years,Other/Unknown,3.4,15,3.6
2019/20 Q1,South Lanarkshire,85+ years,999 Emergency Services,77.6,380,80.7
2019/20 Q1,South Lanarkshire,85+ years,GP,6.1,30,3
2019/20 Q1,South Lanarkshire,85+ years,Care Home,0,0,0
2019/20 Q1,South Lanarkshire,85+ years,Self Referral,13.3,65,12.8
2019/20 Q1,South Lanarkshire,85+ years,Other/Unknown,3.1,15,3.5
2019/20 Q1,South Lanarkshire,Unknown,999 Emergency Services,0,0,0
2019/20 Q1,South Lanarkshire,Unknown,GP,0,0,0
2019/20 Q1,South Lanarkshire,Unknown,Care Home,0,0,0
2019/20 Q1,South Lanarkshire,Unknown,Self Referral,0,0,0
2019/20 Q1,South Lanarkshire,Unknown,Other/Unknown,0,0,0
2019/20 Q1,Stirling,All Ages,999 Emergency Services,68.3,215,76.5
2019/20 Q1,Stirling,All Ages,GP,1.6,5,3.1
2019/20 Q1,Stirling,All Ages,Care Home,0,0,0
2019/20 Q1,Stirling,All Ages,Self Referral,20.6,65,15.6
2019/20 Q1,Stirling,All Ages,Other/Unknown,9.5,30,4.8
2019/20 Q1,Stirling,0-17 years,999 Emergency Services,0,0,20
2019/20 Q1,Stirling,0-17 years,GP,0,0,0
2019/20 Q1,Stirling,0-17 years,Care Home,0,0,0
2019/20 Q1,Stirling,0-17 years,Self Referral,0,0,80
2019/20 Q1,Stirling,0-17 years,Other/Unknown,0,0,0
2019/20 Q1,Stirling,18-64 years,999 Emergency Services,58.3,70,61.6
2019/20 Q1,Stirling,18-64 years,GP,0,0,2.8
2019/20 Q1,Stirling,18-64 years,Care Home,0,0,0
2019/20 Q1,Stirling,18-64 years,Self Referral,29.2,35,25.5
2019/20 Q1,Stirling,18-64 years,Other/Unknown,12.5,15,10.1
2019/20 Q1,Stirling,65-74 years,999 Emergency Services,80,20,78.4
2019/20 Q1,Stirling,65-74 years,GP,0,0,2.4
2019/20 Q1,Stirling,65-74 years,Care Home,0,0,0
2019/20 Q1,Stirling,65-74 years,Self Referral,20,5,15.3
2019/20 Q1,Stirling,65-74 years,Other/Unknown,0,0,3.9
2019/20 Q1,Stirling,75-84 years,999 Emergency Services,78.9,75,80.2
2019/20 Q1,Stirling,75-84 years,GP,0,0,3.6
2019/20 Q1,Stirling,75-84 years,Care Home,0,0,0
2019/20 Q1,Stirling,75-84 years,Self Referral,15.8,15,12.6
2019/20 Q1,Stirling,75-84 years,Other/Unknown,5.3,5,3.6
2019/20 Q1,Stirling,85+ years,999 Emergency Services,73.3,55,80.7
2019/20 Q1,Stirling,85+ years,GP,6.7,5,3
2019/20 Q1,Stirling,85+ years,Care Home,0,0,0
2019/20 Q1,Stirling,85+ years,Self Referral,13.3,10,12.8
2019/20 Q1,Stirling,85+ years,Other/Unknown,6.7,5,3.5
2019/20 Q1,Stirling,Unknown,999 Emergency Services,0,0,0
2019/20 Q1,Stirling,Unknown,GP,0,0,0
2019/20 Q1,Stirling,Unknown,Care Home,0,0,0
2019/20 Q1,Stirling,Unknown,Self Referral,0,0,0
2019/20 Q1,Stirling,Unknown,Other/Unknown,0,0,0
2019/20 Q1,West Dunbartonshire,All Ages,999 Emergency Services,78.3,685,76.5
2019/20 Q1,West Dunbartonshire,All Ages,GP,6.3,55,3.1
2019/20 Q1,West Dunbartonshire,All Ages,Care Home,0,0,0
2019/20 Q1,West Dunbartonshire,All Ages,Self Referral,10.9,95,15.6
2019/20 Q1,West Dunbartonshire,All Ages,Other/Unknown,4.6,40,4.8
2019/20 Q1,West Dunbartonshire,0-17 years,999 Emergency Services,0,0,20
2019/20 Q1,West Dunbartonshire,0-17 years,GP,0,0,0
2019/20 Q1,West Dunbartonshire,0-17 years,Care Home,0,0,0
2019/20 Q1,West Dunbartonshire,0-17 years,Self Referral,0,0,80
2019/20 Q1,West Dunbartonshire,0-17 years,Other/Unknown,0,0,0
2019/20 Q1,West Dunbartonshire,18-64 years,999 Emergency Services,82.6,95,61.6
2019/20 Q1,West Dunbartonshire,18-64 years,GP,4.3,5,2.8
2019/20 Q1,West Dunbartonshire,18-64 years,Care Home,0,0,0
2019/20 Q1,West Dunbartonshire,18-64 years,Self Referral,13,15,25.5
2019/20 Q1,West Dunbartonshire,18-64 years,Other/Unknown,0,0,10.1
2019/20 Q1,West Dunbartonshire,65-74 years,999 Emergency Services,75,105,78.4
2019/20 Q1,West Dunbartonshire,65-74 years,GP,7.1,10,2.4
2019/20 Q1,West Dunbartonshire,65-74 years,Care Home,0,0,0
2019/20 Q1,West Dunbartonshire,65-74 years,Self Referral,10.7,15,15.3
2019/20 Q1,West Dunbartonshire,65-74 years,Other/Unknown,7.1,10,3.9
2019/20 Q1,West Dunbartonshire,75-84 years,999 Emergency Services,82,250,80.2
2019/20 Q1,West Dunbartonshire,75-84 years,GP,3.3,10,3.6
2019/20 Q1,West Dunbartonshire,75-84 years,Care Home,0,0,0
2019/20 Q1,West Dunbartonshire,75-84 years,Self Referral,9.8,30,12.6
2019/20 Q1,West Dunbartonshire,75-84 years,Other/Unknown,4.9,15,3.6
2019/20 Q1,West Dunbartonshire,85+ years,999 Emergency Services,75.8,235,80.7
2019/20 Q1,West Dunbartonshire,85+ years,GP,11.3,35,3
2019/20 Q1,West Dunbartonshire,85+ years,Care Home,0,0,0
2019/20 Q1,West Dunbartonshire,85+ years,Self Referral,9.7,30,12.8
2019/20 Q1,West Dunbartonshire,85+ years,Other/Unknown,3.2,10,3.5
2019/20 Q1,West Dunbartonshire,Unknown,999 Emergency Services,0,0,0
2019/20 Q1,West Dunbartonshire,Unknown,GP,0,0,0
2019/20 Q1,West Dunbartonshire,Unknown,Care Home,0,0,0
2019/20 Q1,West Dunbartonshire,Unknown,Self Referral,0,0,0
2019/20 Q1,West Dunbartonshire,Unknown,Other/Unknown,0,0,0
2019/20 Q1,West Lothian,All Ages,999 Emergency Services,73.7,505,76.5
2019/20 Q1,West Lothian,All Ages,GP,1.5,10,3.1
2019/20 Q1,West Lothian,All Ages,Care Home,0,0,0
2019/20 Q1,West Lothian,All Ages,Self Referral,16.8,115,15.6
2019/20 Q1,West Lothian,All Ages,Other/Unknown,8,55,4.8
2019/20 Q1,West Lothian,0-17 years,999 Emergency Services,0,0,20
2019/20 Q1,West Lothian,0-17 years,GP,0,0,0
2019/20 Q1,West Lothian,0-17 years,Care Home,0,0,0
2019/20 Q1,West Lothian,0-17 years,Self Referral,0,0,80
2019/20 Q1,West Lothian,0-17 years,Other/Unknown,0,0,0
2019/20 Q1,West Lothian,18-64 years,999 Emergency Services,50,95,61.6
2019/20 Q1,West Lothian,18-64 years,GP,2.6,5,2.8
2019/20 Q1,West Lothian,18-64 years,Care Home,0,0,0
2019/20 Q1,West Lothian,18-64 years,Self Referral,36.8,70,25.5
2019/20 Q1,West Lothian,18-64 years,Other/Unknown,10.5,20,10.1
2019/20 Q1,West Lothian,65-74 years,999 Emergency Services,86.4,95,78.4
2019/20 Q1,West Lothian,65-74 years,GP,0,0,2.4
2019/20 Q1,West Lothian,65-74 years,Care Home,0,0,0
2019/20 Q1,West Lothian,65-74 years,Self Referral,13.6,15,15.3
2019/20 Q1,West Lothian,65-74 years,Other/Unknown,0,0,3.9
2019/20 Q1,West Lothian,75-84 years,999 Emergency Services,91.7,165,80.2
2019/20 Q1,West Lothian,75-84 years,GP,0,0,3.6
2019/20 Q1,West Lothian,75-84 years,Care Home,0,0,0
2019/20 Q1,West Lothian,75-84 years,Self Referral,2.8,5,12.6
2019/20 Q1,West Lothian,75-84 years,Other/Unknown,5.6,10,3.6
2019/20 Q1,West Lothian,85+ years,999 Emergency Services,75,150,80.7
2019/20 Q1,West Lothian,85+ years,GP,2.5,5,3
2019/20 Q1,West Lothian,85+ years,Care Home,0,0,0
2019/20 Q1,West Lothian,85+ years,Self Referral,10,20,12.8
2019/20 Q1,West Lothian,85+ years,Other/Unknown,12.5,25,3.5
2019/20 Q1,West Lothian,Unknown,999 Emergency Services,0,0,0
2019/20 Q1,West Lothian,Unknown,GP,0,0,0
2019/20 Q1,West Lothian,Unknown,Care Home,0,0,0
2019/20 Q1,West Lothian,Unknown,Self Referral,0,0,0
2019/20 Q1,West Lothian,Unknown,Other/Unknown,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),All Ages,999 Emergency Services,75.6,13365,75.6
2019/20 Q2,Scotland (All Areas Submitted),All Ages,GP,3.1,550,3.1
2019/20 Q2,Scotland (All Areas Submitted),All Ages,Care Home,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),All Ages,Self Referral,16.1,2855,16.1
2019/20 Q2,Scotland (All Areas Submitted),All Ages,Other/Unknown,5.2,920,5.2
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,999 Emergency Services,33.3,10,33.3
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,GP,16.7,5,16.7
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Care Home,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Self Referral,33.3,10,33.3
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Other/Unknown,16.7,5,16.7
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,999 Emergency Services,60.2,1985,60.2
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,GP,3.5,115,3.5
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Care Home,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Self Referral,26.4,870,26.4
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Other/Unknown,10,330,10
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,999 Emergency Services,77.9,2150,77.9
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,GP,2.5,70,2.5
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Care Home,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Self Referral,15,415,15
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Other/Unknown,4.5,125,4.5
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,999 Emergency Services,78.4,4355,78.4
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,GP,3.2,180,3.2
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Care Home,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Self Referral,14.1,785,14.1
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Other/Unknown,4.2,235,4.2
2019/20 Q2,Scotland (All Areas Submitted),85+ years,999 Emergency Services,80.6,4865,80.6
2019/20 Q2,Scotland (All Areas Submitted),85+ years,GP,2.9,175,2.9
2019/20 Q2,Scotland (All Areas Submitted),85+ years,Care Home,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),85+ years,Self Referral,12.8,770,12.8
2019/20 Q2,Scotland (All Areas Submitted),85+ years,Other/Unknown,3.7,225,3.7
2019/20 Q2,Scotland (All Areas Submitted),Unknown,999 Emergency Services,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),Unknown,GP,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),Unknown,Care Home,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),Unknown,Self Referral,0,0,0
2019/20 Q2,Scotland (All Areas Submitted),Unknown,Other/Unknown,0,0,0
2019/20 Q2,Aberdeenshire,All Ages,999 Emergency Services,87.9,255,75.6
2019/20 Q2,Aberdeenshire,All Ages,GP,3.4,10,3.1
2019/20 Q2,Aberdeenshire,All Ages,Care Home,0,0,0
2019/20 Q2,Aberdeenshire,All Ages,Self Referral,6.9,20,16.1
2019/20 Q2,Aberdeenshire,All Ages,Other/Unknown,1.7,5,5.2
2019/20 Q2,Aberdeenshire,0-17 years,999 Emergency Services,0,0,33.3
2019/20 Q2,Aberdeenshire,0-17 years,GP,0,0,16.7
2019/20 Q2,Aberdeenshire,0-17 years,Care Home,0,0,0
2019/20 Q2,Aberdeenshire,0-17 years,Self Referral,0,0,33.3
2019/20 Q2,Aberdeenshire,0-17 years,Other/Unknown,0,0,16.7
2019/20 Q2,Aberdeenshire,18-64 years,999 Emergency Services,100,25,60.2
2019/20 Q2,Aberdeenshire,18-64 years,GP,0,0,3.5
2019/20 Q2,Aberdeenshire,18-64 years,Care Home,0,0,0
2019/20 Q2,Aberdeenshire,18-64 years,Self Referral,0,0,26.4
2019/20 Q2,Aberdeenshire,18-64 years,Other/Unknown,0,0,10
2019/20 Q2,Aberdeenshire,65-74 years,999 Emergency Services,70,35,77.9
2019/20 Q2,Aberdeenshire,65-74 years,GP,10,5,2.5
2019/20 Q2,Aberdeenshire,65-74 years,Care Home,0,0,0
2019/20 Q2,Aberdeenshire,65-74 years,Self Referral,10,5,15
2019/20 Q2,Aberdeenshire,65-74 years,Other/Unknown,10,5,4.5
2019/20 Q2,Aberdeenshire,75-84 years,999 Emergency Services,90.5,95,78.4
2019/20 Q2,Aberdeenshire,75-84 years,GP,0,0,3.2
2019/20 Q2,Aberdeenshire,75-84 years,Care Home,0,0,0
2019/20 Q2,Aberdeenshire,75-84 years,Self Referral,9.5,10,14.1
2019/20 Q2,Aberdeenshire,75-84 years,Other/Unknown,0,0,4.2
2019/20 Q2,Aberdeenshire,85+ years,999 Emergency Services,87.5,105,80.6
2019/20 Q2,Aberdeenshire,85+ years,GP,4.2,5,2.9
2019/20 Q2,Aberdeenshire,85+ years,Care Home,0,0,0
2019/20 Q2,Aberdeenshire,85+ years,Self Referral,8.3,10,12.8
2019/20 Q2,Aberdeenshire,85+ years,Other/Unknown,0,0,3.7
2019/20 Q2,Aberdeenshire,Unknown,999 Emergency Services,0,0,0
2019/20 Q2,Aberdeenshire,Unknown,GP,0,0,0
2019/20 Q2,Aberdeenshire,Unknown,Care Home,0,0,0
2019/20 Q2,Aberdeenshire,Unknown,Self Referral,0,0,0
2019/20 Q2,Aberdeenshire,Unknown,Other/Unknown,0,0,0
2019/20 Q2,Angus,All Ages,999 Emergency Services,58.8,100,75.6
2019/20 Q2,Angus,All Ages,GP,8.8,15,3.1
2019/20 Q2,Angus,All Ages,Care Home,0,0,0
2019/20 Q2,Angus,All Ages,Self Referral,20.6,35,16.1
2019/20 Q2,Angus,All Ages,Other/Unknown,11.8,20,5.2
2019/20 Q2,Angus,0-17 years,999 Emergency Services,0,0,33.3
2019/20 Q2,Angus,0-17 years,GP,0,0,16.7
2019/20 Q2,Angus,0-17 years,Care Home,0,0,0
2019/20 Q2,Angus,0-17 years,Self Referral,0,0,33.3
2019/20 Q2,Angus,0-17 years,Other/Unknown,0,0,16.7
2019/20 Q2,Angus,18-64 years,999 Emergency Services,22.2,10,60.2
2019/20 Q2,Angus,18-64 years,GP,11.1,5,3.5
2019/20 Q2,Angus,18-64 years,Care Home,0,0,0
2019/20 Q2,Angus,18-64 years,Self Referral,33.3,15,26.4
2019/20 Q2,Angus,18-64 years,Other/Unknown,33.3,15,10
2019/20 Q2,Angus,65-74 years,999 Emergency Services,100,10,77.9
2019/20 Q2,Angus,65-74 years,GP,0,0,2.5
2019/20 Q2,Angus,65-74 years,Care Home,0,0,0
2019/20 Q2,Angus,65-74 years,Self Referral,0,0,15
2019/20 Q2,Angus,65-74 years,Other/Unknown,0,0,4.5
2019/20 Q2,Angus,75-84 years,999 Emergency Services,77.8,35,78.4
2019/20 Q2,Angus,75-84 years,GP,0,0,3.2
2019/20 Q2,Angus,75-84 years,Care Home,0,0,0
2019/20 Q2,Angus,75-84 years,Self Referral,11.1,5,14.1
2019/20 Q2,Angus,75-84 years,Other/Unknown,11.1,5,4.2
2019/20 Q2,Angus,85+ years,999 Emergency Services,71.4,50,80.6
2019/20 Q2,Angus,85+ years,GP,7.1,5,2.9
2019/20 Q2,Angus,85+ years,Care Home,0,0,0
2019/20 Q2,Angus,85+ years,Self Referral,21.4,15,12.8
2019/20 Q2,Angus,85+ years,Other/Unknown,0,0,3.7
2019/20 Q2,Angus,Unknown,999 Emergency Services,0,0,0
2019/20 Q2,Angus,Unknown,GP,0,0,0
2019/20 Q2,Angus,Unknown,Care Home,0,0,0
2019/20 Q2,Angus,Unknown,Self Referral,0,0,0
2019/20 Q2,Angus,Unknown,Other/Unknown,0,0,0
2019/20 Q2,Argyll and Bute,All Ages,999 Emergency Services,73.6,195,75.6
2019/20 Q2,Argyll and Bute,All Ages,GP,7.5,20,3.1
2019/20 Q2,Argyll and Bute,All Ages,Care Home,0,0,0
2019/20 Q2,Argyll and Bute,All Ages,Self Referral,15.1,40,16.1
2019/20 Q2,Argyll and Bute,All Ages,Other/Unknown,3.8,10,5.2
2019/20 Q2,Argyll and Bute,0-17 years,999 Emergency Services,0,0,33.3
2019/20 Q2,Argyll and Bute,0-17 years,GP,0,0,16.7
2019/20 Q2,Argyll and Bute,0-17 years,Care Home,0,0,0
2019/20 Q2,Argyll and Bute,0-17 years,Self Referral,0,0,33.3
2019/20 Q2,Argyll and Bute,0-17 years,Other/Unknown,0,0,16.7
2019/20 Q2,Argyll and Bute,18-64 years,999 Emergency Services,44.4,20,60.2
2019/20 Q2,Argyll and Bute,18-64 years,GP,11.1,5,3.5
2019/20 Q2,Argyll and Bute,18-64 years,Care Home,0,0,0
2019/20 Q2,Argyll and Bute,18-64 years,Self Referral,44.4,20,26.4
2019/20 Q2,Argyll and Bute,18-64 years,Other/Unknown,0,0,10
2019/20 Q2,Argyll and Bute,65-74 years,999 Emergency Services,75,30,77.9
2019/20 Q2,Argyll and Bute,65-74 years,GP,12.5,5,2.5
2019/20 Q2,Argyll and Bute,65-74 years,Care Home,0,0,0
2019/20 Q2,Argyll and Bute,65-74 years,Self Referral,12.5,5,15
2019/20 Q2,Argyll and Bute,65-74 years,Other/Unknown,0,0,4.5
2019/20 Q2,Argyll and Bute,75-84 years,999 Emergency Services,73.3,55,78.4
2019/20 Q2,Argyll and Bute,75-84 years,GP,6.7,5,3.2
2019/20 Q2,Argyll and Bute,75-84 years,Care Home,0,0,0
2019/20 Q2,Argyll and Bute,75-84 years,Self Referral,13.3,10,14.1
2019/20 Q2,Argyll and Bute,75-84 years,Other/Unknown,6.7,5,4.2
2019/20 Q2,Argyll and Bute,85+ years,999 Emergency Services,85,85,80.6
2019/20 Q2,Argyll and Bute,85+ years,GP,5,5,2.9
2019/20 Q2,Argyll and Bute,85+ years,Care Home,0,0,0
2019/20 Q2,Argyll and Bute,85+ years,Self Referral,5,5,12.8
2019/20 Q2,Argyll and Bute,85+ years,Other/Unknown,5,5,3.7
2019/20 Q2,Argyll and Bute,Unknown,999 Emergency Services,0,0,0
2019/20 Q2,Argyll and Bute,Unknown,GP,0,0,0
2019/20 Q2,Argyll and Bute,Unknown,Care Home,0,0,0
2019/20 Q2,Argyll and Bute,Unknown,Self Referral,0,0,0
2019/20 Q2,Argyll and Bute,Unknown,Other/Unknown,0,0,0
2019/20 Q2,City of Edinburgh,All Ages,999 Emergency Services,72.9,1550,75.6
2019/20 Q2,City of Edinburgh,All Ages,GP,1.9,40,3.1
2019/20 Q2,City of Edinburgh,All Ages,Care Home,0,0,0
2019/20 Q2,City of Edinburgh,All Ages,Self Referral,12.7,270,16.1
2019/20 Q2,City of Edinburgh,All Ages,Other/Unknown,12.5,265,5.2
2019/20 Q2,City of Edinburgh,0-17 years,999 Emergency Services,0,0,33.3
2019/20 Q2,City of Edinburgh,0-17 years,GP,0,0,16.7
2019/20 Q2,City of Edinburgh,0-17 years,Care Home,0,0,0
2019/20 Q2,City of Edinburgh,0-17 years,Self Referral,0,0,33.3
2019/20 Q2,City of Edinburgh,0-17 years,Other/Unknown,0,0,16.7
2019/20 Q2,City of Edinburgh,18-64 years,999 Emergency Services,55.6,350,60.2
2019/20 Q2,City of Edinburgh,18-64 years,GP,4,25,3.5
2019/20 Q2,City of Edinburgh,18-64 years,Care Home,0,0,0
2019/20 Q2,City of Edinburgh,18-64 years,Self Referral,22.2,140,26.4
2019/20 Q2,City of Edinburgh,18-64 years,Other/Unknown,18.3,115,10
2019/20 Q2,City of Edinburgh,65-74 years,999 Emergency Services,81.5,265,77.9
2019/20 Q2,City of Edinburgh,65-74 years,GP,1.5,5,2.5
2019/20 Q2,City of Edinburgh,65-74 years,Care Home,0,0,0
2019/20 Q2,City of Edinburgh,65-74 years,Self Referral,7.7,25,15
2019/20 Q2,City of Edinburgh,65-74 years,Other/Unknown,9.2,30,4.5
2019/20 Q2,City of Edinburgh,75-84 years,999 Emergency Services,75.7,390,78.4
2019/20 Q2,City of Edinburgh,75-84 years,GP,1.9,10,3.2
2019/20 Q2,City of Edinburgh,75-84 years,Care Home,0,0,0
2019/20 Q2,City of Edinburgh,75-84 years,Self Referral,11.7,60,14.1
2019/20 Q2,City of Edinburgh,75-84 years,Other/Unknown,10.7,55,4.2
2019/20 Q2,City of Edinburgh,85+ years,999 Emergency Services,82.4,540,80.6
2019/20 Q2,City of Edinburgh,85+ years,GP,0.8,5,2.9
2019/20 Q2,City of Edinburgh,85+ years,Care Home,0,0,0
2019/20 Q2,City of Edinburgh,85+ years,Self Referral,6.9,45,12.8
2019/20 Q2,City of Edinburgh,85+ years,Other/Unknown,9.9,65,3.7
2019/20 Q2,City of Edinburgh,Unknown,999 Emergency Services,0,0,0
2019/20 Q2,City of Edinburgh,Unknown,GP,0,0,0
2019/20 Q2,City of Edinburgh,Unknown,Care Home,0,0,0
2019/20 Q2,City of Edinburgh,Unknown,Self Referral,0,0,0
2019/20 Q2,City of Edinburgh,Unknown,Other/Unknown,0,0,0
2019/20 Q2,Clackmannanshire,All Ages,999 Emergency Services,87.5,140,75.6
2019/20 Q2,Clackmannanshire,All Ages,GP,0,0,3.1
2019/20 Q2,Clackmannanshire,All Ages,Care Home,0,0,0
2019/20 Q2,Clackmannanshire,All Ages,Self Referral,9.4,15,16.1
2019/20 Q2,Clackmannanshire,All Ages,Other/Unknown,3.1,5,5.2
2019/20 Q2,Clackmannanshire,0-17 years,999 Emergency Services,0,0,33.3
2019/20 Q2,Clackmannanshire,0-17 years,GP,0,0,16.7
2019/20 Q2,Clackmannanshire,0-17 years,Care Home,0,0,0
2019/20 Q2,Clackmannanshire,0-17 years,Self Referral,0,0,33.3
2019/20 Q2,Clackmannanshire,0-17 years,Other/Unknown,0,0,16.7
2019/20 Q2,Clackmannanshire,18-64 years,999 Emergency Services,100,10,60.2
2019/20 Q2,Clackmannanshire,18-64 years,GP,0,0,3.5
2019/20 Q2,Clackmannanshire,18-64 years,Care Home,0,0,0
2019/20 Q2,Clackmannanshire,18-64 years,Self Referral,0,0,26.4
2019/20 Q2,Clackmannanshire,18-64 years,Other/Unknown,0,0,10
2019/20 Q2,Clackmannanshire,65-74 years,999 Emergency Services,87.5,35,77.9
2019/20 Q2,Clackmannanshire,65-74 years,GP,0,0,2.5
2019/20 Q2,Clackmannanshire,65-74 years,Care Home,0,0,0
2019/20 Q2,Clackmannanshire,65-74 years,Self Referral,12.5,5,15
2019/20 Q2,Clackmannanshire,65-74 years,Other/Unknown,0,0,4.5
2019/20 Q2,Clackmannanshire,75-84 years,999 Emergency Services,87.5,35,78.4
2019/20 Q2,Clackmannanshire,75-84 years,GP,0,0,3.2
2019/20 Q2,Clackmannanshire,75-84 years,Care Home,0,0,0
2019/20 Q2,Clackmannanshire,75-84 years,Self Referral,12.5,5,14.1
2019/20 Q2,Clackmannanshire,75-84 years,Other/Unknown,0,0,4.2
2019/20 Q2,Clackmannanshire,85+ years,999 Emergency Services,80,60,80.6
