time_period,financial_quarter,sending_location,age_group,hc_service_provider,nclient,percentage
Census Week,2018/19,Highland,85+ years,Other,0,0
Census Week,2018/19,Highland,85+ years,Other Local Authority,0,0
Census Week,2018/19,Highland,85+ years,Private only,475,58.3
Census Week,2018/19,Highland,85+ years,Third Sector,0,0
Census Week,2018/19,Highland,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2018/19,Highland,Unknown,Other,0,0
Census Week,2018/19,Highland,Unknown,Other Local Authority,0,0
Census Week,2018/19,Highland,Unknown,Private only,0,0
Census Week,2018/19,Highland,Unknown,Third Sector,0,0
Census Week,2019/20,Highland,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,840,44.8
Census Week,2019/20,Highland,All Ages,Other,0,0
Census Week,2019/20,Highland,All Ages,Other Local Authority,0,0
Census Week,2019/20,Highland,All Ages,Private only,1140,60.8
Census Week,2019/20,Highland,All Ages,Third Sector,0,0
Census Week,2019/20,Highland,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2019/20,Highland,0-17 years,Other,0,0
Census Week,2019/20,Highland,0-17 years,Other Local Authority,0,0
Census Week,2019/20,Highland,0-17 years,Private only,0,0
Census Week,2019/20,Highland,0-17 years,Third Sector,0,0
Census Week,2019/20,Highland,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,65,33.3
Census Week,2019/20,Highland,18-64 years,Other,0,0
Census Week,2019/20,Highland,18-64 years,Other Local Authority,0,0
Census Week,2019/20,Highland,18-64 years,Private only,140,71.8
Census Week,2019/20,Highland,18-64 years,Third Sector,0,0
Census Week,2019/20,Highland,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,115,40.4
Census Week,2019/20,Highland,65-74 years,Other,0,0
Census Week,2019/20,Highland,65-74 years,Other Local Authority,0,0
Census Week,2019/20,Highland,65-74 years,Private only,180,63.2
Census Week,2019/20,Highland,65-74 years,Third Sector,0,0
Census Week,2019/20,Highland,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,295,48
Census Week,2019/20,Highland,75-84 years,Other,0,0
Census Week,2019/20,Highland,75-84 years,Other Local Authority,0,0
Census Week,2019/20,Highland,75-84 years,Private only,355,57.7
Census Week,2019/20,Highland,75-84 years,Third Sector,0,0
Census Week,2019/20,Highland,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,370,47.4
Census Week,2019/20,Highland,85+ years,Other,0,0
Census Week,2019/20,Highland,85+ years,Other Local Authority,0,0
Census Week,2019/20,Highland,85+ years,Private only,465,59.6
Census Week,2019/20,Highland,85+ years,Third Sector,0,0
Census Week,2019/20,Highland,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2019/20,Highland,Unknown,Other,0,0
Census Week,2019/20,Highland,Unknown,Other Local Authority,0,0
Census Week,2019/20,Highland,Unknown,Private only,0,0
Census Week,2019/20,Highland,Unknown,Third Sector,0,0
Census Week,2020/21,Highland,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,840,40.8
Census Week,2020/21,Highland,All Ages,Other,0,0
Census Week,2020/21,Highland,All Ages,Other Local Authority,0,0
Census Week,2020/21,Highland,All Ages,Private only,1375,66.7
Census Week,2020/21,Highland,All Ages,Third Sector,0,0
Census Week,2020/21,Highland,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2020/21,Highland,0-17 years,Other,0,0
Census Week,2020/21,Highland,0-17 years,Other Local Authority,0,0
Census Week,2020/21,Highland,0-17 years,Private only,0,0
Census Week,2020/21,Highland,0-17 years,Third Sector,0,0
Census Week,2020/21,Highland,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,75,34.1
Census Week,2020/21,Highland,18-64 years,Other,0,0
Census Week,2020/21,Highland,18-64 years,Other Local Authority,0,0
Census Week,2020/21,Highland,18-64 years,Private only,160,72.7
Census Week,2020/21,Highland,18-64 years,Third Sector,0,0
Census Week,2020/21,Highland,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,125,38.5
Census Week,2020/21,Highland,65-74 years,Other,0,0
Census Week,2020/21,Highland,65-74 years,Other Local Authority,0,0
Census Week,2020/21,Highland,65-74 years,Private only,210,64.6
Census Week,2020/21,Highland,65-74 years,Third Sector,0,0
Census Week,2020/21,Highland,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,295,44.4
Census Week,2020/21,Highland,75-84 years,Other,0,0
Census Week,2020/21,Highland,75-84 years,Other Local Authority,0,0
Census Week,2020/21,Highland,75-84 years,Private only,430,64.7
Census Week,2020/21,Highland,75-84 years,Third Sector,0,0
Census Week,2020/21,Highland,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,345,40.6
Census Week,2020/21,Highland,85+ years,Other,0,0
Census Week,2020/21,Highland,85+ years,Other Local Authority,0,0
Census Week,2020/21,Highland,85+ years,Private only,575,67.6
Census Week,2020/21,Highland,85+ years,Third Sector,0,0
Census Week,2020/21,Highland,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2020/21,Highland,Unknown,Other,0,0
Census Week,2020/21,Highland,Unknown,Other Local Authority,0,0
Census Week,2020/21,Highland,Unknown,Private only,0,0
Census Week,2020/21,Highland,Unknown,Third Sector,0,0
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1155,81.9
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,Other,0,0
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,Private only,420,29.8
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,Third Sector,115,8.2
Financial Quarter,2017/18 Q4,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2017/18 Q4,Inverclyde,0-17 years,Other,0,0
Financial Quarter,2017/18 Q4,Inverclyde,0-17 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Inverclyde,0-17 years,Private only,0,0
Financial Quarter,2017/18 Q4,Inverclyde,0-17 years,Third Sector,0,0
Financial Quarter,2017/18 Q4,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,105,70
Financial Quarter,2017/18 Q4,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2017/18 Q4,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Inverclyde,18-64 years,Private only,50,33.3
Financial Quarter,2017/18 Q4,Inverclyde,18-64 years,Third Sector,20,13.3
Financial Quarter,2017/18 Q4,Inverclyde,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,200,80
Financial Quarter,2017/18 Q4,Inverclyde,65-74 years,Other,0,0
Financial Quarter,2017/18 Q4,Inverclyde,65-74 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Inverclyde,65-74 years,Private only,75,30
Financial Quarter,2017/18 Q4,Inverclyde,65-74 years,Third Sector,20,8
Financial Quarter,2017/18 Q4,Inverclyde,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,465,84.5
Financial Quarter,2017/18 Q4,Inverclyde,75-84 years,Other,0,0
Financial Quarter,2017/18 Q4,Inverclyde,75-84 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Inverclyde,75-84 years,Private only,150,27.3
Financial Quarter,2017/18 Q4,Inverclyde,75-84 years,Third Sector,40,7.3
Financial Quarter,2017/18 Q4,Inverclyde,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,385,84.6
Financial Quarter,2017/18 Q4,Inverclyde,85+ years,Other,0,0
Financial Quarter,2017/18 Q4,Inverclyde,85+ years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Inverclyde,85+ years,Private only,145,31.9
Financial Quarter,2017/18 Q4,Inverclyde,85+ years,Third Sector,35,7.7
Financial Quarter,2017/18 Q4,Inverclyde,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2017/18 Q4,Inverclyde,Unknown,Other,0,0
Financial Quarter,2017/18 Q4,Inverclyde,Unknown,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Inverclyde,Unknown,Private only,0,0
Financial Quarter,2017/18 Q4,Inverclyde,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1145,81.5
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,Other,0,0
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,Private only,555,39.5
Financial Quarter,2018/19 Q1,Inverclyde,All Ages,Third Sector,110,7.8
Financial Quarter,2018/19 Q1,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q1,Inverclyde,0-17 years,Other,0,0
Financial Quarter,2018/19 Q1,Inverclyde,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Inverclyde,0-17 years,Private only,0,0
Financial Quarter,2018/19 Q1,Inverclyde,0-17 years,Third Sector,0,0
Financial Quarter,2018/19 Q1,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,95,67.9
Financial Quarter,2018/19 Q1,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2018/19 Q1,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Inverclyde,18-64 years,Private only,65,46.4
Financial Quarter,2018/19 Q1,Inverclyde,18-64 years,Third Sector,15,10.7
Financial Quarter,2018/19 Q1,Inverclyde,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,205,83.7
Financial Quarter,2018/19 Q1,Inverclyde,65-74 years,Other,0,0
Financial Quarter,2018/19 Q1,Inverclyde,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Inverclyde,65-74 years,Private only,100,40.8
Financial Quarter,2018/19 Q1,Inverclyde,65-74 years,Third Sector,20,8.2
Financial Quarter,2018/19 Q1,Inverclyde,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,420,82.4
Financial Quarter,2018/19 Q1,Inverclyde,75-84 years,Other,0,0
Financial Quarter,2018/19 Q1,Inverclyde,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Inverclyde,75-84 years,Private only,175,34.3
Financial Quarter,2018/19 Q1,Inverclyde,75-84 years,Third Sector,35,6.9
Financial Quarter,2018/19 Q1,Inverclyde,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,420,83.2
Financial Quarter,2018/19 Q1,Inverclyde,85+ years,Other,0,0
Financial Quarter,2018/19 Q1,Inverclyde,85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Inverclyde,85+ years,Private only,210,41.6
Financial Quarter,2018/19 Q1,Inverclyde,85+ years,Third Sector,40,7.9
Financial Quarter,2018/19 Q1,Inverclyde,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q1,Inverclyde,Unknown,Other,0,0
Financial Quarter,2018/19 Q1,Inverclyde,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Inverclyde,Unknown,Private only,0,0
Financial Quarter,2018/19 Q1,Inverclyde,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1145,83.6
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,Other,0,0
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,Private only,560,40.9
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,Third Sector,0,0
Financial Quarter,2018/19 Q2,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q2,Inverclyde,0-17 years,Other,0,0
Financial Quarter,2018/19 Q2,Inverclyde,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Inverclyde,0-17 years,Private only,0,0
Financial Quarter,2018/19 Q2,Inverclyde,0-17 years,Third Sector,0,0
Financial Quarter,2018/19 Q2,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,115,79.3
Financial Quarter,2018/19 Q2,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2018/19 Q2,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Inverclyde,18-64 years,Private only,65,44.8
Financial Quarter,2018/19 Q2,Inverclyde,18-64 years,Third Sector,0,0
Financial Quarter,2018/19 Q2,Inverclyde,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,200,81.6
Financial Quarter,2018/19 Q2,Inverclyde,65-74 years,Other,0,0
Financial Quarter,2018/19 Q2,Inverclyde,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Inverclyde,65-74 years,Private only,110,44.9
Financial Quarter,2018/19 Q2,Inverclyde,65-74 years,Third Sector,0,0
Financial Quarter,2018/19 Q2,Inverclyde,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,415,83.8
Financial Quarter,2018/19 Q2,Inverclyde,75-84 years,Other,0,0
Financial Quarter,2018/19 Q2,Inverclyde,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Inverclyde,75-84 years,Private only,180,36.4
Financial Quarter,2018/19 Q2,Inverclyde,75-84 years,Third Sector,0,0
Financial Quarter,2018/19 Q2,Inverclyde,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,410,84.5
Financial Quarter,2018/19 Q2,Inverclyde,85+ years,Other,0,0
Financial Quarter,2018/19 Q2,Inverclyde,85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Inverclyde,85+ years,Private only,205,42.3
Financial Quarter,2018/19 Q2,Inverclyde,85+ years,Third Sector,0,0
Financial Quarter,2018/19 Q2,Inverclyde,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q2,Inverclyde,Unknown,Other,0,0
Financial Quarter,2018/19 Q2,Inverclyde,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Inverclyde,Unknown,Private only,0,0
Financial Quarter,2018/19 Q2,Inverclyde,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1115,80.8
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,Other,0,0
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,Private only,470,34.1
Financial Quarter,2018/19 Q3,Inverclyde,All Ages,Third Sector,65,4.7
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,Other,0,0
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,Private only,0,0
Financial Quarter,2018/19 Q3,Inverclyde,0-17 years,Third Sector,0,0
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,120,75
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,Private only,45,28.1
Financial Quarter,2018/19 Q3,Inverclyde,18-64 years,Third Sector,15,9.4
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,195,81.2
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,Other,0,0
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,Private only,75,31.2
Financial Quarter,2018/19 Q3,Inverclyde,65-74 years,Third Sector,5,2.1
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,405,81
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,Other,0,0
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,Private only,170,34
Financial Quarter,2018/19 Q3,Inverclyde,75-84 years,Third Sector,25,5
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,395,82.3
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,Other,0,0
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,Private only,175,36.5
Financial Quarter,2018/19 Q3,Inverclyde,85+ years,Third Sector,20,4.2
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,Other,0,0
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,Private only,0,0
Financial Quarter,2018/19 Q3,Inverclyde,Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q4,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1135,82.2
Financial Quarter,2018/19 Q4,Inverclyde,All Ages,Other,0,0
Financial Quarter,2018/19 Q4,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Inverclyde,All Ages,Private only,460,33.3
Financial Quarter,2018/19 Q4,Inverclyde,All Ages,Third Sector,60,4.3
Financial Quarter,2018/19 Q4,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q4,Inverclyde,0-17 years,Other,0,0
Financial Quarter,2018/19 Q4,Inverclyde,0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Inverclyde,0-17 years,Private only,0,0
Financial Quarter,2018/19 Q4,Inverclyde,0-17 years,Third Sector,0,0
Financial Quarter,2018/19 Q4,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,110,73.3
Financial Quarter,2018/19 Q4,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2018/19 Q4,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Inverclyde,18-64 years,Private only,40,26.7
Financial Quarter,2018/19 Q4,Inverclyde,18-64 years,Third Sector,15,10
Financial Quarter,2018/19 Q4,Inverclyde,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,210,84
Financial Quarter,2018/19 Q4,Inverclyde,65-74 years,Other,0,0
Financial Quarter,2018/19 Q4,Inverclyde,65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Inverclyde,65-74 years,Private only,75,30
Financial Quarter,2018/19 Q4,Inverclyde,65-74 years,Third Sector,5,2
Financial Quarter,2018/19 Q4,Inverclyde,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,420,81.6
Financial Quarter,2018/19 Q4,Inverclyde,75-84 years,Other,0,0
Financial Quarter,2018/19 Q4,Inverclyde,75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Inverclyde,75-84 years,Private only,170,33
Financial Quarter,2018/19 Q4,Inverclyde,75-84 years,Third Sector,20,3.9
Financial Quarter,2018/19 Q4,Inverclyde,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,390,83.9
Financial Quarter,2018/19 Q4,Inverclyde,85+ years,Other,0,0
Financial Quarter,2018/19 Q4,Inverclyde,85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Inverclyde,85+ years,Private only,175,37.6
Financial Quarter,2018/19 Q4,Inverclyde,85+ years,Third Sector,20,4.3
Financial Quarter,2018/19 Q4,Inverclyde,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q4,Inverclyde,Unknown,Other,0,0
Financial Quarter,2018/19 Q4,Inverclyde,Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Inverclyde,Unknown,Private only,0,0
Financial Quarter,2018/19 Q4,Inverclyde,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q1,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1150,81.6
Financial Quarter,2019/20 Q1,Inverclyde,All Ages,Other,0,0
Financial Quarter,2019/20 Q1,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Inverclyde,All Ages,Private only,525,37.2
Financial Quarter,2019/20 Q1,Inverclyde,All Ages,Third Sector,55,3.9
Financial Quarter,2019/20 Q1,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q1,Inverclyde,0-17 years,Other,0,0
Financial Quarter,2019/20 Q1,Inverclyde,0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Inverclyde,0-17 years,Private only,0,0
Financial Quarter,2019/20 Q1,Inverclyde,0-17 years,Third Sector,0,0
Financial Quarter,2019/20 Q1,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,95,73.1
Financial Quarter,2019/20 Q1,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2019/20 Q1,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Inverclyde,18-64 years,Private only,40,30.8
Financial Quarter,2019/20 Q1,Inverclyde,18-64 years,Third Sector,10,7.7
Financial Quarter,2019/20 Q1,Inverclyde,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,200,83.3
Financial Quarter,2019/20 Q1,Inverclyde,65-74 years,Other,0,0
Financial Quarter,2019/20 Q1,Inverclyde,65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Inverclyde,65-74 years,Private only,80,33.3
Financial Quarter,2019/20 Q1,Inverclyde,65-74 years,Third Sector,5,2.1
Financial Quarter,2019/20 Q1,Inverclyde,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,420,82.4
Financial Quarter,2019/20 Q1,Inverclyde,75-84 years,Other,0,0
Financial Quarter,2019/20 Q1,Inverclyde,75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Inverclyde,75-84 years,Private only,180,35.3
Financial Quarter,2019/20 Q1,Inverclyde,75-84 years,Third Sector,15,2.9
Financial Quarter,2019/20 Q1,Inverclyde,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,435,82.1
Financial Quarter,2019/20 Q1,Inverclyde,85+ years,Other,0,0
Financial Quarter,2019/20 Q1,Inverclyde,85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Inverclyde,85+ years,Private only,225,42.5
Financial Quarter,2019/20 Q1,Inverclyde,85+ years,Third Sector,20,3.8
Financial Quarter,2019/20 Q1,Inverclyde,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q1,Inverclyde,Unknown,Other,0,0
Financial Quarter,2019/20 Q1,Inverclyde,Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Inverclyde,Unknown,Private only,0,0
Financial Quarter,2019/20 Q1,Inverclyde,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1145,81.2
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,Other,0,0
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,Private only,475,33.7
Financial Quarter,2019/20 Q2,Inverclyde,All Ages,Third Sector,55,3.9
Financial Quarter,2019/20 Q2,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,NA
Financial Quarter,2019/20 Q2,Inverclyde,0-17 years,Other,0,NA
Financial Quarter,2019/20 Q2,Inverclyde,0-17 years,Other Local Authority,0,NA
Financial Quarter,2019/20 Q2,Inverclyde,0-17 years,Private only,0,NA
Financial Quarter,2019/20 Q2,Inverclyde,0-17 years,Third Sector,0,NA
Financial Quarter,2019/20 Q2,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,115,79.3
Financial Quarter,2019/20 Q2,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2019/20 Q2,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Inverclyde,18-64 years,Private only,40,27.6
Financial Quarter,2019/20 Q2,Inverclyde,18-64 years,Third Sector,15,10.3
Financial Quarter,2019/20 Q2,Inverclyde,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,195,81.2
Financial Quarter,2019/20 Q2,Inverclyde,65-74 years,Other,0,0
Financial Quarter,2019/20 Q2,Inverclyde,65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Inverclyde,65-74 years,Private only,75,31.2
Financial Quarter,2019/20 Q2,Inverclyde,65-74 years,Third Sector,5,2.1
Financial Quarter,2019/20 Q2,Inverclyde,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,425,83.3
Financial Quarter,2019/20 Q2,Inverclyde,75-84 years,Other,0,0
Financial Quarter,2019/20 Q2,Inverclyde,75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Inverclyde,75-84 years,Private only,165,32.4
Financial Quarter,2019/20 Q2,Inverclyde,75-84 years,Third Sector,15,2.9
Financial Quarter,2019/20 Q2,Inverclyde,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,410,80.4
Financial Quarter,2019/20 Q2,Inverclyde,85+ years,Other,0,0
Financial Quarter,2019/20 Q2,Inverclyde,85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Inverclyde,85+ years,Private only,195,38.2
Financial Quarter,2019/20 Q2,Inverclyde,85+ years,Third Sector,20,3.9
Financial Quarter,2019/20 Q2,Inverclyde,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q2,Inverclyde,Unknown,Other,0,0
Financial Quarter,2019/20 Q2,Inverclyde,Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Inverclyde,Unknown,Private only,0,0
Financial Quarter,2019/20 Q2,Inverclyde,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,1150,81.6
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,Other,0,0
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,Private only,465,33
Financial Quarter,2019/20 Q3,Inverclyde,All Ages,Third Sector,60,4.3
Financial Quarter,2019/20 Q3,Inverclyde,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,NA
Financial Quarter,2019/20 Q3,Inverclyde,0-17 years,Other,0,NA
Financial Quarter,2019/20 Q3,Inverclyde,0-17 years,Other Local Authority,0,NA
Financial Quarter,2019/20 Q3,Inverclyde,0-17 years,Private only,0,NA
Financial Quarter,2019/20 Q3,Inverclyde,0-17 years,Third Sector,0,NA
Financial Quarter,2019/20 Q3,Inverclyde,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,130,81.2
Financial Quarter,2019/20 Q3,Inverclyde,18-64 years,Other,0,0
Financial Quarter,2019/20 Q3,Inverclyde,18-64 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Inverclyde,18-64 years,Private only,35,21.9
Financial Quarter,2019/20 Q3,Inverclyde,18-64 years,Third Sector,15,9.4
