financial_quarter,sending_location,locality,age_group,measure,value
2019/20 Q3,Dundee City,Dundee North East,0-17 years,Number of People,0
2019/20 Q3,Dundee City,Dundee North East,0-17 years,Number of Hours,0
2019/20 Q3,Dundee City,Dundee North East,18-64 years,"Rate per 1,000 Population",2.7
2019/20 Q3,Dundee City,Dundee North East,18-64 years,Number of People,25
2019/20 Q3,Dundee City,Dundee North East,18-64 years,Number of Hours,6470
2019/20 Q3,Dundee City,Dundee North East,65-74 years,"Rate per 1,000 Population",15.6
2019/20 Q3,Dundee City,Dundee North East,65-74 years,Number of People,20
2019/20 Q3,Dundee City,Dundee North East,65-74 years,Number of Hours,2585
2019/20 Q3,Dundee City,Dundee North East,75-84 years,"Rate per 1,000 Population",61.4
2019/20 Q3,Dundee City,Dundee North East,75-84 years,Number of People,40
2019/20 Q3,Dundee City,Dundee North East,75-84 years,Number of Hours,4145
2019/20 Q3,Dundee City,Dundee North East,85+ years,"Rate per 1,000 Population",134.7
2019/20 Q3,Dundee City,Dundee North East,85+ years,Number of People,25
2019/20 Q3,Dundee City,Dundee North East,85+ years,Number of Hours,3685
2019/20 Q3,Dundee City,Dundee West End,All Ages,"Rate per 1,000 Population",7.7
2019/20 Q3,Dundee City,Dundee West End,All Ages,Number of People,160
2019/20 Q3,Dundee City,Dundee West End,All Ages,Number of Hours,22975
2019/20 Q3,Dundee City,Dundee West End,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,Dundee City,Dundee West End,0-17 years,Number of People,0
2019/20 Q3,Dundee City,Dundee West End,0-17 years,Number of Hours,0
2019/20 Q3,Dundee City,Dundee West End,18-64 years,"Rate per 1,000 Population",0.7
2019/20 Q3,Dundee City,Dundee West End,18-64 years,Number of People,10
2019/20 Q3,Dundee City,Dundee West End,18-64 years,Number of Hours,2175
2019/20 Q3,Dundee City,Dundee West End,65-74 years,"Rate per 1,000 Population",16.4
2019/20 Q3,Dundee City,Dundee West End,65-74 years,Number of People,20
2019/20 Q3,Dundee City,Dundee West End,65-74 years,Number of Hours,3240
2019/20 Q3,Dundee City,Dundee West End,75-84 years,"Rate per 1,000 Population",60.2
2019/20 Q3,Dundee City,Dundee West End,75-84 years,Number of People,50
2019/20 Q3,Dundee City,Dundee West End,75-84 years,Number of Hours,7770
2019/20 Q3,Dundee City,Dundee West End,85+ years,"Rate per 1,000 Population",198
2019/20 Q3,Dundee City,Dundee West End,85+ years,Number of People,80
2019/20 Q3,Dundee City,Dundee West End,85+ years,Number of Hours,9790
2019/20 Q3,Dundee City,Lochee,All Ages,"Rate per 1,000 Population",13.6
2019/20 Q3,Dundee City,Lochee,All Ages,Number of People,270
2019/20 Q3,Dundee City,Lochee,All Ages,Number of Hours,32155
2019/20 Q3,Dundee City,Lochee,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,Dundee City,Lochee,0-17 years,Number of People,0
2019/20 Q3,Dundee City,Lochee,0-17 years,Number of Hours,0
2019/20 Q3,Dundee City,Lochee,18-64 years,"Rate per 1,000 Population",6
2019/20 Q3,Dundee City,Lochee,18-64 years,Number of People,75
2019/20 Q3,Dundee City,Lochee,18-64 years,Number of Hours,9730
2019/20 Q3,Dundee City,Lochee,65-74 years,"Rate per 1,000 Population",26.4
2019/20 Q3,Dundee City,Lochee,65-74 years,Number of People,45
2019/20 Q3,Dundee City,Lochee,65-74 years,Number of Hours,5235
2019/20 Q3,Dundee City,Lochee,75-84 years,"Rate per 1,000 Population",66.2
2019/20 Q3,Dundee City,Lochee,75-84 years,Number of People,75
2019/20 Q3,Dundee City,Lochee,75-84 years,Number of Hours,9715
2019/20 Q3,Dundee City,Lochee,85+ years,"Rate per 1,000 Population",137.5
2019/20 Q3,Dundee City,Lochee,85+ years,Number of People,75
2019/20 Q3,Dundee City,Lochee,85+ years,Number of Hours,7480
2019/20 Q3,Dundee City,Maryfield,All Ages,"Rate per 1,000 Population",8.9
2019/20 Q3,Dundee City,Maryfield,All Ages,Number of People,165
2019/20 Q3,Dundee City,Maryfield,All Ages,Number of Hours,21355
2019/20 Q3,Dundee City,Maryfield,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,Dundee City,Maryfield,0-17 years,Number of People,0
2019/20 Q3,Dundee City,Maryfield,0-17 years,Number of Hours,0
2019/20 Q3,Dundee City,Maryfield,18-64 years,"Rate per 1,000 Population",2.1
2019/20 Q3,Dundee City,Maryfield,18-64 years,Number of People,30
2019/20 Q3,Dundee City,Maryfield,18-64 years,Number of Hours,6015
2019/20 Q3,Dundee City,Maryfield,65-74 years,"Rate per 1,000 Population",19.4
2019/20 Q3,Dundee City,Maryfield,65-74 years,Number of People,25
2019/20 Q3,Dundee City,Maryfield,65-74 years,Number of Hours,2840
2019/20 Q3,Dundee City,Maryfield,75-84 years,"Rate per 1,000 Population",76.4
2019/20 Q3,Dundee City,Maryfield,75-84 years,Number of People,60
2019/20 Q3,Dundee City,Maryfield,75-84 years,Number of Hours,6310
2019/20 Q3,Dundee City,Maryfield,85+ years,"Rate per 1,000 Population",159.3
2019/20 Q3,Dundee City,Maryfield,85+ years,Number of People,55
2019/20 Q3,Dundee City,Maryfield,85+ years,Number of Hours,6195
2019/20 Q3,Dundee City,Outside Partnership,All Ages,Number of People,55
2019/20 Q3,Dundee City,Outside Partnership,All Ages,Number of Hours,6535
2019/20 Q3,Dundee City,Outside Partnership,0-17 years,Number of People,0
2019/20 Q3,Dundee City,Outside Partnership,0-17 years,Number of Hours,0
2019/20 Q3,Dundee City,Outside Partnership,18-64 years,Number of People,0
2019/20 Q3,Dundee City,Outside Partnership,18-64 years,Number of Hours,90
2019/20 Q3,Dundee City,Outside Partnership,65-74 years,Number of People,5
2019/20 Q3,Dundee City,Outside Partnership,65-74 years,Number of Hours,850
2019/20 Q3,Dundee City,Outside Partnership,75-84 years,Number of People,15
2019/20 Q3,Dundee City,Outside Partnership,75-84 years,Number of Hours,2245
2019/20 Q3,Dundee City,Outside Partnership,85+ years,Number of People,30
2019/20 Q3,Dundee City,Outside Partnership,85+ years,Number of Hours,3355
2019/20 Q3,Dundee City,Strathmartine,All Ages,"Rate per 1,000 Population",12.5
2019/20 Q3,Dundee City,Strathmartine,All Ages,Number of People,245
2019/20 Q3,Dundee City,Strathmartine,All Ages,Number of Hours,33420
2019/20 Q3,Dundee City,Strathmartine,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,Dundee City,Strathmartine,0-17 years,Number of People,0
2019/20 Q3,Dundee City,Strathmartine,0-17 years,Number of Hours,0
2019/20 Q3,Dundee City,Strathmartine,18-64 years,"Rate per 1,000 Population",3.1
2019/20 Q3,Dundee City,Strathmartine,18-64 years,Number of People,35
2019/20 Q3,Dundee City,Strathmartine,18-64 years,Number of Hours,6565
2019/20 Q3,Dundee City,Strathmartine,65-74 years,"Rate per 1,000 Population",23.4
2019/20 Q3,Dundee City,Strathmartine,65-74 years,Number of People,45
2019/20 Q3,Dundee City,Strathmartine,65-74 years,Number of Hours,7135
2019/20 Q3,Dundee City,Strathmartine,75-84 years,"Rate per 1,000 Population",67.2
2019/20 Q3,Dundee City,Strathmartine,75-84 years,Number of People,80
2019/20 Q3,Dundee City,Strathmartine,75-84 years,Number of Hours,9840
2019/20 Q3,Dundee City,Strathmartine,85+ years,"Rate per 1,000 Population",205.4
2019/20 Q3,Dundee City,Strathmartine,85+ years,Number of People,85
2019/20 Q3,Dundee City,Strathmartine,85+ years,Number of Hours,9880
2019/20 Q3,Dundee City,The Ferry,All Ages,"Rate per 1,000 Population",14.1
2019/20 Q3,Dundee City,The Ferry,All Ages,Number of People,285
2019/20 Q3,Dundee City,The Ferry,All Ages,Number of Hours,45955
2019/20 Q3,Dundee City,The Ferry,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,Dundee City,The Ferry,0-17 years,Number of People,0
2019/20 Q3,Dundee City,The Ferry,0-17 years,Number of Hours,0
2019/20 Q3,Dundee City,The Ferry,18-64 years,"Rate per 1,000 Population",2
2019/20 Q3,Dundee City,The Ferry,18-64 years,Number of People,25
2019/20 Q3,Dundee City,The Ferry,18-64 years,Number of Hours,7910
2019/20 Q3,Dundee City,The Ferry,65-74 years,"Rate per 1,000 Population",10.1
2019/20 Q3,Dundee City,The Ferry,65-74 years,Number of People,25
2019/20 Q3,Dundee City,The Ferry,65-74 years,Number of Hours,4550
2019/20 Q3,Dundee City,The Ferry,75-84 years,"Rate per 1,000 Population",42.6
2019/20 Q3,Dundee City,The Ferry,75-84 years,Number of People,80
2019/20 Q3,Dundee City,The Ferry,75-84 years,Number of Hours,9625
2019/20 Q3,Dundee City,The Ferry,85+ years,"Rate per 1,000 Population",166.5
2019/20 Q3,Dundee City,The Ferry,85+ years,Number of People,155
2019/20 Q3,Dundee City,The Ferry,85+ years,Number of Hours,23870
2019/20 Q3,East Ayrshire,Kilmarnock,All Ages,"Rate per 1,000 Population",15.4
2019/20 Q3,East Ayrshire,Kilmarnock,All Ages,Number of People,840
2019/20 Q3,East Ayrshire,Kilmarnock,All Ages,Number of Hours,80615
2019/20 Q3,East Ayrshire,Kilmarnock,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,East Ayrshire,Kilmarnock,0-17 years,Number of People,0
2019/20 Q3,East Ayrshire,Kilmarnock,0-17 years,Number of Hours,0
2019/20 Q3,East Ayrshire,Kilmarnock,18-64 years,"Rate per 1,000 Population",4
2019/20 Q3,East Ayrshire,Kilmarnock,18-64 years,Number of People,135
2019/20 Q3,East Ayrshire,Kilmarnock,18-64 years,Number of Hours,33475
2019/20 Q3,East Ayrshire,Kilmarnock,65-74 years,"Rate per 1,000 Population",22.6
2019/20 Q3,East Ayrshire,Kilmarnock,65-74 years,Number of People,130
2019/20 Q3,East Ayrshire,Kilmarnock,65-74 years,Number of Hours,8740
2019/20 Q3,East Ayrshire,Kilmarnock,75-84 years,"Rate per 1,000 Population",89.3
2019/20 Q3,East Ayrshire,Kilmarnock,75-84 years,Number of People,300
2019/20 Q3,East Ayrshire,Kilmarnock,75-84 years,Number of Hours,21470
2019/20 Q3,East Ayrshire,Kilmarnock,85+ years,"Rate per 1,000 Population",221.7
2019/20 Q3,East Ayrshire,Kilmarnock,85+ years,Number of People,270
2019/20 Q3,East Ayrshire,Kilmarnock,85+ years,Number of Hours,16930
2019/20 Q3,East Ayrshire,Northern,All Ages,"Rate per 1,000 Population",14.6
2019/20 Q3,East Ayrshire,Northern,All Ages,Number of People,420
2019/20 Q3,East Ayrshire,Northern,All Ages,Number of Hours,39980
2019/20 Q3,East Ayrshire,Northern,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,East Ayrshire,Northern,0-17 years,Number of People,0
2019/20 Q3,East Ayrshire,Northern,0-17 years,Number of Hours,0
2019/20 Q3,East Ayrshire,Northern,18-64 years,"Rate per 1,000 Population",3.7
2019/20 Q3,East Ayrshire,Northern,18-64 years,Number of People,65
2019/20 Q3,East Ayrshire,Northern,18-64 years,Number of Hours,16740
2019/20 Q3,East Ayrshire,Northern,65-74 years,"Rate per 1,000 Population",15.5
2019/20 Q3,East Ayrshire,Northern,65-74 years,Number of People,55
2019/20 Q3,East Ayrshire,Northern,65-74 years,Number of Hours,2590
2019/20 Q3,East Ayrshire,Northern,75-84 years,"Rate per 1,000 Population",85.8
2019/20 Q3,East Ayrshire,Northern,75-84 years,Number of People,160
2019/20 Q3,East Ayrshire,Northern,75-84 years,Number of Hours,11815
2019/20 Q3,East Ayrshire,Northern,85+ years,"Rate per 1,000 Population",229.2
2019/20 Q3,East Ayrshire,Northern,85+ years,Number of People,140
2019/20 Q3,East Ayrshire,Northern,85+ years,Number of Hours,8835
2019/20 Q3,East Ayrshire,Outside Partnership,All Ages,Number of People,75
2019/20 Q3,East Ayrshire,Outside Partnership,All Ages,Number of Hours,7020
2019/20 Q3,East Ayrshire,Outside Partnership,0-17 years,Number of People,0
2019/20 Q3,East Ayrshire,Outside Partnership,0-17 years,Number of Hours,0
2019/20 Q3,East Ayrshire,Outside Partnership,18-64 years,Number of People,10
2019/20 Q3,East Ayrshire,Outside Partnership,18-64 years,Number of Hours,2890
2019/20 Q3,East Ayrshire,Outside Partnership,65-74 years,Number of People,15
2019/20 Q3,East Ayrshire,Outside Partnership,65-74 years,Number of Hours,225
2019/20 Q3,East Ayrshire,Outside Partnership,75-84 years,Number of People,25
2019/20 Q3,East Ayrshire,Outside Partnership,75-84 years,Number of Hours,2720
2019/20 Q3,East Ayrshire,Outside Partnership,85+ years,Number of People,25
2019/20 Q3,East Ayrshire,Outside Partnership,85+ years,Number of Hours,1185
2019/20 Q3,East Ayrshire,Southern,All Ages,"Rate per 1,000 Population",16.1
2019/20 Q3,East Ayrshire,Southern,All Ages,Number of People,625
2019/20 Q3,East Ayrshire,Southern,All Ages,Number of Hours,52590
2019/20 Q3,East Ayrshire,Southern,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,East Ayrshire,Southern,0-17 years,Number of People,0
2019/20 Q3,East Ayrshire,Southern,0-17 years,Number of Hours,0
2019/20 Q3,East Ayrshire,Southern,18-64 years,"Rate per 1,000 Population",3.6
2019/20 Q3,East Ayrshire,Southern,18-64 years,Number of People,80
2019/20 Q3,East Ayrshire,Southern,18-64 years,Number of Hours,21920
2019/20 Q3,East Ayrshire,Southern,65-74 years,"Rate per 1,000 Population",22
2019/20 Q3,East Ayrshire,Southern,65-74 years,Number of People,105
2019/20 Q3,East Ayrshire,Southern,65-74 years,Number of Hours,6685
2019/20 Q3,East Ayrshire,Southern,75-84 years,"Rate per 1,000 Population",85.4
2019/20 Q3,East Ayrshire,Southern,75-84 years,Number of People,235
2019/20 Q3,East Ayrshire,Southern,75-84 years,Number of Hours,13060
2019/20 Q3,East Ayrshire,Southern,85+ years,"Rate per 1,000 Population",232.4
2019/20 Q3,East Ayrshire,Southern,85+ years,Number of People,205
2019/20 Q3,East Ayrshire,Southern,85+ years,Number of Hours,10930
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,All Ages,"Rate per 1,000 Population",12.6
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,All Ages,Number of People,840
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,All Ages,Number of Hours,87430
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,0-17 years,"Rate per 1,000 Population",1.4
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,0-17 years,Number of People,20
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,0-17 years,Number of Hours,2550
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,18-64 years,"Rate per 1,000 Population",1.9
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,18-64 years,Number of People,75
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,18-64 years,Number of Hours,10760
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,65-74 years,"Rate per 1,000 Population",15.9
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,65-74 years,Number of People,120
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,65-74 years,Number of Hours,11780
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,75-84 years,"Rate per 1,000 Population",58.8
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,75-84 years,Number of People,280
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,75-84 years,Number of Hours,26740
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,85+ years,"Rate per 1,000 Population",202.1
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,85+ years,Number of People,345
2019/20 Q3,East Dunbartonshire,East Dunbartonshire East,85+ years,Number of Hours,35605
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,All Ages,"Rate per 1,000 Population",13.1
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,All Ages,Number of People,550
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,All Ages,Number of Hours,57260
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,0-17 years,"Rate per 1,000 Population",0.6
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,0-17 years,Number of People,5
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,0-17 years,Number of Hours,655
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,18-64 years,"Rate per 1,000 Population",1.9
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,18-64 years,Number of People,45
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,18-64 years,Number of Hours,7840
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,65-74 years,"Rate per 1,000 Population",9.1
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,65-74 years,Number of People,50
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,65-74 years,Number of Hours,6360
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,75-84 years,"Rate per 1,000 Population",52
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,75-84 years,Number of People,185
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,75-84 years,Number of Hours,17085
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,85+ years,"Rate per 1,000 Population",162
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,85+ years,Number of People,265
2019/20 Q3,East Dunbartonshire,East Dunbartonshire West,85+ years,Number of Hours,25315
2019/20 Q3,East Dunbartonshire,Outside Partnership,All Ages,Number of People,90
2019/20 Q3,East Dunbartonshire,Outside Partnership,All Ages,Number of Hours,8890
2019/20 Q3,East Dunbartonshire,Outside Partnership,0-17 years,Number of People,0
2019/20 Q3,East Dunbartonshire,Outside Partnership,0-17 years,Number of Hours,0
2019/20 Q3,East Dunbartonshire,Outside Partnership,18-64 years,Number of People,5
2019/20 Q3,East Dunbartonshire,Outside Partnership,18-64 years,Number of Hours,675
2019/20 Q3,East Dunbartonshire,Outside Partnership,65-74 years,Number of People,5
2019/20 Q3,East Dunbartonshire,Outside Partnership,65-74 years,Number of Hours,515
2019/20 Q3,East Dunbartonshire,Outside Partnership,75-84 years,Number of People,35
2019/20 Q3,East Dunbartonshire,Outside Partnership,75-84 years,Number of Hours,3295
2019/20 Q3,East Dunbartonshire,Outside Partnership,85+ years,Number of People,45
2019/20 Q3,East Dunbartonshire,Outside Partnership,85+ years,Number of Hours,4405
2019/20 Q3,East Lothian,East Lothian East,All Ages,"Rate per 1,000 Population",12.6
2019/20 Q3,East Lothian,East Lothian East,All Ages,Number of People,540
2019/20 Q3,East Lothian,East Lothian East,All Ages,Number of Hours,93720
2019/20 Q3,East Lothian,East Lothian East,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,East Lothian,East Lothian East,0-17 years,Number of People,0
2019/20 Q3,East Lothian,East Lothian East,0-17 years,Number of Hours,0
2019/20 Q3,East Lothian,East Lothian East,18-64 years,"Rate per 1,000 Population",4.1
2019/20 Q3,East Lothian,East Lothian East,18-64 years,Number of People,100
2019/20 Q3,East Lothian,East Lothian East,18-64 years,Number of Hours,39630
2019/20 Q3,East Lothian,East Lothian East,65-74 years,"Rate per 1,000 Population",15.4
2019/20 Q3,East Lothian,East Lothian East,65-74 years,Number of People,80
2019/20 Q3,East Lothian,East Lothian East,65-74 years,Number of Hours,16055
2019/20 Q3,East Lothian,East Lothian East,75-84 years,"Rate per 1,000 Population",47
2019/20 Q3,East Lothian,East Lothian East,75-84 years,Number of People,160
2019/20 Q3,East Lothian,East Lothian East,75-84 years,Number of Hours,17935
2019/20 Q3,East Lothian,East Lothian East,85+ years,"Rate per 1,000 Population",156.2
2019/20 Q3,East Lothian,East Lothian East,85+ years,Number of People,200
2019/20 Q3,East Lothian,East Lothian East,85+ years,Number of Hours,20095
2019/20 Q3,East Lothian,East Lothian West,All Ages,"Rate per 1,000 Population",14.2
2019/20 Q3,East Lothian,East Lothian West,All Ages,Number of People,910
2019/20 Q3,East Lothian,East Lothian West,All Ages,Number of Hours,154790
2019/20 Q3,East Lothian,East Lothian West,0-17 years,"Rate per 1,000 Population",0.2
2019/20 Q3,East Lothian,East Lothian West,0-17 years,Number of People,5
2019/20 Q3,East Lothian,East Lothian West,0-17 years,Number of Hours,455
2019/20 Q3,East Lothian,East Lothian West,18-64 years,"Rate per 1,000 Population",7.1
2019/20 Q3,East Lothian,East Lothian West,18-64 years,Number of People,280
2019/20 Q3,East Lothian,East Lothian West,18-64 years,Number of Hours,92235
2019/20 Q3,East Lothian,East Lothian West,65-74 years,"Rate per 1,000 Population",17.5
2019/20 Q3,East Lothian,East Lothian West,65-74 years,Number of People,115
2019/20 Q3,East Lothian,East Lothian West,65-74 years,Number of Hours,17615
2019/20 Q3,East Lothian,East Lothian West,75-84 years,"Rate per 1,000 Population",62.6
2019/20 Q3,East Lothian,East Lothian West,75-84 years,Number of People,240
2019/20 Q3,East Lothian,East Lothian West,75-84 years,Number of Hours,20155
2019/20 Q3,East Lothian,East Lothian West,85+ years,"Rate per 1,000 Population",196.6
2019/20 Q3,East Lothian,East Lothian West,85+ years,Number of People,275
2019/20 Q3,East Lothian,East Lothian West,85+ years,Number of Hours,24325
2019/20 Q3,East Lothian,Outside Partnership,All Ages,Number of People,45
2019/20 Q3,East Lothian,Outside Partnership,All Ages,Number of Hours,9695
2019/20 Q3,East Lothian,Outside Partnership,0-17 years,Number of People,0
2019/20 Q3,East Lothian,Outside Partnership,0-17 years,Number of Hours,0
2019/20 Q3,East Lothian,Outside Partnership,18-64 years,Number of People,10
2019/20 Q3,East Lothian,Outside Partnership,18-64 years,Number of Hours,3765
2019/20 Q3,East Lothian,Outside Partnership,65-74 years,Number of People,5
2019/20 Q3,East Lothian,Outside Partnership,65-74 years,Number of Hours,3345
2019/20 Q3,East Lothian,Outside Partnership,75-84 years,Number of People,10
2019/20 Q3,East Lothian,Outside Partnership,75-84 years,Number of Hours,1035
2019/20 Q3,East Lothian,Outside Partnership,85+ years,Number of People,15
2019/20 Q3,East Lothian,Outside Partnership,85+ years,Number of Hours,1550
2019/20 Q3,East Renfrewshire,Barrhead,All Ages,"Rate per 1,000 Population",10.9
2019/20 Q3,East Renfrewshire,Barrhead,All Ages,Number of People,265
2019/20 Q3,East Renfrewshire,Barrhead,All Ages,Number of Hours,27855
2019/20 Q3,East Renfrewshire,Barrhead,0-17 years,"Rate per 1,000 Population",0
2019/20 Q3,East Renfrewshire,Barrhead,0-17 years,Number of People,0
2019/20 Q3,East Renfrewshire,Barrhead,0-17 years,Number of Hours,0
2019/20 Q3,East Renfrewshire,Barrhead,18-64 years,"Rate per 1,000 Population",2.9
2019/20 Q3,East Renfrewshire,Barrhead,18-64 years,Number of People,45
2019/20 Q3,East Renfrewshire,Barrhead,18-64 years,Number of Hours,4085
2019/20 Q3,East Renfrewshire,Barrhead,65-74 years,"Rate per 1,000 Population",14.4
2019/20 Q3,East Renfrewshire,Barrhead,65-74 years,Number of People,35
2019/20 Q3,East Renfrewshire,Barrhead,65-74 years,Number of Hours,3775
2019/20 Q3,East Renfrewshire,Barrhead,75-84 years,"Rate per 1,000 Population",67.3
2019/20 Q3,East Renfrewshire,Barrhead,75-84 years,Number of People,105
2019/20 Q3,East Renfrewshire,Barrhead,75-84 years,Number of Hours,11930
2019/20 Q3,East Renfrewshire,Barrhead,85+ years,"Rate per 1,000 Population",139.7
2019/20 Q3,East Renfrewshire,Barrhead,85+ years,Number of People,85
2019/20 Q3,East Renfrewshire,Barrhead,85+ years,Number of Hours,8065
2019/20 Q3,East Renfrewshire,Eastwood,All Ages,"Rate per 1,000 Population",12.1
2019/20 Q3,East Renfrewshire,Eastwood,All Ages,Number of People,860
2019/20 Q3,East Renfrewshire,Eastwood,All Ages,Number of Hours,84290
2019/20 Q3,East Renfrewshire,Eastwood,0-17 years,"Rate per 1,000 Population",0.1
2019/20 Q3,East Renfrewshire,Eastwood,0-17 years,Number of People,0
2019/20 Q3,East Renfrewshire,Eastwood,0-17 years,Number of Hours,70
2019/20 Q3,East Renfrewshire,Eastwood,18-64 years,"Rate per 1,000 Population",2
2019/20 Q3,East Renfrewshire,Eastwood,18-64 years,Number of People,80
2019/20 Q3,East Renfrewshire,Eastwood,18-64 years,Number of Hours,8080
2019/20 Q3,East Renfrewshire,Eastwood,65-74 years,"Rate per 1,000 Population",14.7
2019/20 Q3,East Renfrewshire,Eastwood,65-74 years,Number of People,110
2019/20 Q3,East Renfrewshire,Eastwood,65-74 years,Number of Hours,9215
2019/20 Q3,East Renfrewshire,Eastwood,75-84 years,"Rate per 1,000 Population",48.9
2019/20 Q3,East Renfrewshire,Eastwood,75-84 years,Number of People,240
2019/20 Q3,East Renfrewshire,Eastwood,75-84 years,Number of Hours,25010
2019/20 Q3,East Renfrewshire,Eastwood,85+ years,"Rate per 1,000 Population",196.4
2019/20 Q3,East Renfrewshire,Eastwood,85+ years,Number of People,430
2019/20 Q3,East Renfrewshire,Eastwood,85+ years,Number of Hours,41915
2019/20 Q3,East Renfrewshire,Outside Partnership,All Ages,Number of People,60
2019/20 Q3,East Renfrewshire,Outside Partnership,All Ages,Number of Hours,4680
2019/20 Q3,East Renfrewshire,Outside Partnership,0-17 years,Number of People,0
2019/20 Q3,East Renfrewshire,Outside Partnership,0-17 years,Number of Hours,0
2019/20 Q3,East Renfrewshire,Outside Partnership,18-64 years,Number of People,5
2019/20 Q3,East Renfrewshire,Outside Partnership,18-64 years,Number of Hours,340
2019/20 Q3,East Renfrewshire,Outside Partnership,65-74 years,Number of People,5
2019/20 Q3,East Renfrewshire,Outside Partnership,65-74 years,Number of Hours,725
2019/20 Q3,East Renfrewshire,Outside Partnership,75-84 years,Number of People,20
2019/20 Q3,East Renfrewshire,Outside Partnership,75-84 years,Number of Hours,1520
2019/20 Q3,East Renfrewshire,Outside Partnership,85+ years,Number of People,30
2019/20 Q3,East Renfrewshire,Outside Partnership,85+ years,Number of Hours,2095
2019/20 Q3,Falkirk,Falkirk Central,All Ages,"Rate per 1,000 Population",17.4
2019/20 Q3,Falkirk,Falkirk Central,All Ages,Number of People,770
2019/20 Q3,Falkirk,Falkirk Central,All Ages,Number of Hours,62215
2019/20 Q3,Falkirk,Falkirk Central,0-17 years,"Rate per 1,000 Population",0.6
2019/20 Q3,Falkirk,Falkirk Central,0-17 years,Number of People,5
2019/20 Q3,Falkirk,Falkirk Central,0-17 years,Number of Hours,415
2019/20 Q3,Falkirk,Falkirk Central,18-64 years,"Rate per 1,000 Population",3.4
2019/20 Q3,Falkirk,Falkirk Central,18-64 years,Number of People,95
2019/20 Q3,Falkirk,Falkirk Central,18-64 years,Number of Hours,8710
2019/20 Q3,Falkirk,Falkirk Central,65-74 years,"Rate per 1,000 Population",25
2019/20 Q3,Falkirk,Falkirk Central,65-74 years,Number of People,115
2019/20 Q3,Falkirk,Falkirk Central,65-74 years,Number of Hours,8680
2019/20 Q3,Falkirk,Falkirk Central,75-84 years,"Rate per 1,000 Population",89.7
2019/20 Q3,Falkirk,Falkirk Central,75-84 years,Number of People,260
2019/20 Q3,Falkirk,Falkirk Central,75-84 years,Number of Hours,20375
2019/20 Q3,Falkirk,Falkirk Central,85+ years,"Rate per 1,000 Population",264.8
2019/20 Q3,Falkirk,Falkirk Central,85+ years,Number of People,295
2019/20 Q3,Falkirk,Falkirk Central,85+ years,Number of Hours,24035
2019/20 Q3,Falkirk,Falkirk East,All Ages,"Rate per 1,000 Population",11.5
2019/20 Q3,Falkirk,Falkirk East,All Ages,Number of People,785
2019/20 Q3,Falkirk,Falkirk East,All Ages,Number of Hours,61890
2019/20 Q3,Falkirk,Falkirk East,0-17 years,"Rate per 1,000 Population",0.3
2019/20 Q3,Falkirk,Falkirk East,0-17 years,Number of People,5
2019/20 Q3,Falkirk,Falkirk East,0-17 years,Number of Hours,335
2019/20 Q3,Falkirk,Falkirk East,18-64 years,"Rate per 1,000 Population",2
