financial_year,sending_location,age_group,simd,measure,value
2019/20,City of Edinburgh,85+ years,1 (Most Deprived),Number of People,595
2019/20,City of Edinburgh,85+ years,1 (Most Deprived),SIMD Quintile Proportion,16.5
2019/20,City of Edinburgh,85+ years,2,Number of People,535
2019/20,City of Edinburgh,85+ years,2,SIMD Quintile Proportion,14.8
2019/20,City of Edinburgh,85+ years,3,Number of People,775
2019/20,City of Edinburgh,85+ years,3,SIMD Quintile Proportion,21.5
2019/20,City of Edinburgh,85+ years,4,Number of People,810
2019/20,City of Edinburgh,85+ years,4,SIMD Quintile Proportion,22.5
2019/20,City of Edinburgh,85+ years,5 (Least Deprived),Number of People,885
2019/20,City of Edinburgh,85+ years,5 (Least Deprived),SIMD Quintile Proportion,24.5
2019/20,City of Edinburgh,85+ years,Unknown,Number of People,5
2019/20,City of Edinburgh,85+ years,Unknown,SIMD Quintile Proportion,0.1
2019/20,City of Edinburgh,Unknown,1 (Most Deprived),Number of People,5
2019/20,City of Edinburgh,Unknown,1 (Most Deprived),SIMD Quintile Proportion,100
2019/20,City of Edinburgh,Unknown,2,Number of People,0
2019/20,City of Edinburgh,Unknown,2,SIMD Quintile Proportion,0
2019/20,City of Edinburgh,Unknown,3,Number of People,0
2019/20,City of Edinburgh,Unknown,3,SIMD Quintile Proportion,0
2019/20,City of Edinburgh,Unknown,4,Number of People,0
2019/20,City of Edinburgh,Unknown,4,SIMD Quintile Proportion,0
2019/20,City of Edinburgh,Unknown,5 (Least Deprived),Number of People,0
2019/20,City of Edinburgh,Unknown,5 (Least Deprived),SIMD Quintile Proportion,0
2019/20,City of Edinburgh,Unknown,Unknown,Number of People,0
2019/20,City of Edinburgh,Unknown,Unknown,SIMD Quintile Proportion,0
2019/20,Clackmannanshire,All Ages,1 (Most Deprived),Number of People,685
2019/20,Clackmannanshire,All Ages,1 (Most Deprived),SIMD Quintile Proportion,36.2
2019/20,Clackmannanshire,All Ages,2,Number of People,495
2019/20,Clackmannanshire,All Ages,2,SIMD Quintile Proportion,26.2
2019/20,Clackmannanshire,All Ages,3,Number of People,335
2019/20,Clackmannanshire,All Ages,3,SIMD Quintile Proportion,17.7
2019/20,Clackmannanshire,All Ages,4,Number of People,190
2019/20,Clackmannanshire,All Ages,4,SIMD Quintile Proportion,10.1
2019/20,Clackmannanshire,All Ages,5 (Least Deprived),Number of People,185
2019/20,Clackmannanshire,All Ages,5 (Least Deprived),SIMD Quintile Proportion,9.8
2019/20,Clackmannanshire,All Ages,Unknown,Number of People,0
2019/20,Clackmannanshire,All Ages,Unknown,SIMD Quintile Proportion,0
2019/20,Clackmannanshire,0-17 years,1 (Most Deprived),Number of People,0
2019/20,Clackmannanshire,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,NA
2019/20,Clackmannanshire,0-17 years,2,Number of People,0
2019/20,Clackmannanshire,0-17 years,2,SIMD Quintile Proportion,NA
2019/20,Clackmannanshire,0-17 years,3,Number of People,0
2019/20,Clackmannanshire,0-17 years,3,SIMD Quintile Proportion,NA
2019/20,Clackmannanshire,0-17 years,4,Number of People,0
2019/20,Clackmannanshire,0-17 years,4,SIMD Quintile Proportion,NA
2019/20,Clackmannanshire,0-17 years,5 (Least Deprived),Number of People,0
2019/20,Clackmannanshire,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,NA
2019/20,Clackmannanshire,0-17 years,Unknown,Number of People,0
2019/20,Clackmannanshire,0-17 years,Unknown,SIMD Quintile Proportion,NA
2019/20,Clackmannanshire,18-64 years,1 (Most Deprived),Number of People,150
2019/20,Clackmannanshire,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,52.6
2019/20,Clackmannanshire,18-64 years,2,Number of People,70
2019/20,Clackmannanshire,18-64 years,2,SIMD Quintile Proportion,24.6
2019/20,Clackmannanshire,18-64 years,3,Number of People,35
2019/20,Clackmannanshire,18-64 years,3,SIMD Quintile Proportion,12.3
2019/20,Clackmannanshire,18-64 years,4,Number of People,15
2019/20,Clackmannanshire,18-64 years,4,SIMD Quintile Proportion,5.3
2019/20,Clackmannanshire,18-64 years,5 (Least Deprived),Number of People,15
2019/20,Clackmannanshire,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,5.3
2019/20,Clackmannanshire,18-64 years,Unknown,Number of People,0
2019/20,Clackmannanshire,18-64 years,Unknown,SIMD Quintile Proportion,0
2019/20,Clackmannanshire,65-74 years,1 (Most Deprived),Number of People,135
2019/20,Clackmannanshire,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,41.5
2019/20,Clackmannanshire,65-74 years,2,Number of People,90
2019/20,Clackmannanshire,65-74 years,2,SIMD Quintile Proportion,27.7
2019/20,Clackmannanshire,65-74 years,3,Number of People,45
2019/20,Clackmannanshire,65-74 years,3,SIMD Quintile Proportion,13.8
2019/20,Clackmannanshire,65-74 years,4,Number of People,25
2019/20,Clackmannanshire,65-74 years,4,SIMD Quintile Proportion,7.7
2019/20,Clackmannanshire,65-74 years,5 (Least Deprived),Number of People,30
2019/20,Clackmannanshire,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,9.2
2019/20,Clackmannanshire,65-74 years,Unknown,Number of People,0
2019/20,Clackmannanshire,65-74 years,Unknown,SIMD Quintile Proportion,0
2019/20,Clackmannanshire,75-84 years,1 (Most Deprived),Number of People,230
2019/20,Clackmannanshire,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,32.2
2019/20,Clackmannanshire,75-84 years,2,Number of People,180
2019/20,Clackmannanshire,75-84 years,2,SIMD Quintile Proportion,25.2
2019/20,Clackmannanshire,75-84 years,3,Number of People,140
2019/20,Clackmannanshire,75-84 years,3,SIMD Quintile Proportion,19.6
2019/20,Clackmannanshire,75-84 years,4,Number of People,85
2019/20,Clackmannanshire,75-84 years,4,SIMD Quintile Proportion,11.9
2019/20,Clackmannanshire,75-84 years,5 (Least Deprived),Number of People,80
2019/20,Clackmannanshire,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,11.2
2019/20,Clackmannanshire,75-84 years,Unknown,Number of People,0
2019/20,Clackmannanshire,75-84 years,Unknown,SIMD Quintile Proportion,0
2019/20,Clackmannanshire,85+ years,1 (Most Deprived),Number of People,170
2019/20,Clackmannanshire,85+ years,1 (Most Deprived),SIMD Quintile Proportion,30.1
2019/20,Clackmannanshire,85+ years,2,Number of People,155
2019/20,Clackmannanshire,85+ years,2,SIMD Quintile Proportion,27.4
2019/20,Clackmannanshire,85+ years,3,Number of People,115
2019/20,Clackmannanshire,85+ years,3,SIMD Quintile Proportion,20.4
2019/20,Clackmannanshire,85+ years,4,Number of People,60
2019/20,Clackmannanshire,85+ years,4,SIMD Quintile Proportion,10.6
2019/20,Clackmannanshire,85+ years,5 (Least Deprived),Number of People,65
2019/20,Clackmannanshire,85+ years,5 (Least Deprived),SIMD Quintile Proportion,11.5
2019/20,Clackmannanshire,85+ years,Unknown,Number of People,0
2019/20,Clackmannanshire,85+ years,Unknown,SIMD Quintile Proportion,0
2019/20,Dumfries and Galloway,All Ages,1 (Most Deprived),Number of People,890
2019/20,Dumfries and Galloway,All Ages,1 (Most Deprived),SIMD Quintile Proportion,20.9
2019/20,Dumfries and Galloway,All Ages,2,Number of People,805
2019/20,Dumfries and Galloway,All Ages,2,SIMD Quintile Proportion,18.9
2019/20,Dumfries and Galloway,All Ages,3,Number of People,900
2019/20,Dumfries and Galloway,All Ages,3,SIMD Quintile Proportion,21.1
2019/20,Dumfries and Galloway,All Ages,4,Number of People,860
2019/20,Dumfries and Galloway,All Ages,4,SIMD Quintile Proportion,20.2
2019/20,Dumfries and Galloway,All Ages,5 (Least Deprived),Number of People,800
2019/20,Dumfries and Galloway,All Ages,5 (Least Deprived),SIMD Quintile Proportion,18.8
2019/20,Dumfries and Galloway,All Ages,Unknown,Number of People,10
2019/20,Dumfries and Galloway,All Ages,Unknown,SIMD Quintile Proportion,0.2
2019/20,Dumfries and Galloway,0-17 years,1 (Most Deprived),Number of People,15
2019/20,Dumfries and Galloway,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,33.3
2019/20,Dumfries and Galloway,0-17 years,2,Number of People,10
2019/20,Dumfries and Galloway,0-17 years,2,SIMD Quintile Proportion,22.2
2019/20,Dumfries and Galloway,0-17 years,3,Number of People,5
2019/20,Dumfries and Galloway,0-17 years,3,SIMD Quintile Proportion,11.1
2019/20,Dumfries and Galloway,0-17 years,4,Number of People,10
2019/20,Dumfries and Galloway,0-17 years,4,SIMD Quintile Proportion,22.2
2019/20,Dumfries and Galloway,0-17 years,5 (Least Deprived),Number of People,5
2019/20,Dumfries and Galloway,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,11.1
2019/20,Dumfries and Galloway,0-17 years,Unknown,Number of People,0
2019/20,Dumfries and Galloway,0-17 years,Unknown,SIMD Quintile Proportion,0
2019/20,Dumfries and Galloway,18-64 years,1 (Most Deprived),Number of People,135
2019/20,Dumfries and Galloway,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,36
2019/20,Dumfries and Galloway,18-64 years,2,Number of People,85
2019/20,Dumfries and Galloway,18-64 years,2,SIMD Quintile Proportion,22.7
2019/20,Dumfries and Galloway,18-64 years,3,Number of People,60
2019/20,Dumfries and Galloway,18-64 years,3,SIMD Quintile Proportion,16
2019/20,Dumfries and Galloway,18-64 years,4,Number of People,50
2019/20,Dumfries and Galloway,18-64 years,4,SIMD Quintile Proportion,13.3
2019/20,Dumfries and Galloway,18-64 years,5 (Least Deprived),Number of People,45
2019/20,Dumfries and Galloway,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,12
2019/20,Dumfries and Galloway,18-64 years,Unknown,Number of People,0
2019/20,Dumfries and Galloway,18-64 years,Unknown,SIMD Quintile Proportion,0
2019/20,Dumfries and Galloway,65-74 years,1 (Most Deprived),Number of People,145
2019/20,Dumfries and Galloway,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,29
2019/20,Dumfries and Galloway,65-74 years,2,Number of People,85
2019/20,Dumfries and Galloway,65-74 years,2,SIMD Quintile Proportion,17
2019/20,Dumfries and Galloway,65-74 years,3,Number of People,90
2019/20,Dumfries and Galloway,65-74 years,3,SIMD Quintile Proportion,18
2019/20,Dumfries and Galloway,65-74 years,4,Number of People,90
2019/20,Dumfries and Galloway,65-74 years,4,SIMD Quintile Proportion,18
2019/20,Dumfries and Galloway,65-74 years,5 (Least Deprived),Number of People,90
2019/20,Dumfries and Galloway,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,18
2019/20,Dumfries and Galloway,65-74 years,Unknown,Number of People,0
2019/20,Dumfries and Galloway,65-74 years,Unknown,SIMD Quintile Proportion,0
2019/20,Dumfries and Galloway,75-84 years,1 (Most Deprived),Number of People,295
2019/20,Dumfries and Galloway,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,19.1
2019/20,Dumfries and Galloway,75-84 years,2,Number of People,310
2019/20,Dumfries and Galloway,75-84 years,2,SIMD Quintile Proportion,20.1
2019/20,Dumfries and Galloway,75-84 years,3,Number of People,355
2019/20,Dumfries and Galloway,75-84 years,3,SIMD Quintile Proportion,23
2019/20,Dumfries and Galloway,75-84 years,4,Number of People,305
2019/20,Dumfries and Galloway,75-84 years,4,SIMD Quintile Proportion,19.7
2019/20,Dumfries and Galloway,75-84 years,5 (Least Deprived),Number of People,280
2019/20,Dumfries and Galloway,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,18.1
2019/20,Dumfries and Galloway,75-84 years,Unknown,Number of People,0
2019/20,Dumfries and Galloway,75-84 years,Unknown,SIMD Quintile Proportion,0
2019/20,Dumfries and Galloway,85+ years,1 (Most Deprived),Number of People,305
2019/20,Dumfries and Galloway,85+ years,1 (Most Deprived),SIMD Quintile Proportion,16.9
2019/20,Dumfries and Galloway,85+ years,2,Number of People,315
2019/20,Dumfries and Galloway,85+ years,2,SIMD Quintile Proportion,17.4
2019/20,Dumfries and Galloway,85+ years,3,Number of People,390
2019/20,Dumfries and Galloway,85+ years,3,SIMD Quintile Proportion,21.5
2019/20,Dumfries and Galloway,85+ years,4,Number of People,410
2019/20,Dumfries and Galloway,85+ years,4,SIMD Quintile Proportion,22.7
2019/20,Dumfries and Galloway,85+ years,5 (Least Deprived),Number of People,385
2019/20,Dumfries and Galloway,85+ years,5 (Least Deprived),SIMD Quintile Proportion,21.3
2019/20,Dumfries and Galloway,85+ years,Unknown,Number of People,5
2019/20,Dumfries and Galloway,85+ years,Unknown,SIMD Quintile Proportion,0.3
2019/20,Dundee City,All Ages,1 (Most Deprived),Number of People,1190
2019/20,Dundee City,All Ages,1 (Most Deprived),SIMD Quintile Proportion,20.2
2019/20,Dundee City,All Ages,2,Number of People,1225
2019/20,Dundee City,All Ages,2,SIMD Quintile Proportion,20.8
2019/20,Dundee City,All Ages,3,Number of People,1485
2019/20,Dundee City,All Ages,3,SIMD Quintile Proportion,25.2
2019/20,Dundee City,All Ages,4,Number of People,1065
2019/20,Dundee City,All Ages,4,SIMD Quintile Proportion,18.1
2019/20,Dundee City,All Ages,5 (Least Deprived),Number of People,915
2019/20,Dundee City,All Ages,5 (Least Deprived),SIMD Quintile Proportion,15.5
2019/20,Dundee City,All Ages,Unknown,Number of People,5
2019/20,Dundee City,All Ages,Unknown,SIMD Quintile Proportion,0.1
2019/20,Dundee City,0-17 years,1 (Most Deprived),Number of People,0
2019/20,Dundee City,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,NA
2019/20,Dundee City,0-17 years,2,Number of People,0
2019/20,Dundee City,0-17 years,2,SIMD Quintile Proportion,NA
2019/20,Dundee City,0-17 years,3,Number of People,0
2019/20,Dundee City,0-17 years,3,SIMD Quintile Proportion,NA
2019/20,Dundee City,0-17 years,4,Number of People,0
2019/20,Dundee City,0-17 years,4,SIMD Quintile Proportion,NA
2019/20,Dundee City,0-17 years,5 (Least Deprived),Number of People,0
2019/20,Dundee City,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,NA
2019/20,Dundee City,0-17 years,Unknown,Number of People,0
2019/20,Dundee City,0-17 years,Unknown,SIMD Quintile Proportion,NA
2019/20,Dundee City,18-64 years,1 (Most Deprived),Number of People,260
2019/20,Dundee City,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,30.1
2019/20,Dundee City,18-64 years,2,Number of People,215
2019/20,Dundee City,18-64 years,2,SIMD Quintile Proportion,24.9
2019/20,Dundee City,18-64 years,3,Number of People,225
2019/20,Dundee City,18-64 years,3,SIMD Quintile Proportion,26
2019/20,Dundee City,18-64 years,4,Number of People,115
2019/20,Dundee City,18-64 years,4,SIMD Quintile Proportion,13.3
2019/20,Dundee City,18-64 years,5 (Least Deprived),Number of People,50
2019/20,Dundee City,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,5.8
2019/20,Dundee City,18-64 years,Unknown,Number of People,0
2019/20,Dundee City,18-64 years,Unknown,SIMD Quintile Proportion,0
2019/20,Dundee City,65-74 years,1 (Most Deprived),Number of People,335
2019/20,Dundee City,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,26.9
2019/20,Dundee City,65-74 years,2,Number of People,325
2019/20,Dundee City,65-74 years,2,SIMD Quintile Proportion,26.1
2019/20,Dundee City,65-74 years,3,Number of People,335
2019/20,Dundee City,65-74 years,3,SIMD Quintile Proportion,26.9
2019/20,Dundee City,65-74 years,4,Number of People,170
2019/20,Dundee City,65-74 years,4,SIMD Quintile Proportion,13.7
2019/20,Dundee City,65-74 years,5 (Least Deprived),Number of People,80
2019/20,Dundee City,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,6.4
2019/20,Dundee City,65-74 years,Unknown,Number of People,0
2019/20,Dundee City,65-74 years,Unknown,SIMD Quintile Proportion,0
2019/20,Dundee City,75-84 years,1 (Most Deprived),Number of People,365
2019/20,Dundee City,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,18.4
2019/20,Dundee City,75-84 years,2,Number of People,415
2019/20,Dundee City,75-84 years,2,SIMD Quintile Proportion,20.9
2019/20,Dundee City,75-84 years,3,Number of People,535
2019/20,Dundee City,75-84 years,3,SIMD Quintile Proportion,27
2019/20,Dundee City,75-84 years,4,Number of People,365
2019/20,Dundee City,75-84 years,4,SIMD Quintile Proportion,18.4
2019/20,Dundee City,75-84 years,5 (Least Deprived),Number of People,305
2019/20,Dundee City,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,15.4
2019/20,Dundee City,75-84 years,Unknown,Number of People,0
2019/20,Dundee City,75-84 years,Unknown,SIMD Quintile Proportion,0
2019/20,Dundee City,85+ years,1 (Most Deprived),Number of People,230
2019/20,Dundee City,85+ years,1 (Most Deprived),SIMD Quintile Proportion,12.9
2019/20,Dundee City,85+ years,2,Number of People,270
2019/20,Dundee City,85+ years,2,SIMD Quintile Proportion,15.2
2019/20,Dundee City,85+ years,3,Number of People,390
2019/20,Dundee City,85+ years,3,SIMD Quintile Proportion,21.9
2019/20,Dundee City,85+ years,4,Number of People,410
2019/20,Dundee City,85+ years,4,SIMD Quintile Proportion,23
2019/20,Dundee City,85+ years,5 (Least Deprived),Number of People,480
2019/20,Dundee City,85+ years,5 (Least Deprived),SIMD Quintile Proportion,27
2019/20,Dundee City,85+ years,Unknown,Number of People,0
2019/20,Dundee City,85+ years,Unknown,SIMD Quintile Proportion,0
2019/20,East Ayrshire,All Ages,1 (Most Deprived),Number of People,895
2019/20,East Ayrshire,All Ages,1 (Most Deprived),SIMD Quintile Proportion,20.8
2019/20,East Ayrshire,All Ages,2,Number of People,1135
2019/20,East Ayrshire,All Ages,2,SIMD Quintile Proportion,26.3
2019/20,East Ayrshire,All Ages,3,Number of People,880
2019/20,East Ayrshire,All Ages,3,SIMD Quintile Proportion,20.4
2019/20,East Ayrshire,All Ages,4,Number of People,780
2019/20,East Ayrshire,All Ages,4,SIMD Quintile Proportion,18.1
2019/20,East Ayrshire,All Ages,5 (Least Deprived),Number of People,565
2019/20,East Ayrshire,All Ages,5 (Least Deprived),SIMD Quintile Proportion,13.1
2019/20,East Ayrshire,All Ages,Unknown,Number of People,55
2019/20,East Ayrshire,All Ages,Unknown,SIMD Quintile Proportion,1.3
2019/20,East Ayrshire,0-17 years,1 (Most Deprived),Number of People,10
2019/20,East Ayrshire,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,33.3
2019/20,East Ayrshire,0-17 years,2,Number of People,10
2019/20,East Ayrshire,0-17 years,2,SIMD Quintile Proportion,33.3
2019/20,East Ayrshire,0-17 years,3,Number of People,10
2019/20,East Ayrshire,0-17 years,3,SIMD Quintile Proportion,33.3
2019/20,East Ayrshire,0-17 years,4,Number of People,0
2019/20,East Ayrshire,0-17 years,4,SIMD Quintile Proportion,0
2019/20,East Ayrshire,0-17 years,5 (Least Deprived),Number of People,0
2019/20,East Ayrshire,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,0
2019/20,East Ayrshire,0-17 years,Unknown,Number of People,0
2019/20,East Ayrshire,0-17 years,Unknown,SIMD Quintile Proportion,0
2019/20,East Ayrshire,18-64 years,1 (Most Deprived),Number of People,185
2019/20,East Ayrshire,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,30.8
2019/20,East Ayrshire,18-64 years,2,Number of People,150
2019/20,East Ayrshire,18-64 years,2,SIMD Quintile Proportion,25
2019/20,East Ayrshire,18-64 years,3,Number of People,130
2019/20,East Ayrshire,18-64 years,3,SIMD Quintile Proportion,21.7
2019/20,East Ayrshire,18-64 years,4,Number of People,85
2019/20,East Ayrshire,18-64 years,4,SIMD Quintile Proportion,14.2
2019/20,East Ayrshire,18-64 years,5 (Least Deprived),Number of People,45
2019/20,East Ayrshire,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,7.5
2019/20,East Ayrshire,18-64 years,Unknown,Number of People,5
2019/20,East Ayrshire,18-64 years,Unknown,SIMD Quintile Proportion,0.8
2019/20,East Ayrshire,65-74 years,1 (Most Deprived),Number of People,160
2019/20,East Ayrshire,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,25.6
2019/20,East Ayrshire,65-74 years,2,Number of People,170
2019/20,East Ayrshire,65-74 years,2,SIMD Quintile Proportion,27.2
2019/20,East Ayrshire,65-74 years,3,Number of People,120
2019/20,East Ayrshire,65-74 years,3,SIMD Quintile Proportion,19.2
2019/20,East Ayrshire,65-74 years,4,Number of People,100
2019/20,East Ayrshire,65-74 years,4,SIMD Quintile Proportion,16
2019/20,East Ayrshire,65-74 years,5 (Least Deprived),Number of People,65
2019/20,East Ayrshire,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,10.4
2019/20,East Ayrshire,65-74 years,Unknown,Number of People,10
2019/20,East Ayrshire,65-74 years,Unknown,SIMD Quintile Proportion,1.6
2019/20,East Ayrshire,75-84 years,1 (Most Deprived),Number of People,305
2019/20,East Ayrshire,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,18.9
2019/20,East Ayrshire,75-84 years,2,Number of People,425
2019/20,East Ayrshire,75-84 years,2,SIMD Quintile Proportion,26.4
2019/20,East Ayrshire,75-84 years,3,Number of People,345
2019/20,East Ayrshire,75-84 years,3,SIMD Quintile Proportion,21.4
2019/20,East Ayrshire,75-84 years,4,Number of People,305
2019/20,East Ayrshire,75-84 years,4,SIMD Quintile Proportion,18.9
2019/20,East Ayrshire,75-84 years,5 (Least Deprived),Number of People,205
2019/20,East Ayrshire,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,12.7
2019/20,East Ayrshire,75-84 years,Unknown,Number of People,25
2019/20,East Ayrshire,75-84 years,Unknown,SIMD Quintile Proportion,1.6
2019/20,East Ayrshire,85+ years,1 (Most Deprived),Number of People,240
2019/20,East Ayrshire,85+ years,1 (Most Deprived),SIMD Quintile Proportion,16.7
2019/20,East Ayrshire,85+ years,2,Number of People,380
2019/20,East Ayrshire,85+ years,2,SIMD Quintile Proportion,26.4
2019/20,East Ayrshire,85+ years,3,Number of People,275
2019/20,East Ayrshire,85+ years,3,SIMD Quintile Proportion,19.1
2019/20,East Ayrshire,85+ years,4,Number of People,285
2019/20,East Ayrshire,85+ years,4,SIMD Quintile Proportion,19.8
2019/20,East Ayrshire,85+ years,5 (Least Deprived),Number of People,245
2019/20,East Ayrshire,85+ years,5 (Least Deprived),SIMD Quintile Proportion,17
2019/20,East Ayrshire,85+ years,Unknown,Number of People,15
2019/20,East Ayrshire,85+ years,Unknown,SIMD Quintile Proportion,1
2019/20,East Dunbartonshire,All Ages,1 (Most Deprived),Number of People,370
2019/20,East Dunbartonshire,All Ages,1 (Most Deprived),SIMD Quintile Proportion,21.6
2019/20,East Dunbartonshire,All Ages,2,Number of People,295
2019/20,East Dunbartonshire,All Ages,2,SIMD Quintile Proportion,17.3
2019/20,East Dunbartonshire,All Ages,3,Number of People,380
2019/20,East Dunbartonshire,All Ages,3,SIMD Quintile Proportion,22.2
2019/20,East Dunbartonshire,All Ages,4,Number of People,325
2019/20,East Dunbartonshire,All Ages,4,SIMD Quintile Proportion,19
2019/20,East Dunbartonshire,All Ages,5 (Least Deprived),Number of People,335
2019/20,East Dunbartonshire,All Ages,5 (Least Deprived),SIMD Quintile Proportion,19.6
2019/20,East Dunbartonshire,All Ages,Unknown,Number of People,5
2019/20,East Dunbartonshire,All Ages,Unknown,SIMD Quintile Proportion,0.3
2019/20,East Dunbartonshire,0-17 years,1 (Most Deprived),Number of People,0
2019/20,East Dunbartonshire,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,NA
2019/20,East Dunbartonshire,0-17 years,2,Number of People,0
2019/20,East Dunbartonshire,0-17 years,2,SIMD Quintile Proportion,NA
2019/20,East Dunbartonshire,0-17 years,3,Number of People,0
2019/20,East Dunbartonshire,0-17 years,3,SIMD Quintile Proportion,NA
2019/20,East Dunbartonshire,0-17 years,4,Number of People,0
2019/20,East Dunbartonshire,0-17 years,4,SIMD Quintile Proportion,NA
2019/20,East Dunbartonshire,0-17 years,5 (Least Deprived),Number of People,0
2019/20,East Dunbartonshire,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,NA
2019/20,East Dunbartonshire,0-17 years,Unknown,Number of People,0
2019/20,East Dunbartonshire,0-17 years,Unknown,SIMD Quintile Proportion,NA
2019/20,East Dunbartonshire,18-64 years,1 (Most Deprived),Number of People,50
2019/20,East Dunbartonshire,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,41.7
2019/20,East Dunbartonshire,18-64 years,2,Number of People,20
2019/20,East Dunbartonshire,18-64 years,2,SIMD Quintile Proportion,16.7
2019/20,East Dunbartonshire,18-64 years,3,Number of People,25
2019/20,East Dunbartonshire,18-64 years,3,SIMD Quintile Proportion,20.8
2019/20,East Dunbartonshire,18-64 years,4,Number of People,15
2019/20,East Dunbartonshire,18-64 years,4,SIMD Quintile Proportion,12.5
2019/20,East Dunbartonshire,18-64 years,5 (Least Deprived),Number of People,10
2019/20,East Dunbartonshire,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,8.3
2019/20,East Dunbartonshire,18-64 years,Unknown,Number of People,0
2019/20,East Dunbartonshire,18-64 years,Unknown,SIMD Quintile Proportion,0
2019/20,East Dunbartonshire,65-74 years,1 (Most Deprived),Number of People,45
2019/20,East Dunbartonshire,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,25.7
2019/20,East Dunbartonshire,65-74 years,2,Number of People,35
2019/20,East Dunbartonshire,65-74 years,2,SIMD Quintile Proportion,20
2019/20,East Dunbartonshire,65-74 years,3,Number of People,40
2019/20,East Dunbartonshire,65-74 years,3,SIMD Quintile Proportion,22.9
2019/20,East Dunbartonshire,65-74 years,4,Number of People,25
2019/20,East Dunbartonshire,65-74 years,4,SIMD Quintile Proportion,14.3
2019/20,East Dunbartonshire,65-74 years,5 (Least Deprived),Number of People,30
2019/20,East Dunbartonshire,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,17.1
2019/20,East Dunbartonshire,65-74 years,Unknown,Number of People,0
2019/20,East Dunbartonshire,65-74 years,Unknown,SIMD Quintile Proportion,0
2019/20,East Dunbartonshire,75-84 years,1 (Most Deprived),Number of People,130
2019/20,East Dunbartonshire,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,22
2019/20,East Dunbartonshire,75-84 years,2,Number of People,115
2019/20,East Dunbartonshire,75-84 years,2,SIMD Quintile Proportion,19.5
2019/20,East Dunbartonshire,75-84 years,3,Number of People,135
2019/20,East Dunbartonshire,75-84 years,3,SIMD Quintile Proportion,22.9
2019/20,East Dunbartonshire,75-84 years,4,Number of People,105
2019/20,East Dunbartonshire,75-84 years,4,SIMD Quintile Proportion,17.8
2019/20,East Dunbartonshire,75-84 years,5 (Least Deprived),Number of People,105
2019/20,East Dunbartonshire,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,17.8
2019/20,East Dunbartonshire,75-84 years,Unknown,Number of People,0
2019/20,East Dunbartonshire,75-84 years,Unknown,SIMD Quintile Proportion,0
2019/20,East Dunbartonshire,85+ years,1 (Most Deprived),Number of People,145
2019/20,East Dunbartonshire,85+ years,1 (Most Deprived),SIMD Quintile Proportion,17.9
2019/20,East Dunbartonshire,85+ years,2,Number of People,125
2019/20,East Dunbartonshire,85+ years,2,SIMD Quintile Proportion,15.4
2019/20,East Dunbartonshire,85+ years,3,Number of People,175
2019/20,East Dunbartonshire,85+ years,3,SIMD Quintile Proportion,21.6
2019/20,East Dunbartonshire,85+ years,4,Number of People,180
2019/20,East Dunbartonshire,85+ years,4,SIMD Quintile Proportion,22.2
2019/20,East Dunbartonshire,85+ years,5 (Least Deprived),Number of People,185
2019/20,East Dunbartonshire,85+ years,5 (Least Deprived),SIMD Quintile Proportion,22.8
2019/20,East Dunbartonshire,85+ years,Unknown,Number of People,0
2019/20,East Dunbartonshire,85+ years,Unknown,SIMD Quintile Proportion,0
