financial_year,sending_location,age_group,client_group,nclient,rate
2019/20,Falkirk,75-84 years,Elderly / Frail,325,235.5072463768116
2019/20,Falkirk,85+ years,Elderly / Frail,480,369.2307692307692
2019/20,Falkirk,Unknown,Elderly / Frail,0,0
2019/20,Falkirk,All Ages,Learning Disability,395,87.97327394209354
2019/20,Falkirk,0-17 years,Learning Disability,5,200
2019/20,Falkirk,18-64 years,Learning Disability,345,316.5137614678899
2019/20,Falkirk,65-74 years,Learning Disability,35,50.35971223021583
2019/20,Falkirk,75-84 years,Learning Disability,15,10.869565217391305
2019/20,Falkirk,85+ years,Learning Disability,0,0
2019/20,Falkirk,Unknown,Learning Disability,0,0
2019/20,Falkirk,All Ages,Mental Health,305,67.92873051224944
2019/20,Falkirk,0-17 years,Mental Health,0,0
2019/20,Falkirk,18-64 years,Mental Health,185,169.72477064220183
2019/20,Falkirk,65-74 years,Mental Health,60,86.33093525179856
2019/20,Falkirk,75-84 years,Mental Health,40,28.985507246376812
2019/20,Falkirk,85+ years,Mental Health,20,15.384615384615385
2019/20,Falkirk,Unknown,Mental Health,0,0
2019/20,Falkirk,All Ages,Physical and Sensory Disability,2330,518.9309576837417
2019/20,Falkirk,0-17 years,Physical and Sensory Disability,5,200
2019/20,Falkirk,18-64 years,Physical and Sensory Disability,480,440.3669724770642
2019/20,Falkirk,65-74 years,Physical and Sensory Disability,435,625.8992805755396
2019/20,Falkirk,75-84 years,Physical and Sensory Disability,740,536.2318840579711
2019/20,Falkirk,85+ years,Physical and Sensory Disability,670,515.3846153846154
2019/20,Falkirk,Unknown,Physical and Sensory Disability,0,0
2019/20,Falkirk,All Ages,Other,160,35.634743875278396
2019/20,Falkirk,0-17 years,Other,0,0
2019/20,Falkirk,18-64 years,Other,60,55.04587155963303
2019/20,Falkirk,65-74 years,Other,45,64.74820143884892
2019/20,Falkirk,75-84 years,Other,40,28.985507246376812
2019/20,Falkirk,85+ years,Other,20,15.384615384615385
2019/20,Falkirk,Unknown,Other,0,0
2020/21,Falkirk,All Ages,Dementia,485,108.86644219977553
2020/21,Falkirk,0-17 years,Dementia,0,0
2020/21,Falkirk,18-64 years,Dementia,15,12.658227848101266
2020/21,Falkirk,65-74 years,Dementia,55,79.13669064748201
2020/21,Falkirk,75-84 years,Dementia,205,163.34661354581672
2020/21,Falkirk,85+ years,Dementia,205,157.088122605364
2020/21,Falkirk,Unknown,Dementia,0,0
2020/21,Falkirk,All Ages,Elderly / Frail,825,185.18518518518516
2020/21,Falkirk,0-17 years,Elderly / Frail,0,0
2020/21,Falkirk,18-64 years,Elderly / Frail,10,8.438818565400844
2020/21,Falkirk,65-74 years,Elderly / Frail,70,100.71942446043165
2020/21,Falkirk,75-84 years,Elderly / Frail,275,219.12350597609563
2020/21,Falkirk,85+ years,Elderly / Frail,470,360.15325670498083
2020/21,Falkirk,Unknown,Elderly / Frail,0,0
2020/21,Falkirk,All Ages,Learning Disability,490,109.98877665544332
2020/21,Falkirk,0-17 years,Learning Disability,0,0
2020/21,Falkirk,18-64 years,Learning Disability,420,354.43037974683546
2020/21,Falkirk,65-74 years,Learning Disability,50,71.94244604316546
2020/21,Falkirk,75-84 years,Learning Disability,20,15.936254980079681
2020/21,Falkirk,85+ years,Learning Disability,0,0
2020/21,Falkirk,Unknown,Learning Disability,0,0
2020/21,Falkirk,All Ages,Mental Health,335,75.19640852974187
2020/21,Falkirk,0-17 years,Mental Health,0,0
2020/21,Falkirk,18-64 years,Mental Health,215,181.43459915611814
2020/21,Falkirk,65-74 years,Mental Health,60,86.33093525179856
2020/21,Falkirk,75-84 years,Mental Health,40,31.872509960159363
2020/21,Falkirk,85+ years,Mental Health,20,15.32567049808429
2020/21,Falkirk,Unknown,Mental Health,0,0
2020/21,Falkirk,All Ages,Physical and Sensory Disability,2135,479.2368125701459
2020/21,Falkirk,0-17 years,Physical and Sensory Disability,5,333.3333333333333
2020/21,Falkirk,18-64 years,Physical and Sensory Disability,435,367.0886075949367
2020/21,Falkirk,65-74 years,Physical and Sensory Disability,385,553.956834532374
2020/21,Falkirk,75-84 years,Physical and Sensory Disability,655,521.9123505976096
2020/21,Falkirk,85+ years,Physical and Sensory Disability,655,501.91570881226056
2020/21,Falkirk,Unknown,Physical and Sensory Disability,0,0
2020/21,Falkirk,All Ages,Other,170,38.15937149270483
2020/21,Falkirk,0-17 years,Other,0,0
2020/21,Falkirk,18-64 years,Other,60,50.63291139240506
2020/21,Falkirk,65-74 years,Other,45,64.74820143884892
2020/21,Falkirk,75-84 years,Other,40,31.872509960159363
2020/21,Falkirk,85+ years,Other,20,15.32567049808429
2020/21,Falkirk,Unknown,Other,0,0
2017/18,Fife,All Ages,Dementia,210,45.701849836779104
2017/18,Fife,0-17 years,Dementia,0,0
2017/18,Fife,18-64 years,Dementia,10,7.874015748031496
2017/18,Fife,65-74 years,Dementia,40,68.37606837606839
2017/18,Fife,75-84 years,Dementia,75,60.97560975609756
2017/18,Fife,85+ years,Dementia,85,59.44055944055944
2017/18,Fife,Unknown,Dementia,0,0
2017/18,Fife,All Ages,Elderly / Frail,1480,322.0892274211099
2017/18,Fife,0-17 years,Elderly / Frail,0,0
2017/18,Fife,18-64 years,Elderly / Frail,290,228.3464566929134
2017/18,Fife,65-74 years,Elderly / Frail,230,393.16239316239313
2017/18,Fife,75-84 years,Elderly / Frail,460,373.98373983739833
2017/18,Fife,85+ years,Elderly / Frail,500,349.65034965034965
2017/18,Fife,Unknown,Elderly / Frail,0,0
2017/18,Fife,All Ages,Learning Disability,525,114.25462459194777
2017/18,Fife,0-17 years,Learning Disability,10,125
2017/18,Fife,18-64 years,Learning Disability,485,381.8897637795275
2017/18,Fife,65-74 years,Learning Disability,20,34.188034188034194
2017/18,Fife,75-84 years,Learning Disability,10,8.130081300813009
2017/18,Fife,85+ years,Learning Disability,5,3.4965034965034967
2017/18,Fife,Unknown,Learning Disability,0,0
2017/18,Fife,All Ages,Mental Health,315,68.55277475516866
2017/18,Fife,0-17 years,Mental Health,0,0
2017/18,Fife,18-64 years,Mental Health,210,165.35433070866142
2017/18,Fife,65-74 years,Mental Health,65,111.1111111111111
2017/18,Fife,75-84 years,Mental Health,30,24.390243902439025
2017/18,Fife,85+ years,Mental Health,10,6.993006993006993
2017/18,Fife,Unknown,Mental Health,0,0
2017/18,Fife,All Ages,Physical and Sensory Disability,1820,396.08269858541894
2017/18,Fife,0-17 years,Physical and Sensory Disability,35,437.5
2017/18,Fife,18-64 years,Physical and Sensory Disability,490,385.8267716535433
2017/18,Fife,65-74 years,Physical and Sensory Disability,240,410.2564102564102
2017/18,Fife,75-84 years,Physical and Sensory Disability,480,390.2439024390244
2017/18,Fife,85+ years,Physical and Sensory Disability,565,395.1048951048951
2017/18,Fife,Unknown,Physical and Sensory Disability,0,0
2017/18,Fife,All Ages,Other,1210,263.32970620239394
2017/18,Fife,0-17 years,Other,5,62.5
2017/18,Fife,18-64 years,Other,230,181.10236220472441
2017/18,Fife,65-74 years,Other,130,222.2222222222222
2017/18,Fife,75-84 years,Other,350,284.5528455284553
2017/18,Fife,85+ years,Other,495,346.15384615384613
2017/18,Fife,Unknown,Other,0,0
2018/19,Fife,All Ages,Dementia,280,29.739776951672862
2018/19,Fife,0-17 years,Dementia,0,0
2018/19,Fife,18-64 years,Dementia,15,7.389162561576354
2018/19,Fife,65-74 years,Dementia,45,36.734693877551024
2018/19,Fife,75-84 years,Dementia,100,38.46153846153847
2018/19,Fife,85+ years,Dementia,115,33.18903318903319
2018/19,Fife,Unknown,Dementia,0,0
2018/19,Fife,All Ages,Elderly / Frail,2605,276.68613913967073
2018/19,Fife,0-17 years,Elderly / Frail,0,0
2018/19,Fife,18-64 years,Elderly / Frail,25,12.315270935960593
2018/19,Fife,65-74 years,Elderly / Frail,265,216.3265306122449
2018/19,Fife,75-84 years,Elderly / Frail,895,344.2307692307692
2018/19,Fife,85+ years,Elderly / Frail,1420,409.8124098124098
2018/19,Fife,Unknown,Elderly / Frail,0,0
2018/19,Fife,All Ages,Learning Disability,900,95.59214020180563
2018/19,Fife,0-17 years,Learning Disability,5,52.63157894736842
2018/19,Fife,18-64 years,Learning Disability,770,379.31034482758616
2018/19,Fife,65-74 years,Learning Disability,100,81.63265306122449
2018/19,Fife,75-84 years,Learning Disability,25,9.615384615384617
2018/19,Fife,85+ years,Learning Disability,5,1.443001443001443
2018/19,Fife,Unknown,Learning Disability,0,0
2018/19,Fife,All Ages,Mental Health,475,50.451407328730745
2018/19,Fife,0-17 years,Mental Health,0,0
2018/19,Fife,18-64 years,Mental Health,285,140.39408866995075
2018/19,Fife,65-74 years,Mental Health,115,93.87755102040816
2018/19,Fife,75-84 years,Mental Health,55,21.153846153846153
2018/19,Fife,85+ years,Mental Health,20,5.772005772005772
2018/19,Fife,Unknown,Mental Health,0,0
2018/19,Fife,All Ages,Physical and Sensory Disability,4060,431.2267657992565
2018/19,Fife,0-17 years,Physical and Sensory Disability,35,368.4210526315789
2018/19,Fife,18-64 years,Physical and Sensory Disability,695,342.3645320197045
2018/19,Fife,65-74 years,Physical and Sensory Disability,635,518.3673469387755
2018/19,Fife,75-84 years,Physical and Sensory Disability,1195,459.6153846153846
2018/19,Fife,85+ years,Physical and Sensory Disability,1505,434.34343434343435
2018/19,Fife,Unknown,Physical and Sensory Disability,0,0
2018/19,Fife,All Ages,Other,1730,183.74933616569305
2018/19,Fife,0-17 years,Other,45,473.6842105263158
2018/19,Fife,18-64 years,Other,440,216.74876847290642
2018/19,Fife,65-74 years,Other,240,195.91836734693877
2018/19,Fife,75-84 years,Other,435,167.3076923076923
2018/19,Fife,85+ years,Other,570,164.5021645021645
2018/19,Fife,Unknown,Other,0,0
2019/20,Fife,All Ages,Dementia,430,48.17927170868347
2019/20,Fife,0-17 years,Dementia,0,0
2019/20,Fife,18-64 years,Dementia,20,10.362694300518134
2019/20,Fife,65-74 years,Dementia,60,51.948051948051955
2019/20,Fife,75-84 years,Dementia,165,67.34693877551021
2019/20,Fife,85+ years,Dementia,185,56.48854961832061
2019/20,Fife,Unknown,Dementia,0,NA
2019/20,Fife,All Ages,Elderly / Frail,3065,343.4173669467787
2019/20,Fife,0-17 years,Elderly / Frail,0,0
2019/20,Fife,18-64 years,Elderly / Frail,30,15.544041450777202
2019/20,Fife,65-74 years,Elderly / Frail,330,285.7142857142857
2019/20,Fife,75-84 years,Elderly / Frail,1040,424.48979591836735
2019/20,Fife,85+ years,Elderly / Frail,1665,508.3969465648855
2019/20,Fife,Unknown,Elderly / Frail,0,NA
2019/20,Fife,All Ages,Learning Disability,1015,113.72549019607843
2019/20,Fife,0-17 years,Learning Disability,15,130.43478260869566
2019/20,Fife,18-64 years,Learning Disability,860,445.5958549222798
2019/20,Fife,65-74 years,Learning Disability,110,95.23809523809523
2019/20,Fife,75-84 years,Learning Disability,30,12.244897959183673
2019/20,Fife,85+ years,Learning Disability,5,1.5267175572519083
2019/20,Fife,Unknown,Learning Disability,0,NA
2019/20,Fife,All Ages,Mental Health,695,77.87114845938376
2019/20,Fife,0-17 years,Mental Health,0,0
2019/20,Fife,18-64 years,Mental Health,375,194.30051813471502
2019/20,Fife,65-74 years,Mental Health,175,151.51515151515153
2019/20,Fife,75-84 years,Mental Health,100,40.816326530612244
2019/20,Fife,85+ years,Mental Health,45,13.740458015267174
2019/20,Fife,Unknown,Mental Health,0,NA
2019/20,Fife,All Ages,Physical and Sensory Disability,4735,530.5322128851541
2019/20,Fife,0-17 years,Physical and Sensory Disability,30,260.8695652173913
2019/20,Fife,18-64 years,Physical and Sensory Disability,840,435.23316062176167
2019/20,Fife,65-74 years,Physical and Sensory Disability,690,597.4025974025974
2019/20,Fife,75-84 years,Physical and Sensory Disability,1325,540.8163265306123
2019/20,Fife,85+ years,Physical and Sensory Disability,1850,564.8854961832062
2019/20,Fife,Unknown,Physical and Sensory Disability,0,NA
2019/20,Fife,All Ages,Other,2895,324.3697478991597
2019/20,Fife,0-17 years,Other,105,913.0434782608695
2019/20,Fife,18-64 years,Other,1095,567.3575129533679
2019/20,Fife,65-74 years,Other,365,316.01731601731603
2019/20,Fife,75-84 years,Other,545,222.44897959183675
2019/20,Fife,85+ years,Other,785,239.6946564885496
2019/20,Fife,Unknown,Other,0,NA
2020/21,Fife,All Ages,Dementia,425,45.11677282377919
2020/21,Fife,0-17 years,Dementia,0,0
2020/21,Fife,18-64 years,Dementia,25,13.123359580052494
2020/21,Fife,65-74 years,Dementia,70,56.91056910569105
2020/21,Fife,75-84 years,Dementia,150,55.45286506469501
2020/21,Fife,85+ years,Dementia,175,50
2020/21,Fife,Unknown,Dementia,0,0
2020/21,Fife,All Ages,Elderly / Frail,3245,344.47983014861995
2020/21,Fife,0-17 years,Elderly / Frail,0,0
2020/21,Fife,18-64 years,Elderly / Frail,30,15.748031496062993
2020/21,Fife,65-74 years,Elderly / Frail,350,284.5528455284553
2020/21,Fife,75-84 years,Elderly / Frail,1150,425.13863216266174
2020/21,Fife,85+ years,Elderly / Frail,1715,490
2020/21,Fife,Unknown,Elderly / Frail,0,0
2020/21,Fife,All Ages,Learning Disability,945,100.31847133757962
2020/21,Fife,0-17 years,Learning Disability,5,62.5
2020/21,Fife,18-64 years,Learning Disability,795,417.3228346456693
2020/21,Fife,65-74 years,Learning Disability,100,81.30081300813008
2020/21,Fife,75-84 years,Learning Disability,35,12.939001848428836
2020/21,Fife,85+ years,Learning Disability,5,1.4285714285714286
2020/21,Fife,Unknown,Learning Disability,0,0
2020/21,Fife,All Ages,Mental Health,795,84.39490445859872
2020/21,Fife,0-17 years,Mental Health,0,0
2020/21,Fife,18-64 years,Mental Health,435,228.3464566929134
2020/21,Fife,65-74 years,Mental Health,195,158.53658536585365
2020/21,Fife,75-84 years,Mental Health,115,42.513863216266174
2020/21,Fife,85+ years,Mental Health,50,14.285714285714285
2020/21,Fife,Unknown,Mental Health,0,0
2020/21,Fife,All Ages,Physical and Sensory Disability,5075,538.7473460721869
2020/21,Fife,0-17 years,Physical and Sensory Disability,25,312.5
2020/21,Fife,18-64 years,Physical and Sensory Disability,925,485.56430446194224
2020/21,Fife,65-74 years,Physical and Sensory Disability,700,569.1056910569106
2020/21,Fife,75-84 years,Physical and Sensory Disability,1435,530.4990757855824
2020/21,Fife,85+ years,Physical and Sensory Disability,1990,568.5714285714287
2020/21,Fife,Unknown,Physical and Sensory Disability,0,0
2020/21,Fife,All Ages,Other,2870,304.67091295116774
2020/21,Fife,0-17 years,Other,75,937.5
2020/21,Fife,18-64 years,Other,1110,582.6771653543307
2020/21,Fife,65-74 years,Other,350,284.5528455284553
2020/21,Fife,75-84 years,Other,535,197.7818853974122
2020/21,Fife,85+ years,Other,800,228.57142857142856
2020/21,Fife,Unknown,Other,0,0
2018/19,Glasgow City,All Ages,Dementia,25,6.476683937823834
2018/19,Glasgow City,0-17 years,Dementia,0,0
2018/19,Glasgow City,18-64 years,Dementia,5,1.8281535648994516
2018/19,Glasgow City,65-74 years,Dementia,5,10.526315789473683
2018/19,Glasgow City,75-84 years,Dementia,5,20.408163265306122
2018/19,Glasgow City,85+ years,Dementia,5,32.25806451612903
2018/19,Glasgow City,Unknown,Dementia,0,0
2018/19,Glasgow City,All Ages,Elderly / Frail,960,248.70466321243524
2018/19,Glasgow City,0-17 years,Elderly / Frail,0,0
2018/19,Glasgow City,18-64 years,Elderly / Frail,85,31.078610603290677
2018/19,Glasgow City,65-74 years,Elderly / Frail,475,1000
2018/19,Glasgow City,75-84 years,Elderly / Frail,245,1000
2018/19,Glasgow City,85+ years,Elderly / Frail,155,1000
2018/19,Glasgow City,Unknown,Elderly / Frail,0,0
2018/19,Glasgow City,All Ages,Learning Disability,1265,327.72020725388603
2018/19,Glasgow City,0-17 years,Learning Disability,5,20
2018/19,Glasgow City,18-64 years,Learning Disability,1040,380.2559414990859
2018/19,Glasgow City,65-74 years,Learning Disability,160,336.84210526315786
2018/19,Glasgow City,75-84 years,Learning Disability,50,204.08163265306123
2018/19,Glasgow City,85+ years,Learning Disability,5,32.25806451612903
2018/19,Glasgow City,Unknown,Learning Disability,0,0
2018/19,Glasgow City,All Ages,Mental Health,445,115.28497409326424
2018/19,Glasgow City,0-17 years,Mental Health,0,0
2018/19,Glasgow City,18-64 years,Mental Health,350,127.97074954296161
2018/19,Glasgow City,65-74 years,Mental Health,80,168.42105263157893
2018/19,Glasgow City,75-84 years,Mental Health,15,61.224489795918366
2018/19,Glasgow City,85+ years,Mental Health,0,0
2018/19,Glasgow City,Unknown,Mental Health,0,0
2018/19,Glasgow City,All Ages,Physical and Sensory Disability,1195,309.5854922279793
2018/19,Glasgow City,0-17 years,Physical and Sensory Disability,40,160
2018/19,Glasgow City,18-64 years,Physical and Sensory Disability,865,316.2705667276051
2018/19,Glasgow City,65-74 years,Physical and Sensory Disability,175,368.4210526315789
2018/19,Glasgow City,75-84 years,Physical and Sensory Disability,65,265.30612244897964
2018/19,Glasgow City,85+ years,Physical and Sensory Disability,50,322.5806451612903
2018/19,Glasgow City,Unknown,Physical and Sensory Disability,0,0
2018/19,Glasgow City,All Ages,Other,1740,450.77720207253884
2018/19,Glasgow City,0-17 years,Other,5,20
2018/19,Glasgow City,18-64 years,Other,1375,502.7422303473492
2018/19,Glasgow City,65-74 years,Other,230,484.2105263157895
2018/19,Glasgow City,75-84 years,Other,100,408.16326530612247
2018/19,Glasgow City,85+ years,Other,30,193.54838709677418
2018/19,Glasgow City,Unknown,Other,0,0
2019/20,Glasgow City,All Ages,Dementia,20,5.044136191677175
2019/20,Glasgow City,0-17 years,Dementia,0,0
2019/20,Glasgow City,18-64 years,Dementia,5,1.7953321364452424
2019/20,Glasgow City,65-74 years,Dementia,5,10.101010101010102
2019/20,Glasgow City,75-84 years,Dementia,5,20
2019/20,Glasgow City,85+ years,Dementia,5,29.41176470588235
2019/20,Glasgow City,Unknown,Dementia,0,0
2019/20,Glasgow City,All Ages,Elderly / Frail,990,249.68474148802017
2019/20,Glasgow City,0-17 years,Elderly / Frail,0,0
2019/20,Glasgow City,18-64 years,Elderly / Frail,75,26.929982046678635
2019/20,Glasgow City,65-74 years,Elderly / Frail,495,1000
2019/20,Glasgow City,75-84 years,Elderly / Frail,250,1000
2019/20,Glasgow City,85+ years,Elderly / Frail,170,1000
2019/20,Glasgow City,Unknown,Elderly / Frail,0,0
2019/20,Glasgow City,All Ages,Learning Disability,1275,321.56368221941995
2019/20,Glasgow City,0-17 years,Learning Disability,5,18.51851851851852
2019/20,Glasgow City,18-64 years,Learning Disability,1040,373.4290843806104
2019/20,Glasgow City,65-74 years,Learning Disability,170,343.4343434343434
2019/20,Glasgow City,75-84 years,Learning Disability,50,200
2019/20,Glasgow City,85+ years,Learning Disability,5,29.41176470588235
2019/20,Glasgow City,Unknown,Learning Disability,0,0
2019/20,Glasgow City,All Ages,Mental Health,455,114.75409836065575
2019/20,Glasgow City,0-17 years,Mental Health,0,0
2019/20,Glasgow City,18-64 years,Mental Health,345,123.87791741472172
2019/20,Glasgow City,65-74 years,Mental Health,85,171.7171717171717
2019/20,Glasgow City,75-84 years,Mental Health,20,80
2019/20,Glasgow City,85+ years,Mental Health,5,29.41176470588235
2019/20,Glasgow City,Unknown,Mental Health,0,0
2019/20,Glasgow City,All Ages,Physical and Sensory Disability,1165,293.82093316519547
2019/20,Glasgow City,0-17 years,Physical and Sensory Disability,40,148.14814814814815
2019/20,Glasgow City,18-64 years,Physical and Sensory Disability,840,301.6157989228007
2019/20,Glasgow City,65-74 years,Physical and Sensory Disability,165,333.3333333333333
2019/20,Glasgow City,75-84 years,Physical and Sensory Disability,75,300
2019/20,Glasgow City,85+ years,Physical and Sensory Disability,50,294.11764705882354
2019/20,Glasgow City,Unknown,Physical and Sensory Disability,0,0
2019/20,Glasgow City,All Ages,Other,1730,436.31778058007563
2019/20,Glasgow City,0-17 years,Other,5,18.51851851851852
2019/20,Glasgow City,18-64 years,Other,1365,490.12567324955114
2019/20,Glasgow City,65-74 years,Other,235,474.74747474747477
2019/20,Glasgow City,75-84 years,Other,95,380
2019/20,Glasgow City,85+ years,Other,25,147.05882352941177
2019/20,Glasgow City,Unknown,Other,0,0
2020/21,Glasgow City,All Ages,Dementia,25,6.053268765133172
2020/21,Glasgow City,0-17 years,Dementia,0,0
2020/21,Glasgow City,18-64 years,Dementia,5,1.7953321364452424
2020/21,Glasgow City,65-74 years,Dementia,5,9.174311926605505
2020/21,Glasgow City,75-84 years,Dementia,5,15.384615384615385
2020/21,Glasgow City,85+ years,Dementia,5,25.64102564102564
2020/21,Glasgow City,Unknown,Dementia,0,0
2020/21,Glasgow City,All Ages,Elderly / Frail,1115,269.9757869249394
2020/21,Glasgow City,0-17 years,Elderly / Frail,0,0
2020/21,Glasgow City,18-64 years,Elderly / Frail,55,19.748653500897664
2020/21,Glasgow City,65-74 years,Elderly / Frail,545,1000
2020/21,Glasgow City,75-84 years,Elderly / Frail,325,1000
2020/21,Glasgow City,85+ years,Elderly / Frail,195,1000
2020/21,Glasgow City,Unknown,Elderly / Frail,0,0
2020/21,Glasgow City,All Ages,Learning Disability,1235,299.0314769975787
2020/21,Glasgow City,0-17 years,Learning Disability,5,17.543859649122805
2020/21,Glasgow City,18-64 years,Learning Disability,995,357.27109515260327
2020/21,Glasgow City,65-74 years,Learning Disability,175,321.10091743119267
2020/21,Glasgow City,75-84 years,Learning Disability,55,169.23076923076923
2020/21,Glasgow City,85+ years,Learning Disability,5,25.64102564102564
2020/21,Glasgow City,Unknown,Learning Disability,0,0
2020/21,Glasgow City,All Ages,Mental Health,455,110.16949152542372
2020/21,Glasgow City,0-17 years,Mental Health,0,0
2020/21,Glasgow City,18-64 years,Mental Health,330,118.491921005386
2020/21,Glasgow City,65-74 years,Mental Health,100,183.4862385321101
2020/21,Glasgow City,75-84 years,Mental Health,20,61.53846153846154
2020/21,Glasgow City,85+ years,Mental Health,0,0
2020/21,Glasgow City,Unknown,Mental Health,0,0
2020/21,Glasgow City,All Ages,Physical and Sensory Disability,1165,282.0823244552058
2020/21,Glasgow City,0-17 years,Physical and Sensory Disability,35,122.80701754385964
2020/21,Glasgow City,18-64 years,Physical and Sensory Disability,810,290.84380610412927
2020/21,Glasgow City,65-74 years,Physical and Sensory Disability,180,330.2752293577982
2020/21,Glasgow City,75-84 years,Physical and Sensory Disability,85,261.53846153846155
2020/21,Glasgow City,85+ years,Physical and Sensory Disability,60,307.69230769230774
2020/21,Glasgow City,Unknown,Physical and Sensory Disability,0,0
2020/21,Glasgow City,All Ages,Other,1715,415.2542372881356
2020/21,Glasgow City,0-17 years,Other,5,17.543859649122805
2020/21,Glasgow City,18-64 years,Other,1325,475.7630161579892
2020/21,Glasgow City,65-74 years,Other,245,449.54128440366975
2020/21,Glasgow City,75-84 years,Other,105,323.0769230769231
2020/21,Glasgow City,85+ years,Other,35,179.48717948717947
2020/21,Glasgow City,Unknown,Other,0,0
2017/18,Highland,All Ages,Dementia,450,54.282267792521104
2017/18,Highland,0-17 years,Dementia,0,0
2017/18,Highland,18-64 years,Dementia,5,2.7472527472527473
2017/18,Highland,65-74 years,Dementia,45,45
2017/18,Highland,75-84 years,Dementia,175,77.60532150776054
2017/18,Highland,85+ years,Dementia,225,76.01351351351352
2017/18,Highland,Unknown,Dementia,0,NA
2017/18,Highland,All Ages,Elderly / Frail,5200,627.2617611580217
2017/18,Highland,0-17 years,Elderly / Frail,0,0
2017/18,Highland,18-64 years,Elderly / Frail,45,24.725274725274723
2017/18,Highland,65-74 years,Elderly / Frail,715,715
2017/18,Highland,75-84 years,Elderly / Frail,1935,858.0931263858092
2017/18,Highland,85+ years,Elderly / Frail,2510,847.972972972973
2017/18,Highland,Unknown,Elderly / Frail,0,NA
2017/18,Highland,All Ages,Learning Disability,690,83.23281061519903
2017/18,Highland,0-17 years,Learning Disability,10,39.21568627450981
2017/18,Highland,18-64 years,Learning Disability,575,315.9340659340659
2017/18,Highland,65-74 years,Learning Disability,75,75
2017/18,Highland,75-84 years,Learning Disability,25,11.086474501108649
2017/18,Highland,85+ years,Learning Disability,5,1.6891891891891893
2017/18,Highland,Unknown,Learning Disability,0,NA
2017/18,Highland,All Ages,Mental Health,390,47.04463208685163
2017/18,Highland,0-17 years,Mental Health,0,0
2017/18,Highland,18-64 years,Mental Health,225,123.62637362637363
2017/18,Highland,65-74 years,Mental Health,70,70
2017/18,Highland,75-84 years,Mental Health,60,26.607538802660756
2017/18,Highland,85+ years,Mental Health,30,10.135135135135135
2017/18,Highland,Unknown,Mental Health,0,NA
2017/18,Highland,All Ages,Physical and Sensory Disability,1150,138.72135102533173
2017/18,Highland,0-17 years,Physical and Sensory Disability,5,19.607843137254903
2017/18,Highland,18-64 years,Physical and Sensory Disability,285,156.5934065934066
2017/18,Highland,65-74 years,Physical and Sensory Disability,200,200
2017/18,Highland,75-84 years,Physical and Sensory Disability,285,126.38580931263857
2017/18,Highland,85+ years,Physical and Sensory Disability,375,126.6891891891892
2017/18,Highland,Unknown,Physical and Sensory Disability,0,NA
2017/18,Highland,All Ages,Other,355,42.822677925211096
2017/18,Highland,0-17 years,Other,25,98.0392156862745
2017/18,Highland,18-64 years,Other,110,60.43956043956044
2017/18,Highland,65-74 years,Other,65,65
2017/18,Highland,75-84 years,Other,80,35.47671840354767
2017/18,Highland,85+ years,Other,75,25.33783783783784
2017/18,Highland,Unknown,Other,0,NA
2018/19,Highland,All Ages,Dementia,605,76.14852108244179
2018/19,Highland,0-17 years,Dementia,0,0
2018/19,Highland,18-64 years,Dementia,10,6.5359477124183005
2018/19,Highland,65-74 years,Dementia,45,49.18032786885246
2018/19,Highland,75-84 years,Dementia,230,101.99556541019955
2018/19,Highland,85+ years,Dementia,325,101.88087774294671
2018/19,Highland,Unknown,Dementia,0,0
2018/19,Highland,All Ages,Elderly / Frail,4330,544.9968533668974
2018/19,Highland,0-17 years,Elderly / Frail,0,0
2018/19,Highland,18-64 years,Elderly / Frail,35,22.87581699346405
2018/19,Highland,65-74 years,Elderly / Frail,435,475.40983606557376
2018/19,Highland,75-84 years,Elderly / Frail,1530,678.4922394678492
2018/19,Highland,85+ years,Elderly / Frail,2325,728.8401253918495
2018/19,Highland,Unknown,Elderly / Frail,0,0
2018/19,Highland,All Ages,Learning Disability,700,88.1057268722467
2018/19,Highland,0-17 years,Learning Disability,15,272.7272727272727
2018/19,Highland,18-64 years,Learning Disability,570,372.54901960784315
2018/19,Highland,65-74 years,Learning Disability,85,92.89617486338798
2018/19,Highland,75-84 years,Learning Disability,30,13.303769401330378
2018/19,Highland,85+ years,Learning Disability,5,1.567398119122257
2018/19,Highland,Unknown,Learning Disability,0,0
2018/19,Highland,All Ages,Mental Health,430,54.122089364380116
2018/19,Highland,0-17 years,Mental Health,0,0
2018/19,Highland,18-64 years,Mental Health,255,166.66666666666666
2018/19,Highland,65-74 years,Mental Health,65,71.03825136612022
2018/19,Highland,75-84 years,Mental Health,65,28.824833702882483
2018/19,Highland,85+ years,Mental Health,40,12.539184952978056
2018/19,Highland,Unknown,Mental Health,0,0
2018/19,Highland,All Ages,Physical and Sensory Disability,1270,159.84896161107613
2018/19,Highland,0-17 years,Physical and Sensory Disability,5,90.9090909090909
2018/19,Highland,18-64 years,Physical and Sensory Disability,365,238.562091503268
2018/19,Highland,65-74 years,Physical and Sensory Disability,205,224.04371584699453
2018/19,Highland,75-84 years,Physical and Sensory Disability,290,128.6031042128603
2018/19,Highland,85+ years,Physical and Sensory Disability,405,126.95924764890282
2018/19,Highland,Unknown,Physical and Sensory Disability,0,0
2018/19,Highland,All Ages,Other,390,49.08747640025173
2018/19,Highland,0-17 years,Other,5,90.9090909090909
2018/19,Highland,18-64 years,Other,115,75.16339869281046
2018/19,Highland,65-74 years,Other,80,87.43169398907104
