financial_year,sending_location,age_group,service_group,nclient
2018/19,Glasgow City,85+ years,Community Alarms / Telecare,3505
2018/19,Glasgow City,Unknown,Community Alarms / Telecare,0
2018/19,Glasgow City,All Ages,Day Care,845
2018/19,Glasgow City,0-17 years,Day Care,5
2018/19,Glasgow City,18-64 years,Day Care,150
2018/19,Glasgow City,65-74 years,Day Care,100
2018/19,Glasgow City,75-84 years,Day Care,290
2018/19,Glasgow City,85+ years,Day Care,300
2018/19,Glasgow City,Unknown,Day Care,0
2018/19,Glasgow City,All Ages,Home Care,9310
2018/19,Glasgow City,0-17 years,Home Care,20
2018/19,Glasgow City,18-64 years,Home Care,630
2018/19,Glasgow City,65-74 years,Home Care,1650
2018/19,Glasgow City,75-84 years,Home Care,3660
2018/19,Glasgow City,85+ years,Home Care,3355
2018/19,Glasgow City,Unknown,Home Care,0
2018/19,Glasgow City,All Ages,Housing Support,305
2018/19,Glasgow City,0-17 years,Housing Support,0
2018/19,Glasgow City,18-64 years,Housing Support,55
2018/19,Glasgow City,65-74 years,Housing Support,60
2018/19,Glasgow City,75-84 years,Housing Support,95
2018/19,Glasgow City,85+ years,Housing Support,95
2018/19,Glasgow City,Unknown,Housing Support,0
2018/19,Glasgow City,All Ages,Meals,565
2018/19,Glasgow City,0-17 years,Meals,0
2018/19,Glasgow City,18-64 years,Meals,15
2018/19,Glasgow City,65-74 years,Meals,105
2018/19,Glasgow City,75-84 years,Meals,215
2018/19,Glasgow City,85+ years,Meals,235
2018/19,Glasgow City,Unknown,Meals,0
2018/19,Glasgow City,All Ages,Social Worker,17480
2018/19,Glasgow City,0-17 years,Social Worker,270
2018/19,Glasgow City,18-64 years,Social Worker,4185
2018/19,Glasgow City,65-74 years,Social Worker,2715
2018/19,Glasgow City,75-84 years,Social Worker,5145
2018/19,Glasgow City,85+ years,Social Worker,5165
2018/19,Glasgow City,Unknown,Social Worker,0
2019/20,Glasgow City,All Ages,Care Home,6015
2019/20,Glasgow City,0-17 years,Care Home,0
2019/20,Glasgow City,18-64 years,Care Home,990
2019/20,Glasgow City,65-74 years,Care Home,765
2019/20,Glasgow City,75-84 years,Care Home,1825
2019/20,Glasgow City,85+ years,Care Home,2430
2019/20,Glasgow City,Unknown,Care Home,0
2019/20,Glasgow City,All Ages,Community Alarms / Telecare,10045
2019/20,Glasgow City,0-17 years,Community Alarms / Telecare,50
2019/20,Glasgow City,18-64 years,Community Alarms / Telecare,1265
2019/20,Glasgow City,65-74 years,Community Alarms / Telecare,1660
2019/20,Glasgow City,75-84 years,Community Alarms / Telecare,3550
2019/20,Glasgow City,85+ years,Community Alarms / Telecare,3520
2019/20,Glasgow City,Unknown,Community Alarms / Telecare,0
2019/20,Glasgow City,All Ages,Day Care,725
2019/20,Glasgow City,0-17 years,Day Care,0
2019/20,Glasgow City,18-64 years,Day Care,90
2019/20,Glasgow City,65-74 years,Day Care,80
2019/20,Glasgow City,75-84 years,Day Care,270
2019/20,Glasgow City,85+ years,Day Care,290
2019/20,Glasgow City,Unknown,Day Care,0
2019/20,Glasgow City,All Ages,Home Care,9840
2019/20,Glasgow City,0-17 years,Home Care,15
2019/20,Glasgow City,18-64 years,Home Care,960
2019/20,Glasgow City,65-74 years,Home Care,1770
2019/20,Glasgow City,75-84 years,Home Care,3665
2019/20,Glasgow City,85+ years,Home Care,3435
2019/20,Glasgow City,Unknown,Home Care,0
2019/20,Glasgow City,All Ages,Housing Support,145
2019/20,Glasgow City,0-17 years,Housing Support,0
2019/20,Glasgow City,18-64 years,Housing Support,0
2019/20,Glasgow City,65-74 years,Housing Support,30
2019/20,Glasgow City,75-84 years,Housing Support,55
2019/20,Glasgow City,85+ years,Housing Support,55
2019/20,Glasgow City,Unknown,Housing Support,0
2019/20,Glasgow City,All Ages,Meals,740
2019/20,Glasgow City,0-17 years,Meals,0
2019/20,Glasgow City,18-64 years,Meals,55
2019/20,Glasgow City,65-74 years,Meals,125
2019/20,Glasgow City,75-84 years,Meals,255
2019/20,Glasgow City,85+ years,Meals,305
2019/20,Glasgow City,Unknown,Meals,0
2019/20,Glasgow City,All Ages,Social Worker,17880
2019/20,Glasgow City,0-17 years,Social Worker,285
2019/20,Glasgow City,18-64 years,Social Worker,4540
2019/20,Glasgow City,65-74 years,Social Worker,2805
2019/20,Glasgow City,75-84 years,Social Worker,5105
2019/20,Glasgow City,85+ years,Social Worker,5145
2019/20,Glasgow City,Unknown,Social Worker,0
2020/21,Glasgow City,All Ages,Care Home,5615
2020/21,Glasgow City,0-17 years,Care Home,0
2020/21,Glasgow City,18-64 years,Care Home,990
2020/21,Glasgow City,65-74 years,Care Home,720
2020/21,Glasgow City,75-84 years,Care Home,1585
2020/21,Glasgow City,85+ years,Care Home,2325
2020/21,Glasgow City,Unknown,Care Home,0
2020/21,Glasgow City,All Ages,Community Alarms / Telecare,9675
2020/21,Glasgow City,0-17 years,Community Alarms / Telecare,60
2020/21,Glasgow City,18-64 years,Community Alarms / Telecare,1255
2020/21,Glasgow City,65-74 years,Community Alarms / Telecare,1585
2020/21,Glasgow City,75-84 years,Community Alarms / Telecare,3345
2020/21,Glasgow City,85+ years,Community Alarms / Telecare,3430
2020/21,Glasgow City,Unknown,Community Alarms / Telecare,0
2020/21,Glasgow City,All Ages,Day Care,190
2020/21,Glasgow City,0-17 years,Day Care,0
2020/21,Glasgow City,18-64 years,Day Care,20
2020/21,Glasgow City,65-74 years,Day Care,20
2020/21,Glasgow City,75-84 years,Day Care,70
2020/21,Glasgow City,85+ years,Day Care,75
2020/21,Glasgow City,Unknown,Day Care,0
2020/21,Glasgow City,All Ages,Home Care,9470
2020/21,Glasgow City,0-17 years,Home Care,10
2020/21,Glasgow City,18-64 years,Home Care,1160
2020/21,Glasgow City,65-74 years,Home Care,1680
2020/21,Glasgow City,75-84 years,Home Care,3345
2020/21,Glasgow City,85+ years,Home Care,3275
2020/21,Glasgow City,Unknown,Home Care,0
2020/21,Glasgow City,All Ages,Meals,815
2020/21,Glasgow City,0-17 years,Meals,0
2020/21,Glasgow City,18-64 years,Meals,95
2020/21,Glasgow City,65-74 years,Meals,140
2020/21,Glasgow City,75-84 years,Meals,265
2020/21,Glasgow City,85+ years,Meals,315
2020/21,Glasgow City,Unknown,Meals,0
2020/21,Glasgow City,All Ages,Social Worker,17365
2020/21,Glasgow City,0-17 years,Social Worker,300
2020/21,Glasgow City,18-64 years,Social Worker,4680
2020/21,Glasgow City,65-74 years,Social Worker,2640
2020/21,Glasgow City,75-84 years,Social Worker,4710
2020/21,Glasgow City,85+ years,Social Worker,5035
2020/21,Glasgow City,Unknown,Social Worker,0
2017/18,Highland,All Ages,Care Home,2030
2017/18,Highland,0-17 years,Care Home,0
2017/18,Highland,18-64 years,Care Home,225
2017/18,Highland,65-74 years,Care Home,210
2017/18,Highland,75-84 years,Care Home,590
2017/18,Highland,85+ years,Care Home,1000
2017/18,Highland,Unknown,Care Home,0
2017/18,Highland,All Ages,Community Alarms / Telecare,3340
2017/18,Highland,0-17 years,Community Alarms / Telecare,35
2017/18,Highland,18-64 years,Community Alarms / Telecare,390
2017/18,Highland,65-74 years,Community Alarms / Telecare,315
2017/18,Highland,75-84 years,Community Alarms / Telecare,1065
2017/18,Highland,85+ years,Community Alarms / Telecare,1535
2017/18,Highland,Unknown,Community Alarms / Telecare,0
2017/18,Highland,All Ages,Day Care,560
2017/18,Highland,0-17 years,Day Care,0
2017/18,Highland,18-64 years,Day Care,140
2017/18,Highland,65-74 years,Day Care,50
2017/18,Highland,75-84 years,Day Care,155
2017/18,Highland,85+ years,Day Care,215
2017/18,Highland,Unknown,Day Care,0
2017/18,Highland,All Ages,Home Care,2170
2017/18,Highland,0-17 years,Home Care,0
2017/18,Highland,18-64 years,Home Care,240
2017/18,Highland,65-74 years,Home Care,320
2017/18,Highland,75-84 years,Home Care,735
2017/18,Highland,85+ years,Home Care,880
2017/18,Highland,Unknown,Home Care,0
2017/18,Highland,All Ages,Housing Support,995
2017/18,Highland,0-17 years,Housing Support,0
2017/18,Highland,18-64 years,Housing Support,480
2017/18,Highland,65-74 years,Housing Support,225
2017/18,Highland,75-84 years,Housing Support,195
2017/18,Highland,85+ years,Housing Support,95
2017/18,Highland,Unknown,Housing Support,0
2017/18,Highland,All Ages,Meals,310
2017/18,Highland,0-17 years,Meals,0
2017/18,Highland,18-64 years,Meals,15
2017/18,Highland,65-74 years,Meals,40
2017/18,Highland,75-84 years,Meals,110
2017/18,Highland,85+ years,Meals,140
2017/18,Highland,Unknown,Meals,0
2017/18,Highland,All Ages,Social Worker,5940
2017/18,Highland,0-17 years,Social Worker,220
2017/18,Highland,18-64 years,Social Worker,1530
2017/18,Highland,65-74 years,Social Worker,675
2017/18,Highland,75-84 years,Social Worker,1460
2017/18,Highland,85+ years,Social Worker,2055
2017/18,Highland,Unknown,Social Worker,0
2018/19,Highland,All Ages,Care Home,2555
2018/19,Highland,0-17 years,Care Home,0
2018/19,Highland,18-64 years,Care Home,265
2018/19,Highland,65-74 years,Care Home,265
2018/19,Highland,75-84 years,Care Home,735
2018/19,Highland,85+ years,Care Home,1290
2018/19,Highland,Unknown,Care Home,0
2018/19,Highland,All Ages,Community Alarms / Telecare,3500
2018/19,Highland,0-17 years,Community Alarms / Telecare,50
2018/19,Highland,18-64 years,Community Alarms / Telecare,430
2018/19,Highland,65-74 years,Community Alarms / Telecare,340
2018/19,Highland,75-84 years,Community Alarms / Telecare,1095
2018/19,Highland,85+ years,Community Alarms / Telecare,1580
2018/19,Highland,Unknown,Community Alarms / Telecare,0
2018/19,Highland,All Ages,Day Care,530
2018/19,Highland,0-17 years,Day Care,0
2018/19,Highland,18-64 years,Day Care,135
2018/19,Highland,65-74 years,Day Care,50
2018/19,Highland,75-84 years,Day Care,140
2018/19,Highland,85+ years,Day Care,200
2018/19,Highland,Unknown,Day Care,0
2018/19,Highland,All Ages,Home Care,2870
2018/19,Highland,0-17 years,Home Care,0
2018/19,Highland,18-64 years,Home Care,285
2018/19,Highland,65-74 years,Home Care,400
2018/19,Highland,75-84 years,Home Care,950
2018/19,Highland,85+ years,Home Care,1235
2018/19,Highland,Unknown,Home Care,0
2018/19,Highland,All Ages,Housing Support,605
2018/19,Highland,0-17 years,Housing Support,0
2018/19,Highland,18-64 years,Housing Support,390
2018/19,Highland,65-74 years,Housing Support,95
2018/19,Highland,75-84 years,Housing Support,70
2018/19,Highland,85+ years,Housing Support,45
2018/19,Highland,Unknown,Housing Support,0
2018/19,Highland,All Ages,Meals,265
2018/19,Highland,0-17 years,Meals,0
2018/19,Highland,18-64 years,Meals,10
2018/19,Highland,65-74 years,Meals,40
2018/19,Highland,75-84 years,Meals,85
2018/19,Highland,85+ years,Meals,125
2018/19,Highland,Unknown,Meals,0
2018/19,Highland,All Ages,Social Worker,6310
2018/19,Highland,0-17 years,Social Worker,45
2018/19,Highland,18-64 years,Social Worker,1350
2018/19,Highland,65-74 years,Social Worker,740
2018/19,Highland,75-84 years,Social Worker,1680
2018/19,Highland,85+ years,Social Worker,2495
2018/19,Highland,Unknown,Social Worker,0
2019/20,Highland,All Ages,Care Home,2665
2019/20,Highland,0-17 years,Care Home,5
2019/20,Highland,18-64 years,Care Home,265
2019/20,Highland,65-74 years,Care Home,270
2019/20,Highland,75-84 years,Care Home,775
2019/20,Highland,85+ years,Care Home,1345
2019/20,Highland,Unknown,Care Home,0
2019/20,Highland,All Ages,Community Alarms / Telecare,3680
2019/20,Highland,0-17 years,Community Alarms / Telecare,55
2019/20,Highland,18-64 years,Community Alarms / Telecare,450
2019/20,Highland,65-74 years,Community Alarms / Telecare,365
2019/20,Highland,75-84 years,Community Alarms / Telecare,1155
2019/20,Highland,85+ years,Community Alarms / Telecare,1655
2019/20,Highland,Unknown,Community Alarms / Telecare,0
2019/20,Highland,All Ages,Day Care,335
2019/20,Highland,0-17 years,Day Care,0
2019/20,Highland,18-64 years,Day Care,65
2019/20,Highland,65-74 years,Day Care,35
2019/20,Highland,75-84 years,Day Care,95
2019/20,Highland,85+ years,Day Care,145
2019/20,Highland,Unknown,Day Care,0
2019/20,Highland,All Ages,Home Care,2865
2019/20,Highland,0-17 years,Home Care,0
2019/20,Highland,18-64 years,Home Care,255
2019/20,Highland,65-74 years,Home Care,410
2019/20,Highland,75-84 years,Home Care,940
2019/20,Highland,85+ years,Home Care,1265
2019/20,Highland,Unknown,Home Care,0
2019/20,Highland,All Ages,Housing Support,535
2019/20,Highland,0-17 years,Housing Support,0
2019/20,Highland,18-64 years,Housing Support,380
2019/20,Highland,65-74 years,Housing Support,95
2019/20,Highland,75-84 years,Housing Support,45
2019/20,Highland,85+ years,Housing Support,15
2019/20,Highland,Unknown,Housing Support,0
2019/20,Highland,All Ages,Meals,320
2019/20,Highland,0-17 years,Meals,0
2019/20,Highland,18-64 years,Meals,15
2019/20,Highland,65-74 years,Meals,35
2019/20,Highland,75-84 years,Meals,115
2019/20,Highland,85+ years,Meals,150
2019/20,Highland,Unknown,Meals,0
2019/20,Highland,All Ages,Social Worker,7660
2019/20,Highland,0-17 years,Social Worker,55
2019/20,Highland,18-64 years,Social Worker,1510
2019/20,Highland,65-74 years,Social Worker,895
2019/20,Highland,75-84 years,Social Worker,2165
2019/20,Highland,85+ years,Social Worker,3035
2019/20,Highland,Unknown,Social Worker,0
2020/21,Highland,All Ages,Care Home,2340
2020/21,Highland,0-17 years,Care Home,0
2020/21,Highland,18-64 years,Care Home,190
2020/21,Highland,65-74 years,Care Home,245
2020/21,Highland,75-84 years,Care Home,670
2020/21,Highland,85+ years,Care Home,1235
2020/21,Highland,Unknown,Care Home,0
2020/21,Highland,All Ages,Community Alarms / Telecare,3245
2020/21,Highland,0-17 years,Community Alarms / Telecare,45
2020/21,Highland,18-64 years,Community Alarms / Telecare,380
2020/21,Highland,65-74 years,Community Alarms / Telecare,345
2020/21,Highland,75-84 years,Community Alarms / Telecare,1010
2020/21,Highland,85+ years,Community Alarms / Telecare,1465
2020/21,Highland,Unknown,Community Alarms / Telecare,0
2020/21,Highland,All Ages,Day Care,360
2020/21,Highland,0-17 years,Day Care,0
2020/21,Highland,18-64 years,Day Care,105
2020/21,Highland,65-74 years,Day Care,30
2020/21,Highland,75-84 years,Day Care,85
2020/21,Highland,85+ years,Day Care,140
2020/21,Highland,Unknown,Day Care,0
2020/21,Highland,All Ages,Home Care,3040
2020/21,Highland,0-17 years,Home Care,0
2020/21,Highland,18-64 years,Home Care,285
2020/21,Highland,65-74 years,Home Care,460
2020/21,Highland,75-84 years,Home Care,1010
2020/21,Highland,85+ years,Home Care,1285
2020/21,Highland,Unknown,Home Care,0
2020/21,Highland,All Ages,Meals,175
2020/21,Highland,0-17 years,Meals,0
2020/21,Highland,18-64 years,Meals,15
2020/21,Highland,65-74 years,Meals,20
2020/21,Highland,75-84 years,Meals,60
2020/21,Highland,85+ years,Meals,80
2020/21,Highland,Unknown,Meals,0
2020/21,Highland,All Ages,Social Worker,7355
2020/21,Highland,0-17 years,Social Worker,55
2020/21,Highland,18-64 years,Social Worker,1385
2020/21,Highland,65-74 years,Social Worker,885
2020/21,Highland,75-84 years,Social Worker,2000
2020/21,Highland,85+ years,Social Worker,3025
2020/21,Highland,Unknown,Social Worker,0
2017/18,Inverclyde,All Ages,Care Home,785
2017/18,Inverclyde,0-17 years,Care Home,0
2017/18,Inverclyde,18-64 years,Care Home,90
2017/18,Inverclyde,65-74 years,Care Home,90
2017/18,Inverclyde,75-84 years,Care Home,230
2017/18,Inverclyde,85+ years,Care Home,370
2017/18,Inverclyde,Unknown,Care Home,0
2017/18,Inverclyde,All Ages,Community Alarms / Telecare,3375
2017/18,Inverclyde,0-17 years,Community Alarms / Telecare,5
2017/18,Inverclyde,18-64 years,Community Alarms / Telecare,510
2017/18,Inverclyde,65-74 years,Community Alarms / Telecare,560
2017/18,Inverclyde,75-84 years,Community Alarms / Telecare,1225
2017/18,Inverclyde,85+ years,Community Alarms / Telecare,1075
2017/18,Inverclyde,Unknown,Community Alarms / Telecare,0
2017/18,Inverclyde,All Ages,Day Care,115
2017/18,Inverclyde,0-17 years,Day Care,0
2017/18,Inverclyde,18-64 years,Day Care,20
2017/18,Inverclyde,65-74 years,Day Care,20
2017/18,Inverclyde,75-84 years,Day Care,50
2017/18,Inverclyde,85+ years,Day Care,25
2017/18,Inverclyde,Unknown,Day Care,0
2017/18,Inverclyde,All Ages,Home Care,1410
2017/18,Inverclyde,0-17 years,Home Care,0
2017/18,Inverclyde,18-64 years,Home Care,150
2017/18,Inverclyde,65-74 years,Home Care,250
2017/18,Inverclyde,75-84 years,Home Care,550
2017/18,Inverclyde,85+ years,Home Care,455
2017/18,Inverclyde,Unknown,Home Care,0
2017/18,Inverclyde,All Ages,Housing Support,555
2017/18,Inverclyde,0-17 years,Housing Support,0
2017/18,Inverclyde,18-64 years,Housing Support,305
2017/18,Inverclyde,65-74 years,Housing Support,90
2017/18,Inverclyde,75-84 years,Housing Support,70
2017/18,Inverclyde,85+ years,Housing Support,90
2017/18,Inverclyde,Unknown,Housing Support,0
2017/18,Inverclyde,All Ages,Meals,35
2017/18,Inverclyde,0-17 years,Meals,0
2017/18,Inverclyde,18-64 years,Meals,0
2017/18,Inverclyde,65-74 years,Meals,5
2017/18,Inverclyde,75-84 years,Meals,5
2017/18,Inverclyde,85+ years,Meals,25
2017/18,Inverclyde,Unknown,Meals,0
2017/18,Inverclyde,All Ages,Social Worker,1785
2017/18,Inverclyde,0-17 years,Social Worker,35
2017/18,Inverclyde,18-64 years,Social Worker,360
2017/18,Inverclyde,65-74 years,Social Worker,280
2017/18,Inverclyde,75-84 years,Social Worker,540
2017/18,Inverclyde,85+ years,Social Worker,565
2017/18,Inverclyde,Unknown,Social Worker,0
2018/19,Inverclyde,All Ages,Care Home,1050
2018/19,Inverclyde,0-17 years,Care Home,0
2018/19,Inverclyde,18-64 years,Care Home,140
2018/19,Inverclyde,65-74 years,Care Home,125
2018/19,Inverclyde,75-84 years,Care Home,305
2018/19,Inverclyde,85+ years,Care Home,480
2018/19,Inverclyde,Unknown,Care Home,0
2018/19,Inverclyde,All Ages,Community Alarms / Telecare,3115
2018/19,Inverclyde,0-17 years,Community Alarms / Telecare,0
2018/19,Inverclyde,18-64 years,Community Alarms / Telecare,490
2018/19,Inverclyde,65-74 years,Community Alarms / Telecare,530
2018/19,Inverclyde,75-84 years,Community Alarms / Telecare,1100
2018/19,Inverclyde,85+ years,Community Alarms / Telecare,990
2018/19,Inverclyde,Unknown,Community Alarms / Telecare,5
2018/19,Inverclyde,All Ages,Day Care,135
2018/19,Inverclyde,0-17 years,Day Care,0
2018/19,Inverclyde,18-64 years,Day Care,45
2018/19,Inverclyde,65-74 years,Day Care,15
2018/19,Inverclyde,75-84 years,Day Care,40
2018/19,Inverclyde,85+ years,Day Care,30
2018/19,Inverclyde,Unknown,Day Care,0
2018/19,Inverclyde,All Ages,Home Care,2020
2018/19,Inverclyde,0-17 years,Home Care,0
2018/19,Inverclyde,18-64 years,Home Care,215
2018/19,Inverclyde,65-74 years,Home Care,365
2018/19,Inverclyde,75-84 years,Home Care,745
2018/19,Inverclyde,85+ years,Home Care,690
2018/19,Inverclyde,Unknown,Home Care,0
2018/19,Inverclyde,All Ages,Housing Support,565
2018/19,Inverclyde,0-17 years,Housing Support,0
2018/19,Inverclyde,18-64 years,Housing Support,345
2018/19,Inverclyde,65-74 years,Housing Support,70
2018/19,Inverclyde,75-84 years,Housing Support,65
2018/19,Inverclyde,85+ years,Housing Support,80
2018/19,Inverclyde,Unknown,Housing Support,0
2018/19,Inverclyde,All Ages,Meals,0
2018/19,Inverclyde,0-17 years,Meals,0
2018/19,Inverclyde,18-64 years,Meals,0
2018/19,Inverclyde,65-74 years,Meals,0
2018/19,Inverclyde,75-84 years,Meals,0
2018/19,Inverclyde,85+ years,Meals,0
2018/19,Inverclyde,Unknown,Meals,0
2018/19,Inverclyde,All Ages,Social Worker,2355
2018/19,Inverclyde,0-17 years,Social Worker,60
2018/19,Inverclyde,18-64 years,Social Worker,610
2018/19,Inverclyde,65-74 years,Social Worker,420
2018/19,Inverclyde,75-84 years,Social Worker,650
2018/19,Inverclyde,85+ years,Social Worker,615
2018/19,Inverclyde,Unknown,Social Worker,0
2019/20,Inverclyde,All Ages,Care Home,1005
2019/20,Inverclyde,0-17 years,Care Home,0
2019/20,Inverclyde,18-64 years,Care Home,105
2019/20,Inverclyde,65-74 years,Care Home,105
2019/20,Inverclyde,75-84 years,Care Home,315
2019/20,Inverclyde,85+ years,Care Home,475
2019/20,Inverclyde,Unknown,Care Home,0
2019/20,Inverclyde,All Ages,Community Alarms / Telecare,2645
2019/20,Inverclyde,0-17 years,Community Alarms / Telecare,0
2019/20,Inverclyde,18-64 years,Community Alarms / Telecare,380
2019/20,Inverclyde,65-74 years,Community Alarms / Telecare,420
2019/20,Inverclyde,75-84 years,Community Alarms / Telecare,950
2019/20,Inverclyde,85+ years,Community Alarms / Telecare,890
2019/20,Inverclyde,Unknown,Community Alarms / Telecare,0
2019/20,Inverclyde,All Ages,Day Care,195
2019/20,Inverclyde,0-17 years,Day Care,0
2019/20,Inverclyde,18-64 years,Day Care,70
2019/20,Inverclyde,65-74 years,Day Care,35
2019/20,Inverclyde,75-84 years,Day Care,45
2019/20,Inverclyde,85+ years,Day Care,45
2019/20,Inverclyde,Unknown,Day Care,0
2019/20,Inverclyde,All Ages,Home Care,2030
2019/20,Inverclyde,0-17 years,Home Care,0
2019/20,Inverclyde,18-64 years,Home Care,225
2019/20,Inverclyde,65-74 years,Home Care,360
2019/20,Inverclyde,75-84 years,Home Care,750
2019/20,Inverclyde,85+ years,Home Care,695
2019/20,Inverclyde,Unknown,Home Care,0
2019/20,Inverclyde,All Ages,Housing Support,625
2019/20,Inverclyde,0-17 years,Housing Support,30
2019/20,Inverclyde,18-64 years,Housing Support,340
2019/20,Inverclyde,65-74 years,Housing Support,90
2019/20,Inverclyde,75-84 years,Housing Support,80
2019/20,Inverclyde,85+ years,Housing Support,85
2019/20,Inverclyde,Unknown,Housing Support,0
2019/20,Inverclyde,All Ages,Social Worker,2355
2019/20,Inverclyde,0-17 years,Social Worker,20
2019/20,Inverclyde,18-64 years,Social Worker,415
2019/20,Inverclyde,65-74 years,Social Worker,325
2019/20,Inverclyde,75-84 years,Social Worker,720
2019/20,Inverclyde,85+ years,Social Worker,875
2019/20,Inverclyde,Unknown,Social Worker,0
2020/21,Inverclyde,All Ages,Care Home,910
2020/21,Inverclyde,0-17 years,Care Home,0
2020/21,Inverclyde,18-64 years,Care Home,90
2020/21,Inverclyde,65-74 years,Care Home,105
2020/21,Inverclyde,75-84 years,Care Home,295
2020/21,Inverclyde,85+ years,Care Home,425
2020/21,Inverclyde,Unknown,Care Home,0
2020/21,Inverclyde,All Ages,Community Alarms / Telecare,2565
2020/21,Inverclyde,0-17 years,Community Alarms / Telecare,0
2020/21,Inverclyde,18-64 years,Community Alarms / Telecare,345
2020/21,Inverclyde,65-74 years,Community Alarms / Telecare,410
2020/21,Inverclyde,75-84 years,Community Alarms / Telecare,925
2020/21,Inverclyde,85+ years,Community Alarms / Telecare,880
2020/21,Inverclyde,Unknown,Community Alarms / Telecare,0
2020/21,Inverclyde,All Ages,Day Care,230
2020/21,Inverclyde,0-17 years,Day Care,0
2020/21,Inverclyde,18-64 years,Day Care,90
2020/21,Inverclyde,65-74 years,Day Care,40
2020/21,Inverclyde,75-84 years,Day Care,50
2020/21,Inverclyde,85+ years,Day Care,55
2020/21,Inverclyde,Unknown,Day Care,0
2020/21,Inverclyde,All Ages,Home Care,1875
2020/21,Inverclyde,0-17 years,Home Care,0
2020/21,Inverclyde,18-64 years,Home Care,195
2020/21,Inverclyde,65-74 years,Home Care,345
2020/21,Inverclyde,75-84 years,Home Care,685
2020/21,Inverclyde,85+ years,Home Care,650
2020/21,Inverclyde,Unknown,Home Care,0
2020/21,Inverclyde,All Ages,Social Worker,2910
2020/21,Inverclyde,0-17 years,Social Worker,0
2020/21,Inverclyde,18-64 years,Social Worker,595
2020/21,Inverclyde,65-74 years,Social Worker,490
2020/21,Inverclyde,75-84 years,Social Worker,905
2020/21,Inverclyde,85+ years,Social Worker,920
2020/21,Inverclyde,Unknown,Social Worker,0
2017/18,Midlothian,All Ages,Care Home,615
2017/18,Midlothian,0-17 years,Care Home,20
2017/18,Midlothian,18-64 years,Care Home,50
2017/18,Midlothian,65-74 years,Care Home,70
2017/18,Midlothian,75-84 years,Care Home,200
2017/18,Midlothian,85+ years,Care Home,275
2017/18,Midlothian,Unknown,Care Home,0
2017/18,Midlothian,All Ages,Community Alarms / Telecare,2225
2017/18,Midlothian,0-17 years,Community Alarms / Telecare,20
2017/18,Midlothian,18-64 years,Community Alarms / Telecare,325
2017/18,Midlothian,65-74 years,Community Alarms / Telecare,370
2017/18,Midlothian,75-84 years,Community Alarms / Telecare,800
2017/18,Midlothian,85+ years,Community Alarms / Telecare,715
2017/18,Midlothian,Unknown,Community Alarms / Telecare,0
2017/18,Midlothian,All Ages,Day Care,10
2017/18,Midlothian,0-17 years,Day Care,10
2017/18,Midlothian,18-64 years,Day Care,0
2017/18,Midlothian,65-74 years,Day Care,0
2017/18,Midlothian,75-84 years,Day Care,0
2017/18,Midlothian,85+ years,Day Care,0
2017/18,Midlothian,Unknown,Day Care,0
2017/18,Midlothian,All Ages,Home Care,1115
2017/18,Midlothian,0-17 years,Home Care,10
2017/18,Midlothian,18-64 years,Home Care,280
2017/18,Midlothian,65-74 years,Home Care,175
2017/18,Midlothian,75-84 years,Home Care,340
2017/18,Midlothian,85+ years,Home Care,310
2017/18,Midlothian,Unknown,Home Care,0
2017/18,Midlothian,All Ages,Housing Support,380
2017/18,Midlothian,0-17 years,Housing Support,5
2017/18,Midlothian,18-64 years,Housing Support,195
2017/18,Midlothian,65-74 years,Housing Support,95
2017/18,Midlothian,75-84 years,Housing Support,60
2017/18,Midlothian,85+ years,Housing Support,25
2017/18,Midlothian,Unknown,Housing Support,0
2017/18,Midlothian,All Ages,Meals,70
2017/18,Midlothian,0-17 years,Meals,0
2017/18,Midlothian,18-64 years,Meals,10
2017/18,Midlothian,65-74 years,Meals,15
2017/18,Midlothian,75-84 years,Meals,15
2017/18,Midlothian,85+ years,Meals,30
2017/18,Midlothian,Unknown,Meals,0
2017/18,Midlothian,All Ages,Social Worker,640
2017/18,Midlothian,0-17 years,Social Worker,160
2017/18,Midlothian,18-64 years,Social Worker,250
2017/18,Midlothian,65-74 years,Social Worker,60
2017/18,Midlothian,75-84 years,Social Worker,85
2017/18,Midlothian,85+ years,Social Worker,80
2017/18,Midlothian,Unknown,Social Worker,0
2018/19,Midlothian,All Ages,Care Home,765
2018/19,Midlothian,0-17 years,Care Home,0
2018/19,Midlothian,18-64 years,Care Home,55
2018/19,Midlothian,65-74 years,Care Home,90
2018/19,Midlothian,75-84 years,Care Home,245
2018/19,Midlothian,85+ years,Care Home,375
2018/19,Midlothian,Unknown,Care Home,0
2018/19,Midlothian,All Ages,Community Alarms / Telecare,2280
2018/19,Midlothian,0-17 years,Community Alarms / Telecare,25
2018/19,Midlothian,18-64 years,Community Alarms / Telecare,325
2018/19,Midlothian,65-74 years,Community Alarms / Telecare,370
2018/19,Midlothian,75-84 years,Community Alarms / Telecare,835
2018/19,Midlothian,85+ years,Community Alarms / Telecare,725
2018/19,Midlothian,Unknown,Community Alarms / Telecare,0
2018/19,Midlothian,All Ages,Day Care,280
2018/19,Midlothian,0-17 years,Day Care,115
2018/19,Midlothian,18-64 years,Day Care,90
2018/19,Midlothian,65-74 years,Day Care,15
2018/19,Midlothian,75-84 years,Day Care,25
2018/19,Midlothian,85+ years,Day Care,35
2018/19,Midlothian,Unknown,Day Care,0
