financial_year,sending_location,age_group,ethnicity,measure,nclient,rate
2017/18,East Renfrewshire,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",845,182.3
2017/18,East Renfrewshire,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients",15,77.7
2017/18,East Renfrewshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",10,64.9
2017/18,East Renfrewshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,0-17 years,White,"Rate per 1,000 Social Care Clients",120,621.8
2017/18,East Renfrewshire,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",95,616.9
2017/18,East Renfrewshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",55,285
2017/18,East Renfrewshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",45,292.2
2017/18,East Renfrewshire,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",10,6.4
2017/18,East Renfrewshire,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",5,5.9
2017/18,East Renfrewshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients",60,38.3
2017/18,East Renfrewshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",35,41.5
2017/18,East Renfrewshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,18-64 years,White,"Rate per 1,000 Social Care Clients",1180,754
2017/18,East Renfrewshire,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",680,805.7
2017/18,East Renfrewshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",5,3.2
2017/18,East Renfrewshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",5,5.9
2017/18,East Renfrewshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",310,198.1
2017/18,East Renfrewshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",120,142.2
2017/18,East Renfrewshire,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients",20,26
2017/18,East Renfrewshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",10,18.6
2017/18,East Renfrewshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,65-74 years,White,"Rate per 1,000 Social Care Clients",585,760.7
2017/18,East Renfrewshire,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",410,762.1
2017/18,East Renfrewshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",165,214.6
2017/18,East Renfrewshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",115,213.8
2017/18,East Renfrewshire,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients",30,16.6
2017/18,East Renfrewshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",25,17
2017/18,East Renfrewshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,75-84 years,White,"Rate per 1,000 Social Care Clients",1415,784.8
2017/18,East Renfrewshire,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",1140,776.6
2017/18,East Renfrewshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",5,2.8
2017/18,East Renfrewshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",350,194.1
2017/18,East Renfrewshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",295,201
2017/18,East Renfrewshire,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",5,2.5
2017/18,East Renfrewshire,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",5,3.1
2017/18,East Renfrewshire,85+ years,Asian,"Rate per 1,000 Social Care Clients",20,9.9
2017/18,East Renfrewshire,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",20,12.3
2017/18,East Renfrewshire,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,85+ years,White,"Rate per 1,000 Social Care Clients",1645,815.2
2017/18,East Renfrewshire,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",1335,819
2017/18,East Renfrewshire,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",350,173.4
2017/18,East Renfrewshire,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",275,168.7
2017/18,East Renfrewshire,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,Unknown,White,"Rate per 1,000 Social Care Clients",10,588.2
2017/18,East Renfrewshire,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Renfrewshire,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Renfrewshire,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",10,588.2
2017/18,East Renfrewshire,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,All Ages,African,"Rate per 1,000 Social Care Clients",5,0.6
2018/19,East Renfrewshire,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",5,1.2
2018/19,East Renfrewshire,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",20,2.6
2018/19,East Renfrewshire,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",15,3.5
2018/19,East Renfrewshire,All Ages,Asian,"Rate per 1,000 Social Care Clients",200,25.9
2018/19,East Renfrewshire,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",105,24.4
2018/19,East Renfrewshire,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,All Ages,White,"Rate per 1,000 Social Care Clients",5825,753.8
2018/19,East Renfrewshire,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",3320,770.1
2018/19,East Renfrewshire,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",10,1.3
2018/19,East Renfrewshire,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",5,1.2
2018/19,East Renfrewshire,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",1665,215.5
2018/19,East Renfrewshire,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",860,199.5
2018/19,East Renfrewshire,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",5,18.9
2018/19,East Renfrewshire,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",5,23.4
2018/19,East Renfrewshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients",20,75.5
2018/19,East Renfrewshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",15,70.1
2018/19,East Renfrewshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,0-17 years,White,"Rate per 1,000 Social Care Clients",160,603.8
2018/19,East Renfrewshire,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",140,654.2
2018/19,East Renfrewshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",75,283
2018/19,East Renfrewshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",50,233.6
2018/19,East Renfrewshire,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",10,4.7
2018/19,East Renfrewshire,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",5,6.1
2018/19,East Renfrewshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients",75,35.6
2018/19,East Renfrewshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",30,36.4
2018/19,East Renfrewshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,18-64 years,White,"Rate per 1,000 Social Care Clients",1550,736
2018/19,East Renfrewshire,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",665,807
2018/19,East Renfrewshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",5,2.4
2018/19,East Renfrewshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",465,220.8
2018/19,East Renfrewshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",120,145.6
2018/19,East Renfrewshire,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients",30,32.8
2018/19,East Renfrewshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",15,30.8
2018/19,East Renfrewshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,65-74 years,White,"Rate per 1,000 Social Care Clients",670,731.4
2018/19,East Renfrewshire,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",360,739.2
2018/19,East Renfrewshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",215,234.7
2018/19,East Renfrewshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",110,225.9
2018/19,East Renfrewshire,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients",45,22.4
2018/19,East Renfrewshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",25,19.5
2018/19,East Renfrewshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,75-84 years,White,"Rate per 1,000 Social Care Clients",1510,750.9
2018/19,East Renfrewshire,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",965,751.6
2018/19,East Renfrewshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",5,2.5
2018/19,East Renfrewshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",5,3.9
2018/19,East Renfrewshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",450,223.8
2018/19,East Renfrewshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",290,225.9
2018/19,East Renfrewshire,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",5,2.1
2018/19,East Renfrewshire,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,85+ years,Asian,"Rate per 1,000 Social Care Clients",30,12.4
2018/19,East Renfrewshire,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",20,13.3
2018/19,East Renfrewshire,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,85+ years,White,"Rate per 1,000 Social Care Clients",1920,795.4
2018/19,East Renfrewshire,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",1190,792.3
2018/19,East Renfrewshire,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",455,188.5
2018/19,East Renfrewshire,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",290,193.1
2018/19,East Renfrewshire,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,Unknown,White,"Rate per 1,000 Social Care Clients",10,625
2018/19,East Renfrewshire,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Renfrewshire,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Renfrewshire,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",5,312.5
2018/19,East Renfrewshire,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,All Ages,African,"Rate per 1,000 Social Care Clients",5,0.6
2019/20,East Renfrewshire,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",5,1.2
2019/20,East Renfrewshire,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",25,3.2
2019/20,East Renfrewshire,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",15,3.5
2019/20,East Renfrewshire,All Ages,Asian,"Rate per 1,000 Social Care Clients",205,26.2
2019/20,East Renfrewshire,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",105,24.6
2019/20,East Renfrewshire,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,All Ages,White,"Rate per 1,000 Social Care Clients",6020,768.2
2019/20,East Renfrewshire,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",3340,781.7
2019/20,East Renfrewshire,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",10,1.3
2019/20,East Renfrewshire,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",10,2.3
2019/20,East Renfrewshire,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",1575,201
2019/20,East Renfrewshire,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",795,186.1
2019/20,East Renfrewshire,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",10,36.8
2019/20,East Renfrewshire,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",5,23.7
2019/20,East Renfrewshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients",25,91.9
2019/20,East Renfrewshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",15,71.1
2019/20,East Renfrewshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,0-17 years,White,"Rate per 1,000 Social Care Clients",170,625
2019/20,East Renfrewshire,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",140,663.5
2019/20,East Renfrewshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",70,257.4
2019/20,East Renfrewshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",50,237
2019/20,East Renfrewshire,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",10,4.9
2019/20,East Renfrewshire,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",5,5.9
2019/20,East Renfrewshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients",75,36.8
2019/20,East Renfrewshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",35,41.5
2019/20,East Renfrewshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,18-64 years,White,"Rate per 1,000 Social Care Clients",1560,765.1
2019/20,East Renfrewshire,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",670,794.8
2019/20,East Renfrewshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",5,2.5
2019/20,East Renfrewshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",385,188.8
2019/20,East Renfrewshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",125,148.3
2019/20,East Renfrewshire,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients",20,21.1
2019/20,East Renfrewshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",10,20.9
2019/20,East Renfrewshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,65-74 years,White,"Rate per 1,000 Social Care Clients",695,731.6
2019/20,East Renfrewshire,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",365,763.6
2019/20,East Renfrewshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",230,242.1
2019/20,East Renfrewshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",105,219.7
2019/20,East Renfrewshire,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients",45,22.1
2019/20,East Renfrewshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",25,20.4
2019/20,East Renfrewshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,75-84 years,White,"Rate per 1,000 Social Care Clients",1560,767.7
2019/20,East Renfrewshire,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",950,776.1
2019/20,East Renfrewshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",420,206.7
2019/20,East Renfrewshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",240,196.1
2019/20,East Renfrewshire,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",5,2
2019/20,East Renfrewshire,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Renfrewshire,85+ years,Asian,"Rate per 1,000 Social Care Clients",35,13.8
2019/20,East Renfrewshire,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",20,13.2
2019/20,East Renfrewshire,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Renfrewshire,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
