financial_year,sending_location,age_group,sex,measure,rate,nclient
2019/20,Glasgow City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",73.5,1595
2019/20,Glasgow City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",2,45
2019/20,Glasgow City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",2.1,45
2019/20,Glasgow City,75-84 years,Female,"Rate per 1,000 Social Care Clients",189.7,4180
2019/20,Glasgow City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",189.9,4120
2019/20,Glasgow City,75-84 years,Male,"Rate per 1,000 Social Care Clients",103.9,2290
2019/20,Glasgow City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",103.7,2250
2019/20,Glasgow City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",5.9,130
2019/20,Glasgow City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",6,130
2019/20,Glasgow City,85+ years,Female,"Rate per 1,000 Social Care Clients",218.5,4815
2019/20,Glasgow City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",217.1,4710
2019/20,Glasgow City,85+ years,Male,"Rate per 1,000 Social Care Clients",70.3,1550
2019/20,Glasgow City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",69.8,1515
2019/20,Glasgow City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",5.7,125
2019/20,Glasgow City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",5.5,120
2019/20,Glasgow City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,Glasgow City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Glasgow City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,Glasgow City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Glasgow City,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Glasgow City,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Glasgow City,All Ages,Female,"Rate per 1,000 Social Care Clients",593.5,13010
2020/21,Glasgow City,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",595.6,12650
2020/21,Glasgow City,All Ages,Male,"Rate per 1,000 Social Care Clients",397.6,8715
2020/21,Glasgow City,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",395.5,8400
2020/21,Glasgow City,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",9.1,200
2020/21,Glasgow City,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",8.9,190
2020/21,Glasgow City,0-17 years,Female,"Rate per 1,000 Social Care Clients",5.7,125
2020/21,Glasgow City,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",5.9,125
2020/21,Glasgow City,0-17 years,Male,"Rate per 1,000 Social Care Clients",10.3,225
2020/21,Glasgow City,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",10.6,225
2020/21,Glasgow City,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.2,5
2020/21,Glasgow City,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.2,5
2020/21,Glasgow City,18-64 years,Female,"Rate per 1,000 Social Care Clients",107.9,2365
2020/21,Glasgow City,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",107.6,2285
2020/21,Glasgow City,18-64 years,Male,"Rate per 1,000 Social Care Clients",140.7,3085
2020/21,Glasgow City,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",137.9,2930
2020/21,Glasgow City,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.7,15
2020/21,Glasgow City,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,15
2020/21,Glasgow City,65-74 years,Female,"Rate per 1,000 Social Care Clients",81.9,1795
2020/21,Glasgow City,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",82.4,1750
2020/21,Glasgow City,65-74 years,Male,"Rate per 1,000 Social Care Clients",74.6,1635
2020/21,Glasgow City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",73.9,1570
2020/21,Glasgow City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.4,30
2020/21,Glasgow City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.4,30
2020/21,Glasgow City,75-84 years,Female,"Rate per 1,000 Social Care Clients",179.3,3930
2020/21,Glasgow City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",180.3,3830
2020/21,Glasgow City,75-84 years,Male,"Rate per 1,000 Social Care Clients",100.8,2210
2020/21,Glasgow City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",101.2,2150
2020/21,Glasgow City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",3.4,75
2020/21,Glasgow City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",3.3,70
2020/21,Glasgow City,85+ years,Female,"Rate per 1,000 Social Care Clients",218.5,4790
2020/21,Glasgow City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",219.4,4660
2020/21,Glasgow City,85+ years,Male,"Rate per 1,000 Social Care Clients",71.2,1560
2020/21,Glasgow City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",71.8,1525
2020/21,Glasgow City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",3.6,80
2020/21,Glasgow City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",3.5,75
2020/21,Glasgow City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2020/21,Glasgow City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Glasgow City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2020/21,Glasgow City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Glasgow City,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Glasgow City,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Glasgow City,All Ages,Female,"Rate per 1,000 Social Care Clients",583.7,12870
2021/22,Glasgow City,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",586.8,12410
2021/22,Glasgow City,All Ages,Male,"Rate per 1,000 Social Care Clients",407.5,8985
2021/22,Glasgow City,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",404.5,8555
2021/22,Glasgow City,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",8.8,195
2021/22,Glasgow City,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",9,190
2021/22,Glasgow City,0-17 years,Female,"Rate per 1,000 Social Care Clients",7,155
2021/22,Glasgow City,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",7.3,155
2021/22,Glasgow City,0-17 years,Male,"Rate per 1,000 Social Care Clients",13.8,305
2021/22,Glasgow City,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",13.9,295
2021/22,Glasgow City,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.2,5
2021/22,Glasgow City,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.2,5
2021/22,Glasgow City,18-64 years,Female,"Rate per 1,000 Social Care Clients",111.6,2460
2021/22,Glasgow City,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",110.4,2335
2021/22,Glasgow City,18-64 years,Male,"Rate per 1,000 Social Care Clients",145.6,3210
2021/22,Glasgow City,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",141.8,3000
2021/22,Glasgow City,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.7,15
2021/22,Glasgow City,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,15
2021/22,Glasgow City,65-74 years,Female,"Rate per 1,000 Social Care Clients",86.6,1910
2021/22,Glasgow City,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",86.5,1830
2021/22,Glasgow City,65-74 years,Male,"Rate per 1,000 Social Care Clients",78,1720
2021/22,Glasgow City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",77.5,1640
2021/22,Glasgow City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.6,35
2021/22,Glasgow City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.7,35
2021/22,Glasgow City,75-84 years,Female,"Rate per 1,000 Social Care Clients",170.5,3760
2021/22,Glasgow City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",172.3,3645
2021/22,Glasgow City,75-84 years,Male,"Rate per 1,000 Social Care Clients",100.5,2215
2021/22,Glasgow City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",100.7,2130
2021/22,Glasgow City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",4.1,90
2021/22,Glasgow City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",4,85
2021/22,Glasgow City,85+ years,Female,"Rate per 1,000 Social Care Clients",207.9,4585
2021/22,Glasgow City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",210.4,4450
2021/22,Glasgow City,85+ years,Male,"Rate per 1,000 Social Care Clients",69.4,1530
2021/22,Glasgow City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",70.2,1485
2021/22,Glasgow City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",2,45
2021/22,Glasgow City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",2.1,45
2021/22,Glasgow City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2021/22,Glasgow City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Glasgow City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2021/22,Glasgow City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Glasgow City,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2021/22,Glasgow City,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients",616.3,5160
2017/18,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",616.8,5155
2017/18,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients",383.4,3210
2017/18,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",383.5,3205
2017/18,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients",9,75
2017/18,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",9,75
2017/18,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients",21.5,180
2017/18,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",21.5,180
2017/18,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients",100.3,840
2017/18,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",100.5,840
2017/18,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients",119.4,1000
2017/18,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",119.6,1000
2017/18,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients",65.1,545
2017/18,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",65.2,545
2017/18,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients",54.9,460
2017/18,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",55,460
2017/18,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients",179.1,1500
2017/18,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",178.9,1495
2017/18,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients",93.2,780
2017/18,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",93.3,780
2017/18,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients",262.7,2200
2017/18,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",263.2,2200
2017/18,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients",94.4,790
2017/18,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",93.9,785
2017/18,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients",633.5,5035
2018/19,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",633.5,5035
2018/19,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients",366.8,2915
2018/19,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",366.8,2915
2018/19,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients",1.3,10
2018/19,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1.3,10
2018/19,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients",5.7,45
2018/19,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",5.7,45
2018/19,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients",91.2,725
2018/19,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",91.2,725
2018/19,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients",101.3,805
2018/19,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",101.3,805
2018/19,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients",61.7,490
2018/19,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",61.7,490
2018/19,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients",53.5,425
2018/19,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",53.5,425
2018/19,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients",188.1,1495
2018/19,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",188.1,1495
2018/19,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients",95.6,760
2018/19,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",95.6,760
2018/19,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients",290.6,2310
2018/19,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",290.6,2310
2018/19,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients",110.7,880
2018/19,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",110.7,880
2018/19,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients",629.8,5175
2019/20,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",629.3,5170
2019/20,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients",370.6,3045
2019/20,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",370.6,3045
2019/20,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients",1.2,10
2019/20,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1.2,10
2019/20,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients",5.5,45
2019/20,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",5.5,45
2019/20,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients",90.1,740
2019/20,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",90.1,740
2019/20,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients",99.8,820
2019/20,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",99.8,820
2019/20,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients",63.9,525
2019/20,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",63.9,525
2019/20,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients",53.5,440
2019/20,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",53.6,440
2019/20,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients",186.8,1535
2019/20,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",186.8,1535
2019/20,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients",98.6,810
2019/20,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",98.6,810
2019/20,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients",287.2,2360
2019/20,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",287.2,2360
2019/20,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients",112.6,925
2019/20,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",112.6,925
2019/20,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients",626.2,5100
2020/21,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",626.5,5100
2020/21,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients",373.8,3045
2020/21,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",373.5,3040
2020/21,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients",1.2,10
2020/21,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1.2,10
2020/21,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients",5.5,45
2020/21,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",5.5,45
2020/21,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients",84.7,690
2020/21,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",84.8,690
2020/21,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients",94.5,770
2020/21,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",94.6,770
2020/21,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients",69.4,565
2020/21,Highland,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",69.4,565
2020/21,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients",56.5,460
2020/21,Highland,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",55.9,455
2020/21,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients",182.9,1490
2020/21,Highland,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",183,1490
2020/21,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients",101.9,830
2020/21,Highland,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",102,830
2020/21,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients",287.9,2345
2020/21,Highland,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",288.1,2345
2020/21,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients",116,945
2020/21,Highland,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",116.1,945
2020/21,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients",608.5,5370
2021/22,Highland,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",609.9,5285
2021/22,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients",390.9,3450
2021/22,Highland,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",389.5,3375
2021/22,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2021/22,Highland,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients",2.8,25
2021/22,Highland,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",2.9,25
2021/22,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients",8.5,75
2021/22,Highland,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",8.7,75
2021/22,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2021/22,Highland,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients",105.9,935
2021/22,Highland,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",105.6,915
2021/22,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients",128.6,1135
2021/22,Highland,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",128.7,1115
2021/22,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2021/22,Highland,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
