financial_year,sending_location,age_group,living_alone,measure,percentage,nclient
2019/20,Fife,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),43.4,1005
2019/20,Fife,65-74 years,Not Living Alone,Percentage of Social Care Clients,56.6,1310
2019/20,Fife,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),56.6,1310
2019/20,Fife,75-84 years,Living Alone,Percentage of Social Care Clients,47,2315
2019/20,Fife,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),47,2315
2019/20,Fife,75-84 years,Not Living Alone,Percentage of Social Care Clients,53,2610
2019/20,Fife,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),53,2610
2019/20,Fife,85+ years,Living Alone,Percentage of Social Care Clients,57.1,3125
2019/20,Fife,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),57.1,3125
2019/20,Fife,85+ years,Not Living Alone,Percentage of Social Care Clients,42.9,2345
2019/20,Fife,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),42.9,2345
2019/20,Glasgow City,All Ages,Living Alone,Percentage of Social Care Clients,40.3,8880
2019/20,Glasgow City,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),40.6,8805
2019/20,Glasgow City,All Ages,Not Living Alone,Percentage of Social Care Clients,59.7,13155
2019/20,Glasgow City,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),59.4,12895
2019/20,Glasgow City,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,320
2019/20,Glasgow City,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,320
2019/20,Glasgow City,18-64 years,Living Alone,Percentage of Social Care Clients,34.6,1755
2019/20,Glasgow City,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),34.9,1750
2019/20,Glasgow City,18-64 years,Not Living Alone,Percentage of Social Care Clients,65.4,3310
2019/20,Glasgow City,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),65.1,3270
2019/20,Glasgow City,65-74 years,Living Alone,Percentage of Social Care Clients,40.2,1430
2019/20,Glasgow City,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),40.5,1420
2019/20,Glasgow City,65-74 years,Not Living Alone,Percentage of Social Care Clients,59.8,2130
2019/20,Glasgow City,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),59.5,2090
2019/20,Glasgow City,75-84 years,Living Alone,Percentage of Social Care Clients,40.3,2660
2019/20,Glasgow City,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),40.5,2630
2019/20,Glasgow City,75-84 years,Not Living Alone,Percentage of Social Care Clients,59.7,3945
2019/20,Glasgow City,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),59.5,3870
2019/20,Glasgow City,85+ years,Living Alone,Percentage of Social Care Clients,46.8,3040
2019/20,Glasgow City,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),47.3,3000
2019/20,Glasgow City,85+ years,Not Living Alone,Percentage of Social Care Clients,53.2,3450
2019/20,Glasgow City,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),52.7,3345
2019/20,Highland,All Ages,Living Alone,Percentage of Social Care Clients,31,2550
2019/20,Highland,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),31,2550
2019/20,Highland,All Ages,Not Living Alone,Percentage of Social Care Clients,23,1890
2019/20,Highland,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),23,1890
2019/20,Highland,All Ages,Unknown,Percentage of Social Care Clients,46,3775
2019/20,Highland,All Ages,Unknown,Percentage of Social Care Clients (adjusted),46,3775
2019/20,Highland,0-17 years,Living Alone,Percentage of Social Care Clients,8.3,5
2019/20,Highland,0-17 years,Living Alone,Percentage of Social Care Clients (adjusted),8.3,5
2019/20,Highland,0-17 years,Not Living Alone,Percentage of Social Care Clients,8.3,5
2019/20,Highland,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),8.3,5
2019/20,Highland,0-17 years,Unknown,Percentage of Social Care Clients,83.3,50
2019/20,Highland,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),83.3,50
2019/20,Highland,18-64 years,Living Alone,Percentage of Social Care Clients,18.9,295
2019/20,Highland,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),18.9,295
2019/20,Highland,18-64 years,Not Living Alone,Percentage of Social Care Clients,19.2,300
2019/20,Highland,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),19.2,300
2019/20,Highland,18-64 years,Unknown,Percentage of Social Care Clients,61.9,965
2019/20,Highland,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),61.9,965
2019/20,Highland,65-74 years,Living Alone,Percentage of Social Care Clients,32.8,315
2019/20,Highland,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),32.8,315
2019/20,Highland,65-74 years,Not Living Alone,Percentage of Social Care Clients,25.5,245
2019/20,Highland,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),25.5,245
2019/20,Highland,65-74 years,Unknown,Percentage of Social Care Clients,41.7,400
2019/20,Highland,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),41.7,400
2019/20,Highland,75-84 years,Living Alone,Percentage of Social Care Clients,31.9,750
2019/20,Highland,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),31.9,750
2019/20,Highland,75-84 years,Not Living Alone,Percentage of Social Care Clients,24.5,575
2019/20,Highland,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),24.5,575
2019/20,Highland,75-84 years,Unknown,Percentage of Social Care Clients,43.6,1025
2019/20,Highland,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),43.6,1025
2019/20,Highland,85+ years,Living Alone,Percentage of Social Care Clients,36.1,1185
2019/20,Highland,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),36.1,1185
2019/20,Highland,85+ years,Not Living Alone,Percentage of Social Care Clients,23.3,765
2019/20,Highland,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),23.3,765
2019/20,Highland,85+ years,Unknown,Percentage of Social Care Clients,40.6,1335
2019/20,Highland,85+ years,Unknown,Percentage of Social Care Clients (adjusted),40.6,1335
2019/20,Inverclyde,All Ages,Living Alone,Percentage of Social Care Clients,22.9,1085
2019/20,Inverclyde,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),24.7,1000
2019/20,Inverclyde,All Ages,Not Living Alone,Percentage of Social Care Clients,9.6,455
2019/20,Inverclyde,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),9.9,400
2019/20,Inverclyde,All Ages,Unknown,Percentage of Social Care Clients,67.5,3205
2019/20,Inverclyde,All Ages,Unknown,Percentage of Social Care Clients (adjusted),65.5,2655
2019/20,Inverclyde,0-17 years,Not Living Alone,Percentage of Social Care Clients,40,20
2019/20,Inverclyde,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),33.3,15
2019/20,Inverclyde,0-17 years,Unknown,Percentage of Social Care Clients,60,30
2019/20,Inverclyde,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),66.7,30
2019/20,Inverclyde,18-64 years,Living Alone,Percentage of Social Care Clients,12.1,110
2019/20,Inverclyde,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),12.8,105
2019/20,Inverclyde,18-64 years,Not Living Alone,Percentage of Social Care Clients,9.9,90
2019/20,Inverclyde,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),11,90
2019/20,Inverclyde,18-64 years,Unknown,Percentage of Social Care Clients,78,710
2019/20,Inverclyde,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),76.2,625
2019/20,Inverclyde,65-74 years,Living Alone,Percentage of Social Care Clients,21.5,155
2019/20,Inverclyde,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),23.6,145
2019/20,Inverclyde,65-74 years,Not Living Alone,Percentage of Social Care Clients,11.1,80
2019/20,Inverclyde,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),12.2,75
2019/20,Inverclyde,65-74 years,Unknown,Percentage of Social Care Clients,67.4,485
2019/20,Inverclyde,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),64.2,395
2019/20,Inverclyde,75-84 years,Living Alone,Percentage of Social Care Clients,22.7,350
2019/20,Inverclyde,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),25.3,330
2019/20,Inverclyde,75-84 years,Not Living Alone,Percentage of Social Care Clients,7.8,120
2019/20,Inverclyde,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),7.7,100
2019/20,Inverclyde,75-84 years,Unknown,Percentage of Social Care Clients,69.5,1070
2019/20,Inverclyde,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),67,875
2019/20,Inverclyde,85+ years,Living Alone,Percentage of Social Care Clients,30.9,470
2019/20,Inverclyde,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),33.2,420
2019/20,Inverclyde,85+ years,Not Living Alone,Percentage of Social Care Clients,9.2,140
2019/20,Inverclyde,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),9.1,115
2019/20,Inverclyde,85+ years,Unknown,Percentage of Social Care Clients,59.9,910
2019/20,Inverclyde,85+ years,Unknown,Percentage of Social Care Clients (adjusted),57.7,730
2019/20,Midlothian,All Ages,Not Living Alone,Percentage of Social Care Clients,19.7,660
2019/20,Midlothian,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),16.4,520
2019/20,Midlothian,All Ages,Unknown,Percentage of Social Care Clients,80.3,2690
2019/20,Midlothian,All Ages,Unknown,Percentage of Social Care Clients (adjusted),83.6,2645
2019/20,Midlothian,0-17 years,Unknown,Percentage of Social Care Clients,100,50
2019/20,Midlothian,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,50
2019/20,Midlothian,18-64 years,Not Living Alone,Percentage of Social Care Clients,13.6,85
2019/20,Midlothian,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),13,80
2019/20,Midlothian,18-64 years,Unknown,Percentage of Social Care Clients,86.4,540
2019/20,Midlothian,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),87,535
2019/20,Midlothian,65-74 years,Not Living Alone,Percentage of Social Care Clients,15.6,75
2019/20,Midlothian,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),14,65
2019/20,Midlothian,65-74 years,Unknown,Percentage of Social Care Clients,84.4,405
2019/20,Midlothian,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),86,400
2019/20,Midlothian,75-84 years,Not Living Alone,Percentage of Social Care Clients,19.2,215
2019/20,Midlothian,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),16.5,175
2019/20,Midlothian,75-84 years,Unknown,Percentage of Social Care Clients,80.8,905
2019/20,Midlothian,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),83.5,885
2019/20,Midlothian,85+ years,Not Living Alone,Percentage of Social Care Clients,26.2,280
2019/20,Midlothian,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),20.1,195
2019/20,Midlothian,85+ years,Unknown,Percentage of Social Care Clients,73.8,790
2019/20,Midlothian,85+ years,Unknown,Percentage of Social Care Clients (adjusted),79.9,775
2019/20,Moray,All Ages,Living Alone,Percentage of Social Care Clients,27.7,990
2019/20,Moray,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),27.7,990
2019/20,Moray,All Ages,Not Living Alone,Percentage of Social Care Clients,0.3,10
2019/20,Moray,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),0.3,10
2019/20,Moray,All Ages,Unknown,Percentage of Social Care Clients,72.1,2580
2019/20,Moray,All Ages,Unknown,Percentage of Social Care Clients (adjusted),72.1,2580
2019/20,Moray,0-17 years,Unknown,Percentage of Social Care Clients,100,35
2019/20,Moray,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,35
2019/20,Moray,18-64 years,Living Alone,Percentage of Social Care Clients,18.3,130
2019/20,Moray,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),18.3,130
2019/20,Moray,18-64 years,Unknown,Percentage of Social Care Clients,81.7,580
2019/20,Moray,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),81.7,580
2019/20,Moray,65-74 years,Living Alone,Percentage of Social Care Clients,24.4,110
2019/20,Moray,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),24.4,110
2019/20,Moray,65-74 years,Unknown,Percentage of Social Care Clients,75.6,340
2019/20,Moray,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),75.6,340
2019/20,Moray,75-84 years,Living Alone,Percentage of Social Care Clients,30,310
2019/20,Moray,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),30,310
2019/20,Moray,75-84 years,Unknown,Percentage of Social Care Clients,70,725
2019/20,Moray,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),70,725
2019/20,Moray,85+ years,Living Alone,Percentage of Social Care Clients,32.5,435
2019/20,Moray,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),32.5,435
2019/20,Moray,85+ years,Not Living Alone,Percentage of Social Care Clients,0.4,5
2019/20,Moray,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),0.4,5
2019/20,Moray,85+ years,Unknown,Percentage of Social Care Clients,67.2,900
2019/20,Moray,85+ years,Unknown,Percentage of Social Care Clients (adjusted),67.2,900
2019/20,North Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients,37.2,2680
2019/20,North Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),37.2,2680
2019/20,North Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients,41.6,3000
2019/20,North Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),41.6,3000
2019/20,North Ayrshire,All Ages,Unknown,Percentage of Social Care Clients,21.2,1530
2019/20,North Ayrshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),21.2,1530
2019/20,North Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,26.3,25
2019/20,North Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),26.3,25
2019/20,North Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients,73.7,70
2019/20,North Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),73.7,70
2019/20,North Ayrshire,18-64 years,Living Alone,Percentage of Social Care Clients,33.6,385
2019/20,North Ayrshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),33.6,385
2019/20,North Ayrshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,49.8,570
2019/20,North Ayrshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),49.8,570
2019/20,North Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients,16.6,190
2019/20,North Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),16.6,190
2019/20,North Ayrshire,65-74 years,Living Alone,Percentage of Social Care Clients,36.1,410
2019/20,North Ayrshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),36.1,410
2019/20,North Ayrshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,45.4,515
2019/20,North Ayrshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),45.4,515
2019/20,North Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients,18.5,210
2019/20,North Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),18.5,210
2019/20,North Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients,37.4,925
2019/20,North Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),37.4,925
2019/20,North Ayrshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,43.4,1075
2019/20,North Ayrshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),43.4,1075
2019/20,North Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients,19.2,475
2019/20,North Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),19.2,475
2019/20,North Ayrshire,85+ years,Living Alone,Percentage of Social Care Clients,40.9,960
2019/20,North Ayrshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),40.8,960
2019/20,North Ayrshire,85+ years,Not Living Alone,Percentage of Social Care Clients,34.5,810
2019/20,North Ayrshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),34.4,810
2019/20,North Ayrshire,85+ years,Unknown,Percentage of Social Care Clients,24.7,580
2019/20,North Ayrshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),24.8,585
2019/20,North Ayrshire,Unknown,Unknown,Percentage of Social Care Clients,100,5
2019/20,North Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients,9.2,1410
2019/20,North Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),9.2,1410
2019/20,North Lanarkshire,All Ages,Unknown,Percentage of Social Care Clients,90.8,13845
2019/20,North Lanarkshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),90.8,13845
2019/20,North Lanarkshire,0-17 years,Unknown,Percentage of Social Care Clients,100,165
2019/20,North Lanarkshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,165
2019/20,North Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients,3.6,105
2019/20,North Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),3.6,105
2019/20,North Lanarkshire,18-64 years,Unknown,Percentage of Social Care Clients,96.4,2845
2019/20,North Lanarkshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),96.4,2845
2019/20,North Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients,6.9,185
2019/20,North Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),6.9,185
2019/20,North Lanarkshire,65-74 years,Unknown,Percentage of Social Care Clients,93.1,2495
2019/20,North Lanarkshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),93.1,2495
2019/20,North Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients,9.6,505
2019/20,North Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),9.6,505
2019/20,North Lanarkshire,75-84 years,Unknown,Percentage of Social Care Clients,90.4,4750
2019/20,North Lanarkshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),90.4,4750
2019/20,North Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients,14.6,615
2019/20,North Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),14.6,615
2019/20,North Lanarkshire,85+ years,Unknown,Percentage of Social Care Clients,85.4,3590
2019/20,North Lanarkshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),85.4,3590
2019/20,Orkney Islands,All Ages,Living Alone,Percentage of Social Care Clients,1.4,15
2019/20,Orkney Islands,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1.5,15
2019/20,Orkney Islands,All Ages,Unknown,Percentage of Social Care Clients,98.6,1050
2019/20,Orkney Islands,All Ages,Unknown,Percentage of Social Care Clients (adjusted),98.5,985
2019/20,Orkney Islands,0-17 years,Unknown,Percentage of Social Care Clients,100,5
2019/20,Orkney Islands,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,5
2019/20,Orkney Islands,18-64 years,Living Alone,Percentage of Social Care Clients,2.9,5
2019/20,Orkney Islands,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),3.1,5
2019/20,Orkney Islands,18-64 years,Unknown,Percentage of Social Care Clients,97.1,170
2019/20,Orkney Islands,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),96.9,155
2019/20,Orkney Islands,65-74 years,Unknown,Percentage of Social Care Clients,100,155
2019/20,Orkney Islands,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),100,145
2019/20,Orkney Islands,75-84 years,Living Alone,Percentage of Social Care Clients,2.5,10
2019/20,Orkney Islands,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),1.4,5
2019/20,Orkney Islands,75-84 years,Unknown,Percentage of Social Care Clients,97.5,385
2019/20,Orkney Islands,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),98.6,360
2019/20,Orkney Islands,85+ years,Unknown,Percentage of Social Care Clients,100,330
2019/20,Orkney Islands,85+ years,Unknown,Percentage of Social Care Clients (adjusted),100,315
2019/20,Perth and Kinross,All Ages,Living Alone,Percentage of Social Care Clients,6.8,500
2019/20,Perth and Kinross,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),8.5,480
2019/20,Perth and Kinross,All Ages,Not Living Alone,Percentage of Social Care Clients,93.2,6895
2019/20,Perth and Kinross,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),91.5,5180
2019/20,Perth and Kinross,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,20
2019/20,Perth and Kinross,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,5
2019/20,Perth and Kinross,18-64 years,Living Alone,Percentage of Social Care Clients,5.7,85
2019/20,Perth and Kinross,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),6.4,80
2019/20,Perth and Kinross,18-64 years,Not Living Alone,Percentage of Social Care Clients,94.3,1400
2019/20,Perth and Kinross,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),93.6,1170
2019/20,Perth and Kinross,65-74 years,Living Alone,Percentage of Social Care Clients,6.4,65
2019/20,Perth and Kinross,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),7.5,60
2019/20,Perth and Kinross,65-74 years,Not Living Alone,Percentage of Social Care Clients,93.6,955
2019/20,Perth and Kinross,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),92.5,740
2019/20,Perth and Kinross,75-84 years,Living Alone,Percentage of Social Care Clients,6.3,130
2019/20,Perth and Kinross,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),7.8,125
2019/20,Perth and Kinross,75-84 years,Not Living Alone,Percentage of Social Care Clients,93.7,1940
2019/20,Perth and Kinross,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),92.2,1470
2019/20,Perth and Kinross,85+ years,Living Alone,Percentage of Social Care Clients,8,225
2019/20,Perth and Kinross,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),10.7,215
2019/20,Perth and Kinross,85+ years,Not Living Alone,Percentage of Social Care Clients,92,2580
2019/20,Perth and Kinross,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),89.3,1790
2019/20,Renfrewshire,All Ages,Living Alone,Percentage of Social Care Clients,9.3,720
2019/20,Renfrewshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),9.5,605
2019/20,Renfrewshire,All Ages,Not Living Alone,Percentage of Social Care Clients,90.7,6990
2019/20,Renfrewshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),90.5,5790
2019/20,Renfrewshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,15
2019/20,Renfrewshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,15
2019/20,Renfrewshire,18-64 years,Living Alone,Percentage of Social Care Clients,12.8,180
2019/20,Renfrewshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),13.8,170
2019/20,Renfrewshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,87.2,1225
2019/20,Renfrewshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),86.2,1065
2019/20,Renfrewshire,65-74 years,Living Alone,Percentage of Social Care Clients,12.3,145
2019/20,Renfrewshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),12.2,125
2019/20,Renfrewshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,87.7,1035
2019/20,Renfrewshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),87.8,900
2019/20,Renfrewshire,75-84 years,Living Alone,Percentage of Social Care Clients,7.5,195
2019/20,Renfrewshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),7.9,170
2019/20,Renfrewshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,92.5,2395
2019/20,Renfrewshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),92.1,1990
2019/20,Renfrewshire,85+ years,Living Alone,Percentage of Social Care Clients,8,200
2019/20,Renfrewshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),7.4,145
2019/20,Renfrewshire,85+ years,Not Living Alone,Percentage of Social Care Clients,92,2305
2019/20,Renfrewshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),92.6,1820
2019/20,Renfrewshire,Unknown,Not Living Alone,Percentage of Social Care Clients,100,10
2019/20,Scottish Borders,All Ages,Living Alone,Percentage of Social Care Clients,17.9,785
2019/20,Scottish Borders,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),20.4,785
2019/20,Scottish Borders,All Ages,Not Living Alone,Percentage of Social Care Clients,31.9,1400
2019/20,Scottish Borders,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),23,885
2019/20,Scottish Borders,All Ages,Unknown,Percentage of Social Care Clients,50.3,2210
2019/20,Scottish Borders,All Ages,Unknown,Percentage of Social Care Clients (adjusted),56.5,2170
2019/20,Scottish Borders,0-17 years,Not Living Alone,Percentage of Social Care Clients,84.6,55
2019/20,Scottish Borders,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),84.6,55
2019/20,Scottish Borders,0-17 years,Unknown,Percentage of Social Care Clients,15.4,10
2019/20,Scottish Borders,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),15.4,10
2019/20,Scottish Borders,18-64 years,Living Alone,Percentage of Social Care Clients,10.4,95
2019/20,Scottish Borders,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),10.6,95
2019/20,Scottish Borders,18-64 years,Not Living Alone,Percentage of Social Care Clients,8.8,80
2019/20,Scottish Borders,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),7.8,70
2019/20,Scottish Borders,18-64 years,Unknown,Percentage of Social Care Clients,80.8,735
2019/20,Scottish Borders,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),81.6,730
2019/20,Scottish Borders,65-74 years,Living Alone,Percentage of Social Care Clients,20.6,110
2019/20,Scottish Borders,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),22.2,110
2019/20,Scottish Borders,65-74 years,Not Living Alone,Percentage of Social Care Clients,25.2,135
2019/20,Scottish Borders,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),20.2,100
2019/20,Scottish Borders,65-74 years,Unknown,Percentage of Social Care Clients,54.2,290
2019/20,Scottish Borders,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),57.6,285
2019/20,Scottish Borders,75-84 years,Living Alone,Percentage of Social Care Clients,18.2,215
2019/20,Scottish Borders,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),20.7,215
2019/20,Scottish Borders,75-84 years,Not Living Alone,Percentage of Social Care Clients,36.4,430
2019/20,Scottish Borders,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),28.8,300
2019/20,Scottish Borders,75-84 years,Unknown,Percentage of Social Care Clients,45.3,535
2019/20,Scottish Borders,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),50.5,525
2019/20,Scottish Borders,85+ years,Living Alone,Percentage of Social Care Clients,21.3,360
2019/20,Scottish Borders,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),27,360
2019/20,Scottish Borders,85+ years,Not Living Alone,Percentage of Social Care Clients,41.1,695
2019/20,Scottish Borders,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),27,360
2019/20,Scottish Borders,85+ years,Unknown,Percentage of Social Care Clients,37.6,635
2019/20,Scottish Borders,85+ years,Unknown,Percentage of Social Care Clients (adjusted),46.1,615
2019/20,Shetland Islands,All Ages,Not Living Alone,Percentage of Social Care Clients,9.4,135
2019/20,Shetland Islands,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),5.6,70
2019/20,Shetland Islands,All Ages,Unknown,Percentage of Social Care Clients,90.6,1305
