financial_year,sending_location,age_group,measure,rate,nclient
2018/19,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients",33.6,740
2019/20,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",34.1,740
2019/20,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients",10.9,55
2019/20,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",11,55
2019/20,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients",35.1,125
2019/20,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",35.6,125
2019/20,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients",38.6,255
2019/20,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",39.2,255
2019/20,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients",47,305
2019/20,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",48,305
2019/20,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients",37.9,830
2020/21,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",39.1,830
2020/21,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients",17.4,95
2020/21,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",18.2,95
2020/21,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients",40.4,140
2020/21,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",41.8,140
2020/21,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients",42.6,265
2020/21,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",43.8,265
2020/21,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients",50.5,325
2020/21,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",52,325
2020/21,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients",35.4,780
2021/22,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",36.9,780
2021/22,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients",16.7,95
2021/22,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",17.8,95
2021/22,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients",35.5,130
2021/22,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",37.1,130
2021/22,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients",39.6,240
2021/22,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",40.9,240
2021/22,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients",50.3,310
2021/22,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",51.8,310
2021/22,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Glasgow City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,All Ages,"Rate per 1,000 Social Care Clients",37,310
2017/18,Highland,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",37.1,310
2017/18,Highland,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Highland,18-64 years,"Rate per 1,000 Social Care Clients",8.2,15
2017/18,Highland,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",8.2,15
2017/18,Highland,65-74 years,"Rate per 1,000 Social Care Clients",39.8,40
2017/18,Highland,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",39.8,40
2017/18,Highland,75-84 years,"Rate per 1,000 Social Care Clients",48.2,110
2017/18,Highland,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",48.4,110
2017/18,Highland,85+ years,"Rate per 1,000 Social Care Clients",46.8,140
2017/18,Highland,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",46.9,140
2017/18,Highland,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Highland,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,All Ages,"Rate per 1,000 Social Care Clients",33.3,265
2018/19,Highland,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",33.3,265
2018/19,Highland,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Highland,18-64 years,"Rate per 1,000 Social Care Clients",6.5,10
2018/19,Highland,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",6.5,10
2018/19,Highland,65-74 years,"Rate per 1,000 Social Care Clients",43.7,40
2018/19,Highland,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",43.7,40
2018/19,Highland,75-84 years,"Rate per 1,000 Social Care Clients",37.7,85
2018/19,Highland,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",37.7,85
2018/19,Highland,85+ years,"Rate per 1,000 Social Care Clients",39.2,125
2018/19,Highland,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",39.2,125
2018/19,Highland,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Highland,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,All Ages,"Rate per 1,000 Social Care Clients",38.9,320
2019/20,Highland,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",38.9,320
2019/20,Highland,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Highland,18-64 years,"Rate per 1,000 Social Care Clients",9.6,15
2019/20,Highland,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",9.6,15
2019/20,Highland,65-74 years,"Rate per 1,000 Social Care Clients",36.3,35
2019/20,Highland,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",36.3,35
2019/20,Highland,75-84 years,"Rate per 1,000 Social Care Clients",49,115
2019/20,Highland,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",49,115
2019/20,Highland,85+ years,"Rate per 1,000 Social Care Clients",45.6,150
2019/20,Highland,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",45.6,150
2019/20,Highland,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Highland,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,All Ages,"Rate per 1,000 Social Care Clients",21.5,175
2020/21,Highland,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",21.5,175
2020/21,Highland,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Highland,18-64 years,"Rate per 1,000 Social Care Clients",10.3,15
2020/21,Highland,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",10.3,15
2020/21,Highland,65-74 years,"Rate per 1,000 Social Care Clients",19.5,20
2020/21,Highland,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",19.6,20
2020/21,Highland,75-84 years,"Rate per 1,000 Social Care Clients",25.9,60
2020/21,Highland,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",25.9,60
2020/21,Highland,85+ years,"Rate per 1,000 Social Care Clients",24.3,80
2020/21,Highland,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",24.4,80
2020/21,Highland,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Highland,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Highland,All Ages,"Rate per 1,000 Social Care Clients",22.7,200
2021/22,Highland,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",23.1,200
2021/22,Highland,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Highland,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Highland,18-64 years,"Rate per 1,000 Social Care Clients",7.2,15
2021/22,Highland,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",7.4,15
2021/22,Highland,65-74 years,"Rate per 1,000 Social Care Clients",28.3,30
2021/22,Highland,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",28.8,30
2021/22,Highland,75-84 years,"Rate per 1,000 Social Care Clients",31.7,75
2021/22,Highland,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",32.4,75
2021/22,Highland,85+ years,"Rate per 1,000 Social Care Clients",24.8,80
2021/22,Highland,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",25.1,80
2021/22,Highland,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Highland,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Inverclyde,All Ages,"Rate per 1,000 Social Care Clients",7.3,35
2017/18,Inverclyde,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",8,35
2017/18,Inverclyde,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Inverclyde,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Inverclyde,18-64 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Inverclyde,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Inverclyde,65-74 years,"Rate per 1,000 Social Care Clients",6.5,5
2017/18,Inverclyde,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",6.8,5
2017/18,Inverclyde,75-84 years,"Rate per 1,000 Social Care Clients",3.2,5
2017/18,Inverclyde,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",3.4,5
2017/18,Inverclyde,85+ years,"Rate per 1,000 Social Care Clients",16.6,25
2017/18,Inverclyde,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",19.3,25
2017/18,Inverclyde,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Inverclyde,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Inverclyde,All Ages,"Rate per 1,000 Social Care Clients",0,0
2018/19,Inverclyde,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Inverclyde,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Inverclyde,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Inverclyde,18-64 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Inverclyde,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Inverclyde,65-74 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Inverclyde,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Inverclyde,75-84 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Inverclyde,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Inverclyde,85+ years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Inverclyde,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Inverclyde,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Inverclyde,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Midlothian,All Ages,"Rate per 1,000 Social Care Clients",17.9,70
2017/18,Midlothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",18.5,70
2017/18,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients",12.8,10
2017/18,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",13.2,10
2017/18,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients",25.4,15
2017/18,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",25.7,15
2017/18,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients",13.1,15
2017/18,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",13.2,15
2017/18,Midlothian,85+ years,"Rate per 1,000 Social Care Clients",27.1,30
2017/18,Midlothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",27.2,30
2017/18,Midlothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Midlothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Midlothian,All Ages,"Rate per 1,000 Social Care Clients",12.8,50
2018/19,Midlothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",13,50
2018/19,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients",12.9,10
2018/19,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",13.1,10
2018/19,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients",27,15
2018/19,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",27.6,15
2018/19,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients",8.8,10
2018/19,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",9,10
2018/19,Midlothian,85+ years,"Rate per 1,000 Social Care Clients",18.5,20
2018/19,Midlothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",18.5,20
2018/19,Midlothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Midlothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Midlothian,All Ages,"Rate per 1,000 Social Care Clients",16.4,55
2019/20,Midlothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",17.4,55
2019/20,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients",15.9,10
2019/20,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",16.2,10
2019/20,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients",20.8,10
2019/20,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",21.6,10
2019/20,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients",13.4,15
2019/20,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",14.2,15
2019/20,Midlothian,85+ years,"Rate per 1,000 Social Care Clients",18.7,20
2019/20,Midlothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",20.6,20
2019/20,Midlothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,All Ages,"Rate per 1,000 Social Care Clients",12.6,45
2020/21,Midlothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",12.7,45
2020/21,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients",13.4,10
2020/21,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",13.6,10
2020/21,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients",19,10
2020/21,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",19,10
2020/21,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients",9.1,10
2020/21,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",9.1,10
2020/21,Midlothian,85+ years,"Rate per 1,000 Social Care Clients",14.2,15
2020/21,Midlothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",14.2,15
2020/21,Midlothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Midlothian,All Ages,"Rate per 1,000 Social Care Clients",12.5,45
2021/22,Midlothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",12.7,45
2021/22,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Midlothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients",13.3,10
2021/22,Midlothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",13.4,10
2021/22,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients",18.9,10
2021/22,Midlothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",19.2,10
2021/22,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients",9,10
2021/22,Midlothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",9.2,10
2021/22,Midlothian,85+ years,"Rate per 1,000 Social Care Clients",13.1,15
2021/22,Midlothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",13.4,15
2021/22,Midlothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Midlothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",40.7,290
2017/18,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",40.7,290
2017/18,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",27.1,35
2017/18,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",27.1,35
2017/18,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",46.3,50
2017/18,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",46.3,50
2017/18,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",42.2,100
2017/18,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",42.2,100
2017/18,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",44.6,100
2017/18,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",48.8,110
2017/18,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",454.5,5
2017/18,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",53.6,390
2018/19,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",53.6,390
2018/19,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",30.1,40
2018/19,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",30.1,40
2018/19,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",70.7,80
2018/19,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",70.7,80
2018/19,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",54.3,135
2018/19,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",54.3,135
2018/19,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",58.3,130
2018/19,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",62.4,140
2018/19,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",714.3,10
2018/19,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",40.2,290
2019/20,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",40.2,290
2019/20,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",21.8,25
2019/20,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",21.8,25
2019/20,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",53,60
2019/20,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",53,60
2019/20,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",38.3,95
2019/20,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",38.3,95
2019/20,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",48.9,115
2019/20,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",48.8,115
2019/20,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",14.6,110
2020/21,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",15.7,110
2020/21,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",7.4,10
2020/21,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",7.8,10
2020/21,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",24.6,30
2020/21,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",26.8,30
2020/21,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",15.9,40
2020/21,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",17,40
2020/21,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",13.1,30
2020/21,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",14.1,30
2020/21,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",46.2,345
2021/22,North Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",47.7,345
2021/22,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,North Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",25.8,35
2021/22,North Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",26.3,35
2021/22,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",51.1,60
2021/22,North Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",52.9,60
2021/22,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",50.1,125
2021/22,North Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",51.5,125
2021/22,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",51.7,120
2021/22,North Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",53.6,120
2021/22,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,North Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Renfrewshire,All Ages,"Rate per 1,000 Social Care Clients",81.1,595
2017/18,Renfrewshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",99.8,595
2017/18,Renfrewshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Renfrewshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Renfrewshire,18-64 years,"Rate per 1,000 Social Care Clients",36.6,45
2017/18,Renfrewshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",43.6,45
2017/18,Renfrewshire,65-74 years,"Rate per 1,000 Social Care Clients",80.4,95
2017/18,Renfrewshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",92.1,95
2017/18,Renfrewshire,75-84 years,"Rate per 1,000 Social Care Clients",80.6,205
2017/18,Renfrewshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",96.5,205
2017/18,Renfrewshire,85+ years,"Rate per 1,000 Social Care Clients",106,250
2017/18,Renfrewshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",142,250
2017/18,Renfrewshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Renfrewshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Renfrewshire,All Ages,"Rate per 1,000 Social Care Clients",111,850
2018/19,Renfrewshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",134,850
2018/19,Renfrewshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Renfrewshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Renfrewshire,18-64 years,"Rate per 1,000 Social Care Clients",66.1,90
2018/19,Renfrewshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",80,90
2018/19,Renfrewshire,65-74 years,"Rate per 1,000 Social Care Clients",111.8,135
2018/19,Renfrewshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",126.5,135
2018/19,Renfrewshire,75-84 years,"Rate per 1,000 Social Care Clients",106.8,285
2018/19,Renfrewshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",126.1,285
2018/19,Renfrewshire,85+ years,"Rate per 1,000 Social Care Clients",140.1,335
2018/19,Renfrewshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",180,340
2018/19,Renfrewshire,Unknown,"Rate per 1,000 Social Care Clients",384.6,5
2018/19,Renfrewshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Renfrewshire,All Ages,"Rate per 1,000 Social Care Clients",126.5,975
2019/20,Renfrewshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",152.4,975
2019/20,Renfrewshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Renfrewshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Renfrewshire,18-64 years,"Rate per 1,000 Social Care Clients",78.2,110
2019/20,Renfrewshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",89.4,110
2019/20,Renfrewshire,65-74 years,"Rate per 1,000 Social Care Clients",127.6,150
2019/20,Renfrewshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",146.2,150
2019/20,Renfrewshire,75-84 years,"Rate per 1,000 Social Care Clients",127.4,330
2019/20,Renfrewshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",152.7,330
2019/20,Renfrewshire,85+ years,"Rate per 1,000 Social Care Clients",153.4,385
2019/20,Renfrewshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",195.9,385
2019/20,Renfrewshire,Unknown,"Rate per 1,000 Social Care Clients",384.6,5
