financial_year,sending_location,age_group,ethnicity,measure,rate,nclient
2017/18,Falkirk,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",2.7,5
2017/18,Falkirk,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",2.8,5
2017/18,Falkirk,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",56.2,105
2017/18,Falkirk,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",58.8,105
2017/18,Falkirk,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",2.7,5
2017/18,Falkirk,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",2.8,5
2017/18,Falkirk,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,65-74 years,Asian,"Rate per 1,000 Social Care Clients",3.8,5
2017/18,Falkirk,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.1,5
2017/18,Falkirk,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,65-74 years,White,"Rate per 1,000 Social Care Clients",906.7,1195
2017/18,Falkirk,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",905.7,1105
2017/18,Falkirk,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",87.3,115
2017/18,Falkirk,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",94.3,115
2017/18,Falkirk,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,75-84 years,Asian,"Rate per 1,000 Social Care Clients",2,5
2017/18,Falkirk,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.2,5
2017/18,Falkirk,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,75-84 years,White,"Rate per 1,000 Social Care Clients",929.5,2360
2017/18,Falkirk,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",927.4,2145
2017/18,Falkirk,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",68.9,175
2017/18,Falkirk,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",69.2,160
2017/18,Falkirk,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,85+ years,Asian,"Rate per 1,000 Social Care Clients",2.4,5
2017/18,Falkirk,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.7,5
2017/18,Falkirk,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,85+ years,White,"Rate per 1,000 Social Care Clients",947.8,2015
2017/18,Falkirk,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",947.3,1725
2017/18,Falkirk,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",49.4,105
2017/18,Falkirk,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",49.4,90
2017/18,Falkirk,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,All Ages,Asian,"Rate per 1,000 Social Care Clients",4.3,35
2018/19,Falkirk,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.2,30
2018/19,Falkirk,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,All Ages,White,"Rate per 1,000 Social Care Clients",915.9,7395
2018/19,Falkirk,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",912.5,6550
2018/19,Falkirk,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0.6,5
2018/19,Falkirk,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0.7,5
2018/19,Falkirk,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",77.4,625
2018/19,Falkirk,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",81.5,585
2018/19,Falkirk,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",1.2,10
2018/19,Falkirk,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",1.4,10
2018/19,Falkirk,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,0-17 years,Asian,"Rate per 1,000 Social Care Clients",70.4,5
2018/19,Falkirk,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",70.4,5
2018/19,Falkirk,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,0-17 years,White,"Rate per 1,000 Social Care Clients",774.6,55
2018/19,Falkirk,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",774.6,55
2018/19,Falkirk,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",140.8,10
2018/19,Falkirk,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",140.8,10
2018/19,Falkirk,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,18-64 years,Asian,"Rate per 1,000 Social Care Clients",8.1,15
2018/19,Falkirk,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",8.6,15
2018/19,Falkirk,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,18-64 years,White,"Rate per 1,000 Social Care Clients",912.3,1685
2018/19,Falkirk,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",908.6,1590
2018/19,Falkirk,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",2.7,5
2018/19,Falkirk,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",2.9,5
2018/19,Falkirk,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",73.1,135
2018/19,Falkirk,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",77.1,135
2018/19,Falkirk,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",2.7,5
2018/19,Falkirk,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",2.9,5
2018/19,Falkirk,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,65-74 years,Asian,"Rate per 1,000 Social Care Clients",3.9,5
2018/19,Falkirk,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.2,5
2018/19,Falkirk,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,65-74 years,White,"Rate per 1,000 Social Care Clients",898.9,1165
2018/19,Falkirk,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",899.5,1065
2018/19,Falkirk,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",96.5,125
2018/19,Falkirk,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",97.1,115
2018/19,Falkirk,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,75-84 years,Asian,"Rate per 1,000 Social Care Clients",2,5
2018/19,Falkirk,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.2,5
2018/19,Falkirk,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,75-84 years,White,"Rate per 1,000 Social Care Clients",906.6,2320
2018/19,Falkirk,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",900.3,2050
2018/19,Falkirk,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",91.8,235
2018/19,Falkirk,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",96.6,220
2018/19,Falkirk,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,85+ years,Asian,"Rate per 1,000 Social Care Clients",2.2,5
2018/19,Falkirk,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.6,5
2018/19,Falkirk,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,85+ years,White,"Rate per 1,000 Social Care Clients",945.2,2175
2018/19,Falkirk,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",944.1,1790
2018/19,Falkirk,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",54.3,125
2018/19,Falkirk,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",55.4,105
2018/19,Falkirk,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,All Ages,Asian,"Rate per 1,000 Social Care Clients",4.2,35
2019/20,Falkirk,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.6,35
2019/20,Falkirk,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,All Ages,White,"Rate per 1,000 Social Care Clients",898.3,7560
2019/20,Falkirk,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",895.4,6865
2019/20,Falkirk,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.2,10
2019/20,Falkirk,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0.7,5
2019/20,Falkirk,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",95.1,800
2019/20,Falkirk,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",97.8,750
2019/20,Falkirk,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",1.2,10
2019/20,Falkirk,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",1.3,10
2019/20,Falkirk,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,0-17 years,White,"Rate per 1,000 Social Care Clients",810.8,60
2019/20,Falkirk,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",833.3,60
2019/20,Falkirk,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",202.7,15
2019/20,Falkirk,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",138.9,10
2019/20,Falkirk,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,18-64 years,Asian,"Rate per 1,000 Social Care Clients",10.3,20
2019/20,Falkirk,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",10.8,20
2019/20,Falkirk,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,18-64 years,White,"Rate per 1,000 Social Care Clients",892.3,1740
2019/20,Falkirk,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",889.7,1645
2019/20,Falkirk,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",2.6,5
2019/20,Falkirk,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",2.7,5
2019/20,Falkirk,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",89.7,175
2019/20,Falkirk,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",91.9,170
2019/20,Falkirk,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",5.1,10
2019/20,Falkirk,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",5.4,10
2019/20,Falkirk,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,65-74 years,Asian,"Rate per 1,000 Social Care Clients",3.8,5
2019/20,Falkirk,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.1,5
2019/20,Falkirk,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,65-74 years,White,"Rate per 1,000 Social Care Clients",881.2,1165
2019/20,Falkirk,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",876.8,1075
2019/20,Falkirk,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",117.2,155
2019/20,Falkirk,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",118.3,145
2019/20,Falkirk,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,75-84 years,Asian,"Rate per 1,000 Social Care Clients",1.9,5
2019/20,Falkirk,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.1,5
2019/20,Falkirk,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,75-84 years,White,"Rate per 1,000 Social Care Clients",888.4,2365
2019/20,Falkirk,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",884,2150
2019/20,Falkirk,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",108.9,290
2019/20,Falkirk,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",113.1,275
2019/20,Falkirk,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,85+ years,Asian,"Rate per 1,000 Social Care Clients",2.1,5
2019/20,Falkirk,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.4,5
2019/20,Falkirk,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,85+ years,White,"Rate per 1,000 Social Care Clients",928.5,2235
2019/20,Falkirk,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",926.7,1935
2019/20,Falkirk,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",70.6,170
2019/20,Falkirk,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",69.4,145
2019/20,Falkirk,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Falkirk,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Falkirk,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Falkirk,All Ages,Asian,"Rate per 1,000 Social Care Clients",4.4,35
2020/21,Falkirk,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.3,30
2020/21,Falkirk,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Falkirk,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Falkirk,All Ages,White,"Rate per 1,000 Social Care Clients",881.7,7080
2020/21,Falkirk,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",880,6195
2020/21,Falkirk,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.2,10
2020/21,Falkirk,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.4,10
2020/21,Falkirk,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",111.5,895
2020/21,Falkirk,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",112.9,795
2020/21,Falkirk,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",1.2,10
2020/21,Falkirk,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",1.4,10
2020/21,Falkirk,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Falkirk,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
