financial_year,sending_location,age_group,client_group,measure,rate,nclient
2019/20,East Dunbartonshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",51.7,75
2019/20,East Dunbartonshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",624.3,1105
2019/20,East Dunbartonshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",634,920
2019/20,East Dunbartonshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",217.5,385
2019/20,East Dunbartonshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",217.1,315
2019/20,East Dunbartonshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",110.2,195
2019/20,East Dunbartonshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",117.2,170
2019/20,East Dunbartonshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",241.8,500
2019/20,East Dunbartonshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",193.9,290
2019/20,East Dunbartonshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",505.3,1045
2019/20,East Dunbartonshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",501.3,750
2019/20,East Dunbartonshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",2.4,5
2019/20,East Dunbartonshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Dunbartonshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",53.2,110
2019/20,East Dunbartonshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",46.8,70
2019/20,East Dunbartonshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",742.3,1535
2019/20,East Dunbartonshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",748.7,1120
2019/20,East Dunbartonshire,85+ years,Other,"Rate per 1,000 Social Care Clients",147.5,305
2019/20,East Dunbartonshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",150.4,225
2019/20,East Dunbartonshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",58,120
2019/20,East Dunbartonshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",66.8,100
2019/20,East Dunbartonshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Dunbartonshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Dunbartonshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Dunbartonshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Dunbartonshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Dunbartonshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Dunbartonshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Dunbartonshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Dunbartonshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Dunbartonshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Dunbartonshire,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Dunbartonshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Dunbartonshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Dunbartonshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",138.6,930
2020/21,East Dunbartonshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",105.1,615
2020/21,East Dunbartonshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",271.2,1820
2020/21,East Dunbartonshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",257.3,1505
2020/21,East Dunbartonshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",63.3,425
2020/21,East Dunbartonshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",72.6,425
2020/21,East Dunbartonshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",78.2,525
2020/21,East Dunbartonshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",77.8,455
2020/21,East Dunbartonshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",419.5,2815
2020/21,East Dunbartonshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",397.4,2325
2020/21,East Dunbartonshire,All Ages,Other,"Rate per 1,000 Social Care Clients",335.3,2250
2020/21,East Dunbartonshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",347,2030
2020/21,East Dunbartonshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",94.6,635
2020/21,East Dunbartonshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",104.3,610
2020/21,East Dunbartonshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",114.3,20
2020/21,East Dunbartonshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",148.1,20
2020/21,East Dunbartonshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",28.6,5
2020/21,East Dunbartonshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",37,5
2020/21,East Dunbartonshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",28.6,5
2020/21,East Dunbartonshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",37,5
2020/21,East Dunbartonshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",771.4,135
2020/21,East Dunbartonshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",703.7,95
2020/21,East Dunbartonshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",85.7,15
2020/21,East Dunbartonshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",111.1,15
2020/21,East Dunbartonshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",2.5,5
2020/21,East Dunbartonshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2.6,5
2020/21,East Dunbartonshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",182.5,365
2020/21,East Dunbartonshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",186.2,365
2020/21,East Dunbartonshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",122.5,245
2020/21,East Dunbartonshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",122.4,240
2020/21,East Dunbartonshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",110,220
2020/21,East Dunbartonshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",107.1,210
2020/21,East Dunbartonshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",597.5,1195
2020/21,East Dunbartonshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",599.5,1175
2020/21,East Dunbartonshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",132.5,265
2020/21,East Dunbartonshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",132.7,260
2020/21,East Dunbartonshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",101.4,70
2020/21,East Dunbartonshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",95.2,60
2020/21,East Dunbartonshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",195.7,135
2020/21,East Dunbartonshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",206.3,130
2020/21,East Dunbartonshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",29,20
2020/21,East Dunbartonshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",31.7,20
2020/21,East Dunbartonshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",101.4,70
2020/21,East Dunbartonshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",95.2,60
2020/21,East Dunbartonshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",492.8,340
2020/21,East Dunbartonshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",484.1,305
2020/21,East Dunbartonshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",333.3,230
2020/21,East Dunbartonshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",317.5,200
2020/21,East Dunbartonshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",108.7,75
2020/21,East Dunbartonshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",119,75
2020/21,East Dunbartonshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",211.4,370
2020/21,East Dunbartonshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",176.7,265
2020/21,East Dunbartonshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",348.6,610
2020/21,East Dunbartonshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",356.7,535
2020/21,East Dunbartonshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",8.6,15
2020/21,East Dunbartonshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",10,15
2020/21,East Dunbartonshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",54.3,95
2020/21,East Dunbartonshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",46.7,70
2020/21,East Dunbartonshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",531.4,930
2020/21,East Dunbartonshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",523.3,785
2020/21,East Dunbartonshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",222.9,390
2020/21,East Dunbartonshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",223.3,335
2020/21,East Dunbartonshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",94.3,165
2020/21,East Dunbartonshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",103.3,155
2020/21,East Dunbartonshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",233.9,490
2020/21,East Dunbartonshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",177.9,290
2020/21,East Dunbartonshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",510.7,1070
2020/21,East Dunbartonshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",515.3,840
2020/21,East Dunbartonshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",2.4,5
2020/21,East Dunbartonshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3.1,5
2020/21,East Dunbartonshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",54.9,115
2020/21,East Dunbartonshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",46,75
2020/21,East Dunbartonshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",627.7,1315
2020/21,East Dunbartonshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",625.8,1020
2020/21,East Dunbartonshire,85+ years,Other,"Rate per 1,000 Social Care Clients",143.2,300
2020/21,East Dunbartonshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",138,225
2020/21,East Dunbartonshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",54.9,115
2020/21,East Dunbartonshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",64.4,105
2020/21,East Dunbartonshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Dunbartonshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Dunbartonshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",122.2,890
2021/22,East Dunbartonshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",109.2,745
2021/22,East Dunbartonshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",223.7,1630
2021/22,East Dunbartonshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",218.5,1490
2021/22,East Dunbartonshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",54.9,400
2021/22,East Dunbartonshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",57.9,395
2021/22,East Dunbartonshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",69.3,505
2021/22,East Dunbartonshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",69.6,475
2021/22,East Dunbartonshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",357.6,2605
2021/22,East Dunbartonshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",353.4,2410
2021/22,East Dunbartonshire,All Ages,Other,"Rate per 1,000 Social Care Clients",343.2,2500
2021/22,East Dunbartonshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",340.9,2325
2021/22,East Dunbartonshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",107.8,785
2021/22,East Dunbartonshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",112.2,765
2021/22,East Dunbartonshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",125,20
2021/22,East Dunbartonshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",142.9,15
2021/22,East Dunbartonshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",31.2,5
2021/22,East Dunbartonshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",47.6,5
2021/22,East Dunbartonshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",875,140
2021/22,East Dunbartonshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",809.5,85
2021/22,East Dunbartonshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",62.5,10
2021/22,East Dunbartonshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",95.2,10
2021/22,East Dunbartonshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",2.2,5
2021/22,East Dunbartonshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2.3,5
2021/22,East Dunbartonshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",2.2,5
2021/22,East Dunbartonshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",2.3,5
2021/22,East Dunbartonshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",154,345
2021/22,East Dunbartonshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",158.6,345
2021/22,East Dunbartonshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",104.9,235
2021/22,East Dunbartonshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",108,235
2021/22,East Dunbartonshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",100.4,225
2021/22,East Dunbartonshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",101.1,220
2021/22,East Dunbartonshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",616.1,1380
2021/22,East Dunbartonshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",613.8,1335
2021/22,East Dunbartonshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",131.7,295
2021/22,East Dunbartonshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",133.3,290
2021/22,East Dunbartonshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",83.3,70
2021/22,East Dunbartonshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",73.2,60
2021/22,East Dunbartonshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",160.7,135
2021/22,East Dunbartonshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",158.5,130
2021/22,East Dunbartonshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",23.8,20
2021/22,East Dunbartonshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",24.4,20
2021/22,East Dunbartonshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",83.3,70
2021/22,East Dunbartonshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",79.3,65
2021/22,East Dunbartonshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",452.4,380
2021/22,East Dunbartonshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",451.2,370
2021/22,East Dunbartonshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",309.5,260
2021/22,East Dunbartonshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",311,255
2021/22,East Dunbartonshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",136.9,115
2021/22,East Dunbartonshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",140.2,115
2021/22,East Dunbartonshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",183.8,340
2021/22,East Dunbartonshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",167.6,290
2021/22,East Dunbartonshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",286.5,530
2021/22,East Dunbartonshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",289,500
2021/22,East Dunbartonshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",8.1,15
2021/22,East Dunbartonshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",8.7,15
2021/22,East Dunbartonshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",48.6,90
2021/22,East Dunbartonshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",49.1,85
2021/22,East Dunbartonshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",448.6,830
2021/22,East Dunbartonshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",448,775
2021/22,East Dunbartonshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",216.2,400
2021/22,East Dunbartonshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",213.9,370
2021/22,East Dunbartonshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",108.1,200
2021/22,East Dunbartonshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",109.8,190
2021/22,East Dunbartonshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",216.9,475
2021/22,East Dunbartonshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",195.5,390
2021/22,East Dunbartonshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",436.1,955
2021/22,East Dunbartonshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",428.6,855
2021/22,East Dunbartonshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",47.9,105
2021/22,East Dunbartonshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",45.1,90
2021/22,East Dunbartonshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",529.7,1160
2021/22,East Dunbartonshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",521.3,1040
2021/22,East Dunbartonshire,85+ years,Other,"Rate per 1,000 Social Care Clients",143.8,315
2021/22,East Dunbartonshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",140.4,280
2021/22,East Dunbartonshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",75.3,165
2021/22,East Dunbartonshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",80.2,160
2021/22,East Dunbartonshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Dunbartonshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Dunbartonshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Lothian,All Ages,Dementia,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Lothian,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Lothian,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",722.2,2730
2017/18,East Lothian,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",712.4,2380
2017/18,East Lothian,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",101.9,385
2017/18,East Lothian,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",107.8,360
2017/18,East Lothian,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",51.6,195
2017/18,East Lothian,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",44.9,150
2017/18,East Lothian,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",75.4,285
2017/18,East Lothian,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",80.8,270
2017/18,East Lothian,All Ages,Other,"Rate per 1,000 Social Care Clients",21.2,80
2017/18,East Lothian,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",23.9,80
2017/18,East Lothian,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",26.5,100
2017/18,East Lothian,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",29.9,100
2017/18,East Lothian,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Lothian,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Lothian,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Lothian,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Lothian,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",263.2,10
2017/18,East Lothian,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",263.2,10
2017/18,East Lothian,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",131.6,5
2017/18,East Lothian,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",131.6,5
2017/18,East Lothian,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Lothian,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Lothian,0-17 years,Other,"Rate per 1,000 Social Care Clients",394.7,15
2017/18,East Lothian,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",394.7,15
2017/18,East Lothian,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",131.6,5
2017/18,East Lothian,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",131.6,5
2017/18,East Lothian,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Lothian,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
