financial_year,sending_location,age_group,service_group,nclient
2018/19,Fife,All Ages,Day Care,505
2018/19,Fife,0-17 years,Day Care,5
2018/19,Fife,18-64 years,Day Care,305
2018/19,Fife,65-74 years,Day Care,50
2018/19,Fife,75-84 years,Day Care,75
2018/19,Fife,85+ years,Day Care,70
2018/19,Fife,Unknown,Day Care,0
2018/19,Fife,All Ages,Housing Support,235
2018/19,Fife,0-17 years,Housing Support,10
2018/19,Fife,18-64 years,Housing Support,125
2018/19,Fife,65-74 years,Housing Support,35
2018/19,Fife,75-84 years,Housing Support,30
2018/19,Fife,85+ years,Housing Support,35
2018/19,Fife,Unknown,Housing Support,0
2018/19,Fife,All Ages,Meals,485
2018/19,Fife,0-17 years,Meals,0
2018/19,Fife,18-64 years,Meals,50
2018/19,Fife,65-74 years,Meals,85
2018/19,Fife,75-84 years,Meals,180
2018/19,Fife,85+ years,Meals,170
2018/19,Fife,Unknown,Meals,0
2018/19,Fife,All Ages,Social Worker,16220
2018/19,Fife,0-17 years,Social Worker,155
2018/19,Fife,18-64 years,Social Worker,2815
2018/19,Fife,65-74 years,Social Worker,2400
2018/19,Fife,75-84 years,Social Worker,5225
2018/19,Fife,85+ years,Social Worker,5615
2018/19,Fife,Unknown,Social Worker,10
2019/20,Fife,All Ages,Care Home,4260
2019/20,Fife,0-17 years,Care Home,45
2019/20,Fife,18-64 years,Care Home,430
2019/20,Fife,65-74 years,Care Home,465
2019/20,Fife,75-84 years,Care Home,1290
2019/20,Fife,85+ years,Care Home,2030
2019/20,Fife,Unknown,Care Home,0
2019/20,Fife,All Ages,Care at Home,4710
2019/20,Fife,0-17 years,Care at Home,15
2019/20,Fife,18-64 years,Care at Home,1195
2019/20,Fife,65-74 years,Care at Home,695
2019/20,Fife,75-84 years,Care at Home,1325
2019/20,Fife,85+ years,Care at Home,1475
2019/20,Fife,Unknown,Care at Home,0
2019/20,Fife,All Ages,Community Alarms / Telecare,9915
2019/20,Fife,0-17 years,Community Alarms / Telecare,70
2019/20,Fife,18-64 years,Community Alarms / Telecare,1360
2019/20,Fife,65-74 years,Community Alarms / Telecare,1590
2019/20,Fife,75-84 years,Community Alarms / Telecare,3420
2019/20,Fife,85+ years,Community Alarms / Telecare,3475
2019/20,Fife,Unknown,Community Alarms / Telecare,0
2019/20,Fife,All Ages,Day Care,770
2019/20,Fife,0-17 years,Day Care,0
2019/20,Fife,18-64 years,Day Care,350
2019/20,Fife,65-74 years,Day Care,85
2019/20,Fife,75-84 years,Day Care,160
2019/20,Fife,85+ years,Day Care,175
2019/20,Fife,Unknown,Day Care,0
2019/20,Fife,All Ages,Housing Support,525
2019/20,Fife,0-17 years,Housing Support,0
2019/20,Fife,18-64 years,Housing Support,430
2019/20,Fife,65-74 years,Housing Support,60
2019/20,Fife,75-84 years,Housing Support,20
2019/20,Fife,85+ years,Housing Support,10
2019/20,Fife,Unknown,Housing Support,0
2019/20,Fife,All Ages,Meals,1260
2019/20,Fife,0-17 years,Meals,0
2019/20,Fife,18-64 years,Meals,80
2019/20,Fife,65-74 years,Meals,160
2019/20,Fife,75-84 years,Meals,420
2019/20,Fife,85+ years,Meals,600
2019/20,Fife,Unknown,Meals,0
2019/20,Fife,All Ages,Social Worker,15655
2019/20,Fife,0-17 years,Social Worker,160
2019/20,Fife,18-64 years,Social Worker,2775
2019/20,Fife,65-74 years,Social Worker,2315
2019/20,Fife,75-84 years,Social Worker,4925
2019/20,Fife,85+ years,Social Worker,5470
2019/20,Fife,Unknown,Social Worker,0
2020/21,Fife,All Ages,Care Home,3460
2020/21,Fife,0-17 years,Care Home,5
2020/21,Fife,18-64 years,Care Home,295
2020/21,Fife,65-74 years,Care Home,345
2020/21,Fife,75-84 years,Care Home,1070
2020/21,Fife,85+ years,Care Home,1750
2020/21,Fife,Unknown,Care Home,0
2020/21,Fife,All Ages,Care at Home,4985
2020/21,Fife,0-17 years,Care at Home,15
2020/21,Fife,18-64 years,Care at Home,1230
2020/21,Fife,65-74 years,Care at Home,740
2020/21,Fife,75-84 years,Care at Home,1435
2020/21,Fife,85+ years,Care at Home,1560
2020/21,Fife,Unknown,Care at Home,0
2020/21,Fife,All Ages,Community Alarms / Telecare,10610
2020/21,Fife,0-17 years,Community Alarms / Telecare,80
2020/21,Fife,18-64 years,Community Alarms / Telecare,1420
2020/21,Fife,65-74 years,Community Alarms / Telecare,1680
2020/21,Fife,75-84 years,Community Alarms / Telecare,3645
2020/21,Fife,85+ years,Community Alarms / Telecare,3785
2020/21,Fife,Unknown,Community Alarms / Telecare,0
2020/21,Fife,All Ages,Meals,1550
2020/21,Fife,0-17 years,Meals,0
2020/21,Fife,18-64 years,Meals,140
2020/21,Fife,65-74 years,Meals,190
2020/21,Fife,75-84 years,Meals,520
2020/21,Fife,85+ years,Meals,700
2020/21,Fife,Unknown,Meals,0
2020/21,Fife,All Ages,Social Worker,16265
2020/21,Fife,0-17 years,Social Worker,195
2020/21,Fife,18-64 years,Social Worker,3115
2020/21,Fife,65-74 years,Social Worker,2350
2020/21,Fife,75-84 years,Social Worker,5015
2020/21,Fife,85+ years,Social Worker,5585
2020/21,Fife,Unknown,Social Worker,0
2021/22,Fife,All Ages,Care Home,3665
2021/22,Fife,0-17 years,Care Home,0
2021/22,Fife,18-64 years,Care Home,390
2021/22,Fife,65-74 years,Care Home,375
2021/22,Fife,75-84 years,Care Home,1100
2021/22,Fife,85+ years,Care Home,1805
2021/22,Fife,Unknown,Care Home,0
2021/22,Fife,All Ages,Care at Home,4515
2021/22,Fife,0-17 years,Care at Home,15
2021/22,Fife,18-64 years,Care at Home,995
2021/22,Fife,65-74 years,Care at Home,695
2021/22,Fife,75-84 years,Care at Home,1340
2021/22,Fife,85+ years,Care at Home,1475
2021/22,Fife,Unknown,Care at Home,0
2021/22,Fife,All Ages,Community Alarms / Telecare,10520
2021/22,Fife,0-17 years,Community Alarms / Telecare,80
2021/22,Fife,18-64 years,Community Alarms / Telecare,1400
2021/22,Fife,65-74 years,Community Alarms / Telecare,1635
2021/22,Fife,75-84 years,Community Alarms / Telecare,3530
2021/22,Fife,85+ years,Community Alarms / Telecare,3870
2021/22,Fife,Unknown,Community Alarms / Telecare,0
2021/22,Fife,All Ages,Meals,1400
2021/22,Fife,0-17 years,Meals,0
2021/22,Fife,18-64 years,Meals,135
2021/22,Fife,65-74 years,Meals,180
2021/22,Fife,75-84 years,Meals,430
2021/22,Fife,85+ years,Meals,655
2021/22,Fife,Unknown,Meals,0
2021/22,Fife,All Ages,Social Worker,16230
2021/22,Fife,0-17 years,Social Worker,195
2021/22,Fife,18-64 years,Social Worker,3070
2021/22,Fife,65-74 years,Social Worker,2365
2021/22,Fife,75-84 years,Social Worker,4980
2021/22,Fife,85+ years,Social Worker,5620
2021/22,Fife,Unknown,Social Worker,0
2018/19,Glasgow City,All Ages,Care Home,5465
2018/19,Glasgow City,0-17 years,Care Home,0
2018/19,Glasgow City,18-64 years,Care Home,965
2018/19,Glasgow City,65-74 years,Care Home,710
2018/19,Glasgow City,75-84 years,Care Home,1605
2018/19,Glasgow City,85+ years,Care Home,2180
2018/19,Glasgow City,Unknown,Care Home,0
2018/19,Glasgow City,All Ages,Care at Home,9310
2018/19,Glasgow City,0-17 years,Care at Home,20
2018/19,Glasgow City,18-64 years,Care at Home,630
2018/19,Glasgow City,65-74 years,Care at Home,1650
2018/19,Glasgow City,75-84 years,Care at Home,3660
2018/19,Glasgow City,85+ years,Care at Home,3355
2018/19,Glasgow City,Unknown,Care at Home,0
2018/19,Glasgow City,All Ages,Community Alarms / Telecare,9945
2018/19,Glasgow City,0-17 years,Community Alarms / Telecare,35
2018/19,Glasgow City,18-64 years,Community Alarms / Telecare,1210
2018/19,Glasgow City,65-74 years,Community Alarms / Telecare,1640
2018/19,Glasgow City,75-84 years,Community Alarms / Telecare,3555
2018/19,Glasgow City,85+ years,Community Alarms / Telecare,3505
2018/19,Glasgow City,Unknown,Community Alarms / Telecare,0
2018/19,Glasgow City,All Ages,Day Care,845
2018/19,Glasgow City,0-17 years,Day Care,5
2018/19,Glasgow City,18-64 years,Day Care,150
2018/19,Glasgow City,65-74 years,Day Care,100
2018/19,Glasgow City,75-84 years,Day Care,290
2018/19,Glasgow City,85+ years,Day Care,300
2018/19,Glasgow City,Unknown,Day Care,0
2018/19,Glasgow City,All Ages,Housing Support,305
2018/19,Glasgow City,0-17 years,Housing Support,0
2018/19,Glasgow City,18-64 years,Housing Support,55
2018/19,Glasgow City,65-74 years,Housing Support,60
2018/19,Glasgow City,75-84 years,Housing Support,95
2018/19,Glasgow City,85+ years,Housing Support,95
2018/19,Glasgow City,Unknown,Housing Support,0
2018/19,Glasgow City,All Ages,Meals,565
2018/19,Glasgow City,0-17 years,Meals,0
2018/19,Glasgow City,18-64 years,Meals,15
2018/19,Glasgow City,65-74 years,Meals,105
2018/19,Glasgow City,75-84 years,Meals,215
2018/19,Glasgow City,85+ years,Meals,235
2018/19,Glasgow City,Unknown,Meals,0
2018/19,Glasgow City,All Ages,Social Worker,17480
2018/19,Glasgow City,0-17 years,Social Worker,270
2018/19,Glasgow City,18-64 years,Social Worker,4185
2018/19,Glasgow City,65-74 years,Social Worker,2715
2018/19,Glasgow City,75-84 years,Social Worker,5145
2018/19,Glasgow City,85+ years,Social Worker,5165
2018/19,Glasgow City,Unknown,Social Worker,0
2019/20,Glasgow City,All Ages,Care Home,6015
2019/20,Glasgow City,0-17 years,Care Home,0
2019/20,Glasgow City,18-64 years,Care Home,990
2019/20,Glasgow City,65-74 years,Care Home,765
2019/20,Glasgow City,75-84 years,Care Home,1825
2019/20,Glasgow City,85+ years,Care Home,2430
2019/20,Glasgow City,Unknown,Care Home,0
2019/20,Glasgow City,All Ages,Care at Home,9840
2019/20,Glasgow City,0-17 years,Care at Home,15
2019/20,Glasgow City,18-64 years,Care at Home,960
2019/20,Glasgow City,65-74 years,Care at Home,1770
2019/20,Glasgow City,75-84 years,Care at Home,3665
2019/20,Glasgow City,85+ years,Care at Home,3435
2019/20,Glasgow City,Unknown,Care at Home,0
2019/20,Glasgow City,All Ages,Community Alarms / Telecare,10045
2019/20,Glasgow City,0-17 years,Community Alarms / Telecare,50
2019/20,Glasgow City,18-64 years,Community Alarms / Telecare,1265
2019/20,Glasgow City,65-74 years,Community Alarms / Telecare,1660
2019/20,Glasgow City,75-84 years,Community Alarms / Telecare,3550
2019/20,Glasgow City,85+ years,Community Alarms / Telecare,3520
2019/20,Glasgow City,Unknown,Community Alarms / Telecare,0
2019/20,Glasgow City,All Ages,Day Care,725
2019/20,Glasgow City,0-17 years,Day Care,0
2019/20,Glasgow City,18-64 years,Day Care,90
2019/20,Glasgow City,65-74 years,Day Care,80
2019/20,Glasgow City,75-84 years,Day Care,270
2019/20,Glasgow City,85+ years,Day Care,290
2019/20,Glasgow City,Unknown,Day Care,0
2019/20,Glasgow City,All Ages,Housing Support,145
2019/20,Glasgow City,0-17 years,Housing Support,0
2019/20,Glasgow City,18-64 years,Housing Support,0
2019/20,Glasgow City,65-74 years,Housing Support,30
2019/20,Glasgow City,75-84 years,Housing Support,55
2019/20,Glasgow City,85+ years,Housing Support,55
2019/20,Glasgow City,Unknown,Housing Support,0
2019/20,Glasgow City,All Ages,Meals,740
2019/20,Glasgow City,0-17 years,Meals,0
2019/20,Glasgow City,18-64 years,Meals,55
2019/20,Glasgow City,65-74 years,Meals,125
2019/20,Glasgow City,75-84 years,Meals,255
2019/20,Glasgow City,85+ years,Meals,305
2019/20,Glasgow City,Unknown,Meals,0
2019/20,Glasgow City,All Ages,Social Worker,17880
2019/20,Glasgow City,0-17 years,Social Worker,285
2019/20,Glasgow City,18-64 years,Social Worker,4540
2019/20,Glasgow City,65-74 years,Social Worker,2805
2019/20,Glasgow City,75-84 years,Social Worker,5105
2019/20,Glasgow City,85+ years,Social Worker,5145
2019/20,Glasgow City,Unknown,Social Worker,0
2020/21,Glasgow City,All Ages,Care Home,5615
2020/21,Glasgow City,0-17 years,Care Home,0
2020/21,Glasgow City,18-64 years,Care Home,990
2020/21,Glasgow City,65-74 years,Care Home,720
2020/21,Glasgow City,75-84 years,Care Home,1585
2020/21,Glasgow City,85+ years,Care Home,2325
2020/21,Glasgow City,Unknown,Care Home,0
2020/21,Glasgow City,All Ages,Care at Home,9470
2020/21,Glasgow City,0-17 years,Care at Home,10
2020/21,Glasgow City,18-64 years,Care at Home,1160
2020/21,Glasgow City,65-74 years,Care at Home,1680
2020/21,Glasgow City,75-84 years,Care at Home,3345
2020/21,Glasgow City,85+ years,Care at Home,3275
2020/21,Glasgow City,Unknown,Care at Home,0
2020/21,Glasgow City,All Ages,Community Alarms / Telecare,9675
2020/21,Glasgow City,0-17 years,Community Alarms / Telecare,60
2020/21,Glasgow City,18-64 years,Community Alarms / Telecare,1255
2020/21,Glasgow City,65-74 years,Community Alarms / Telecare,1585
2020/21,Glasgow City,75-84 years,Community Alarms / Telecare,3345
2020/21,Glasgow City,85+ years,Community Alarms / Telecare,3430
2020/21,Glasgow City,Unknown,Community Alarms / Telecare,0
2020/21,Glasgow City,All Ages,Day Care,220
2020/21,Glasgow City,0-17 years,Day Care,0
2020/21,Glasgow City,18-64 years,Day Care,45
2020/21,Glasgow City,65-74 years,Day Care,25
2020/21,Glasgow City,75-84 years,Day Care,80
2020/21,Glasgow City,85+ years,Day Care,65
2020/21,Glasgow City,Unknown,Day Care,0
2020/21,Glasgow City,All Ages,Meals,830
2020/21,Glasgow City,0-17 years,Meals,0
2020/21,Glasgow City,18-64 years,Meals,95
2020/21,Glasgow City,65-74 years,Meals,140
2020/21,Glasgow City,75-84 years,Meals,265
2020/21,Glasgow City,85+ years,Meals,325
2020/21,Glasgow City,Unknown,Meals,0
2020/21,Glasgow City,All Ages,Social Worker,17440
2020/21,Glasgow City,0-17 years,Social Worker,305
2020/21,Glasgow City,18-64 years,Social Worker,4760
2020/21,Glasgow City,65-74 years,Social Worker,2640
2020/21,Glasgow City,75-84 years,Social Worker,4705
2020/21,Glasgow City,85+ years,Social Worker,5030
2020/21,Glasgow City,Unknown,Social Worker,0
2021/22,Glasgow City,All Ages,Care Home,5385
2021/22,Glasgow City,0-17 years,Care Home,0
2021/22,Glasgow City,18-64 years,Care Home,980
2021/22,Glasgow City,65-74 years,Care Home,745
2021/22,Glasgow City,75-84 years,Care Home,1550
2021/22,Glasgow City,85+ years,Care Home,2110
2021/22,Glasgow City,Unknown,Care Home,0
2021/22,Glasgow City,All Ages,Care at Home,9645
2021/22,Glasgow City,0-17 years,Care at Home,10
2021/22,Glasgow City,18-64 years,Care at Home,1305
2021/22,Glasgow City,65-74 years,Care at Home,1810
2021/22,Glasgow City,75-84 years,Care at Home,3260
2021/22,Glasgow City,85+ years,Care at Home,3260
2021/22,Glasgow City,Unknown,Care at Home,0
2021/22,Glasgow City,All Ages,Community Alarms / Telecare,9870
2021/22,Glasgow City,0-17 years,Community Alarms / Telecare,75
2021/22,Glasgow City,18-64 years,Community Alarms / Telecare,1390
2021/22,Glasgow City,65-74 years,Community Alarms / Telecare,1695
2021/22,Glasgow City,75-84 years,Community Alarms / Telecare,3305
2021/22,Glasgow City,85+ years,Community Alarms / Telecare,3405
2021/22,Glasgow City,Unknown,Community Alarms / Telecare,0
2021/22,Glasgow City,All Ages,Day Care,110
2021/22,Glasgow City,0-17 years,Day Care,0
2021/22,Glasgow City,18-64 years,Day Care,25
2021/22,Glasgow City,65-74 years,Day Care,15
2021/22,Glasgow City,75-84 years,Day Care,40
2021/22,Glasgow City,85+ years,Day Care,30
2021/22,Glasgow City,Unknown,Day Care,0
2021/22,Glasgow City,All Ages,Meals,780
2021/22,Glasgow City,0-17 years,Meals,0
2021/22,Glasgow City,18-64 years,Meals,95
2021/22,Glasgow City,65-74 years,Meals,130
2021/22,Glasgow City,75-84 years,Meals,240
2021/22,Glasgow City,85+ years,Meals,310
2021/22,Glasgow City,Unknown,Meals,0
2021/22,Glasgow City,All Ages,Social Worker,17770
2021/22,Glasgow City,0-17 years,Social Worker,405
2021/22,Glasgow City,18-64 years,Social Worker,4865
2021/22,Glasgow City,65-74 years,Social Worker,2845
2021/22,Glasgow City,75-84 years,Social Worker,4685
2021/22,Glasgow City,85+ years,Social Worker,4970
2021/22,Glasgow City,Unknown,Social Worker,0
2017/18,Highland,All Ages,Care Home,2030
2017/18,Highland,0-17 years,Care Home,0
2017/18,Highland,18-64 years,Care Home,225
2017/18,Highland,65-74 years,Care Home,210
2017/18,Highland,75-84 years,Care Home,590
2017/18,Highland,85+ years,Care Home,1000
2017/18,Highland,Unknown,Care Home,0
2017/18,Highland,All Ages,Care at Home,2170
2017/18,Highland,0-17 years,Care at Home,0
2017/18,Highland,18-64 years,Care at Home,240
2017/18,Highland,65-74 years,Care at Home,320
2017/18,Highland,75-84 years,Care at Home,735
2017/18,Highland,85+ years,Care at Home,880
2017/18,Highland,Unknown,Care at Home,0
2017/18,Highland,All Ages,Community Alarms / Telecare,3340
2017/18,Highland,0-17 years,Community Alarms / Telecare,35
2017/18,Highland,18-64 years,Community Alarms / Telecare,390
2017/18,Highland,65-74 years,Community Alarms / Telecare,315
2017/18,Highland,75-84 years,Community Alarms / Telecare,1065
2017/18,Highland,85+ years,Community Alarms / Telecare,1535
2017/18,Highland,Unknown,Community Alarms / Telecare,0
2017/18,Highland,All Ages,Day Care,560
2017/18,Highland,0-17 years,Day Care,0
2017/18,Highland,18-64 years,Day Care,140
2017/18,Highland,65-74 years,Day Care,50
2017/18,Highland,75-84 years,Day Care,155
2017/18,Highland,85+ years,Day Care,215
2017/18,Highland,Unknown,Day Care,0
2017/18,Highland,All Ages,Housing Support,995
2017/18,Highland,0-17 years,Housing Support,0
2017/18,Highland,18-64 years,Housing Support,480
2017/18,Highland,65-74 years,Housing Support,225
2017/18,Highland,75-84 years,Housing Support,195
2017/18,Highland,85+ years,Housing Support,95
2017/18,Highland,Unknown,Housing Support,0
2017/18,Highland,All Ages,Meals,310
2017/18,Highland,0-17 years,Meals,0
2017/18,Highland,18-64 years,Meals,15
2017/18,Highland,65-74 years,Meals,40
2017/18,Highland,75-84 years,Meals,110
2017/18,Highland,85+ years,Meals,140
2017/18,Highland,Unknown,Meals,0
2017/18,Highland,All Ages,Social Worker,5940
2017/18,Highland,0-17 years,Social Worker,220
2017/18,Highland,18-64 years,Social Worker,1530
2017/18,Highland,65-74 years,Social Worker,675
2017/18,Highland,75-84 years,Social Worker,1460
2017/18,Highland,85+ years,Social Worker,2055
2017/18,Highland,Unknown,Social Worker,0
2018/19,Highland,All Ages,Care Home,2555
2018/19,Highland,0-17 years,Care Home,0
2018/19,Highland,18-64 years,Care Home,265
2018/19,Highland,65-74 years,Care Home,265
2018/19,Highland,75-84 years,Care Home,735
2018/19,Highland,85+ years,Care Home,1290
2018/19,Highland,Unknown,Care Home,0
2018/19,Highland,All Ages,Care at Home,2870
2018/19,Highland,0-17 years,Care at Home,0
2018/19,Highland,18-64 years,Care at Home,285
2018/19,Highland,65-74 years,Care at Home,400
2018/19,Highland,75-84 years,Care at Home,950
2018/19,Highland,85+ years,Care at Home,1235
2018/19,Highland,Unknown,Care at Home,0
2018/19,Highland,All Ages,Community Alarms / Telecare,3500
2018/19,Highland,0-17 years,Community Alarms / Telecare,50
2018/19,Highland,18-64 years,Community Alarms / Telecare,430
2018/19,Highland,65-74 years,Community Alarms / Telecare,340
2018/19,Highland,75-84 years,Community Alarms / Telecare,1095
2018/19,Highland,85+ years,Community Alarms / Telecare,1580
2018/19,Highland,Unknown,Community Alarms / Telecare,0
2018/19,Highland,All Ages,Day Care,530
2018/19,Highland,0-17 years,Day Care,0
2018/19,Highland,18-64 years,Day Care,135
2018/19,Highland,65-74 years,Day Care,50
2018/19,Highland,75-84 years,Day Care,140
2018/19,Highland,85+ years,Day Care,200
2018/19,Highland,Unknown,Day Care,0
2018/19,Highland,All Ages,Housing Support,605
2018/19,Highland,0-17 years,Housing Support,0
2018/19,Highland,18-64 years,Housing Support,390
2018/19,Highland,65-74 years,Housing Support,95
2018/19,Highland,75-84 years,Housing Support,70
2018/19,Highland,85+ years,Housing Support,45
2018/19,Highland,Unknown,Housing Support,0
2018/19,Highland,All Ages,Meals,265
2018/19,Highland,0-17 years,Meals,0
2018/19,Highland,18-64 years,Meals,10
2018/19,Highland,65-74 years,Meals,40
2018/19,Highland,75-84 years,Meals,85
2018/19,Highland,85+ years,Meals,125
2018/19,Highland,Unknown,Meals,0
2018/19,Highland,All Ages,Social Worker,6310
2018/19,Highland,0-17 years,Social Worker,45
2018/19,Highland,18-64 years,Social Worker,1350
2018/19,Highland,65-74 years,Social Worker,740
2018/19,Highland,75-84 years,Social Worker,1680
2018/19,Highland,85+ years,Social Worker,2495
2018/19,Highland,Unknown,Social Worker,0
2019/20,Highland,All Ages,Care Home,2665
2019/20,Highland,0-17 years,Care Home,5
2019/20,Highland,18-64 years,Care Home,265
2019/20,Highland,65-74 years,Care Home,270
2019/20,Highland,75-84 years,Care Home,775
2019/20,Highland,85+ years,Care Home,1345
2019/20,Highland,Unknown,Care Home,0
2019/20,Highland,All Ages,Care at Home,2865
2019/20,Highland,0-17 years,Care at Home,0
2019/20,Highland,18-64 years,Care at Home,255
2019/20,Highland,65-74 years,Care at Home,410
2019/20,Highland,75-84 years,Care at Home,940
2019/20,Highland,85+ years,Care at Home,1265
2019/20,Highland,Unknown,Care at Home,0
2019/20,Highland,All Ages,Community Alarms / Telecare,3680
2019/20,Highland,0-17 years,Community Alarms / Telecare,55
2019/20,Highland,18-64 years,Community Alarms / Telecare,450
2019/20,Highland,65-74 years,Community Alarms / Telecare,365
2019/20,Highland,75-84 years,Community Alarms / Telecare,1155
2019/20,Highland,85+ years,Community Alarms / Telecare,1655
2019/20,Highland,Unknown,Community Alarms / Telecare,0
2019/20,Highland,All Ages,Day Care,335
2019/20,Highland,0-17 years,Day Care,0
2019/20,Highland,18-64 years,Day Care,65
2019/20,Highland,65-74 years,Day Care,35
2019/20,Highland,75-84 years,Day Care,95
2019/20,Highland,85+ years,Day Care,145
2019/20,Highland,Unknown,Day Care,0
2019/20,Highland,All Ages,Housing Support,535
2019/20,Highland,0-17 years,Housing Support,0
2019/20,Highland,18-64 years,Housing Support,380
2019/20,Highland,65-74 years,Housing Support,95
2019/20,Highland,75-84 years,Housing Support,45
2019/20,Highland,85+ years,Housing Support,15
2019/20,Highland,Unknown,Housing Support,0
2019/20,Highland,All Ages,Meals,320
2019/20,Highland,0-17 years,Meals,0
2019/20,Highland,18-64 years,Meals,15
2019/20,Highland,65-74 years,Meals,35
2019/20,Highland,75-84 years,Meals,115
2019/20,Highland,85+ years,Meals,150
2019/20,Highland,Unknown,Meals,0
2019/20,Highland,All Ages,Social Worker,7660
2019/20,Highland,0-17 years,Social Worker,55
2019/20,Highland,18-64 years,Social Worker,1510
2019/20,Highland,65-74 years,Social Worker,895
2019/20,Highland,75-84 years,Social Worker,2165
2019/20,Highland,85+ years,Social Worker,3035
2019/20,Highland,Unknown,Social Worker,0
2020/21,Highland,All Ages,Care Home,2340
2020/21,Highland,0-17 years,Care Home,0
2020/21,Highland,18-64 years,Care Home,190
2020/21,Highland,65-74 years,Care Home,245
2020/21,Highland,75-84 years,Care Home,670
2020/21,Highland,85+ years,Care Home,1235
2020/21,Highland,Unknown,Care Home,0
2020/21,Highland,All Ages,Care at Home,3040
2020/21,Highland,0-17 years,Care at Home,0
2020/21,Highland,18-64 years,Care at Home,285
2020/21,Highland,65-74 years,Care at Home,460
2020/21,Highland,75-84 years,Care at Home,1010
2020/21,Highland,85+ years,Care at Home,1285
2020/21,Highland,Unknown,Care at Home,0
2020/21,Highland,All Ages,Community Alarms / Telecare,3245
2020/21,Highland,0-17 years,Community Alarms / Telecare,45
2020/21,Highland,18-64 years,Community Alarms / Telecare,380
2020/21,Highland,65-74 years,Community Alarms / Telecare,345
2020/21,Highland,75-84 years,Community Alarms / Telecare,1010
2020/21,Highland,85+ years,Community Alarms / Telecare,1465
2020/21,Highland,Unknown,Community Alarms / Telecare,0
2020/21,Highland,All Ages,Day Care,360
2020/21,Highland,0-17 years,Day Care,0
2020/21,Highland,18-64 years,Day Care,105
2020/21,Highland,65-74 years,Day Care,30
2020/21,Highland,75-84 years,Day Care,85
2020/21,Highland,85+ years,Day Care,140
2020/21,Highland,Unknown,Day Care,0
2020/21,Highland,All Ages,Meals,175
2020/21,Highland,0-17 years,Meals,0
2020/21,Highland,18-64 years,Meals,15
2020/21,Highland,65-74 years,Meals,20
2020/21,Highland,75-84 years,Meals,60
2020/21,Highland,85+ years,Meals,80
2020/21,Highland,Unknown,Meals,0
2020/21,Highland,All Ages,Social Worker,7355
2020/21,Highland,0-17 years,Social Worker,55
2020/21,Highland,18-64 years,Social Worker,1385
2020/21,Highland,65-74 years,Social Worker,885
2020/21,Highland,75-84 years,Social Worker,2000
2020/21,Highland,85+ years,Social Worker,3025
2020/21,Highland,Unknown,Social Worker,0
2021/22,Highland,All Ages,Care Home,2415
2021/22,Highland,0-17 years,Care Home,0
2021/22,Highland,18-64 years,Care Home,210
2021/22,Highland,65-74 years,Care Home,260
2021/22,Highland,75-84 years,Care Home,720
2021/22,Highland,85+ years,Care Home,1230
2021/22,Highland,Unknown,Care Home,0
2021/22,Highland,All Ages,Care at Home,3030
2021/22,Highland,0-17 years,Care at Home,0
2021/22,Highland,18-64 years,Care at Home,280
2021/22,Highland,65-74 years,Care at Home,460
2021/22,Highland,75-84 years,Care at Home,1015
2021/22,Highland,85+ years,Care at Home,1275
2021/22,Highland,Unknown,Care at Home,0
2021/22,Highland,All Ages,Community Alarms / Telecare,3465
2021/22,Highland,0-17 years,Community Alarms / Telecare,45
2021/22,Highland,18-64 years,Community Alarms / Telecare,400
2021/22,Highland,65-74 years,Community Alarms / Telecare,365
2021/22,Highland,75-84 years,Community Alarms / Telecare,1095
2021/22,Highland,85+ years,Community Alarms / Telecare,1560
2021/22,Highland,Unknown,Community Alarms / Telecare,0
2021/22,Highland,All Ages,Day Care,165
2021/22,Highland,0-17 years,Day Care,0
2021/22,Highland,18-64 years,Day Care,75
2021/22,Highland,65-74 years,Day Care,15
2021/22,Highland,75-84 years,Day Care,40
2021/22,Highland,85+ years,Day Care,35
2021/22,Highland,Unknown,Day Care,0
2021/22,Highland,All Ages,Meals,200
2021/22,Highland,0-17 years,Meals,0
2021/22,Highland,18-64 years,Meals,15
2021/22,Highland,65-74 years,Meals,30
2021/22,Highland,75-84 years,Meals,75
2021/22,Highland,85+ years,Meals,80
2021/22,Highland,Unknown,Meals,0
2021/22,Highland,All Ages,Social Worker,6405
2021/22,Highland,0-17 years,Social Worker,90
2021/22,Highland,18-64 years,Social Worker,1810
2021/22,Highland,65-74 years,Social Worker,745
2021/22,Highland,75-84 years,Social Worker,1535
2021/22,Highland,85+ years,Social Worker,2230
2021/22,Highland,Unknown,Social Worker,0
2017/18,Inverclyde,All Ages,Care Home,785
2017/18,Inverclyde,0-17 years,Care Home,0
2017/18,Inverclyde,18-64 years,Care Home,90
2017/18,Inverclyde,65-74 years,Care Home,90
2017/18,Inverclyde,75-84 years,Care Home,230
2017/18,Inverclyde,85+ years,Care Home,370
2017/18,Inverclyde,Unknown,Care Home,0
2017/18,Inverclyde,All Ages,Care at Home,1410
2017/18,Inverclyde,0-17 years,Care at Home,0
2017/18,Inverclyde,18-64 years,Care at Home,150
2017/18,Inverclyde,65-74 years,Care at Home,250
2017/18,Inverclyde,75-84 years,Care at Home,550
2017/18,Inverclyde,85+ years,Care at Home,455
2017/18,Inverclyde,Unknown,Care at Home,0
2017/18,Inverclyde,All Ages,Community Alarms / Telecare,3375
2017/18,Inverclyde,0-17 years,Community Alarms / Telecare,5
