financial_year,sending_location,age_group,client_group,measure,denominator,nclient,rate
2018/19,Midlothian,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",763,15,19.7
2018/19,Midlothian,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",773,35,45.3
2018/19,Midlothian,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",763,35,45.9
2018/19,Midlothian,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",773,360,465.7
2018/19,Midlothian,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",763,355,465.3
2018/19,Midlothian,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",773,110,142.3
2018/19,Midlothian,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",763,110,144.2
2018/19,Midlothian,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",773,340,439.8
2018/19,Midlothian,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",763,340,445.6
2018/19,Midlothian,18-64 years,Other,"Rate per 1,000 Social Care Clients",773,75,97
2018/19,Midlothian,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",763,70,91.7
2018/19,Midlothian,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",773,0,0
2018/19,Midlothian,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",763,0,0
2018/19,Midlothian,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",555,30,54.1
2018/19,Midlothian,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",544,30,55.1
2018/19,Midlothian,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",555,350,630.6
2018/19,Midlothian,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",544,340,625
2018/19,Midlothian,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",555,45,81.1
2018/19,Midlothian,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",544,45,82.7
2018/19,Midlothian,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",555,55,99.1
2018/19,Midlothian,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",544,55,101.1
2018/19,Midlothian,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",555,320,576.6
2018/19,Midlothian,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",544,320,588.2
2018/19,Midlothian,65-74 years,Other,"Rate per 1,000 Social Care Clients",555,35,63.1
2018/19,Midlothian,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",544,35,64.3
2018/19,Midlothian,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",555,0,0
2018/19,Midlothian,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",544,0,0
2018/19,Midlothian,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",1132,145,128.1
2018/19,Midlothian,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1116,140,125.4
2018/19,Midlothian,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1132,810,715.5
2018/19,Midlothian,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1116,795,712.4
2018/19,Midlothian,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",1132,15,13.3
2018/19,Midlothian,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1116,15,13.4
2018/19,Midlothian,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",1132,30,26.5
2018/19,Midlothian,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1116,30,26.9
2018/19,Midlothian,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1132,610,538.9
2018/19,Midlothian,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1116,610,546.6
2018/19,Midlothian,75-84 years,Other,"Rate per 1,000 Social Care Clients",1132,25,22.1
2018/19,Midlothian,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1116,25,22.4
2018/19,Midlothian,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",1132,0,0
2018/19,Midlothian,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1116,0,0
2018/19,Midlothian,85+ years,Dementia,"Rate per 1,000 Social Care Clients",1084,145,133.8
2018/19,Midlothian,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1079,145,134.4
2018/19,Midlothian,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1084,895,825.6
2018/19,Midlothian,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1079,890,824.8
2018/19,Midlothian,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",1084,10,9.2
2018/19,Midlothian,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1079,10,9.3
2018/19,Midlothian,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",1084,10,9.2
2018/19,Midlothian,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1079,10,9.3
2018/19,Midlothian,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1084,555,512
2018/19,Midlothian,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1079,555,514.4
2018/19,Midlothian,85+ years,Other,"Rate per 1,000 Social Care Clients",1084,10,9.2
2018/19,Midlothian,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1079,10,9.3
2018/19,Midlothian,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",1084,0,0
2018/19,Midlothian,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1079,0,0
2018/19,Midlothian,Unknown,Dementia,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Midlothian,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Midlothian,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Midlothian,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Midlothian,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Midlothian,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Midlothian,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Midlothian,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Midlothian,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Midlothian,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Midlothian,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Midlothian,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Midlothian,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Midlothian,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Midlothian,All Ages,Dementia,"Rate per 1,000 Social Care Clients",3350,15,4.5
2019/20,Midlothian,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3161,10,3.2
2019/20,Midlothian,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",3350,1990,594
2019/20,Midlothian,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3161,1815,574.2
2019/20,Midlothian,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",3350,260,77.6
2019/20,Midlothian,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3161,255,80.7
2019/20,Midlothian,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",3350,75,22.4
2019/20,Midlothian,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3161,70,22.1
2019/20,Midlothian,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3350,875,261.2
2019/20,Midlothian,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3161,870,275.2
2019/20,Midlothian,All Ages,Other,"Rate per 1,000 Social Care Clients",3350,135,40.3
2019/20,Midlothian,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",3161,130,41.1
2019/20,Midlothian,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",3350,10,3
2019/20,Midlothian,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3161,5,1.6
2019/20,Midlothian,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",50,0,0
2019/20,Midlothian,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",50,0,0
2019/20,Midlothian,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",50,5,100
2019/20,Midlothian,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",50,5,100
2019/20,Midlothian,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",50,15,300
2019/20,Midlothian,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",50,15,300
2019/20,Midlothian,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",50,0,0
2019/20,Midlothian,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",50,0,0
2019/20,Midlothian,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",50,15,300
2019/20,Midlothian,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",50,15,300
2019/20,Midlothian,0-17 years,Other,"Rate per 1,000 Social Care Clients",50,15,300
2019/20,Midlothian,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",50,15,300
2019/20,Midlothian,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",50,0,0
2019/20,Midlothian,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",50,0,0
2019/20,Midlothian,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",626,0,0
2019/20,Midlothian,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",616,0,0
2019/20,Midlothian,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",626,30,47.9
2019/20,Midlothian,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",616,30,48.7
2019/20,Midlothian,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",626,225,359.4
2019/20,Midlothian,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",616,225,365.3
2019/20,Midlothian,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",626,55,87.9
2019/20,Midlothian,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",616,55,89.3
2019/20,Midlothian,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",626,235,375.4
2019/20,Midlothian,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",616,225,365.3
2019/20,Midlothian,18-64 years,Other,"Rate per 1,000 Social Care Clients",626,80,127.8
2019/20,Midlothian,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",616,80,129.9
2019/20,Midlothian,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",626,5,8
2019/20,Midlothian,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",616,5,8.1
2019/20,Midlothian,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",481,0,0
2019/20,Midlothian,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",463,0,0
2019/20,Midlothian,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",481,290,602.9
2019/20,Midlothian,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",463,275,594
2019/20,Midlothian,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",481,15,31.2
2019/20,Midlothian,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",463,15,32.4
2019/20,Midlothian,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",481,10,20.8
2019/20,Midlothian,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",463,10,21.6
2019/20,Midlothian,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",481,150,311.9
2019/20,Midlothian,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",463,150,324
2019/20,Midlothian,65-74 years,Other,"Rate per 1,000 Social Care Clients",481,10,20.8
2019/20,Midlothian,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",463,10,21.6
2019/20,Midlothian,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",481,0,0
2019/20,Midlothian,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",463,0,0
2019/20,Midlothian,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",1122,10,8.9
2019/20,Midlothian,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1060,5,4.7
2019/20,Midlothian,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1122,790,704.1
2019/20,Midlothian,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1060,730,688.7
2019/20,Midlothian,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",1122,5,4.5
2019/20,Midlothian,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1060,5,4.7
2019/20,Midlothian,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",1122,5,4.5
2019/20,Midlothian,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1060,5,4.7
2019/20,Midlothian,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1122,300,267.4
2019/20,Midlothian,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1060,300,283
2019/20,Midlothian,75-84 years,Other,"Rate per 1,000 Social Care Clients",1122,15,13.4
2019/20,Midlothian,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1060,15,14.2
2019/20,Midlothian,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",1122,0,0
2019/20,Midlothian,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1060,0,0
2019/20,Midlothian,85+ years,Dementia,"Rate per 1,000 Social Care Clients",1071,5,4.7
2019/20,Midlothian,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",972,5,5.1
2019/20,Midlothian,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1071,870,812.3
2019/20,Midlothian,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",972,775,797.3
2019/20,Midlothian,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",1071,5,4.7
2019/20,Midlothian,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",972,5,5.1
2019/20,Midlothian,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",1071,0,0
2019/20,Midlothian,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",972,0,0
2019/20,Midlothian,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1071,180,168.1
2019/20,Midlothian,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",972,175,180
2019/20,Midlothian,85+ years,Other,"Rate per 1,000 Social Care Clients",1071,10,9.3
2019/20,Midlothian,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",972,10,10.3
2019/20,Midlothian,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",1071,5,4.7
2019/20,Midlothian,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",972,5,5.1
2019/20,Midlothian,Unknown,Dementia,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Midlothian,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Midlothian,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Midlothian,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Midlothian,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Midlothian,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Midlothian,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Midlothian,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Midlothian,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Midlothian,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Midlothian,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Midlothian,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Midlothian,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Midlothian,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Midlothian,All Ages,Dementia,"Rate per 1,000 Social Care Clients",3544,5,1.4
2020/21,Midlothian,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3537,5,1.4
2020/21,Midlothian,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",3544,2080,586.9
2020/21,Midlothian,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3537,2075,586.7
2020/21,Midlothian,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",3544,430,121.3
2020/21,Midlothian,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3537,425,120.2
2020/21,Midlothian,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",3544,95,26.8
2020/21,Midlothian,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3537,95,26.9
2020/21,Midlothian,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3544,810,228.6
2020/21,Midlothian,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3537,810,229
2020/21,Midlothian,All Ages,Other,"Rate per 1,000 Social Care Clients",3544,125,35.3
2020/21,Midlothian,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",3537,125,35.3
2020/21,Midlothian,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",3544,5,1.4
2020/21,Midlothian,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3537,5,1.4
2020/21,Midlothian,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",131,0,0
2020/21,Midlothian,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",128,0,0
2020/21,Midlothian,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",131,0,0
2020/21,Midlothian,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",128,0,0
2020/21,Midlothian,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",131,60,458
2020/21,Midlothian,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",128,55,429.7
2020/21,Midlothian,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",131,0,0
2020/21,Midlothian,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",128,0,0
2020/21,Midlothian,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",131,30,229
2020/21,Midlothian,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",128,30,234.4
2020/21,Midlothian,0-17 years,Other,"Rate per 1,000 Social Care Clients",131,50,381.7
2020/21,Midlothian,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",128,50,390.6
2020/21,Midlothian,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",131,0,0
2020/21,Midlothian,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",128,0,0
2020/21,Midlothian,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",732,0,0
2020/21,Midlothian,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",730,0,0
2020/21,Midlothian,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",732,20,27.3
2020/21,Midlothian,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",730,20,27.4
2020/21,Midlothian,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",732,350,478.1
2020/21,Midlothian,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",730,350,479.5
2020/21,Midlothian,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",732,75,102.5
2020/21,Midlothian,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",730,75,102.7
2020/21,Midlothian,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",732,235,321
2020/21,Midlothian,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",730,235,321.9
2020/21,Midlothian,18-64 years,Other,"Rate per 1,000 Social Care Clients",732,55,75.1
2020/21,Midlothian,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",730,55,75.3
2020/21,Midlothian,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",732,0,0
2020/21,Midlothian,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",730,0,0
2020/21,Midlothian,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",526,0,0
2020/21,Midlothian,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",526,0,0
2020/21,Midlothian,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",526,335,636.9
2020/21,Midlothian,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",526,335,636.9
2020/21,Midlothian,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",526,20,38
2020/21,Midlothian,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",526,20,38
2020/21,Midlothian,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",526,20,38
2020/21,Midlothian,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",526,20,38
2020/21,Midlothian,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",526,140,266.2
2020/21,Midlothian,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",526,140,266.2
2020/21,Midlothian,65-74 years,Other,"Rate per 1,000 Social Care Clients",526,10,19
2020/21,Midlothian,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",526,10,19
2020/21,Midlothian,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",526,5,9.5
2020/21,Midlothian,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",526,5,9.5
2020/21,Midlothian,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",1098,0,0
2020/21,Midlothian,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1096,0,0
2020/21,Midlothian,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1098,850,774.1
2020/21,Midlothian,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1096,845,771
2020/21,Midlothian,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",1098,0,0
2020/21,Midlothian,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1096,0,0
2020/21,Midlothian,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",1098,5,4.6
2020/21,Midlothian,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1096,5,4.6
2020/21,Midlothian,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1098,235,214
2020/21,Midlothian,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1096,235,214.4
2020/21,Midlothian,75-84 years,Other,"Rate per 1,000 Social Care Clients",1098,10,9.1
2020/21,Midlothian,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1096,10,9.1
2020/21,Midlothian,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",1098,0,0
2020/21,Midlothian,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1096,0,0
2020/21,Midlothian,85+ years,Dementia,"Rate per 1,000 Social Care Clients",1057,0,0
2020/21,Midlothian,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1057,0,0
2020/21,Midlothian,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1057,875,827.8
2020/21,Midlothian,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1057,875,827.8
2020/21,Midlothian,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",1057,0,0
2020/21,Midlothian,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1057,0,0
2020/21,Midlothian,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",1057,0,0
2020/21,Midlothian,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1057,0,0
2020/21,Midlothian,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1057,175,165.6
2020/21,Midlothian,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1057,175,165.6
2020/21,Midlothian,85+ years,Other,"Rate per 1,000 Social Care Clients",1057,5,4.7
2020/21,Midlothian,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1057,5,4.7
2020/21,Midlothian,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",1057,0,0
2020/21,Midlothian,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1057,0,0
2020/21,Midlothian,Unknown,Dementia,"Rate per 1,000 Social Care Clients",NA,0,0
2020/21,Midlothian,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Midlothian,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",NA,0,0
2020/21,Midlothian,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Midlothian,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2020/21,Midlothian,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Midlothian,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",NA,0,0
2020/21,Midlothian,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Midlothian,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2020/21,Midlothian,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Midlothian,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2020/21,Midlothian,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Midlothian,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",NA,0,0
2020/21,Midlothian,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Moray,All Ages,Dementia,"Rate per 1,000 Social Care Clients",3324,265,79.7
2017/18,Moray,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3324,265,79.7
