financial_year,sending_location,age_group,living_alone,measure,nclient,percentage
2019/20,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients,35,2.6
2019/20,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),35,2.6
2019/20,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients,320,23.8
2019/20,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),320,23.9
2019/20,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients,990,73.6
2019/20,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),985,73.5
2019/20,Argyll and Bute,85+ years,Living Alone,Percentage of Social Care Clients,45,2.8
2019/20,Argyll and Bute,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),45,2.8
2019/20,Argyll and Bute,85+ years,Not Living Alone,Percentage of Social Care Clients,470,28.8
2019/20,Argyll and Bute,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),470,28.8
2019/20,Argyll and Bute,85+ years,Unknown,Percentage of Social Care Clients,1115,68.4
2019/20,Argyll and Bute,85+ years,Unknown,Percentage of Social Care Clients (adjusted),1115,68.4
2019/20,City of Edinburgh,All Ages,Living Alone,Percentage of Social Care Clients,2495,13.8
2019/20,City of Edinburgh,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1835,12.4
2019/20,City of Edinburgh,All Ages,Unknown,Percentage of Social Care Clients,15585,86.2
2019/20,City of Edinburgh,All Ages,Unknown,Percentage of Social Care Clients (adjusted),13020,87.6
2019/20,City of Edinburgh,0-17 years,Unknown,Percentage of Social Care Clients,310,100
2019/20,City of Edinburgh,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),310,100
2019/20,City of Edinburgh,18-64 years,Living Alone,Percentage of Social Care Clients,275,6.2
2019/20,City of Edinburgh,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),260,6.2
2019/20,City of Edinburgh,18-64 years,Unknown,Percentage of Social Care Clients,4170,93.8
2019/20,City of Edinburgh,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),3945,93.8
2019/20,City of Edinburgh,65-74 years,Living Alone,Percentage of Social Care Clients,290,11.2
2019/20,City of Edinburgh,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),250,11
2019/20,City of Edinburgh,65-74 years,Unknown,Percentage of Social Care Clients,2290,88.8
2019/20,City of Edinburgh,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),2020,89
2019/20,City of Edinburgh,75-84 years,Living Alone,Percentage of Social Care Clients,655,14.8
2019/20,City of Edinburgh,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),500,14
2019/20,City of Edinburgh,75-84 years,Unknown,Percentage of Social Care Clients,3760,85.2
2019/20,City of Edinburgh,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),3075,86
2019/20,City of Edinburgh,85+ years,Living Alone,Percentage of Social Care Clients,1270,20.2
2019/20,City of Edinburgh,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),825,18.4
2019/20,City of Edinburgh,85+ years,Unknown,Percentage of Social Care Clients,5030,79.8
2019/20,City of Edinburgh,85+ years,Unknown,Percentage of Social Care Clients (adjusted),3670,81.6
2019/20,City of Edinburgh,Unknown,Living Alone,Percentage of Social Care Clients,5,20
2019/20,City of Edinburgh,Unknown,Unknown,Percentage of Social Care Clients,20,80
2019/20,Clackmannanshire,All Ages,Living Alone,Percentage of Social Care Clients,1215,45.9
2019/20,Clackmannanshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1215,45.9
2019/20,Clackmannanshire,All Ages,Not Living Alone,Percentage of Social Care Clients,1430,54.1
2019/20,Clackmannanshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),1430,54.1
2019/20,Clackmannanshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,5,100
2019/20,Clackmannanshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),5,100
2019/20,Clackmannanshire,18-64 years,Living Alone,Percentage of Social Care Clients,180,31.6
2019/20,Clackmannanshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),180,31.6
2019/20,Clackmannanshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,390,68.4
2019/20,Clackmannanshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),390,68.4
2019/20,Clackmannanshire,65-74 years,Living Alone,Percentage of Social Care Clients,210,47.2
2019/20,Clackmannanshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),210,47.2
2019/20,Clackmannanshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,235,52.8
2019/20,Clackmannanshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),235,52.8
2019/20,Clackmannanshire,75-84 years,Living Alone,Percentage of Social Care Clients,430,47.8
2019/20,Clackmannanshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),430,47.8
2019/20,Clackmannanshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,470,52.2
2019/20,Clackmannanshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),470,52.2
2019/20,Clackmannanshire,85+ years,Living Alone,Percentage of Social Care Clients,390,54.2
2019/20,Clackmannanshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),390,54.2
2019/20,Clackmannanshire,85+ years,Not Living Alone,Percentage of Social Care Clients,330,45.8
2019/20,Clackmannanshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),330,45.8
2019/20,Comhairle nan Eilean Siar,All Ages,Living Alone,Percentage of Social Care Clients,60,3.8
2019/20,Comhairle nan Eilean Siar,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),50,3.7
2019/20,Comhairle nan Eilean Siar,All Ages,Not Living Alone,Percentage of Social Care Clients,175,11
2019/20,Comhairle nan Eilean Siar,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),85,6.3
2019/20,Comhairle nan Eilean Siar,All Ages,Unknown,Percentage of Social Care Clients,1355,85.2
2019/20,Comhairle nan Eilean Siar,All Ages,Unknown,Percentage of Social Care Clients (adjusted),1215,90
2019/20,Comhairle nan Eilean Siar,0-17 years,Unknown,Percentage of Social Care Clients,5,100
2019/20,Comhairle nan Eilean Siar,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),5,100
2019/20,Comhairle nan Eilean Siar,18-64 years,Living Alone,Percentage of Social Care Clients,5,2.4
2019/20,Comhairle nan Eilean Siar,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),5,3.2
2019/20,Comhairle nan Eilean Siar,18-64 years,Not Living Alone,Percentage of Social Care Clients,25,11.9
2019/20,Comhairle nan Eilean Siar,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),10,6.5
2019/20,Comhairle nan Eilean Siar,18-64 years,Unknown,Percentage of Social Care Clients,180,85.7
2019/20,Comhairle nan Eilean Siar,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),140,90.3
2019/20,Comhairle nan Eilean Siar,65-74 years,Living Alone,Percentage of Social Care Clients,10,4.1
2019/20,Comhairle nan Eilean Siar,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),5,2.4
2019/20,Comhairle nan Eilean Siar,65-74 years,Not Living Alone,Percentage of Social Care Clients,20,8.2
2019/20,Comhairle nan Eilean Siar,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),10,4.9
2019/20,Comhairle nan Eilean Siar,65-74 years,Unknown,Percentage of Social Care Clients,215,87.8
2019/20,Comhairle nan Eilean Siar,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),190,92.7
2019/20,Comhairle nan Eilean Siar,75-84 years,Living Alone,Percentage of Social Care Clients,20,3.7
2019/20,Comhairle nan Eilean Siar,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),15,3.1
2019/20,Comhairle nan Eilean Siar,75-84 years,Not Living Alone,Percentage of Social Care Clients,60,11.2
2019/20,Comhairle nan Eilean Siar,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),40,8.3
2019/20,Comhairle nan Eilean Siar,75-84 years,Unknown,Percentage of Social Care Clients,455,85
2019/20,Comhairle nan Eilean Siar,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),425,88.5
2019/20,Comhairle nan Eilean Siar,85+ years,Living Alone,Percentage of Social Care Clients,25,4.2
2019/20,Comhairle nan Eilean Siar,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),20,4
2019/20,Comhairle nan Eilean Siar,85+ years,Not Living Alone,Percentage of Social Care Clients,65,11
2019/20,Comhairle nan Eilean Siar,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),25,5
2019/20,Comhairle nan Eilean Siar,85+ years,Unknown,Percentage of Social Care Clients,500,84.7
2019/20,Comhairle nan Eilean Siar,85+ years,Unknown,Percentage of Social Care Clients (adjusted),455,91
2019/20,Dumfries and Galloway,All Ages,Living Alone,Percentage of Social Care Clients,1390,19
2019/20,Dumfries and Galloway,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1390,19
2019/20,Dumfries and Galloway,All Ages,Not Living Alone,Percentage of Social Care Clients,5930,81
2019/20,Dumfries and Galloway,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),5930,81
2019/20,Dumfries and Galloway,0-17 years,Not Living Alone,Percentage of Social Care Clients,205,100
2019/20,Dumfries and Galloway,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),205,100
2019/20,Dumfries and Galloway,18-64 years,Living Alone,Percentage of Social Care Clients,180,14.8
2019/20,Dumfries and Galloway,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),180,14.8
2019/20,Dumfries and Galloway,18-64 years,Not Living Alone,Percentage of Social Care Clients,1040,85.2
2019/20,Dumfries and Galloway,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1040,85.2
2019/20,Dumfries and Galloway,65-74 years,Living Alone,Percentage of Social Care Clients,165,19
2019/20,Dumfries and Galloway,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),165,19
2019/20,Dumfries and Galloway,65-74 years,Not Living Alone,Percentage of Social Care Clients,705,81
2019/20,Dumfries and Galloway,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),705,81
2019/20,Dumfries and Galloway,75-84 years,Living Alone,Percentage of Social Care Clients,460,20.4
2019/20,Dumfries and Galloway,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),460,20.4
2019/20,Dumfries and Galloway,75-84 years,Not Living Alone,Percentage of Social Care Clients,1795,79.6
2019/20,Dumfries and Galloway,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1795,79.6
2019/20,Dumfries and Galloway,85+ years,Living Alone,Percentage of Social Care Clients,590,21.3
2019/20,Dumfries and Galloway,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),590,21.3
2019/20,Dumfries and Galloway,85+ years,Not Living Alone,Percentage of Social Care Clients,2180,78.7
2019/20,Dumfries and Galloway,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),2180,78.7
2019/20,Dundee City,All Ages,Living Alone,Percentage of Social Care Clients,1540,13.9
2019/20,Dundee City,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1535,13.9
2019/20,Dundee City,All Ages,Not Living Alone,Percentage of Social Care Clients,740,6.7
2019/20,Dundee City,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),730,6.6
2019/20,Dundee City,All Ages,Unknown,Percentage of Social Care Clients,8780,79.4
2019/20,Dundee City,All Ages,Unknown,Percentage of Social Care Clients (adjusted),8760,79.5
2019/20,Dundee City,0-17 years,Unknown,Percentage of Social Care Clients,80,100
2019/20,Dundee City,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),80,100
2019/20,Dundee City,18-64 years,Living Alone,Percentage of Social Care Clients,320,9.7
2019/20,Dundee City,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),320,9.7
2019/20,Dundee City,18-64 years,Not Living Alone,Percentage of Social Care Clients,225,6.8
2019/20,Dundee City,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),225,6.8
2019/20,Dundee City,18-64 years,Unknown,Percentage of Social Care Clients,2755,83.5
2019/20,Dundee City,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),2755,83.5
2019/20,Dundee City,65-74 years,Living Alone,Percentage of Social Care Clients,240,12.1
2019/20,Dundee City,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),240,12.1
2019/20,Dundee City,65-74 years,Not Living Alone,Percentage of Social Care Clients,125,6.3
2019/20,Dundee City,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),120,6
2019/20,Dundee City,65-74 years,Unknown,Percentage of Social Care Clients,1625,81.7
2019/20,Dundee City,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),1625,81.9
2019/20,Dundee City,75-84 years,Living Alone,Percentage of Social Care Clients,425,14.4
2019/20,Dundee City,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),425,14.4
2019/20,Dundee City,75-84 years,Not Living Alone,Percentage of Social Care Clients,210,7.1
2019/20,Dundee City,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),205,6.9
2019/20,Dundee City,75-84 years,Unknown,Percentage of Social Care Clients,2325,78.5
2019/20,Dundee City,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),2320,78.6
2019/20,Dundee City,85+ years,Living Alone,Percentage of Social Care Clients,550,20.2
2019/20,Dundee City,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),550,20.3
2019/20,Dundee City,85+ years,Not Living Alone,Percentage of Social Care Clients,180,6.6
2019/20,Dundee City,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),180,6.6
2019/20,Dundee City,85+ years,Unknown,Percentage of Social Care Clients,1995,73.2
2019/20,Dundee City,85+ years,Unknown,Percentage of Social Care Clients (adjusted),1985,73.1
2019/20,East Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients,795,13.4
2019/20,East Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),790,13.8
2019/20,East Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients,5135,86.6
2019/20,East Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),4930,86.2
2019/20,East Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,115,100
2019/20,East Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),115,100
2019/20,East Ayrshire,18-64 years,Living Alone,Percentage of Social Care Clients,185,19.6
2019/20,East Ayrshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),180,19.7
2019/20,East Ayrshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,760,80.4
2019/20,East Ayrshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),735,80.3
2019/20,East Ayrshire,65-74 years,Living Alone,Percentage of Social Care Clients,100,11.3
2019/20,East Ayrshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),100,12
2019/20,East Ayrshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,785,88.7
2019/20,East Ayrshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),730,88
2019/20,East Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients,215,10.3
2019/20,East Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),215,10.7
2019/20,East Ayrshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,1875,89.7
2019/20,East Ayrshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1790,89.3
2019/20,East Ayrshire,85+ years,Living Alone,Percentage of Social Care Clients,295,15.6
2019/20,East Ayrshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),290,15.7
2019/20,East Ayrshire,85+ years,Not Living Alone,Percentage of Social Care Clients,1600,84.4
2019/20,East Ayrshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),1560,84.3
2019/20,East Dunbartonshire,All Ages,Living Alone,Percentage of Social Care Clients,1225,18
2019/20,East Dunbartonshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1170,20.3
2019/20,East Dunbartonshire,All Ages,Not Living Alone,Percentage of Social Care Clients,3870,56.9
2019/20,East Dunbartonshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),3200,55.7
2019/20,East Dunbartonshire,All Ages,Unknown,Percentage of Social Care Clients,1710,25.1
2019/20,East Dunbartonshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),1380,24
2019/20,East Dunbartonshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,85,51.5
2019/20,East Dunbartonshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),85,68
2019/20,East Dunbartonshire,0-17 years,Unknown,Percentage of Social Care Clients,80,48.5
2019/20,East Dunbartonshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),40,32
2019/20,East Dunbartonshire,18-64 years,Living Alone,Percentage of Social Care Clients,375,18.5
2019/20,East Dunbartonshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),370,18.8
2019/20,East Dunbartonshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,1280,63.2
2019/20,East Dunbartonshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1265,64.2
2019/20,East Dunbartonshire,18-64 years,Unknown,Percentage of Social Care Clients,370,18.3
2019/20,East Dunbartonshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),335,17
2019/20,East Dunbartonshire,65-74 years,Living Alone,Percentage of Social Care Clients,140,19.3
2019/20,East Dunbartonshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),135,20.6
2019/20,East Dunbartonshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,415,57.2
2019/20,East Dunbartonshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),360,55
2019/20,East Dunbartonshire,65-74 years,Unknown,Percentage of Social Care Clients,170,23.4
2019/20,East Dunbartonshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),160,24.4
2019/20,East Dunbartonshire,75-84 years,Living Alone,Percentage of Social Care Clients,305,16.9
2019/20,East Dunbartonshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),290,19.6
2019/20,East Dunbartonshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,1000,55.4
2019/20,East Dunbartonshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),770,52
2019/20,East Dunbartonshire,75-84 years,Unknown,Percentage of Social Care Clients,500,27.7
2019/20,East Dunbartonshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),420,28.4
2019/20,East Dunbartonshire,85+ years,Living Alone,Percentage of Social Care Clients,405,19.3
2019/20,East Dunbartonshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),375,24.7
2019/20,East Dunbartonshire,85+ years,Not Living Alone,Percentage of Social Care Clients,1095,52.3
2019/20,East Dunbartonshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),720,47.4
2019/20,East Dunbartonshire,85+ years,Unknown,Percentage of Social Care Clients,595,28.4
2019/20,East Dunbartonshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),425,28
2019/20,East Lothian,All Ages,Unknown,Percentage of Social Care Clients,3545,100
2019/20,East Lothian,All Ages,Unknown,Percentage of Social Care Clients (adjusted),2775,100
2019/20,East Lothian,0-17 years,Unknown,Percentage of Social Care Clients,10,100
2019/20,East Lothian,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),10,100
2019/20,East Lothian,18-64 years,Unknown,Percentage of Social Care Clients,815,100
2019/20,East Lothian,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),680,100
2019/20,East Lothian,65-74 years,Unknown,Percentage of Social Care Clients,425,100
2019/20,East Lothian,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),355,100
2019/20,East Lothian,75-84 years,Unknown,Percentage of Social Care Clients,1010,100
2019/20,East Lothian,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),815,100
2019/20,East Lothian,85+ years,Unknown,Percentage of Social Care Clients,1290,100
2019/20,East Lothian,85+ years,Unknown,Percentage of Social Care Clients (adjusted),915,100
2019/20,East Renfrewshire,All Ages,Living Alone,Percentage of Social Care Clients,1280,16.3
2019/20,East Renfrewshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1075,25.1
2019/20,East Renfrewshire,All Ages,Not Living Alone,Percentage of Social Care Clients,1165,14.9
2019/20,East Renfrewshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),885,20.7
2019/20,East Renfrewshire,All Ages,Unknown,Percentage of Social Care Clients,5395,68.8
2019/20,East Renfrewshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),2315,54.2
2019/20,East Renfrewshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,15,5.6
2019/20,East Renfrewshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),10,4.8
2019/20,East Renfrewshire,0-17 years,Unknown,Percentage of Social Care Clients,255,94.4
2019/20,East Renfrewshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),200,95.2
2019/20,East Renfrewshire,18-64 years,Living Alone,Percentage of Social Care Clients,225,11
2019/20,East Renfrewshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),155,18.3
2019/20,East Renfrewshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,365,17.9
2019/20,East Renfrewshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),220,26
2019/20,East Renfrewshire,18-64 years,Unknown,Percentage of Social Care Clients,1450,71.1
2019/20,East Renfrewshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),470,55.6
2019/20,East Renfrewshire,65-74 years,Living Alone,Percentage of Social Care Clients,120,12.6
2019/20,East Renfrewshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),95,19.8
2019/20,East Renfrewshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,155,16.3
2019/20,East Renfrewshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),125,26
2019/20,East Renfrewshire,65-74 years,Unknown,Percentage of Social Care Clients,675,71.1
2019/20,East Renfrewshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),260,54.2
2019/20,East Renfrewshire,75-84 years,Living Alone,Percentage of Social Care Clients,360,17.7
2019/20,East Renfrewshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),300,24.6
2019/20,East Renfrewshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,320,15.7
2019/20,East Renfrewshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),260,21.3
2019/20,East Renfrewshire,75-84 years,Unknown,Percentage of Social Care Clients,1355,66.6
2019/20,East Renfrewshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),660,54.1
2019/20,East Renfrewshire,85+ years,Living Alone,Percentage of Social Care Clients,575,22.6
2019/20,East Renfrewshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),520,34.3
2019/20,East Renfrewshire,85+ years,Not Living Alone,Percentage of Social Care Clients,310,12.2
2019/20,East Renfrewshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),270,17.8
2019/20,East Renfrewshire,85+ years,Unknown,Percentage of Social Care Clients,1655,65.2
2019/20,East Renfrewshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),725,47.9
2019/20,East Renfrewshire,Unknown,Unknown,Percentage of Social Care Clients,5,100
2019/20,Falkirk,All Ages,Living Alone,Percentage of Social Care Clients,3015,35.8
2019/20,Falkirk,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),2840,37.1
2019/20,Falkirk,All Ages,Not Living Alone,Percentage of Social Care Clients,3790,45
2019/20,Falkirk,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),3270,42.7
2019/20,Falkirk,All Ages,Unknown,Percentage of Social Care Clients,1610,19.1
2019/20,Falkirk,All Ages,Unknown,Percentage of Social Care Clients (adjusted),1555,20.3
2019/20,Falkirk,0-17 years,Not Living Alone,Percentage of Social Care Clients,40,53.3
2019/20,Falkirk,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),35,50
2019/20,Falkirk,0-17 years,Unknown,Percentage of Social Care Clients,35,46.7
2019/20,Falkirk,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),35,50
2019/20,Falkirk,18-64 years,Living Alone,Percentage of Social Care Clients,555,28.4
2019/20,Falkirk,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),540,29.2
2019/20,Falkirk,18-64 years,Not Living Alone,Percentage of Social Care Clients,1065,54.5
2019/20,Falkirk,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),985,53.2
2019/20,Falkirk,18-64 years,Unknown,Percentage of Social Care Clients,335,17.1
2019/20,Falkirk,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),325,17.6
2019/20,Falkirk,65-74 years,Living Alone,Percentage of Social Care Clients,445,33.6
2019/20,Falkirk,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),430,35.1
2019/20,Falkirk,65-74 years,Not Living Alone,Percentage of Social Care Clients,625,47.2
2019/20,Falkirk,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),550,44.9
2019/20,Falkirk,65-74 years,Unknown,Percentage of Social Care Clients,255,19.2
2019/20,Falkirk,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),245,20
2019/20,Falkirk,75-84 years,Living Alone,Percentage of Social Care Clients,915,34.3
2019/20,Falkirk,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),860,35.4
2019/20,Falkirk,75-84 years,Not Living Alone,Percentage of Social Care Clients,1145,43
2019/20,Falkirk,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),985,40.5
2019/20,Falkirk,75-84 years,Unknown,Percentage of Social Care Clients,605,22.7
2019/20,Falkirk,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),585,24.1
2019/20,Falkirk,85+ years,Living Alone,Percentage of Social Care Clients,1105,45.9
2019/20,Falkirk,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),1010,48.4
2019/20,Falkirk,85+ years,Not Living Alone,Percentage of Social Care Clients,920,38.2
2019/20,Falkirk,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),710,34.1
2019/20,Falkirk,85+ years,Unknown,Percentage of Social Care Clients,385,16
2019/20,Falkirk,85+ years,Unknown,Percentage of Social Care Clients (adjusted),365,17.5
2019/20,Fife,All Ages,Living Alone,Percentage of Social Care Clients,7300,46.6
2019/20,Fife,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),7300,46.6
2019/20,Fife,All Ages,Not Living Alone,Percentage of Social Care Clients,8355,53.4
2019/20,Fife,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),8355,53.4
2019/20,Fife,0-17 years,Not Living Alone,Percentage of Social Care Clients,160,100
2019/20,Fife,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),160,100
2019/20,Fife,18-64 years,Living Alone,Percentage of Social Care Clients,850,30.6
2019/20,Fife,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),850,30.6
2019/20,Fife,18-64 years,Not Living Alone,Percentage of Social Care Clients,1925,69.4
2019/20,Fife,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1925,69.4
2019/20,Fife,65-74 years,Living Alone,Percentage of Social Care Clients,1005,43.4
2019/20,Fife,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),1005,43.4
2019/20,Fife,65-74 years,Not Living Alone,Percentage of Social Care Clients,1310,56.6
2019/20,Fife,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1310,56.6
2019/20,Fife,75-84 years,Living Alone,Percentage of Social Care Clients,2315,47
