financial_year,sending_location,age_group,sex,measure,nclient,rate
2019/20,Midlothian,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Midlothian,75-84 years,Female,"Rate per 1,000 Social Care Clients",755,225.3
2019/20,Midlothian,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",720,227.8
2019/20,Midlothian,75-84 years,Male,"Rate per 1,000 Social Care Clients",365,108.9
2019/20,Midlothian,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",340,107.6
2019/20,Midlothian,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Midlothian,85+ years,Female,"Rate per 1,000 Social Care Clients",765,228.3
2019/20,Midlothian,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",695,219.9
2019/20,Midlothian,85+ years,Male,"Rate per 1,000 Social Care Clients",305,91
2019/20,Midlothian,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",275,87
2019/20,Midlothian,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Midlothian,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Midlothian,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Midlothian,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Midlothian,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,All Ages,Female,"Rate per 1,000 Social Care Clients",2140,600.4
2020/21,Midlothian,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",2130,601.5
2020/21,Midlothian,All Ages,Male,"Rate per 1,000 Social Care Clients",1415,397
2020/21,Midlothian,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",1410,398.2
2020/21,Midlothian,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.4
2020/21,Midlothian,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,1.4
2020/21,Midlothian,0-17 years,Female,"Rate per 1,000 Social Care Clients",30,8.4
2020/21,Midlothian,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",30,8.5
2020/21,Midlothian,0-17 years,Male,"Rate per 1,000 Social Care Clients",100,28.1
2020/21,Midlothian,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",100,28.2
2020/21,Midlothian,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,18-64 years,Female,"Rate per 1,000 Social Care Clients",350,98.2
2020/21,Midlothian,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",345,97.4
2020/21,Midlothian,18-64 years,Male,"Rate per 1,000 Social Care Clients",390,109.4
2020/21,Midlothian,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",390,110.1
2020/21,Midlothian,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,65-74 years,Female,"Rate per 1,000 Social Care Clients",285,80
2020/21,Midlothian,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",285,80.5
2020/21,Midlothian,65-74 years,Male,"Rate per 1,000 Social Care Clients",240,67.3
2020/21,Midlothian,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",240,67.8
2020/21,Midlothian,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,75-84 years,Female,"Rate per 1,000 Social Care Clients",730,204.8
2020/21,Midlothian,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",725,204.7
2020/21,Midlothian,75-84 years,Male,"Rate per 1,000 Social Care Clients",375,105.2
2020/21,Midlothian,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",370,104.5
2020/21,Midlothian,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,85+ years,Female,"Rate per 1,000 Social Care Clients",750,210.4
2020/21,Midlothian,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",745,210.4
2020/21,Midlothian,85+ years,Male,"Rate per 1,000 Social Care Clients",310,87
2020/21,Midlothian,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",310,87.5
2020/21,Midlothian,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2020/21,Midlothian,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Midlothian,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.4
2020/21,Midlothian,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients",2200,661.9
2017/18,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",2200,661.9
2017/18,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients",1120,336.9
2017/18,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",1120,336.9
2017/18,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.5
2017/18,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,1.5
2017/18,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients",10,3
2017/18,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",10,3
2017/18,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients",20,6
2017/18,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",20,6
2017/18,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients",325,97.8
2017/18,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",325,97.8
2017/18,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients",305,91.8
2017/18,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",305,91.8
2017/18,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients",280,84.2
2017/18,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",280,84.2
2017/18,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients",170,51.1
2017/18,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",170,51.1
2017/18,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients",670,201.6
2017/18,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",670,201.6
2017/18,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients",320,96.3
2017/18,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",320,96.3
2017/18,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients",915,275.3
2017/18,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",915,275.3
2017/18,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients",305,91.8
2017/18,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",305,91.8
2017/18,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients",2345,654.5
2018/19,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",2345,655
2018/19,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients",1230,343.3
2018/19,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",1230,343.6
2018/19,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.4
2018/19,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,1.4
2018/19,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients",10,2.8
2018/19,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",10,2.8
2018/19,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients",25,7
2018/19,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",25,7
2018/19,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients",330,92.1
2018/19,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",330,92.2
2018/19,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients",290,80.9
2018/19,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",290,81
2018/19,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients",280,78.1
2018/19,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",280,78.2
2018/19,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients",175,48.8
2018/19,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",175,48.9
2018/19,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients",710,198.2
2018/19,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",705,196.9
2018/19,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients",355,99.1
2018/19,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",355,99.2
2018/19,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients",1020,284.7
2018/19,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1020,284.9
2018/19,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients",385,107.5
2018/19,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",385,107.5
2018/19,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients",2250,628.7
2019/20,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",2250,628.7
2019/20,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients",1325,370.2
2019/20,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",1325,370.2
2019/20,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.4
2019/20,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,1.4
2019/20,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients",10,2.8
2019/20,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",10,2.8
2019/20,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients",25,7
2019/20,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",25,7
2019/20,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients",355,99.2
2019/20,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",355,99.2
2019/20,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients",350,97.8
2019/20,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",350,97.8
2019/20,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.4
2019/20,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,1.4
2019/20,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients",265,74
2019/20,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",265,74
2019/20,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients",190,53.1
2019/20,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",190,53.1
2019/20,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients",670,187.2
2019/20,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",670,187.2
2019/20,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients",365,102
2019/20,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",365,102
2019/20,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients",950,265.4
2019/20,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",950,265.4
2019/20,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients",390,109
2019/20,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",390,109
2019/20,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients",2335,610.6
2020/21,Moray,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",2145,607.5
2020/21,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients",1480,387
2020/21,Moray,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",1375,389.4
2020/21,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",10,2.6
2020/21,Moray,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",10,2.8
2020/21,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients",10,2.6
2020/21,Moray,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",10,2.8
2020/21,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients",25,6.5
2020/21,Moray,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",25,7.1
2020/21,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Moray,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients",455,119
2020/21,Moray,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",440,124.6
2020/21,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients",505,132.1
2020/21,Moray,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",485,137.4
2020/21,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.3
2020/21,Moray,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,1.4
2020/21,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients",255,66.7
2020/21,Moray,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",240,68
2020/21,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients",190,49.7
2020/21,Moray,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",180,51
2020/21,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Moray,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients",635,166.1
2020/21,Moray,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",590,167.1
2020/21,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients",360,94.1
2020/21,Moray,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",330,93.5
2020/21,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,1.3
2020/21,Moray,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,1.4
2020/21,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients",980,256.3
2020/21,Moray,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",870,246.4
2020/21,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients",395,103.3
2020/21,Moray,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",360,102
2020/21,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Moray,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients",5,1.3
2020/21,Moray,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2020/21,Moray,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Moray,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients",4470,626.8
2017/18,North Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",4470,626.8
2017/18,North Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients",2650,371.6
2017/18,North Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",2650,371.6
2017/18,North Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",15,2.1
2017/18,North Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",15,2.1
2017/18,North Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",40,5.6
2017/18,North Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",40,5.6
2017/18,North Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",95,13.3
2017/18,North Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",95,13.3
2017/18,North Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,North Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",665,93.2
2017/18,North Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",665,93.2
2017/18,North Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",625,87.6
2017/18,North Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",625,87.6
2017/18,North Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,North Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",620,86.9
2017/18,North Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",620,86.9
2017/18,North Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",460,64.5
2017/18,North Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",460,64.5
2017/18,North Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,North Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",1535,215.2
2017/18,North Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1535,215.2
2017/18,North Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",830,116.4
2017/18,North Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",830,116.4
2017/18,North Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.7
2017/18,North Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,0.7
2017/18,North Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients",1605,225
2017/18,North Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1610,225.7
2017/18,North Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients",635,89
2017/18,North Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",640,89.7
2017/18,North Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.7
2017/18,North Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,0.7
2017/18,North Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients",5,0.7
2017/18,North Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients",5,0.7
2017/18,North Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,North Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,North Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,North Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients",4575,628.9
2018/19,North Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",4575,628.9
2018/19,North Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients",2675,367.7
2018/19,North Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",2675,367.7
2018/19,North Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",25,3.4
2018/19,North Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",25,3.4
2018/19,North Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",30,4.1
2018/19,North Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",30,4.1
2018/19,North Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",55,7.6
2018/19,North Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",55,7.6
2018/19,North Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,North Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,North Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",700,96.2
2018/19,North Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",700,96.2
2018/19,North Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",625,85.9
2018/19,North Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",625,85.9
2018/19,North Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",10,1.4
2018/19,North Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",10,1.4
2018/19,North Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",650,89.3
2018/19,North Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",650,89.3
